module,category,difficulty,question,expression,options,answer,explanation,hint,is_active
psychotechnique,calcul_mental,Facile,Combien font 66 ÷ 2 ?,66 ÷ 2,"{""33"",""32"",""34"",""35""}",33,"Pour diviser 66 par 2, commence par diviser chaque chiffre dans 66 individuellement : 6 ÷ 2 = 3, et 6 ÷ 2 = 3. Le résultat est donc 33. Un piège est d'oublier de diviser chaque chiffre ou de confondre l'opération avec une multiplication.",Divise chaque chiffre de gauche à droite.,true
psychotechnique,calcul_mental,Facile,Combien font 12 + 34 ?,12 + 34,"{""44"",""45"",""46"",""47""}",46,"Additionner 12 + 34 est plus simple en les arrondissant : ajoute 10 + 30 = 40, puis 2 + 4 = 6, ce qui donne 46. Le piège pourrait être de négliger le complément de l'arrondi ou d'ajouter trop vite.",Considère d'abord les dizaines puis les unités.,true
psychotechnique,calcul_mental,Facile,Combien font 18 + 16 ?,18 + 16,"{""32"",""33"",""34"",""35""}",34,"Pour 18 + 16, commence par arrondir : (20 + 16) et soustrais 2, ce qui donne 36 - 2 = 34. Cette méthode évite d'oublier de retirer l'excès de l'arrondi initial.",Arrondis 18 à 20 puis effectue la correction.,true
psychotechnique,calcul_mental,Facile,Combien font 40 % de 50 ?,"0,4 × 50","{""15"",""20"",""25"",""30""}",20,"Calculer 40 % de 50 s'effectue en multipliant 50 par 0,4, ce qui revient à 20. Une autre méthode consiste à calculer 10 % de 50, soit 5, et le multiplier par 4. Un piège serait de mal appliquer la division ou la multiplication.",Trouve 10 % puis multiplie par 4.,true
psychotechnique,calcul_mental,Facile,Combien font 5 × 6 ?,5 × 6,"{""28"",""29"",""30"",""31""}",30,"La multiplication 5 × 6 est simplement un calcul qui donne 30, pensez aux tables de multiplication : 5 fois 5 égale 25 puis ajoutez 5 de plus. Le piège ici serait d'oublier l'ajout final de 5.",Utilise les tables de multiplication de 5.,true
psychotechnique,calcul_mental,Facile,Combien font 9 × 4 ?,9 × 4,"{""34"",""35"",""36"",""37""}",36,"9 × 4 peut être vu comme 10 × 4 (40) moins 4, ce qui fait 36. Un piège commun est de prendre directement l'estimation sans retrait.",Multiplie par 10 puis retire 4.,true
psychotechnique,calcul_mental,Facile,Combien font 15 ÷ 3 ?,15 ÷ 3,"{""4"",""5"",""6"",""7""}",5,"Pour diviser 15 par 3, considère combien de fois 3 entre dans 15. Étant donné que 3 × 5 = 15, le résultat est 5. Le piège est de diviser inexactement si l'on confond les tables de multiplication.",Combien de fois 3 va-t-il dans 15 ?,true
psychotechnique,calcul_mental,Facile,Combien font 33 + 17 ?,33 + 17,"{""49"",""50"",""51"",""52""}",50,"Pour 33 + 17, ajouter d'abord les dizaines : 30 + 10 = 40, puis les unités : 3 + 7 = 10; additionnez-les pour 50. Le piège est d'omettre de combiner les unités correctes.",Commence par les dizaines puis les unités.,true
psychotechnique,calcul_mental,Facile,Combien font 14 × 2 ?,14 × 2,"{""26"",""28"",""30"",""32""}",28,"Doublez 14 obtenu en multipliant 14 par 2 : 10 × 2 = 20 plus 4 × 2 = 8, totalisant 28. Un piège réside dans la multiplication des unités incorrecte.",Double chaque partie du nombre.,true
psychotechnique,calcul_mental,Facile,Combien font 45 % de 100 ?,"0,45 × 100","{""40"",""45"",""50"",""55""}",45,"Calculer 45 % de 100 est direct : 45 % en décimal est 0,45, et 100 × 0,45 = 45. L'erreur classique serait de faire 45 % de 10 ou d'un autre nombre par inattention.",Utilise la notion de pourcentage direct.,true
psychotechnique,calcul_mental,Moyenne,Combien font 1618 - 329 ?,1618 - 329,"{""1289"",""1299"",""1300"",""1309""}",1289,"Pour compter 1618 diminuer 329, faites d'abord 1610 moins 300 pour obtenir 1310, puis retirez le reste 29. La réponse est 1289. Attention à ne pas inverser les chiffres de 329.",Envisager la décomposition progressive de la soustraction.,true
psychotechnique,calcul_mental,Moyenne,Combien font 75 % de 200 ?,"0,75 × 200","{""140"",""150"",""160"",""170""}",150,"75 % de 200 revient à multiplier 200 par 0,75. Pouvez aussi voir cela comme prenant 3/4 de 200. 200 ÷ 4 égale 50, puis 50 × 3 égale 150. Ne confondez pas avec d'autres pourcentages comme 25 %.",Visualisez 200 comme quatre parties égales et multipliez par trois.,true
psychotechnique,calcul_mental,Moyenne,Combien font 925 - 614 ?,925 - 614,"{""310"",""311"",""312"",""313""}",311,"D'abord, 900 moins 600 donne 300, 25 moins 14 donne 11. Ensemble, les sous-résultats composent 311. Le piège est de mélanger les unités et les dizaines.","Soustraire séparément les centaines, les dizaines et les unités.",true
psychotechnique,calcul_mental,Moyenne,Combien font 257 + 369 ?,257 + 369,"{""616"",""626"",""636"",""646""}",626,"Ajoutez d'abord les centaines (200 + 300 = 500), puis les dizaines (50 + 60 = 110). Ensuite les unités, 7 + 9 = 16. Additionnez les résultats: 500 + 110 + 16 = 626. Attention aux erreurs de report.","Travaillez partie par partie (centaines, dizaines, unités).",true
psychotechnique,calcul_mental,Moyenne,Combien font 15 % de 60 ?,"0,15 × 60","{""8"",""9"",""10"",""11""}",9,"15 % de 60 peut être simplifié en multipliant 60 par 0,15, ce qui donne 9. Ou considérez 10 % de 60 (6), puis ajoutez la moitié de ce 10 % (3), pour un total de 9. Évitez le piège simple d'arrondi à 20 % au lieu de 15 %.",Étudiez 10 % de 60 puis 5 % de 60.,true
psychotechnique,calcul_mental,Moyenne,Combien font 735 - 287 ?,735 - 287,"{""448"",""449"",""450"",""451""}",448,"735 diminuer de 287, commencez par 735 moins 280 pour trouver 455. Puis retirez 7 pour donner 448. Un piège est de mal compter les dizaines.",Décomposez la soustraction en deux étapes faciles.,true
psychotechnique,calcul_mental,Moyenne,Combien font 12 × 12 ?,12 × 12,"{""143"",""144"",""145"",""146""}",144,Multiplie 12 par 12 : (10+2)² = 10² + 2×10×2 + 2² = 100 + 40 + 4 = 144. Evitez d'oublier le double terme produit (2x2=4).,Récupérez la formule carré : a² + 2ab + b².,true
psychotechnique,calcul_mental,Moyenne,Combien font 43 × 5 ?,43 × 5,"{""210"",""215"",""220"",""225""}",215,"Multiplie 43 par 5 avec un multipli: 40 × 5 = 200, plus 3 × 5 = 15, ce qui donne 215. Le piège serait de négliger le calcul des unités.",Divise en bloc ten et single.,true
psychotechnique,calcul_mental,Moyenne,Combien font 294 ÷ 7 ?,294 ÷ 7,"{""42"",""43"",""44"",""45""}",42,"En divisant 294 par 7, imagine 70 × 4 = 280, puis ajoute 14 (2×7) pour totaliser. Assurez-vous que chaque division partielle est correcte, c'est là un piège.",Divise 294 en blocs divisibles par 7.,true
