module,category,difficulty,question,expression,options,answer,explanation,hint,is_active
psychotechnique,calcul_mental,Facile,Combien font 23 + 37 ?,23 + 37,"{""60"",""61"",""62"",""63""}",60,"Pour calculer 23 + 37, on peut arrondir 37 à 40, ce qui donne 23 + 40 = 63. En ajustant pour les 3 en trop, on soustrait 3 pour obtenir 60. L'erreur commune serait d'oublier cet ajustement après l'arrondi.",Arrondis à la dizaine supérieure et ajuste.,true
psychotechnique,calcul_mental,Facile,Quelle est la moitié de 72 ?,72 / 2,"{""34"",""35"",""36"",""37""}",36,"Pour trouver la moitié de 72, on divise 72 par 2. 70 divisé par 2 fait 35, et 2 divisé par 2 fait 1. En additionnant 35 et 1, on obtient 36. Une erreur courante est de calculer sur la dizaine incorrecte.",Divise chaque chiffre de 72 par 2 séparément.,true
psychotechnique,calcul_mental,Facile,Combien font 9 × 5 ?,9 × 5,"{""40"",""45"",""50"",""55""}",45,"Multiplions 9 par 5, on prend 10 × 5 = 50 et on soustrait 5 car on a pris 1 de trop pour obtenir 45. Beaucoup font l'erreur de mal calculer en ne tenant pas compte du 1 de l'arrondi.",Pense à 10 fois puis soustrais 5.,true
psychotechnique,calcul_mental,Facile,Combien font 48 - 19 ?,48 - 19,"{""28"",""29"",""30"",""31""}",29,"En décomposant 19 en 20 - 1, on fait 48 - 20 = 28 puis ajoute 1 pour obtenir 29. Ne pas ajuster après la soustraction est une erreur fréquente.",Considère 19 comme 20 et compense ensuite.,true
psychotechnique,calcul_mental,Facile,Quelle est la moitié de 88 ?,88 / 2,"{""42"",""43"",""44"",""45""}",44,Diviser 88 par 2 donne directement 44 puisqu'il n'y a pas de retenue. L'erreur courante est de diviser incorrectement en traitant les chiffres séparément sans ajustement.,Divise 8 par 2 deux fois.,true
psychotechnique,calcul_mental,Facile,Combien font 56 + 24 ?,56 + 24,"{""80"",""79"",""78"",""77""}",80,"Pour 56 + 24, on peut additionner 50 + 20 = 70 et 6 + 4 = 10, ce qui donne 80. Une erreur fréquente est d'oublier de regrouper les unités après l'addition des dizaines.",Sépare en dizaines et unités pour simplifier.,true
psychotechnique,calcul_mental,Facile,Quelle est le double de 34 ?,34 × 2,"{""66"",""68"",""70"",""72""}",68,"Le double de 34 est obtenu par 30 × 2 = 60 et 4 × 2 = 8, ce qui fait 68 au total. Beaucoup oublient d’ajouter les unités après avoir doublé les dizaines.","Double d'abord les dizaines, puis les unités.",true
psychotechnique,calcul_mental,Facile,Combien font 64 - 25 ?,64 - 25,"{""38"",""39"",""40"",""41""}",39,"En décomposant 25 en 20 et 5, soustraire d'abord 20 de 64 pour obtenir 44, puis 5 de 44 pour obtenir 39. Un piège courant est de mal gérer les chiffres lorsque 25 est décomposé.","Soustrais en séparant d'abord 20, puis 5.",true
psychotechnique,calcul_mental,Facile,Combien font 13 + 29 ?,13 + 29,"{""40"",""41"",""42"",""43""}",42,"Additionner 13 à 29, c'est 13 + 30 = 43 moins 1, soit 42. Une erreur classique est d'oublier d'ajuster l'unité en plus quand on arrondit.","Arrondis 29 à 30, puis enlève 1.",true
psychotechnique,calcul_mental,Facile,Combien font 48 / 8 ?,48 ÷ 8,"{""4"",""5"",""6"",""7""}",6,"Diviser 48 par 8 revient à vérifier combien de fois 8 entre dans 48. C'est 6 fois, car 8 × 6 = 48. L'erreur typique consiste à mal manier les tables de multiplication.",Souviens-toi que 6 fois 8 fait 48.,true
psychotechnique,calcul_mental,Facile,Quel est le double de 45 ?,45 × 2,"{""88"",""89"",""90"",""91""}",90,"Pour doubler 45, faites 40 × 2 = 80, et 5 × 2 = 10, ce qui donne 90 au total. L'erreur courante est d'oublier d'ajouter les unités après avoir doublé la dizaine.","Double les dizaines, puis les unités.",true
psychotechnique,calcul_mental,Moyenne,Combien font 72 × 12 ?,72 × 12,"{""854"",""864"",""874"",""884""}",864,"Pour 72 × 12, décompose 12 en 10 + 2. Calcule 72 × 10 = 720, puis 72 × 2 = 144, additionne 720 + 144 = 864. L'erreur commune vient d'oublier d'ajouter la multiplication par 2.","Multiplie d'abord par 10, puis par 2.",true
psychotechnique,calcul_mental,Moyenne,Quel est le carré de 13 ?,13²,"{""159"",""169"",""179"",""189""}",169,Calculons 13² en décomposant (10 + 3)² = 100 + 30 + 30 + 9 = 169. L'erreur arrive souvent en doublant incorrectement le produit croisé.,Décompose en (a+b)² et applique la formule.,true
psychotechnique,calcul_mental,Moyenne,Combien font 75 % de 160 ?,"0,75 × 160","{""110"",""115"",""120"",""125""}",120,"75 % est obtenu par 50 % (moitié) plus 25 % de 160. 50 % de 160 est 80, et 25 % est 40, donc 120. L'erreur fréquente est de ne calculer que 50 % et d'omettre 25 %.",Calcule 50 % puis ajoute 25 %.,true
psychotechnique,calcul_mental,Moyenne,Combien font 215 × 3 ?,215 × 3,"{""625"",""635"",""645"",""655""}",645,"Multiplions 215 par 3 : 200 × 3 = 600, 10 × 3 = 30, 5 × 3 = 15, additionnée, on obtient 645. Beaucoup oublient de regrouper les unités correctement.",Multiplie par 3 chaque chiffre séparément puis ajoute.,true
psychotechnique,calcul_mental,Moyenne,Combien font 81 / 3 ?,81 ÷ 3,"{""26"",""27"",""28"",""29""}",27,"Pour diviser 81 par 3, vérifions combien de fois 3 entre dans 81. C'est 27 fois, car 3 × 27 = 81. Une erreur typique est de se tromper sur les multiples de 3.",Rappelle-toi que 27 fois 3 égale 81.,true
