module,category,difficulty,question,expression,options,answer,explanation,hint,is_active
psychotechnique,calcul_mental,Facile,Combien font 15 + 26 ?,15 + 26,"{""41"",""39"",""43"",""40""}",41,"Le calcul peut se faire en ajoutant d'abord les dizaines (10 + 20 = 30) puis les unités (5 + 6 = 11). En combinant 30 et 11, on obtient 41. Méfiez-vous de l'erreur classique d'ajouter seulement les chiffres des dizaines, en oubliant les unités.",Additionne d'abord les dizaines puis les unités.,true
psychotechnique,calcul_mental,Facile,Combien font 8 × 4 ?,8 × 4,"{""32"",""28"",""24"",""36""}",32,"Pour multiplier 8 par 4, vous pouvez calculer 8 + 8 + 8 + 8, soit 32. Une erreur courante est de négliger l'une des multiplications partielles ou d'arrondir prématurément.",Répéter 8 quatre fois suffit pour ce calcul.,true
psychotechnique,calcul_mental,Facile,Combien font 100 / 4 ?,100 / 4,"{""25"",""20"",""30"",""35""}",25,"Diviser 100 par 4 revient à savoir combien de fois 4 entre dans 100, ce qui est exactement 25 fois. Ne vous laissez pas piéger par la similitude avec d'autres divisions par des nombres proches.",Pensez à réduire en divisant chaque centaine en quarts.,true
psychotechnique,calcul_mental,Facile,Combien font 50 % de 160 ?,"0,5 × 160","{""80"",""70"",""60"",""90""}",80,"Calculer 50 % d'un nombre consiste simplement à diviser ce nombre par 2, donc 160/2 = 80. Le piège serait d'oublier que 50 % est la même chose que la moitié du nombre.",50 % équivaut à un effort simple de division par 2.,true
psychotechnique,calcul_mental,Facile,Quelle est la racine carrée de 64 ?,√64,"{""8"",""7"",""6"",""9""}",8,"La racine carrée de 64 est le nombre qui, multiplié par lui-même, donne 64. Ainsi, 8 × 8 = 64. Ne confondez pas la multiplication initiale avec une addition qui pourrait vous conduire à une erreur.",Quel nombre produit 64 quand vous le multipliez par lui-même ?,true
psychotechnique,calcul_mental,Facile,Combien font 45 - 18 ?,45 - 18,"{""27"",""25"",""23"",""30""}",27,"En soustrayant 10 d'abord, vous atteignez 35, puis en enlevant encore 8, vous obtenez 27. Le piège ici est de se tromper en sautant une étape ou en oubliant la décomposition des dizaines.",Décomposez 18 en 10 et 8 pour faciliter le calcul.,true
psychotechnique,calcul_mental,Facile,Combien font 72 / 8 ?,72 / 8,"{""9"",""8"",""7"",""10""}",9,"Pour trouver combien de fois 8 entre dans 72, divisez simplement 72 par 8, ce qui donne 9. Attention à ne pas mélanger le processus avec d'autres divisions proches, ce qui pourrait fausser le résultat.",Divisez 72 en 8 parties égales pour simplifier.,true
psychotechnique,calcul_mental,Facile,Quel est le double de 22 ?,2 × 22,"{""44"",""42"",""40"",""46""}",44,"Le double de 22 est simplement 22 additionné à lui-même, soit 22 + 22 = 44. Un piège pourrait être d'additionner seulement les unités ou de mal aligner les additions partielles.",Additionne le nombre à lui-même pour obtenir son double.,true
psychotechnique,calcul_mental,Facile,Combien font 36 + 15 ?,36 + 15,"{""51"",""50"",""52"",""49""}",51,"En ajoutant d'abord les dizaines : 30 + 10 = 40, puis les unités : 6 + 5 = 11. En somme, 40 + 11 fait 51. Le piège est de mal calculer les unités en oubliant la retenue.",Regroupe dizaines et unités pour simplifier.,true
psychotechnique,calcul_mental,Facile,Combien font 7 × 6 ?,7 × 6,"{""42"",""40"",""45"",""44""}",42,"En répétant 7 six fois ou 6 sept fois, on aboutit toujours à 42. Veillez à ne pas mélanger les chiffres ou à confondre avec des multiplications qui leur sont proches.","Répétez 7, 6 fois ou vice-versa pour confirmer.",true
