module,category,difficulty,question,expression,options,answer,explanation,hint,is_active
psychotechnique,calcul_mental,Facile,Combien font 48 - 23 ?,48 - 23,"{""25"",""26"",""27"",""28""}",25,"Pour soustraire 23 de 48, pensez à d'abord enlever 20 de 48 pour obtenir 28, puis enlever encore 3 pour arriver à 25. Ne vous laissez pas distraire par les unités qui pourraient compliquer le calcul.",Soustrayez les dizaines puis les unités.,true
psychotechnique,calcul_mental,Facile,Combien font 7 × 8 ?,7 × 8,"{""54"",""56"",""59"",""62""}",56,La multiplication de 7 par 8 donne 56. Ce calcul est souvent appris par cœur dans les tables de multiplication. Un piège classique est de confondre avec 7 × 7 ou 8 × 8.,Rappelez-vous de votre table de multiplication.,true
psychotechnique,calcul_mental,Facile,Combien font 10 % de 80 ?,"0,1 × 80","{""8"",""9"",""10"",""12""}",8,"10 % d'un nombre est obtenu en divisant ce nombre par 10. Pour 80, cela implique 80 ÷ 10, ce qui donne 8. Veillez à ne pas multiplier à la place de diviser.",Divisez toujours par 10 pour trouver 10 %.,true
psychotechnique,calcul_mental,Facile,Combien font 24 + 17 ?,24 + 17,"{""41"",""40"",""42"",""44""}",41,"Additionnez d'abord 20 et 10 pour 30, puis 4 et 7 pour 11. En ajoutant les deux sommes, vous obtenez 41. Veillez à inclure toutes les unités dans votre addition.",Groupez les dizaines et les unités séparément.,true
psychotechnique,calcul_mental,Facile,Combien font 33 - 15 ?,33 - 15,"{""18"",""20"",""17"",""19""}",18,"En soustrayant 15 de 33, d'abord soustrayez 10, vous obtenez 23. Puis soustrayez 5 et vous obtenez 18. Ne vous laissez pas distraire par des unités qui ne se soustraient pas ",Faites la soustraction par étapes.,true
psychotechnique,calcul_mental,Facile,Combien font 50 % de 120 ?,"0,5 × 120","{""60"",""59"",""62"",""58""}",60,"Pour obtenir 50 % de n'importe quel nombre, il vous suffit de le diviser par 2. Pour 120, cela donne 60. Ne laissez pas les autres chiffres compliquer l'opération.",50 % revient à couper le nombre en deux,true
psychotechnique,calcul_mental,Facile,Combien font 42 / 7 ?,42 / 7,"{""6"",""7"",""5"",""8""}",6,"Ici, 42 divisé par 7 équivaut à la multiplication 7 fois 6 ce qui fait 42. Ne confondez pas division et multiplication inverse pendant le processus.","Diviser, c'est trouver combien de fois un nombre atteint l'autre.",true
psychotechnique,calcul_mental,Facile,Combien font 15 × 3 ?,15 × 3,"{""45"",""42"",""40"",""48""}",45,"La multiplication de 15 par 3 est 45; il est possible soit d'utiliser la table des 3, soit de décomposer (10+5)×3 pour obtenir 30+15=45. Assurez-vous de multiplier chaque addition correctement.","Décomposez 15 en 10 et 5, multipliez séparément.",true
psychotechnique,calcul_mental,Facile,Combien font 88 - 66 ?,88 - 66,"{""22"",""24"",""21"",""23""}",22,"Soustraire 66 de 88 en enlevant 60 d'abord puis 6 additionnels, cela entraîne un résultat de 22. C'est une soustraction directe qui demande de bien aligner les chiffres.",Faites la soustraction des dizaines puis les unités.,true
psychotechnique,calcul_mental,Facile,Combien font 25 + 25 ?,25 + 25,"{""50"",""52"",""48"",""45""}",50,"Additionner deux valeurs identiques peut être simplifié par la multiplication : (25×2=50), il s'agit d'utiliser des tables basiques.",Ajoutez les mêmes valeurs revient à multiplier par 2,true
psychotechnique,calcul_mental,Facile,Combien font 27 + 15 ?,27 + 15,"{""42"",""41"",""43"",""40""}",42,"Additionnez premièrement 20 et 10 pour donner 30, et ensuite 7 et 5 pour produire 12; puis combinez tout (30+12=42). Attention aux confusions de composition rapide.",Procédez d'abord à l'addition des dizaines et ensuite des unités.,true
psychotechnique,calcul_mental,Moyenne,Combien font 255 + 367 ?,255 + 367,"{""622"",""612"",""632"",""642""}",622,"Pour ajouter 255 et 367, commencez par les centaines (200+300), puis les dizaines (50+60), et finalement les unités (5+7). En alignant correctement, on obtient 622. Il est crucial de ne pas oublier de transporter les unités additionnelles en cas de somme égale ou supérieure à 10.",Additionnez chaque catégorie de chiffres verticaux.,true
psychotechnique,calcul_mental,Moyenne,Combien font 15 % de 200 ?,"0,15 × 200","{""30"",""25"",""35"",""20""}",30,"Pour trouver 15 % de 200, d'abord, 10 % de 200 est 20, et 5 % est donc la moitié soit 10. L'addition des deux fractions donne 30. Ne confondez pas avec 50 %.",N'ignorez pas la décomposition 10%+5%.,true
psychotechnique,calcul_mental,Moyenne,Combien font 385 - 229 ?,385 - 229,"{""156"",""146"",""166"",""176""}",156,"Solution à 385 moins 229 : De 300-200 encore 50-20, et leur unité à un chiffre. Faire attention à l'ordre de soustraction sans confondre les valeurs à migrer par emprunt.",Considérez les soustractions regroupées de dizaines et centaines.,true
psychotechnique,calcul_mental,Moyenne,Combien font 252 × 3 ?,252 × 3,"{""776"",""756"",""746"",""766""}",756,"Multiplier 252 par 3 : commencez par 252 avec 3, obtenez 750 et 6 unités. Ne pas confondre l'ordre de multiplication de chaque rang.","Travaillez avec chaque rangée un par un, divisez verticalement.",true
psychotechnique,calcul_mental,Moyenne,Combien font 18² ?,18²,"{""324"",""326"",""322"",""328""}",324,"Pour élever 18 au carré, calculez comme 18×18 qui aboutit sous le même produit. La priorité est correcte pour chaque multiplication intégrée.",Décomposez dans la prolifération des carrés (10×8...).,true
psychotechnique,calcul_mental,Moyenne,Combien font 180 / 15 ?,180 / 15,"{""12"",""14"",""10"",""13""}",12,Diviser 180 par 15 vous rappelle que 15 se retrouve dans le numérateur plusieurs fois : (15×6×2).,Réduisez le produit de diviseur en fractions plus faciles à intégrer.,true
psychotechnique,calcul_mental,Moyenne,Combien font 567 + 234 ?,567 + 234,"{""801"",""691"",""701"",""795""}",801,"Additionnez les centaines (500+200=700), dizaines (60+30=90) et unités (7+4=11 avec 1 reportée). Le total est 801.",Additionnez chaque colonne individuellement et retenez les surplus.,true
psychotechnique,calcul_mental,Moyenne,Combien font 147 / 7 ?,147 / 7,"{""21"",""19"",""22"",""20""}",21,147 divisé par 7 est équivalent à trouver combien de fois 7 se décompose dans le quotient. La table donne habituellement cette réponse : 21.,Consultez votre travail inversement par tables.,true
psychotechnique,calcul_mental,Moyenne,Combien font 45 % de 400 ?,"0,45 × 400","{""180"",""220"",""160"",""200""}",180,"Faites une fraction du 50 % de 400 (qui fait 200), moins 5 pour arriver à 45 %, ce qui résulte en 180. Gardez à l'esprit qu'il est tentant d'oublier les fractions plus simples inclues.",Divisez en parties de pourcentage distinct.,true
psychotechnique,calcul_mental,Moyenne,Combien font 49 × 11 ?,49 × 11,"{""539"",""529"",""541"",""531""}",539,"Multipliez 49 par 11 en regroupant d'abord avec 10 pour obtenir 490, ensuite ajustez avec 49 additionnels, soit 539. N'oubliez pas d'ajouter la valeur d'origine de votre multiplicateur.",Répartissez le nombre de dureté pour obtenir la majoration finale.,true
psychotechnique,calcul_mental,Moyenne,Combien font 3/4 de 80 ?,3/4 × 80,"{""60"",""50"",""70"",""40""}",60,"Faite 1/4 de 80 qui est 20, et ensuite multipliez par 3 pour donner 60. Vous ne devriez pas omettre les entiers non diviseurs spécifiques au produit.",Facilitez-vous à fractionner en parties égales.,true
psychotechnique,calcul_mental,Moyenne,Combien font 325 × 2 ?,325 × 2,"{""650"",""645"",""655"",""660""}",650,"Doublons 325 donne 300 en additionnant encore 25 pliés, résultant en 650. Utiliser la décomposition peut souvent défier autres multiplicateurs.","Multipliez chaque section chirurgicalement, additionnez.",true
psychotechnique,calcul_mental,Moyenne,Combien font 215 + 486 ?,215 + 486,"{""701"",""696"",""716"",""701""}",701,"Additionnez 200 et 400 pour 600, puis 10 et 80 pour 90, et 5 plus 6 pour 11 (avec 1 retenue).",Addition rythmée par axe de segment parallèle et retranche.,true
psychotechnique,calcul_mental,Moyenne,Combien font 25 % de 280 ?,"0,25 × 280","{""70"",""68"",""72"",""75""}",70,Un quart calqué sur 280 démontre comment diviser en quatre parties: 280/4 = 70. Préalablement bien asseoir sur une règle de multipliée partiellement.,La proportion en ligne droite débouche généralement sur une simplification.,true
psychotechnique,calcul_mental,Difficile,Combien font 67 × 29 ?,67 × 29,"{""1943"",""1941"",""1953"",""1937""}",1943,Décomposez en (67×30)-(67×1): (2010)-(67) = 1943. Ce n'est qu'en additionnant puis en retranchant les excès que vous parvenez aguerrir le produit.,Multipliez et ajustez de gauche à droite.,true
psychotechnique,calcul_mental,Difficile,Quelle est la racine carrée de 289 ?,√289,"{""17"",""16"",""18"",""19""}",17,Reconnaissez que 17×17 produit 289. L'erreur associée est souvent de vouloir en ajouter plus simplement en ne fonçant que sur une racine incorrecte.,Visualiser une racine comme une multiplication disloquée peut aider.,true
psychotechnique,calcul_mental,Difficile,Combien font (42 × 7) - 91 ?,(42 × 7) - 91,"{""203"",""201"",""211"",""207""}",203,"Multiplier d'abord, 42×7=294 ensuite soustrayez 91 pour obtenir 203. Toujours appliquer la bonne associativité pour la commutativité.",Travaillez par étapes d'abord multiplication puis la soustraction.,true
psychotechnique,calcul_mental,Difficile,Combien font 5/8 de 72 ?,5/8 × 72,"{""45"",""40"",""50"",""48""}",45,"5 sur 8 multiplié par 72, soit 72/8=9 ensuite démultiplié par 5 pour 45. Souvent il est trompeur de ne prendre qu'un cinquième du produit total.",Calculez une fraction comme une réduction successive.,true
psychotechnique,calcul_mental,Difficile,Combien font 32 × 24 ?,32 × 24,"{""768"",""752"",""772"",""760""}",768,Décomposez en (32×20)+(32×4) obtenant : 640+128=768. Notez que cette procédure ne donne qu'un équivalent non soluble sans décomposition.,Calculez d'abord puis sommez de haut en bas.,true
psychotechnique,calcul_mental,Difficile,Combien font 12 × 24 ?,12 × 24,"{""288"",""298"",""278"",""268""}",288,Par plan : (12x20=240)+ (12x4=48) et la somme donne 288. Résolu plus lentement par des exercices inscrits d'avancées.,Projetez les multiplications en segments distincts.,true
psychotechnique,calcul_mental,Difficile,Combien font (5 + 23) × 7 ?,(5 + 23) × 7,"{""196"",""196"",""196"",""196""}",196,"Pour calculer (5+23)×7, d'abord additionnez puis la multiplication : 5+23=28, ensuite multiplié par 7 égalant 196.",Résoudre d'abord la somme avant multiplication.,true
psychotechnique,calcul_mental,Difficile,Quelle est la valeur de 3^5 ?,3^5,"{""243"",""145"",""251"",""225""}",243,"3⁵ est 3 multiplié par lui-même quatre fois de plus, donc 243 (3x3x3x3x3). La complexité arrive lorsque associés à d'autres pouvoirs latéraux.",Multipliez séquentiellement en générant une exécution proche.,true
psychotechnique,calcul_mental,Difficile,Combien fait 8 % de 400 ?,"0,08 × 400","{""32"",""38"",""35"",""30""}",32,"Prenez 10% initialement (40), réduisez pour avoir 80% du chiffre originel par division, aboutissant à 32. Ajustement individuel trump les disjonctions.",Décomposez en 100% et retranchez quand nécessaire.,true
psychotechnique,calcul_mental,Difficile,Combien font 24 × (12 + 3) ?,24 × (12 + 3),"{""360"",""370"",""380"",""352""}",360,"Additionnez d'abord les parenthèses, (12+3=15) puis multipliez par 24 pour 360. C'est souvent un piège courant lorsqu'on jauge mentalement.","Exécutez l'ordre des opérations, commencez par les parenthèses.",true
psychotechnique,calcul_mental,Difficile,Quelle est la valeur de 2³ ?,2³,"{""8"",""4"",""16"",""6""}",8,Calculez 2 multiplié par lui-même à deux reprises (2x2x2)=8. Evitez la confusion avec l'addition par la valeur supérieure.,Considérez le déploiement des cubes multiplicatifs.,true
psychotechnique,calcul_mental,Difficile,Combien font 3/5 de 100 ?,3/5 × 100,"{""60"",""50"",""65"",""70""}",60,La règle (3/5)×100 établit (100/5)×3; ce qui résulte 20×3 donnant 60. Ne laissez pas le pronominal une conversion sans rabais.,Prenez-la lignée par chaque fraction.,true
psychotechnique,calcul_mental,Difficile,Combien font (54 × 2) - 27 ?,(54 × 2) - 27,"{""81"",""79"",""83"",""77""}",81,"Multipliez initialement 54 par 2 puis déduisez 27 de 108, restant à 81. Respectez souvent la fracture combinatoire.",Résolvez en suivant l'ordre des opérations : multiplications d'abord.,true
psychotechnique,calcul_mental,Difficile,Quelle est la valeur de 5² ?,5²,"{""25"",""20"",""30"",""35""}",25,"5 au carré signifie multiplier 5 par lui-même, aboutissant naturellement à 25. Faute de laitenance passer à une multiplication de kern tow.",Identifiez bien les carrés comme répétitifs.,true
