module,category,difficulty,question,expression,options,answer,explanation,hint,is_active
psychotechnique,calcul_mental,Facile,Combien font 34 + 19 ?,34 + 19,"{""53"",""54"",""55"",""56""}",53,"34 + 19 peut être vu comme 34 + 20 − 1 = 54 − 1 = 53. L'astuce est d'arrondir 19 à 20 pour simplifier, puis ajuster en soustrayant 1. Attention à ne pas oublier la dernière soustraction de 1.",Arrondis d'abord 19 à 20 pour faciliter le calcul.,true
psychotechnique,calcul_mental,Facile,Quel est le double de 23 ?,23 × 2,"{""44"",""46"",""48"",""50""}",46,Le double de 23 est simplement 23 + 23 = 46. Il s'agit ici de faire une addition rapide. Un piège classique est de ne pas aligner correctement les chiffres.,Pense à une addition répétée : 23 + 23.,true
psychotechnique,calcul_mental,Facile,Combien font 81 divisé par 9 ?,81 / 9,"{""8"",""9"",""10"",""11""}",9,"81 divisé par 9 revient à trouver combien de fois 9 entre dans 81. 9 × 9 = 81, donc le résultat est 9. Ne pas confondre avec un multiplié par erreur en raison de chiffres similaires.",Pense à quel nombre fois 9 fait 81.,true
psychotechnique,calcul_mental,Facile,Calculez 50 % de 120.,"0,5 × 120","{""50"",""60"",""70"",""80""}",60,"50 % de 120 est la moitié de 120. Donc 120 / 2 = 60. Souvent, le piège est de mal interpréter 50 % et de confondre avec 0,5 fois un chiffre incorrect.",La moitié d'un nombre est simplement ce nombre divisé par 2.,true
psychotechnique,calcul_mental,Facile,Calculer 7 × 8.,7 × 8,"{""54"",""56"",""58"",""60""}",56,"7 × 8 = 56 est un produit de table de multiplication. Connaître les produits courants aide à éviter les erreurs. Un piège serait une confusion avec un nombre proche, comme 8 × 7.",Utilise la table de multiplication pour 7.,true
psychotechnique,calcul_mental,Facile,Combien font 65 − 22 ?,65 − 22,"{""42"",""43"",""44"",""45""}",43,"65 − 22 = 43. Pensez à effectuer le calcul chiffres par chiffres, comme 65 − 20 = 45, puis 45 − 2 = 43. Le piège ici est de ne pas gérer correctement les soustractions avec retenue.","Fais d'abord 65 − 20, puis soustrais 2.",true
psychotechnique,calcul_mental,Facile,Quel est le triple de 15 ?,15 × 3,"{""40"",""45"",""50"",""55""}",45,"Le triple de 15 est 15 + 15 + 15 = 45. C'est un calcul direct, mais attention à bien additionner toutes les occurrences si vous utilisez l'addition au lieu de la multiplication directe.",Multiplie 15 par 3 directement pour un compte rapide.,true
psychotechnique,calcul_mental,Facile,Quel est le résultat de 48 / 6 ?,48 / 6,"{""6"",""7"",""8"",""9""}",8,"48 divisé par 6 donne 8, car 6 multiplié par 8 donne 48. Une erreur commune pourrait être de confondre la multiplication croisée et d'opter pour un mauvais produit.",Cherche combien de fois 6 entre dans 48.,true
psychotechnique,calcul_mental,Facile,Calculez 15 % de 80.,"0,15 × 80","{""8"",""10"",""12"",""15""}",12,"15 % de 80 revient à trouver 15 sur 100 de 80, c'est-à-dire (80 × 15) / 100 = 12. Un piège classique est de simplement multiplier par 10 % et oublier les 5 % supplémentaires (la moitié de 10 %).",Calcule d'abord 10 % puis 5 % et ajoute-les.,true
psychotechnique,calcul_mental,Facile,Combien font 72 − 34 ?,72 − 34,"{""38"",""39"",""40"",""41""}",38,"Pour 72 − 34, commence par 72 − 30 = 42, puis 42 − 4 = 38. Ne pas bien aligner les soustractions peut mener à des erreurs dans ce type de calcul.","Soustrais d'abord les dizaines, puis les unités.",true
psychotechnique,calcul_mental,Facile,Calculez 24 + 17.,24 + 17,"{""39"",""41"",""43"",""45""}",41,24 + 17 se décompose en 24 + 20 − 3 = 44 − 3 = 41. L'astuce consiste à simplifier en arrondissant 17 à la dizaine puis corriger en soustrayant l'excès.,Arrondis 17 à 20 puis ajuste en soustrayant 3.,true
psychotechnique,calcul_mental,Facile,Quel est le résultat de 54 divisé par 9 ?,54 / 9,"{""5"",""6"",""7"",""8""}",6,"54 divisé par 9 est 6, car 6 × 9 = 54. Une erreur fréquemment commise est d'ajouter ou de soustraire au mauvais endroit lorsqu'on vérifie par multiplication.",Vérifie la table de multiplication de 9.,true
psychotechnique,calcul_mental,Facile,Quelle est la moitié de 36 ?,36 / 2,"{""16"",""17"",""18"",""19""}",18,36 divisé par 2 donne directement 18. Ce genre de question nécessite juste de diviser par deux mentalement. Veillez à bien diviser chaque partie du nombre si vous décomposez.,Divise le nombre total par 2 pour une moitié.,true
psychotechnique,calcul_mental,Facile,Combien font 18 × 3 ?,18 × 3,"{""48"",""52"",""54"",""56""}",54,18 × 3 est égal à 54 car on peut le voir comme 18 + 18 + 18. Un piège est de confondre et de faire une erreur dans le comptage à travers une addition répétée.,Multiplie directement ou additionne trois fois.,true
psychotechnique,calcul_mental,Facile,Que vaut 60 % de 50 ?,"0,6 × 50","{""25"",""30"",""35"",""40""}",30,"60 % de 50, c'est 0,6 × 50 = 30. Un possible piège est de mal interpréter le pourcentage et utiliser 6 ou 0,06 par erreur.","60 % est comme 6/10, donc divise puis multiplie.",true
