module,category,difficulty,question,expression,options,answer,explanation,hint,is_active
psychotechnique,calcul_mental,Facile,Combien font 23 + 19 ?,23 + 19,"{""42"",""43"",""44"",""45""}",42,"Pour calculer 23 + 19, on peut arrondir 19 à 20, ce qui donne 23 + 20 = 43, puis soustraire 1 pour obtenir 42. L'erreur classique serait d'oublier d'ajuster en soustrayant. Arrondir permet de simplifier le calcul avant de corriger.","Arrondis 19 à 20, puis ajuste le résultat.",true
psychotechnique,calcul_mental,Facile,Quel est 10 % de 80 ?,"0,10 × 80","{""8"",""10"",""12"",""14""}",8,"Calculer 10 % de 80 revient à déplacer la virgule d'une place à gauche, soit 8. Un pourcentage de 10 % est équivalent à diviser par 10, une erreur pourrait venir d'une mauvaise conversion du pourcentage.",10 % = diviser par 10.,true
psychotechnique,calcul_mental,Facile,Combien font 6 × 9 ?,6 × 9,"{""52"",""54"",""56"",""58""}",54,6 × 9 utilise la table de multiplication pour arriver à 54. C'est un résultat standard à connaître de mémoire. Une erreur courante serait de confondre les produits similaires comme 6 × 8.,Table de multiplication de 6.,true
psychotechnique,calcul_mental,Facile,Combien font 58 - 30 ?,58 - 30,"{""26"",""28"",""30"",""32""}",28,"Soustraire 30 de 58 peut être fait directement : 58 - 30 = 28. La soustraction est simple ici, mais une erreur fréquente est de se tromper dans les zéros des dizaines.",Soustrais mentalement 30.,true
psychotechnique,calcul_mental,Facile,Quel est le double de 21 ?,21 × 2,"{""40"",""42"",""44"",""46""}",42,Le double de 21 est calculé par 21 × 2 = 42. Doublement signifie multiplier par 2. Se tromper peut venir d'un ajout incorrect ou de multiplication avec une distraction.,Double 21 directement.,true
psychotechnique,calcul_mental,Facile,Quel est 50 % de 60 ?,"0,50 × 60","{""20"",""30"",""40"",""50""}",30,"50 % d'un nombre est la moitié de ce nombre. Donc, pour 60, la moitié est 30. Une erreur classique est de faussement estimer le pourcentage en extrapolant mal le demi-total.",50 % = la moitié.,true
psychotechnique,calcul_mental,Facile,Combien font 22 + 36 ?,22 + 36,"{""56"",""58"",""60"",""62""}",58,"Pour additionner 22 à 36, considérez d'abord 20 + 36 = 56, puis ajoutez 2 pour obtenir 58. L'erreur commune est de manquer l'étape finale d'ajuster le calcul.","Ajoute 20 d'abord, puis le reste.",true
psychotechnique,calcul_mental,Facile,Quel est le résultat de doubler 15 ?,15 × 2,"{""28"",""30"",""32"",""35""}",30,"Doublant 15 revient à multiplier par 2, donc 15 × 2 = 30. La difficulté peut être d'oublier cette multiplication directe. Si 15 est temporairement oublié, un calcul mental rapide facilite.",Multiplie 15 par 2 directement.,true
psychotechnique,calcul_mental,Facile,Quel est 25 % de 100 ?,"0,25 × 100","{""20"",""25"",""30"",""35""}",25,"25 % d'un nombre est équivalent à sa division par quatre, donc pour 100, on divise 100 par 4 pour obtenir 25. Les erreurs fréquentes consistent à oublier cette règle simple de pourcentage.",25 % signifie diviser par 4.,true
psychotechnique,calcul_mental,Facile,Combien font 28 + 15 ?,28 + 15,"{""41"",""42"",""43"",""44""}",43,"En additionnant 28 et 15, vous pouvez d'abord combiner 28 et 10 pour obtenir 38, puis ajouter 5 pour 43. En oubliant l'ajustement final, on arrive souvent au mauvais chiffre.","D'abord ajoute 10, puis 5.",true
psychotechnique,calcul_mental,Facile,Combien font 63 - 24 ?,63 - 24,"{""37"",""38"",""39"",""40""}",39,"En décomposant 24, d'abord soustrayez 20 de 63, ce qui donne 43, puis soustrayez 4 pour obtenir 39. Une erreur courante est de mal gérer la soustraction en plusieurs étapes.","Soustrais 20, puis 4.",true
psychotechnique,calcul_mental,Moyenne,Combien font 425 - 178 ?,425 - 178,"{""247"",""257"",""267"",""277""}",247,"D'abord, soustrayez les centaines : 400 - 100 = 300. Pour les dizaines et unités, 25 - 78 est délicat, mais 25 + 2 = 27 est proche de 78, donc 300 - 80 + 5 = 225 + 22 = 247. Ne pas arrondir correctement les dizaines peut mener à des erreurs.","Prenez d'abord le plus gros morceau, puis ajustez.",true
psychotechnique,calcul_mental,Moyenne,Combien font 13 × 14 ?,13 × 14,"{""172"",""182"",""192"",""202""}",182,Utilisez la distributivité : (10 + 3) × (10 + 4) = 100 + 40 + 30 + 12 = 182. Toujours vérifier les termes ajoutés pour éviter des oublis de comportements multiplicatifs.,Pense en termes de (a+b)(c+d).,true
psychotechnique,calcul_mental,Moyenne,Quel est 15 % de 200 ?,"0,15 × 200","{""25"",""30"",""35"",""40""}",30,"15 % de 200 signifie multiplier 200 par 0,15. Cela revient à multiplier par 15 puis diviser par 100, soit 15 × 2 = 30. Une erreur classique est de mal positionner la virgule décimale.",10 % + 5 % ajoutez tes parties.,true
psychotechnique,calcul_mental,Moyenne,Convertir 180 minutes en heures.,180 min en heures,"{""2 heures"",""2,5 heures"",""3 heures"",""3,5 heures""}",3 heures,180 minutes équivalent à 3 heures puisque 60 minutes représentent une heure. Diviser 180 par 60 donne 3. L'erreur classique est de mélanger les conversions des minutes en heures.,60 minutes par heure.,true
psychotechnique,calcul_mental,Moyenne,Convertir 90 km/h en m/s.,90 km/h en m/s,"{""20 m/s"",""25 m/s"",""30 m/s"",""35 m/s""}",25 m/s,"Pour convertir km/h en m/s, multipliez par 1000/3600 ou simplifiez à diviser par 3,6: 90 / 3,6 = 25 m/s. Une erreur courante est d'oublier le facteur de conversion entre le km/h et le m/s.","Divisez km/h par 3,6 pour obtenir m/s.",true
psychotechnique,calcul_mental,Moyenne,Quel est 20 % de 150 ?,"0,20 × 150","{""25"",""30"",""35"",""40""}",30,"20 % de 150 peut être calculé comme 150 × 0,2 ou 150 ÷ 5 = 30. Considérer 20 % comme un cinquième évite d'estimer incorrectement. Erreurs issues souvent d'une mauvaise division.",20% correspond à diviser par 5.,true
psychotechnique,calcul_mental,Difficile,Calculer 8 % de 250,"0,08 × 250","{""16"",""18"",""20"",""22""}",20,"8 % de 250 est fait en calculant 250 × 0,08 = 20. Trouver des pourcentages non standards implique souvent des approximations incorrectes ou un alignement décimal erroné.","8 % est simplement multiplié par 0,08.",true
psychotechnique,calcul_mental,Difficile,Calculer 2/3 de 81,2/3 × 81,"{""52"",""53"",""54"",""55""}",54,"2/3 de 81 correspond à 81 ÷ 3 × 2 = 54. La division d'abord simplifie le calcul, car les divisions prépondérantes sont souvent mal comprises, conduisant à des erreurs.",Diviser par 3 puis multipliez par 2.,true
psychotechnique,calcul_mental,Difficile,Calculer 5/8 de 240,5/8 × 240,"{""125"",""130"",""135"",""150""}",150,5/8 de 240 se calcule par (240 ÷ 8) × 5. Cela simplifie à 30 × 5 = 150. La confusion dans la séquence division/multiplication donne souvent des erreurs significatives.,"Fractionnez 240 d'abord, puis multipliez.",true
psychotechnique,calcul_mental,Difficile,Calculer √225,√225,"{""12"",""14"",""15"",""16""}",15,"La racine carrée de 225 est 15, soit 15 × 15 = 225 par vérification car la reconnaissance manuelle de carrés peut générer une double vérification pour éviter des devinantes.",Quel nombre carré produit 225 ?,true
psychotechnique,calcul_mental,Difficile,Calculer (35 + 17) × 2 - 14,(35 + 17) × 2 - 14,"{""98"",""102"",""104"",""106""}",104,"D'abord 35 + 17 = 52. Ensuite 52 × 2 = 104. La soustraction est de −14, annulée par la priorité des opérations, laissant 104. Concevoir cette séquence est souvent négligé.","Ajoutez, multipliez, puis soustrayez.",true
psychotechnique,calcul_mental,Difficile,Trouver la racine de 289.,√289,"{""15"",""16"",""17"",""18""}",17,"La racine carrée de 289 est 17, car 17 × 17 = 289. Une erreur fréquente est de ne pas se rappeler les carrés parfaits simples. Revérifiez pour sécurité.",Identifie le nombre parfait associé.,true
