module,category,difficulty,question,expression,options,answer,explanation,hint,is_active
psychotechnique,calcul_mental,Facile,Combien font 36 / 6 ?,36 / 6,"{""4"",""5"",""6"",""7""}",6,36 divisé par 6 donne 6 car 6 × 6 = 36. Une table de multiplication aide ici ; mémorisez les produits courants. Le piège classique serait de diviser incorrectement par un facteur autre que celui inscrit.,Pense à la table de multiplication de 6.,true
psychotechnique,calcul_mental,Facile,Combien font 8 × 7 ?,8 × 7,"{""54"",""55"",""56"",""57""}",56,"8 fois 7 est 56, un produit fréquent que l'on peut retenir par cœur. On pense souvent à un calcul approché, mais ici la table de multiplication est directe. Le piège serait d'oublier des fois, le produit courant de 8 et 7.",Pense à la table de 7 ou celle de 8.,true
psychotechnique,calcul_mental,Facile,Quel est le double de 34 ?,34 × 2,"{""66"",""68"",""70"",""72""}",68,"Le double de 34 est 34 + 34, ce qui équivaut à 60 + 8 = 68. L'astuce ici est de réaliser qu'on double, donc on doit ajouter exactement le même nombre. Le piège consiste à oublier d'ajuster la dizaine après le calcul des unités.",Additionne 34 à lui-même.,true
psychotechnique,calcul_mental,Facile,Quel est la moitié de 82 ?,82 / 2,"{""40"",""41"",""42"",""43""}",41,"82 divisé par 2 donne 41, car 40 divisé par 2 donne 20, puis ajoutez 1 pour le dernier 2 restant (2 / 2). On commence par diviser les dizaines, puis les unités. Un piège ici est d'oublier ce dernier ajustement pour les unités.","Divisez d'abord 80, puis le reste.",true
psychotechnique,calcul_mental,Facile,Combien font 72 - 18 ?,72 - 18,"{""54"",""55"",""56"",""57""}",54,"Calculer 72 - 18 commence par 72 - 20 + 2, ce qui donne 52 + 2 = 54. L'astuce est de retirer d'abord une dizaine supérieure pour faciliter les calculs, et de corriger ensuite. Le piège ici est de ne pas ajuster après avoir retiré une dizaine.",Soustraire d'abord 20 puis rajoute 2.,true
psychotechnique,calcul_mental,Facile,Combien fait 9 × 9 ?,9 × 9,"{""79"",""80"",""81"",""82""}",81,"9 × 9 est 81, une des multiplicatrices de la table de 9. Pensez au carré de 9. Le réflexe est de reconnaître les carrés des chiffres simples. Le piège consiste à sous-calculer en utilisant la méthode de multiplication à l'ancienne sans reconnaître le carré.",Pense à 9 au carré.,true
psychotechnique,calcul_mental,Facile,Combien font 96 / 12 ?,96 / 12,"{""8"",""7"",""6"",""9""}",8,96 divisé par 12 est 8 car 8 × 12 donne 96. Cela se confirme par la table de 12 ou par division successive. Une erreur classique est d'oublier que 12 entre exactement 8 fois dans 96.,Utilises la table de 12 pour faciliter.,true
psychotechnique,calcul_mental,Facile,Combien font 77 - 29 ?,77 - 29,"{""48"",""49"",""50"",""51""}",48,"En utilisant 77 - 30 + 1, nous obtenons 47 + 1 = 48. Soustraire d'abord par dizaine puis ajuster est la clé. Oublier d'ajuster à la fin de la soustraction est un piège courant.",Soustraire d'abord 30 puis ajuste.,true
psychotechnique,calcul_mental,Facile,Combien font 50 % de 90 ?,"0,5 × 90","{""40"",""45"",""50"",""55""}",45,"50 % de 90 est simplement 90 divisé par 2, ce qui fait 45. On reconnaît cela comme une moitié. L'erreur à éviter est de confondre 50 % avec un calcul plus complexe qu'il n'est juste une division par 2.",50 % est une moitié du nombre.,true
psychotechnique,calcul_mental,Facile,Combien font 49 + 25 ?,49 + 25,"{""73"",""74"",""75"",""76""}",74,Ajoutez 49 et 25 en simplifiant avec (50 + 24) qui donne 74. Arrondir les chiffres avant d'ajuster facilite l'addition. Omis d'ajuster correctement après le calcul mental initial est un piège potentiel.,Arrondis l'un des nombres pour simplifier.,true
psychotechnique,calcul_mental,Facile,Quel est le triple de 12 ?,12 × 3,"{""34"",""35"",""36"",""37""}",36,"Le triple de 12 est 36, calculé en multipliant 12 par 3. Multiplier un nombre par 3 donne son triple. Ne pas oublier le concept de multiplication, surtout dans l'interprétation de termes non équitables, éviter des erreurs comme une double multiplication seulement.",Multiplie 12 par 3 ou ajoute 12 trois fois.,true
psychotechnique,calcul_mental,Moyenne,Combien font 125 + 268 ?,125 + 268,"{""393"",""394"",""395"",""396""}",393,"Additionner 125 et 268 implique 393. Arrondir 268 à 270, puis retirer 2 après exécution. Un écueil est de manquer de compenser cet arrondi dans les étapes finales.",Arrondis l'un des deux puis ajuste.,true
psychotechnique,calcul_mental,Moyenne,Combien font 435 - 217 ?,435 - 217,"{""217"",""218"",""219"",""220""}",218,"435 - 217 se fait en soustrayant 220 au lieu de 217 pour simplification, puis en ajoutant 3. Cette méthode d'ajustement par débordement est clé. Risque de non-compensation de l'ajustement final. ",Rappelle-toi de soustraire par excès puis ajuste.,true
psychotechnique,calcul_mental,Moyenne,Combien font 34 × 8 ?,34 × 8,"{""272"",""282"",""292"",""302""}",272,34 fois 8 donne 272 en assemblant (30 × 8) = 240 et (4 × 8) = 32. Additionnez les produits pour conclure. Piège habituel : ne pas combiner ces étapes mentales.,Multiplie séparément puis ajoute.,true
psychotechnique,calcul_mental,Moyenne,Combien font 520 / 4 ?,520 / 4,"{""125"",""130"",""135"",""140""}",130,"Pour diviser 520 par 4, séparez 520 en 500 et 20, soit (500/4) + (20/4) = 125 + 5 = 130. Verify les subdivisions améliore l'exactitude. Oublier de combiner résultats segmentés pourrait causer une erreur.",Divise séparément les parties rondes.,true
psychotechnique,calcul_mental,Moyenne,Combien font 20 % de 150 ?,"0,2 × 150","{""25"",""30"",""35"",""40""}",30,20 % de 150 traite 30 en écrasant le quintuple 150 dans 5 ainsi 150 / 5. Le processus attraper ce calcul simple. Risque : renforcer unité de division plutôt que division double directe.,Calcule d'abord 10 % puis double.,true
psychotechnique,calcul_mental,Moyenne,Quel est le double de 149 ?,149 × 2,"{""298"",""296"",""294"",""292""}",298,149 doublé est 298 par (150 * 2 - 2). Ajuster pour un doublement exact. Piège en négligeant 1 unité finale.,Arrondis puis ajuste le double.,true
psychotechnique,calcul_mental,Moyenne,Combien font 92 × 15 ?,92 × 15,"{""1360"",""1380"",""1400"",""1420""}",1380,92 multiplié par 15 donne (92 * 10) + (92 * 5). Combinaison simplifiée. Risque : ne pas séparer correctement.,Multipliez par 10 puis par 5.,true
psychotechnique,calcul_mental,Moyenne,Combien font 140 / 7 ?,140 / 7,"{""18"",""19"",""20"",""21""}",20,"Divisez 140 par 7 habituellement en sachant que 140/7, soit 20. Connaissance des 7 avancée. Piège : utiliser approximations hasardeuses.",Utilise division directe des classiques tables de 7.,true
psychotechnique,calcul_mental,Moyenne,Combien font 412 + 278 ?,412 + 278,"{""689"",""690"",""691"",""692""}",690,"412 et 278 additionnent 690, avec approximation facile (412 + 280 - 2). Évitant accélération malencontreuse face à écriture mentale.","Gère biais approximatif, ajuste et complète.",true
psychotechnique,calcul_mental,Moyenne,Combien font 63 × 11 ?,63 × 11,"{""683"",""693"",""703"",""713""}",693,"63 multiplié par 11 vérifie 630 + 63, cumul multiplicatif selon unité. De garder en mémoire recommandations essentielles. Erreur: multiplication partiellement désordonnée.",Faites lien numérique instantané en sommant.,true
psychotechnique,calcul_mental,Moyenne,Quel est le carré de 19 ?,19^2,"{""361"",""362"",""363"",""364""}",361,Carré de 19 via (19*19=361) constitue une alternance systématique des numéros. Appropriation flexible fortifie succès. Thing majeur : n'oubliez pas calcul multiples invariants.,Pratiquer cette rue en configuration simple.,true
psychotechnique,calcul_mental,Moyenne,Combien font 460 - 285 ?,460 - 285,"{""175"",""180"",""185"",""190""}",175,Soustraire 285 de 460 permet utilisation 280 pour complétion après ajustement (175). Piège : omet explication finale dans soustraction large.,"Considérer, ajuster, personnaliser soustraction massive.",true
psychotechnique,calcul_mental,Moyenne,Combien font 275 + 326 ?,275 + 326,"{""599"",""600"",""601"",""602""}",601,Addition 275 et 326 simplifient avec maniement (275 + 325 + 1 = 609). Faute commune : ignorer finesse des traques variables.,Pense à rondir premier avant ajustement.,true
psychotechnique,calcul_mental,Moyenne,Quel est le triple de 123 ?,123 × 3,"{""366"",""367"",""369"",""370""}",369,"Triple de 123 avec assemblage (3 * 123 = 369), priorisation immédiate préalabilité. Réduit risque d'approximation grossière comme erreurs.","Retenir, rendre compte structure du calcul respectivement.",true
psychotechnique,calcul_mental,Difficile,Combien font (74 × 6) + 38 ?,(74 × 6) + 38,"{""452"",""452"",""452"",""486""}",452,"En effectuant (74 × 6) = 444 et ajouter 38 = 482, calcul préalablement établi pour sérénité. Prenez garde : qu'entortile insertion de calcul original.","Multiplier, puis compléter basiquement addition.",true
psychotechnique,calcul_mental,Difficile,Que vaut 3^4 ?,3^4,"{""72"",""81"",""91"",""97""}",81,"3 à la puissance 4 signifie 3 × 3 × 3 × 3 = 81. Avaliser clé même en repères de multiplication, veillez engendrer l'équation. Piégeons potentiels: multiplier souvent l'addition anticipée plusieurs erreurs. ",Disposez facilement composé 3 multiplié par lui-même.,true
psychotechnique,calcul_mental,Difficile,Combien vaut √324 ?,√324,"{""16"",""17"",""18"",""19""}",18,"√324 égale 18, car 18 × 18 confirme vérification harmonieuses. Pensons toujours aux simplifications radicalisées. Trop souvent les candidats confient leur supposition sous-estimée. ",Reprenez valise conception carrés s'auto-dispose progressivement.,true
psychotechnique,calcul_mental,Difficile,Combien font (56 ÷ 4) + 19 ?,(56 ÷ 4) + 19,"{""28"",""29"",""32"",""33""}",33,"56 est 56 ÷ 4 = 14, ainsi 14 + 19 = 33. Une pré-disposition aspectuelle valider l'anticipation mélodieuse. Ensuite, ne pas repasser là où le calcul menant fut laissé prématurément.",Couvrir ordonnance division initial salutément.,true
psychotechnique,calcul_mental,Difficile,Combien fait 95 % de 160 ?,"0,95 × 160","{""148"",""152"",""154"",""155""}",152,"95 % de l'intégralité valant 160 observé par (160 × 0,95). En prospection facilitar optimiser pré-cluster 5% du 160. Tâcher posséder en déduire instabilité plus simple.",Court-circuit intellectuel 90 % et 5 % alternativement.,true
psychotechnique,calcul_mental,Difficile,Quel est le résultat de 225 / 8 ?,225 / 8,"{""27"",""28"",""28,125"",""30""}","28,125","225 divisé par 8 utilise technique: 225 moins 200, puis accepte logique actuellement stabilisée. Vigilant aux méthodes longues, privilégie l'exactitude permanente.","Passe votre temps d'abord pragmatiquement 200, jusqu'à régler la différence.",true
psychotechnique,calcul_mental,Difficile,Combien vaut 57 % de 210 ?,"0,57 × 210","{""116"",""119,7"",""120"",""123,9""}","119,7","50% revient certifier conclutivement doublage 57 % en 210 aligné systémique. Multiplions double mixte placement fin prêtant attention écarts fixés, distractions diverses élémentaires passés.",45 % delibère concrétisation proportion doublée augmenté.,true
psychotechnique,calcul_mental,Difficile,Combien fait 175 ÷ 25 % ?,"175 ÷ 0,25","{""500"",""600"",""700"",""800""}",700,Multiplier par 4 au lieu de diviser pour inverser 25%. L'erreur serait d'appliquer mal la logique du pourcentage. En énoncé la preuve évidente est confirmée.,Approfondissez davantage pourcentage en considérablement,true
