module,category,difficulty,question,expression,options,answer,explanation,hint,is_active
psychotechnique,calcul_mental,Facile,Combien font 23 + 17 ?,23 + 17,"{""40"",""45"",""41"",""39""}",40,"Pour l'addition 23 + 17, on peut décomposer le 17 en 10 et 7. Ainsi, 23 + 10 = 33, puis 33 + 7 = 40. L'astuce consiste à ajouter d'abord les dizaines pour simplifier le calcul. Le piège pourrait être d'oublier de bien additionner les unités.",Commence par ajouter le 10 au 23 avant de t'occuper des unités.,true
psychotechnique,calcul_mental,Facile,Combien font 48 - 25 ?,48 - 25,"{""23"",""22"",""24"",""25""}",23,"Pour 48 - 25, on peut d'abord soustraire 20 pour obtenir 28, puis soustraire les 5 restants pour arriver à 23. Cette méthode permet de gérer plus facilement les soustractions par étapes. Le piège courant est de mal estimer la retenue lorsqu'on enlève un chiffre élevé.","Soustrais d'abord les dizaines, puis ajuste avec les unités.",true
psychotechnique,calcul_mental,Facile,Combien font 51 / 3 ?,51 / 3,"{""16"",""17"",""18"",""19""}",17,"Pour 51 divisé par 3, divise 51 en 30 et 21. 30/3 donne 10 et 21/3 donne 7. Additionne les résultats pour obtenir 17. Cette décomposition en chiffres plus simples facilite le calcul mental. Un piège fréquent est de négliger de vérifier la divisibilité exacte.","Divise en chiffres plus petits, puis additionne.",true
psychotechnique,calcul_mental,Facile,Combien font 10 % de 150 ?,"0,10 × 150","{""15"",""10"",""20"",""25""}",15,"Pour calculer 10 % de 150, divise simplement le nombre par 10. Ainsi, 150 divisé par 10 donne 15. Cette méthode utilise l'idée que 10 % est un simple déplacement décimal vers la gauche. Le piège à éviter est de confondre 10 % avec des fractions plus complexes.",Déplace la virgule d'un chiffre vers la gauche.,true
psychotechnique,calcul_mental,Facile,Combien font 8 × 5 ?,8 × 5,"{""35"",""40"",""45"",""50""}",40,"Multiplier 8 par 5 est comme doubler 8 pour obtenir 16, puis multiplier 16 par 2. Finalement, ajoute 8 (16 + 8 = 24), puis multiplie 24 par 2 pour obtenir 48. Une façon astucieuse consiste à réaliser que 8 × 5 est moitié de 8 × 10. Le piège est d'oublier le doublement initial.",Pense à 8 demi-10 puis ajuste.,true
psychotechnique,calcul_mental,Facile,Combien font 37 + 9 ?,37 + 9,"{""46"",""47"",""45"",""48""}",46,"En ajoutant 9 à 37, commence par ajouter 10 pour obtenir 47, puis soustrais 1 pour un total de 46. L'astuce est d'ajuster d'abord à une dizaine supérieure avant de corriger l'excédent. Le piège ici est une erreur fréquente consistant à oublier de compléter l'ajustement final.","Ajoute d'abord 10, puis retire 1.",true
psychotechnique,calcul_mental,Facile,Combien font 8 / 2 ?,8 / 2,"{""2"",""3"",""4"",""6""}",4,"Pour diviser 8 par 2, il suffit de se souvenir que 8 est double de 4. Une simple division direct proportionnelle est utilisée ici. Un piège potentiel est l'erreur aléatoire où certains peuvent anticiper à tort un chiffre supérieur comme 6.",Retrouve la moitié du 8.,true
psychotechnique,calcul_mental,Facile,Combien font 50 % de 60 ?,"0,50 × 60","{""20"",""30"",""40"",""50""}",30,"50 % de 60 revient à diviser 60 par 2 puisque 50 % est simplement la moitié. On arrive donc à 30. La compréhension de la notion de moitié aide à simplifier ce calcul mentalement. Un piège courant est une mauvaise interprétation du pourcentage, pensant qu'il fait référence à un autre taux.",Trouve la moitié de 60.,true
psychotechnique,calcul_mental,Facile,Combien font 33 + 18 ?,33 + 18,"{""51"",""50"",""52"",""53""}",51,"Ajouter 33 et 18 en deux étapes : ajoutez d'abord 20 pour obtenir 53, puis soustrayez 2 pour arriver à 51. L'ajout de chiffres ronds facilite la manipulation mentale. Vérifiez toujours la validité finale pour éviter les erreurs de retranscription par addition successive.","Ajoute 20 d'abord, puis corrige en soustrayant.",true
psychotechnique,calcul_mental,Facile,Combien font 29 - 15 ?,29 - 15,"{""12"",""13"",""14"",""15""}",14,"Soustraire 15 de 29 en soustrayant d'abord 10 pour faire 19, puis 5 de 19 pour rester avec 14. Cette méthode par étapes aide à s'assurer de la soustraction correcte. Un piège pourrait être de se tromper en omettant la seconde soustraction.","Soustrais en deux étapes : d'abord 10, puis 5.",true
