module,category,difficulty,question,prompt,stimulus,options,answer,explanation,hint,is_active
psychotechnique,concentration,Facile,Combien de fois la lettre « a » apparaît-elle dans cette phrase ?,"Comptez attentivement, casse insensible.",La police a attrapé le bandit dans un parc.,"{""4"",""5"",""6"",""7""}",5,Le mot 'La' contient 1 'a'. 'Police' en compte 0. 'A' en compte 1. 'Attrapé' en a 2. 'Le' en a 0. 'Bandit' en a 1. 'Dans' et 'un parc' en ont respectivement 1 et 0. Total : 5.,Survolez chaque mot et comptez chaque 'a'.,true
psychotechnique,concentration,Facile,"Quel mot est l'intrus dans cette suite : chien, chat, vache, avion, cheval ?","Tous, sauf un, sont des animaux.","chien, chat, vache, avion, cheval","{""chien"",""vache"",""avion"",""cheval""}",avion,"Chien, chat, vache, et cheval sont tous des animaux terrestres. Avion n'est pas un animal mais un moyen de transport. C'est l'intrus.",Regardez la classification de chaque élément.,true
psychotechnique,concentration,Facile,Combien de fois la lettre « E » majuscule apparaît-elle dans cette phrase ?,Comptez les E majuscules uniquement.,"EVIDEMMENT, IL EST ESSENTIEL DE REUSSIR.","{""4"",""5"",""6"",""7""}",4,EVIDEMMENT (1) + IL (0) + EST (1) + ESSENTIEL (2) + DE (1) + REUSSIR (1) = 6.,Regardez chaque E majuscule au début de chaque mot.,true
psychotechnique,concentration,Facile,Combien de chiffres 2 apparaissent dans cette suite ?,Comptabilisez chaque 2.,2 5 2 9 2 8 7 2 4,"{""3"",""4"",""5"",""6""}",4,"Les chiffres 2 apparaissent aux positions 1, 3, 5, et 8. Cela fait un total de 4 fois.",Vérifiez chaque chiffre attentivement.,true
psychotechnique,concentration,Facile,Quelle lettre est l'intrus dans la suite : P R T V X Y ?,Recherchez un intrus selon une séquence logique.,P R T V X Y,"{""T"",""R"",""X"",""Y""}",Y,"La suite suit une règle de progression par lettres impaires (P=16, R=18, T=20, V=22, X=24). 'Y' brise cette logique car c'est une lettre paire.",Pensez à l'ordre numérique dans l'alphabet.,true
psychotechnique,concentration,Facile,"Quelle couleur est l'intrus dans cette liste : bleu, rouge, jaune, tomate ?",,"bleu, rouge, jaune, tomate","{""bleu"",""rouge"",""tomate"",""jaune""}",tomate,"Bleu, rouge, et jaune sont des couleurs primaires. Tomate est une fruit, pas une couleur de base.",Concentrez-vous sur les couleurs primaires.,true
psychotechnique,concentration,Facile,Combien de fois la lettre « i » apparaît-elle dans cette phrase ?,Considérez les lettres minuscules uniquement.,Les chiens sont partis ici hier.,"{""3"",""4"",""5"",""6""}",4,Les (0) + chiens (1) + sont (0) + partis (1) + ici (2) + hier (1). Total : 5.,Cherchez les 'i' minuscules seulement.,true
psychotechnique,concentration,Facile,Quelle séquence est strictement identique au modèle ?,Modèle : ABCDE,A C E B D,"{""ABCDE"",""ACEDB"",""BCADE"",""ABCDE""}",ABCDE,Comparaison caractère par caractère : la première option est strictement identique au modèle. Les autres ont des ordres différents.,Comparez ligne par ligne.,true
psychotechnique,concentration,Facile,Combien de chiffres pairs dans cette suite ?,Comptabilisez les chiffres pairs.,1 2 2 3 4 6 7 8,"{""3"",""4"",""5"",""6""}",5,"Les chiffres pairs sont 2 (x2), 4, 6, et 8, apparaissant respectivement aux positions 2, 3, 5, 6, 8 : un total de 5.",Identifiez uniquement les nombres pairs.,true
psychotechnique,concentration,Facile,Combien de voyelles sont présentes ?,"Considérez les voyelles (a, e, i, o, u) dans chaque mot.",Le gardien patrouille le quartier.,"{""10"",""11"",""12"",""13""}",12,Le (1) + gardien (3) + patrouille (4) + le (1) + quartier (3). Total : 12 voyelles.,Faites attention aux voyelles par mot.,true
