module,category,difficulty,question,prompt,stimulus,options,answer,explanation,hint,is_active
psychotechnique,concentration,Facile,Combien de fois la lettre « E » apparaît-elle dans cette phrase ?,Observez attentivement la phrase.,LES ÉTUDIANTS ÉTUDIENT LES ETOILES.,"{""5"",""6"",""7"",""8""}",6,"En examinant chaque mot : 'LES' (1), 'ÉTUDIANTS' (1), 'ÉTUDIENT' (2), 'LES' (1), 'ETOILES' (1) = 6 E au total. Il est important de ne pas confondre les majuscules et de bien compter chaque occurrence.",Parcourez chaque mot lentement pour ne rien manquer.,true
psychotechnique,concentration,Facile,Combien de chiffres 5 apparaissent dans cette suite ?,Comptez chaque chiffre 5.,5 3 5 7 5 9 5 1 5,"{""4"",""5"",""6"",""7""}",5,"Les chiffres 5 se trouvent aux positions 1, 3, 5, 7 et 9. Il y en a donc cinq au total. En examinant chaque position, il est facile de ne pas en manquer un seul.",Concentrez-vous sur les chiffres à positions impaires.,true
psychotechnique,concentration,Facile,Quelle séquence est identique au modèle suivant ?,Modèle : HKLMNPQ,Choisissez parmi les options.,"{""HKLMNPQ"",""HLKMNPQ"",""HKLMNPR"",""HKLMNP""}",HKLMNPQ,"En comparant chaque option avec le modèle, uniquement 'HKLMNPQ' correspond parfaitement à chaque lettre de la séquence initiale. Les autres options ont des lettres interverties, manquantes ou supplémentaires.",Comparez lettre par lettre pour repérer les erreurs.,true
psychotechnique,concentration,Facile,Combien de voyelles dans cette phrase ?,"Inclut a, e, i, o, u, y. Casse insensible.",Julie aime lire et écouter la radio.,"{""11"",""12"",""13"",""14""}",13,"Comptons les voyelles : Julie (3), aime (2), lire (2), et (1), écouter (3), la (1), radio (1) = 13 voyelles. Le piège potentiel est de ne pas inclure le Y, qui compte comme une voyelle.","Assurez-vous de compter toutes les voyelles, y compris le Y.",true
psychotechnique,concentration,Facile,Combien de mots de plus de 4 lettres dans cette phrase ?,Ne comptez que les mots strictement supérieurs à 4 lettres.,Le chien observe attentivement le paysage.,"{""2"",""3"",""4"",""5""}",3,"En parcourant chaque mot, 'chien' (5), 'observe' (8), et 'attentivement' (13) sont les seuls mots ayant plus de 4 lettres. Les mots 'Le' (2), 'le' (2), 'paysage' (8) ne sont pas pris en compte sauf pour un mauvais compte de la règle.",Ne prenez que les mots comptant plus de 4 lettres.,true
psychotechnique,concentration,Facile,Combien de consonnes dans cette courte phrase ?,Considère la casse. Aucune distinction entre majuscules et minuscules.,Les gardiens observent.,"{""8"",""9"",""10"",""11""}",10,"Décomptons chaque lettre : dans 'Les' (2 consonnes), 'gardiens' (5 consonnes), 'observent' (3 consonnes) = 10 consonnes au total. Il est essentiel de bien différencier consonnes et voyelles.",Soulignez mentalement chaque consonne lorsque vous lisez.,true
psychotechnique,concentration,Facile,Quelle séquence correspond exactement au modèle donné ?,Modèle : LMNOPQRS,Sélectionnez la bonne séquence.,"{""LMNQRPS"",""LMNOPQRS"",""LMNOPRTS"",""LMNOPQRT""}",LMNOPQRS,"En analysant chaque option, 'LMNOPQRS' est la seule à ne pas alterner la position des lettres présentes dans le modèle fourni. Les autres options ont au moins un caractère deplacé ou manquant.",Comparez méthodiquement chaque caractère à son correspondant dans le modèle.,true
psychotechnique,concentration,Facile,Combien de fois la lettre « T » apparaît-elle dans cette phrase ?,Considérez le T en majuscule et minuscule.,Le plus grand trésor est le temps que l'on chérisse.,"{""3"",""4"",""5"",""6""}",4,"Décomptons chaque fois que 'T' apparaît : 'Le' (0), 'plus' (0), 'grand' (0), 'trésor' (1), 'est' (1), 'le' (0), 'temps' (1), 'que' (0), 'l'on' (0), 'chérisse' (1) = 4. Un piège courant est d'oublier de compter les T dans des articles courts comme 'le'.",Les articles courts contiennent souvent des lettres clés à ne pas négliger.,true
psychotechnique,concentration,Facile,Quelle lettre est l'intrus dans la suite suivante ?,Toutes les lettres sauf une suivent une alternance régulière.,Q S U W X Y Z,"{""U"",""W"",""X"",""Z""}",X,"La suite suit une alternance de lettres : Q, S, U, W sautant une lettre à chaque fois, tandis que X suit directement W, ne respectant pas l'alternance. Le piège réside dans l'oubli du modèle d'alternance tous les deux.",Examiner la régularité entre chaque lettre pourrait réduire le nombre de candidats pour l'intrus.,true
psychotechnique,concentration,Facile,Combien de G majuscules y a-t-il ?,Comptez uniquement les G en majuscule.,Le Gros Gourmand gagne toujours a Grands coups.,"{""2"",""3"",""4"",""5""}",3,"Considérons chaque occurrence : 'Gros' (1), 'Gourmand' (1), 'gagne' (0), 'Grands' (1) = 3 G en majuscule. Les G en minuscule ne doivent pas être pris en compte afin de dériver une réponse correcte.",Assurez-vous de distinguer correctement entre G majuscule et minuscule.,true
