module,category,difficulty,question,prompt,stimulus,options,answer,explanation,hint,is_active
psychotechnique,concentration,Facile,Combien de fois le chiffre « 5 » apparaît-il dans cette série ?,Comptez chaque occurrence du chiffre 5.,1 5 9 5 4 5 7 2 5 8 5,"{""4"",""5"",""6"",""7""}",5,"Positions 2, 4, 6, 9, 11 contiennent le chiffre 5. Le piège est de confondre les chiffres voisins comme 6 et 9 qui peuvent apparaître semblables si vous ne faites pas attention.",Évitez les distractions en vous concentrant sur chaque chiffre.,true
psychotechnique,concentration,Facile,Combien de voyelles contient la phrase ?,"Considérez a, e, i, o, u comme voyelles.",Un petit oiseau chante dans les arbres.,"{""12"",""13"",""14"",""15""}",13,"Mot par mot : Un(1), petit(2), oiseau(4), chante(2), dans(1), les(1), arbres(2). Total = 13 voyelles. Une erreur commune est d'oublier le 'i' de petit ou le 'u' de oiseau.",Comptez les voyelles à voix haute pour mieux vous concentrer.,true
psychotechnique,concentration,Facile,Identifie l'intrus dans cette suite de couleurs.,Une couleur ne suit pas la séquence.,"Rouge, Bleu, Vert, Jaune, Violet, Bleu","{""Rouge"",""Jaune"",""Violet"",""Bleu""}",Violet,"La suite suit l'ordre des couleurs de l'arc-en-ciel : Rouge, Bleu, Vert, Jaune, Bleu. Violet est donc ici un intrus car il vient naturellement après l'indigo, et non après le jaune.",Rappelez-vous de l'ordre classique des couleurs d'un arc-en-ciel.,true
psychotechnique,concentration,Facile,Combien de fois le chiffre « 7 » apparaît-il dans cette séquence ?,Comptez uniquement les 7.,5 7 8 7 3 9 7 2 1,"{""2"",""3"",""4"",""5""}",3,"Les chiffres 7 apparaissent aux positions 2, 4, et 7. Un piège est de se tromper avec des chiffres similaires comme le 1 ou le 9.",Prenez votre temps pour évaluer chaque chiffre individuellement.,true
psychotechnique,concentration,Facile,Combien de fois la lettre « P » apparaît-elle dans la phrase ?,Incluez majuscules et minuscules.,Paul prend sa pomme pour le piquenique.,"{""2"",""3"",""4"",""5""}",4,"Paul(1), prend(1), pomme(1), pour(1). Total = 4. Évitez de manquer des 'p' cachés dans les idées comme 'pomme' ou 'prend'.",Faites une pause après chaque mot contenant un 'p'.,true
psychotechnique,concentration,Facile,Quel élément est l'intrus dans cette suite numérique ?,Suivez la progression.,2 4 8 16 33 64 128,"{""16"",""33"",""64"",""128""}",33,"La suite est basée sur des puissances de deux : 2^1, 2^2, 2^3, 2^4, 33, 2^6, 2^7. 33 est l'intrus, car il ne correspond pas à une puissance de 2.",Regardez les étapes de chaque progression.,true
psychotechnique,concentration,Facile,Combien de « k » minuscules apparaissent-ils ici ?,Ne comptez pas les majuscules.,Kangourou et koala dans un parc au Kentucky.,"{""1"",""2"",""3"",""4""}",2,"Dans 'kangourou'(1), 'koala'(1). Total = 2. Le piège est de compter le K majuscule du début ou de la majuscule de 'Kentucky' qui ne doivent pas être considérés.",Attention aux majuscules qui ne comptent pas.,true
psychotechnique,concentration,Facile,Quelle lettre est l'intrus dans la suite suivante ?,Repérez l'intrus.,E G I K M O Q S V,"{""I"",""K"",""Q"",""V""}",V,"La série suit des lettres par intervalle de +2, mais apparaît V après S, ce qui n'augmente pas de +2 par rapport à O. L'intrus est donc V.",Checke la position de chaque lettre.,true
psychotechnique,concentration,Moyenne,Combien de fois la lettre « T » apparaît-elle dans la phrase ?,Incluez majuscules et minuscules.,Tom tente timidement de tendre le tablier.,"{""4"",""5"",""6"",""7""}",6,"Tom(1), tente(2), timidement(2), tendre(1). Total = 6. Piège potentiel : ne pas compter tous les T dissimulés dans 'timidement' ou 'tendre'.",Prêtez attention aux mots où un 't' est précédé d'un autre.,true
psychotechnique,concentration,Moyenne,Identifie la séquence identique au modèle donné.,Modèle : XYZ123,Séquences proposées,"{""XYZ132"",""XYZ321"",""XY123Z"",""XYZ123""}",XYZ123,"Comparaison chaque séquence : ce qui correspond exactement est XYZ123. XYZ132 a une inversion de chiffres, XY123Z a un décalage, et XYZ321 est inversé. Toute différence mineure fausse le modèle.",Comparez calmement chaque caractère.,true
