module,category,difficulty,question,prompt,stimulus,options,answer,explanation,hint,is_active
psychotechnique,concentration,Facile,Combien de fois la lettre « E » apparaît-elle dans cette phrase ?,Comptez toutes les occurrences.,Le chien est très rapide.,"{""2"",""3"",""4"",""5""}",3,"Dans cette phrase, 'Le' contient un E (1), 'chien' n'en contient pas (0), 'est' contient un E (1), 'très' un E (1), et 'rapide' aucun (0). Total : 3 E.",Concentrez-vous sur les voyelles visibles.,true
psychotechnique,concentration,Facile,Quelle lettre est l'intrus dans la suite ?,Identifiez la lettre qui ne devrait pas être ici.,M O Q R S,"{""Q"",""M"",""R"",""S""}",Q,"La suite suit l'ordre de l'alphabet sauf Q. Les lettres autour de Q devaient être O puis P, puis vient R. Q est l'intrus.",Vérifiez l'ordre alphabétique.,true
psychotechnique,concentration,Facile,Combien de fois la lettre « A » majuscule apparaît-elle ?,Ne comptez que les A majuscules.,ALICE ET ARTHUR AIMENT L'ART.,"{""4"",""5"",""6"",""7""}",5,ALICE (1) + ET (0) + ARTHUR (1) + AIMENT (1) + L'ART (2) = 5 occurrences de A majuscules.,Repérez chaque A majuscule manuellement.,true
psychotechnique,concentration,Facile,Quelle séquence est identique au modèle ?,Modèle : HJKL,HJKL,"{""HJLK"",""HJKL"",""HKJL"",""HLJK""}",HJKL,"Seule la deuxième option correspond exactement au modèle donné. Comparaisons effectuées : HJLK (K et L inversés), HJKL (identique), HKJL (J et K inversés), HLJK (J et L inversés).",Concentrez-vous lettre par lettre.,true
psychotechnique,concentration,Facile,Combien de chiffres « 5 » apparaissent dans la suite ?,,5 3 5 6 7 5 2,"{""2"",""3"",""4"",""5""}",3,"Dans la suite, 5 apparaît aux positions 1, 3, et 6. Trois occurrences au total. Le reste des chiffres sont différents.",Révisez chaque chiffre individuellement.,true
psychotechnique,concentration,Facile,Combien de « T » apparaissent dans cette phrase ?,Attention : ne comptez que les T.,Tom est très talentueux.,"{""2"",""3"",""4"",""5""}",3,Tom (1) + est (1) + très (1) + talentueux (0) = 3 occurrences de T.,Passer en revue chaque mot pour T.,true
psychotechnique,concentration,Facile,Quelle lettre est l'intrus dans la suite ?,Comparez chaque lettre avec les autres.,B C E F G,"{""E"",""B"",""F"",""G""}",E,"Dans cette suite, toutes les lettres sauf E sont consécutives dans l'alphabet (B, C, F, G). E interrompt la séquence.",Cherchez les interruptions dans l'ordre alphabétique.,true
psychotechnique,concentration,Facile,Combien de « O » et de « o » apparaissent-ils ?,Comptez les deux cas.,L'ours dort souvent sous l'olivier.,"{""4"",""5"",""6"",""7""}",5,"Dans cette phrase : 'ours' o (1), 'dort' o (1), 'souvent' o (1), 'sous' o (1), 'olivier' o (1). Total : 5.",Repérez les O et o en un seul balayage.,true
psychotechnique,concentration,Facile,Combien de fois la lettre « L » apparaît-elle ?,Ne comptez que les « l ».,La lune luit lentement.,"{""3"",""4"",""5"",""6""}",3,La (1) + lune (1) + luit (1) + lentement (0) = 3 occurrences de la lettre L.,Cherchez les L majuscules et minuscules.,true
psychotechnique,concentration,Facile,Quel chiffre est l'intrus dans cette suite ?,Cherchez le chiffre qui ne suit pas la règle.,2 4 6 8 10 11 14,"{""11"",""4"",""10"",""14""}",11,Tous les nombres sauf 11 sont pairs. 11 est le seul nombre impair dans la liste.,Vérifiez la parité de chaque chiffre.,true
psychotechnique,concentration,Facile,Combien de E minuscules apparaissent dans cette phrase ?,Repérez-les sans tenir compte des majuscules.,Le pain et le beurre sont essentiels.,"{""5"",""6"",""7"",""8""}",6,Le (1) + pain (0) + et (1) + le (1) + beurre (1) + sont (0) + essentiels (2) = 6 occurrences de E minuscules.,Identifiez chaque e attentivement.,true
psychotechnique,concentration,Facile,Combien de fois la lettre « M » apparaît-elle dans cette phrase ?,Considérez également les « m ».,Mes amis aiment manger en montagne.,"{""3"",""4"",""5"",""6""}",4,Mes (1) + amis (1) + aiment (1) + manger (0) + en (0) + montagne (1) = 4 occurrences de M.,Passez en revue la phrase lentement pour chaque M.,true
psychotechnique,concentration,Facile,Quelle séquence est identique au modèle ?,Modèle : 12345,12345,"{""12354"",""12435"",""12345"",""13245""}",12345,"La séquence 12345 correspond parfaitement au modèle, les autres séquences ont des chiffres permutés.",Relisez chaque séquence lentement pour repérer des différences.,true
psychotechnique,concentration,Facile,Combien de fois la lettre « S » apparaît-elle ?,Comptez majuscules et minuscules.,Six serpents silencieux sifflent sous les étoiles.,"{""5"",""6"",""7"",""8""}",6,Six (1) + serpents (1) + silencieux (1) + sifflent (1) + sous (1) + les (1) + étoiles (0) = 6.,Repérez chaque S un à un.,true
