module,category,difficulty,question,prompt,stimulus,options,answer,explanation,hint,is_active
psychotechnique,concentration,Facile,Combien de fois la lettre « E » apparaît-elle dans cette phrase (en majuscule ou minuscule) ?,Comptez attentivement.,ELLE EST ENCORE ENTRAIN DE LIRE.,"{""5"",""6"",""7"",""8""}",6,ELLE (2) + EST (1) + ENCORE (2) + ENTRAIN (0) + DE (1) + LIRE (0) = 6 occurrences au total. Il est important de distinguer les E dans chaque mot. Attention à ne pas compter les R pour des E.,Regardez chaque mot indépendamment pour éviter les doublons.,true
psychotechnique,concentration,Facile,Combien de fois le chiffre « 8 » apparaît-il dans ce texte ?,Regardez attentivement.,"Le 8 août, elle a acheté 8 kg de pommes chez 8 commerçants.","{""2"",""3"",""4"",""5""}",3,"Le chiffre 8 apparaît dans '8 août', '8 kg' et '8 commerçants', totalisant 3 occurrences. Les nombres dans les textes peuvent être trompeurs s'ils sont accompagnés de mots similaires.",Ignorez les lettres et concentrez-vous uniquement sur les chiffres.,true
psychotechnique,concentration,Facile,Combien de majuscules se trouvent dans cette phrase ?,Ne comptez que les majuscules.,Paul et Marie Vont à Londres En Juin.,"{""4"",""5"",""6"",""7""}",5,"PAUL (1), Marie (0), Vont (1), à (0), Londres (1), En (1), Juin (1) = 5 majuscules totales. Notez que chaque mot commence par une majuscule à cause des noms propres.",Repérez le début de chaque mot.,true
psychotechnique,concentration,Facile,Combien de chiffres 7 dans la suite ?,,7 5 7 9 2 7 1 7 3,"{""3"",""4"",""5"",""6""}",4,"Le chiffre 7 apparaît à la position 1, 3, 6 et 8, soit 4 fois au total. Faites attention aux chiffres qui peuvent former un 7 si mal distingués, comme le 1.",Repérez les séquences avec le chiffre 7 distinct.,true
psychotechnique,concentration,Facile,Repérez l'intrus dans cette suite de mois.,L'un de ces mois ne suit pas la règle des 31 jours.,Janvier Mars Mai Juillet Août Septembre,"{""Mars"",""Mai"",""Août"",""Septembre""}",Septembre,"Septembre a seulement 30 jours, alors que tous les autres mois listés ont 31 jours. Cette suite teste vos connaissances sur la durée des mois.",Rappelez-vous du nombre de jours dans chaque mois.,true
psychotechnique,concentration,Facile,Quelle séquence est identique au modèle ?,Modèle : 123ABC456,Vérifiez chaque séquence attentivement.,"{""123ACB456"",""123ABC456"",""123BAC456"",""1234BC567""}",123ABC456,"La deuxième option reproduit le modèle sans erreur : 1 = 1, 2 = 2, 3 = 3, A = A, B = B, C = C, 4 = 4, 5 = 5, 6 = 6. Prenez le temps de comparer chaque caractère pour éviter les erreurs d'inversion.",Comparez chaque caractère avec le modèle.,true
psychotechnique,concentration,Facile,Combien de mots de plus de 5 lettres dans cette phrase ?,Considérez les mots entièrement formés.,Le navigateur inspecte son équipement chaque matin.,"{""2"",""3"",""4"",""5""}",3,"Les mots 'navigateur', 'inspecte', et 'équipement' ont chacun plus de 5 lettres, soit trois mots au total. Calculez le nombre de lettres pour chaque mot à l'aide de vos doigts ou mentalement.",Vérifiez la longueur pour chaque mot calmly.,true
psychotechnique,concentration,Moyenne,Combien de L majuscules apparaissent dans ce texte ?,Comptez uniquement les L en majuscules.,Le Loyaliste LARVE Lavage LUCIDE.,"{""3"",""4"",""5"",""6""}",4,"LE (1), Loyaliste (1), LARVE (1), Lavage (1), LUCIDE (0), ce qui donne un total de 4 L majuscules. Il est crucial de ne pas confondre minuscule et majuscule dans les noms.",Cherchez les L au début et au milieu de chaque mot.,true
psychotechnique,concentration,Moyenne,Quelle lettre est l'intrus dans la suite ?,Cherchez une progression logique.,M O Q S T U W,"{""O"",""Q"",""T"",""W""}",W,"Les lettres M, O, Q suivent un schéma alternant sans sauter aucune lettre dans les paires. W ne suit pas ce schéma car elle saute un segment.",Vérifiez les différences de positions entre chaque lettre.,true
psychotechnique,concentration,Moyenne,Quelle séquence est strictement identique au modèle ?,Modèle : ABC-123-DE,Vérifiez chaque séquence attentivement.,"{""ABC-123-DF"",""ABD-123-DE"",""ABC-123-DE"",""ABC-124-DE""}",ABC-123-DE,La troisième séquence reproduit parfaitement chaque caractère du modèle. L'utilisation des tirets et des chiffres peuvent facilement tromper si on ne fait pas attention.,Regardez attentivement chaque position du caractère.,true
psychotechnique,concentration,Moyenne,"Combien de voyelles dans cette phrase, casse insensible ?","Les voyelles sont a, e, i, o, u.",Demandez à Véronique si elle a des informations uniques.,"{""17"",""18"",""19"",""20""}",18,"Compte mental des voyelles : Demandez (3), Véronique (4), si (1), elle (2), a (1), des (1), informations (5), uniques (2) = 18 voyelles. Assurez-vous de ne pas négliger les E muets à la fin des mots.",Repérez chaque voyelle et comptez une par une.,true
psychotechnique,concentration,Moyenne,Quel élément est l'intrus dans cette suite de jours ?,Chaque jour sauf un se base sur une règle.,Mardi Jeudi Samedi Dimanche,"{""Jeudi"",""Samedi"",""Dimanche"",""Mardi""}",Dimanche,Tous les jours sauf Dimanche sont des jours où les magasins ouvrent normalement. Dimanche est souvent fermé ou partiellement ouvert. Pensez aux routines typiques de travail.,Considérez la semaine de travail standard.,true
psychotechnique,concentration,Moyenne,Quelle séquence est celle du modèle ?,Modèle : AA11BB22,Analysez chaque option attentivement.,"{""AA12BB22"",""AA11BB22"",""A11ABB22"",""AA11BB33""}",AA11BB22,Seule la deuxième séquence reproduit les lettres et chiffres du modèle exactement. Confondre les chiffres et les lettres est facile si on ne vérifie pas chaque point d'inflexion.,Faites une comparaison directe pour identifier les erreurs.,true
psychotechnique,concentration,Moyenne,Combien de mots de plus de 4 lettres ?,Considérez la longueur de chaque mot.,Chacun souhaite profiter des belles promenades.,"{""2"",""3"",""4"",""5""}",4,"Les mots 'Chacun' (6), 'souhaite' (7), 'profiter' (8), 'belles' (6) ont plus de 4 lettres, il y en a donc 4 en tout. Concentrez-vous sur la longueur spécifique des mots plus longs.",Recensez chaque mot par son nombre de lettres.,true
psychotechnique,concentration,Moyenne,Combien de chiffres « 9 » apparaissent-ils dans ce nombre ?,,"999,492,993,199","{""5"",""6"",""7"",""8""}",6,"Positions 1, 2, 3, 9, 10, 11 — six occurrences du chiffre 9. Chaque chiffre au milieu peut être distrait par la présence de nombres similaires, soyez prudent.",Survolez chaque séquence en examinant le 9 récurrent.,true
psychotechnique,concentration,Difficile,Combien de lettres « S » majuscules sont-elles présentes dans ce paragraphe ?,Comptez uniquement les S en majuscules.,"Sophie a quitté la maison en Silence, laissant sur la table un bouquet de roses Sans un mot.","{""1"",""2"",""3"",""4""}",2,"Le mot 'Sophie' commence avec un S majuscule, de même que 'Silence'. Les autres occurrences de s sont en minuscule, ce qui donne 2 S majuscules en total. Vérifiez les débuts et isolés mots pour assurer l'exactitude.",Regardez spécifiquement les débuts de mots ou après des points.,true
psychotechnique,concentration,Difficile,"Combien de fois la lettre « K » apparaît-elle, en majuscule ou minuscule ?",Inclut les noms propres.,Katie aime le kitesurf à l'occasion du Carnaval de L'Été.,"{""1"",""2"",""3"",""4""}",3,"Le K apparaît dans 'Katie' (1) et deux fois dans 'kitesurf' (2), totalisant 3. Gardez à l'esprit que les noms et activités peuvent facilement contenir des lettres non intuitives.",Attention aux R semblables aux K.,true
psychotechnique,concentration,Difficile,Quelle séquence identique au modèle est la bonne ?,Modèle : #$%&*(),Vérifiez chaque caractère.,"{""#$%&*(("",""#&%$*)"",""#$%&*()"",""#$%&)(""}",#$%&*(),"La troisième option #$%&*() reproduit le modèle exactement, y compris la ponctuation. Des erreurs typiques se produisent avec la symétrie de certains caractères ; vérifiez chaque point.",Soulignez les paires unique des symboles.,true
psychotechnique,concentration,Difficile,Combien de mots de plus que 3 syllabes ?,Chaque syllabe compte.,Le développement durable nécessite des stratégies innovantes en permanence.,"{""2"",""3"",""4"",""5""}",5,"'Développement' (4 syllabes), 'nécessite' (4), 'stratégies' (3), 'innovantes' (4), 'permanence' (4) totalisent 5 mots. Compter chaque syllabe peut différencier les mots longs des percepteurs erronés.",Soyez méthodiques dans le déchiffrage des syllabes internes.,true
psychotechnique,concentration,Difficile,Combien de voyelles sont présentes en majuscules ?,"Les voyelles en majuscules sont : A, E, I, O, U.","L'ÉCHO du CRI résonne fort, mais la HAINE S'ÉNVOLE.","{""3"",""4"",""5"",""6""}",4,"Les majuscules concernées sont É (1), O (1), I (1) et É (encore 1, dans 'S'ÉNVOLE'), donnant 4 voyelles majuscules. Méfiez-vous des accents et cases ignorés.",Étudiez attentivement chaque voyelle initiale ou accentuée.,true
psychotechnique,concentration,Difficile,Combien de lettres sont doublées dans ce texte ?,Comptez les lettres consécutives identiques.,Aller au zoo n'était pas habituel.,"{""1"",""2"",""3"",""4""}",2,Les lettres doublées sont 'll' et 'oo' totalisant 2 paires. Faites attention aux distributions qui semblent aléatoires mais qui sont répandues par espace géométrique.,Repérez et notez les paires immédiates dans chaque mot.,true
psychotechnique,concentration,Difficile,Combien de fois le mot 'police' est-il répété en premier ?,,"La police examine, la police inspecte, mais une seule police verdict.","{""1"",""2"",""3"",""4""}",3,"Le mot 'police' est utilisé 3 fois comme premier (débutant comme : La/La/Mais La), ce qui peut être une répétition subreptice dans les documents d'un cas spécial. Attention aux indications suggérées par les autres mots de continue.",Repérer les premières occurrences pour comprendre le modèle d'ordre ou répit.,true
