module,category,difficulty,question,prompt,stimulus,options,answer,explanation,hint,is_active
psychotechnique,concentration,Facile,Combien de fois la lettre « C » apparaît-elle dans cette phrase ?,"Comptez attentivement les C, majuscules et minuscules confondus.",Ce cerf courageux se cache dans cette clairière.,"{""2"",""3"",""4"",""5""}",4,"La lettre 'C' apparaît dans 'Ce' (1), 'cerf' (1), 'courageux' (1), et 'cache' (1). Cela fait un total de quatre occurrences. Ne confondez pas avec les autres consonnes similaires.",Repérez chaque 'C' en lisant lentement.,true
psychotechnique,concentration,Facile,Quelle lettre est l'intrus dans la suite ?,Une lettre ne suit pas le même motif.,A F K P U Z B,"{""K"",""P"",""U"",""B""}",B,"Les lettres A, F, K, P, U, et Z sont toutes espacées de 5 dans l'alphabet. La lettre B ne suit pas cette séquence régulière et est donc l'intrus.",Vérifiez les intervalles entre les lettres.,true
psychotechnique,concentration,Facile,Combien de mots de plus de 3 lettres sont présents ?,"Dans cette phrase, comptez les mots dépassant 3 lettres.",Le chat joue dans la maison avec jovialité.,"{""2"",""3"",""4"",""5""}",4,"Les mots 'chat', 'joue', 'maison', et 'jovialité' comptent plus de trois lettres. Les mots 'Le', 'dans', et 'la' ne dépassent pas cette limite. Ce qui donne un total de quatre mots.",Identifiez les mots en vous concentrant sur leur longueur.,true
psychotechnique,concentration,Facile,Combien de fois le chiffre « 0 » apparaît-il ?,"Comptez les zéros uniquement, chaque chiffre compte.",102030405060708090,"{""6"",""7"",""8"",""9""}",9,"On trouve le 0 aux positions 2, 4, 6, 8, 10, 12, 14, 16 et 18 — cela fait neuf zéros au total. Ne laissez pas le défilement rapide vous tromper.",Regardez chaque chiffre indépendamment.,true
psychotechnique,concentration,Facile,Quelle séquence est identique au modèle ?,Modèle : A1B2C3,A1B2C3,"{""A1B2C3"",""A1B2C4"",""A1C2B3"",""A2B1C3""}",A1B2C3,La première option est identique au modèle proposé. Les autres options comportent des erreurs telles que l'inversion des chiffres ou des lettres.,Vérifiez chaque caractère dans l'ordre exact.,true
psychotechnique,concentration,Facile,Combien de fois la lettre « T » apparaît-elle dans ce texte ?,"Tous les T comptent, peu importe la casse.",Toto trottine tout autour du terrain.,"{""4"",""5"",""6"",""7""}",6,"On trouve les T dans 'Toto' (2), 'trottine' (1), 'tout' (1), et 'terrain' (2) soit un total de six occurrences. Attention à ne pas compter le même T plusieurs fois par mégarde.",Surlignez mentalement chaque T.,true
psychotechnique,concentration,Facile,Combien de chiffres « 5 » apparaissent dans la suite ?,Évaluez chaque chiffre attentivement.,155405521555,"{""2"",""3"",""4"",""5""}",5,"Les chiffres 5 sont en positions 2, 3, 6, 7 et 11. Cela résulte en cinq occurrences au total.",Comptez les chiffres un par un.,true
psychotechnique,concentration,Moyenne,Combien de fois la lettre « E » majuscule apparaît-elle ?,Comptez uniquement les E majuscules.,L'ENSEIGNANT EXPLIQUE LES ÉTAPES ÉDUCATIVES.,"{""3"",""4"",""5"",""6""}",4,"Nous avons E dans 'ENSEIGNANT' (1), 'EXPLIQUE' (1), 'ÉTAPES' (1) et 'ÉDUCATIVES' (1). Cela donne un total de quatre E majuscules.",Recherchez les E débutant les mots.,true
psychotechnique,concentration,Moyenne,Quelle séquence correspond exactement au modèle ?,Modèle : 12345ABCDE,12345ABCDE,"{""12345ABCDE"",""12354ABCDE"",""12345ABCDG"",""13245ABCDE""}",12345ABCDE,"La séquence n°1 est identique au modèle. La 2ème a des chiffres inversés, la 3ème une lettre fausse et la 4ème a un ordre de chiffres modifié.",Comparez chaque segment avec exactitude.,true
psychotechnique,concentration,Moyenne,Combien de voyelles contient ce paragraphe ?,"Rappel : a, e, i, o, u, y sont toutes des voyelles.","L'opération a été une réussite totale, grâce à l'effort d'équipe.","{""16"",""17"",""18"",""19""}",17,"Les voyelles se trouvent ainsi : 'L'opération'(5), 'a été'(2), 'une'(2), 'réussite'(4), 'totale'(3), 'grâce'(2), à'(1), 'l'effort'(2), 'd'équipe'(3), totalisant bien 17 voyelles.",Comptez chaque voyelle en finissant un mot avant de commencer le suivant.,true
psychotechnique,concentration,Moyenne,Identifiez l'intrus dans cette suite de chiffres.,Tous les chiffres sauf un suivent le double du précédent.,"2, 4, 8, 16, 33, 32","{""4"",""8"",""16"",""33""}",33,"Chaque chiffre est le double du précédent (2x2=4, 4x2=8, 8x2=16, 16x2=32). Le 33 ne continue pas cette logique de doublement, c'est donc l'intrus.",Multipliez chaque chiffre par deux pour vérifier.,true
psychotechnique,concentration,Moyenne,Quel mot avec plus de 4 lettres est absent ?,Un mot long ne figure pas dans cette liste.,"chien, voiture, avion, maison","{""voiture"",""chien"",""avion"",""maison""}",avion,Le mot 'avion' a seulement cinq lettres et n'atteint pas le critère des plus de quatre lettres. Les autres options font bien partie de mots avec plus de quatre lettres.,Comptez systématiquement les lettres de chaque mot.,true
psychotechnique,concentration,Moyenne,Combien de caractères spéciaux trouve-t-on dans cet extrait ?,"Les caractères spéciaux incluent ponctuation, @, #, etc.","Bienvenue! C'est une belle journée, n'est-ce pas ?@#","{""5"",""6"",""7"",""8""}",7,"Les caractères spéciaux sont '!', ',', '-', '?', ' ', '@' et '#'. On en dénombre ainsi sept au total.",Compte chaque signe de ponctuation distinctement.,true
psychotechnique,concentration,Moyenne,Combien de chiffres pairs sont présents ?,Identifiez les chiffres pairs uniquement.,"4, 7, 5, 2, 9, 6, 3, 8, 1","{""3"",""4"",""5"",""6""}",4,"Les chiffres 4, 2, 6, et 8 sont pairs, pour un total de quatre chiffres.",Sélectionnez seulement les nombres divisibles par deux.,true
