module,category,difficulty,question,prompt,stimulus,options,answer,explanation,hint,is_active
psychotechnique,concentration,Facile,Combien de fois la lettre « E » apparaît-elle dans la phrase (majuscule uniquement) ?,Analyse chaque mot attentivement.,UN ELEVE ETUDIE EN ECOLE.,"{""2"",""3"",""4"",""5""}",4,UN (0) + ELEVE (2) + ETUDIE (1) + EN (1) + ECOLE (0) = 4 lettres E majuscules. Les autres mots ne contiennent aucun E ou alors en minuscule.,Concentre-toi sur les majuscules.,true
psychotechnique,concentration,Facile,Quelle lettre est l'intrus dans la suite suivante ?,Il y a une logique derrière chaque lettre de la suite.,A C E G I K L,"{""A"",""I"",""K"",""L""}",I,"La suite suit les positions impaires de l'alphabet : A (1), C (3), E (5), G (7) et ainsi de suite. I est à la position 9, ce qui casse la logique, la position suivante aurait dû être J (10).",Trouve le motif numérique.,true
psychotechnique,concentration,Facile,Identifiez le modèle identique parmi les séquences proposées.,Modèle : WXYZ1234,WXYZ1234,"{""WXYY1234"",""WXYZ1244"",""WXYZ1234"",""WXYF1234""}",WXYZ1234,"En comparant chaque caractère des séquences proposées avec le modèle, seule la troisième option est strictement identique. Les autres contiennent des erreurs à divers endroits.",Compare caractère par caractère.,true
psychotechnique,concentration,Facile,Combien de chiffres « 5 » apparaissent dans cette suite ?,Compte chaque chiffre individuellement.,2 5 8 5 5 0 5 9,"{""3"",""4"",""5"",""6""}",4,"Les positions du chiffre 5 dans la suite sont 2, 4, 5, et 7, ce qui totalise quatre occurrences. Les autres chiffres sont des distractions.",Note les positions des 5.,true
psychotechnique,concentration,Facile,Combien de consonnes cette phrase contient-elle ?,Inclut seulement les consonnes. La casse ne compte pas.,La police patrouille dans le quartier sereinement.,"{""20"",""21"",""22"",""23""}",20,Décompte mot par mot : La(1) police(3) patrouille(5) dans(3) le(1) quartier(5) sereinement(2). Totalise 20 consonnes.,Compte méthodiquement chaque mot.,true
psychotechnique,concentration,Facile,Quelle lettre est l'intrus dans la suite suivante ?,Observez la progression de la suite.,B C D H I J K,"{""D"",""H"",""J"",""K""}",H,"Les lettres sont des séquences consécutives avec un espace pour K. En revanche, H rompt la séquence entre D et I, car elle devrait être G ou bien il manque E, F, G avant H, soit H est en trop.",Note la continuité entre les lettres.,true
psychotechnique,concentration,Facile,Quelle séquence est strictement identique au modèle ci-dessous ?,Modèle : 456DEF789,456DEF789,"{""456DEE789"",""456DEF887"",""456DEF789"",""455DEF789""}",456DEF789,Seule la troisième séquence est identique au modèle puisque toutes ces lettres et ces chiffres sont dans le bon ordre et ne contiennent aucune variation.,Assure-toi que chaque indice correspond exactement.,true
psychotechnique,concentration,Facile,Combien de fois la lettre « R » apparaît-elle dans la phrase suivante (casse insensible) ?,"Prends en compte la lettre R, peu importe sa casse.","Rentrant de la réunion, il trouva un rappel sous son bureau.","{""3"",""4"",""5"",""6""}",5,"Rentrant(2), rencontre(0), rappel(2), bureau(1) totalisent 5 occurrences tout ensemble.",Ignore la différence entre majuscules et minuscules.,true
psychotechnique,concentration,Facile,Combien de chiffres pairs la suite suivante contient-elle ?,Comptez uniquement les chiffres pairs.,8 3 5 2 9 6 7 4,"{""3"",""4"",""5"",""6""}",4,"Les chiffres pairs sont à 8 (1), 2 (1), 6 (1) et 4 (1), rendant un total de 4. Les autres chiffres de la suite sont impairs.",Cherche des chiffres divisibles par deux.,true
psychotechnique,concentration,Facile,Quel code est l'intrus dans la suite ?,Repérez le code homogène.,123X 124X 125X 127Y,"{""123X"",""124X"",""125X"",""127Y""}",127Y,"Les codes suivent la structure XYX. Dans 127Y, le schéma est brisé avec lettre Y au lieu de X comme tous les autres.",Focalise-toi sur les schémas XYX.,true
psychotechnique,concentration,Moyenne,Combien de fois la lettre « C » apparaît dans ces mots (majuscule uniquement) ?,Seuls les C majuscules comptent.,COMPACT CHAOS CHIC CIRCUIT,"{""3"",""4"",""5"",""6""}",6,"Les positions sont COMPACT(2) + CHAOS(1) + CHIC(1) + CIRCUIT(2), ce qui totalise 6 occurrences. Tous les autres mots ont des C mais ils sont minuscule donc exclu.",Vérifie chaque mot attentivement.,true
