module,category,difficulty,question,prompt,stimulus,options,answer,explanation,hint,is_active
psychotechnique,concentration,Facile,Combien de fois la lettre « A » apparaît-elle dans la phrase (en majuscule ou minuscule) ?,Comptez attentivement.,AVRIL ARRIVE AVEC DES ABEILLES AGREABLES.,"{""7"",""8"",""9"",""10""}",9,"AVRIL (1) + ARRIVE (2) + AVEC (1) + DES (0) + ABEILLES (1) + AGREABLES (3) = 9 occurrences de A au total. Attention à ne pas être dérouté par les autres lettres qui peuvent apparaître fréquemment, comme le E.",Surligne mentalement chaque A.,true
psychotechnique,concentration,Facile,Quelle lettre est l'intrus dans la suite?,Toutes les lettres sauf une suivent une règle commune.,B D F H J K L,"{""F"",""H"",""J"",""K""}",K,"La suite est constituée des consonnes en position paire (B=2, D=4, F=6, H=8, J=10, L=12). K (=11) est situé en position impaire et brise la règle. Ne te laisse pas distraire par la succession rapide des consonnes, prête attention à leur position.",Regarde la position de chaque lettre dans l'alphabet.,true
psychotechnique,concentration,Facile,Combien de fois le chiffre « 2 » apparaît-il dans la suite suivante ?,,5 2 9 2 8 2 2 1 7,"{""3"",""4"",""5"",""6""}",4,"Dans la suite donnée, le chiffre 2 apparaît en positions 2, 4, 6, et 7. Il y a donc quatre occurrences de 2. La distraction classique est de manquer un chiffre au début ou à la fin en se concentrant trop sur le milieu.",Regarde les séparations des chiffres pour bien compter.,true
psychotechnique,concentration,Facile,Combien de lettres 'E' apparaissent-elles dans la phrase ?,Considère uniquement les lettres en majuscule.,IL EST ÉTONNANT DE VOIR COMMENT L'ORDRE ÉLABORÉ EST ENTRETENU.,"{""5"",""6"",""7"",""8""}",8,En comptant les E majuscules: IL (0) + EST (1) + ÉTONNANT (1) + DE (1) + VOIR (0) + COMMENT (0) + L'ORDRE (1) + ÉLABORÉ (2) + EST (1) + ENTRETENU (2) = 8.,Fais attention au début de chaque mot.,true
psychotechnique,concentration,Facile,"Combien de fois la lettre « S » apparaît-elle dans le texte, sans tenir compte de la casse ?",Ne t'inquiète pas pour les majuscules et minuscules.,"SERGENT, SOIGNEZ LE SUSPENSE.","{""3"",""4"",""5"",""6""}",5,"Analyse mot par mot : SERGENT (1) + SOIGNEZ (1) + LE (0) + SUSPENSE (3) = 5 S. Les variations de casse ne sont pas importantes à ce niveau, mais il est crucial de bien identifier chaque mot pour ne pas manquer un S.","Casse insensible, donc S et s comptent pareil.",true
psychotechnique,concentration,Facile,Quelle lettre est l'intrus dans la suite?,Cherchez la lettre qui ne suit pas la règle.,A C E G H J L,"{""E"",""G"",""H"",""L""}",H,"La suite devrait alterner les lettres en sautant une position dans l'alphabet (A, C, E, G, I, K, M). H est l'intrus car il est immédiatement après G sans le saut habituel. Il est facile d'être confus par la régularité des lettres, prêtez attention à leur ordre.",Vérifiez la logique de l'alternance.,true
psychotechnique,concentration,Facile,Combien de voyelles sont présentes dans la phrase ?,"Incluez a, e, i, o, u uniquement.",UNE AGREABLE SENSATION DE DETENTE.,"{""11"",""12"",""13"",""14""}",12,"Comptez soigneusement : UNE (2) + AGREABLE (4) + SENSATION (4) + DE (1) + DETENTE (1). Total = 12. Ne te laisse pas piéger par l'aspect agréable de la phrase, focalise-toi sur les voyelles.",Prononce chaque mot pour ne rien oublier.,true
psychotechnique,concentration,Facile,Combien de fois le chiffre « 1 » apparaît-il dans la suite suivante ?,,1 3 4 1 0 9 1 3 8 1 5,"{""3"",""4"",""5"",""6""}",4,"Dans la suite : 1 (1) + 3 (0) + 4 (0) + 1 (1) + 0 (0) + 9 (0) + 1 (1) + 3 (0) + 8 (0) + 1 (1) + 5 (0), Il y a quatre occurrences du chiffre 1. Un classique est d'oublier les chiffres entourés d'autres identiques par manque d'attention.",Focus sur le début et la fin de la suite.,true
psychotechnique,concentration,Facile,Quelle lettre est l'intrus dans cette suite de chiffres et de lettres ?,"Un intrus se cache, repère-le.",2 4 6 8 10 B 12,"{""6"",""8"",""10"",""B""}",B,"La suite est numérique avec une augmentation de deux unités à chaque fois. Le B est une lettre parmi des chiffres, ce qui en fait l'intrus évident. Il est essentiel de différencier les lettres des chiffres pour ne pas être trompé.",Cherchez l'intrus non-numérique.,true
psychotechnique,concentration,Facile,Combien de mots de plus de 3 lettres sont présents dans cette phrase ?,,LE CHAT A ATTRAPÉ UN GRAND POISSON.,"{""3"",""4"",""5"",""6""}",4,"Didactique : CHAT (4 lettres), ATTRAPÉ (7 lettres), GRAND (5 lettres), POISSON (7 lettres). LE et A n'ont respectivement que 2 et 1 lettres. Le secret est de se concentrer sur la longueur des mots et non sur leur signification.",Compte les lettres de chaque mot.,true
