module,category,difficulty,question,prompt,stimulus,options,answer,explanation,hint,is_active
psychotechnique,concentration,Facile,Combien de fois la lettre « A » apparaît-elle dans cette phrase ?,Compte les lettres 'A' majuscules.,ALAIN AIME ALLER AU CINEMA.,"{""4"",""5"",""6"",""7""}",4,ALAIN (1) + AIME (1) + ALLER (1) + AU (1) + CINEMA (0) = 4 fois la lettre 'A' en majuscule. Comptez chaque 'A' séquentiellement dans chaque mot pour éviter de manquer un 'A'.,Assurez-vous de bien observer chaque début de mot.,true
psychotechnique,concentration,Facile,Quel est l'intrus dans la série suivante ?,Identifiez l'intrus avec une logique simple.,"2, 4, 6, 7, 10, 12","{""2"",""4"",""7"",""6""}",7,"Tous les nombres, sauf 7, sont des nombres pairs. Le nombre 7 est impair, ce qui le rend distinct des autres qui sont tous des multiples de 2. En vérifiant chaque numéro, nous identifions rapidement 7 comme l'anomalie.",Regardez la parité des nombres.,true
psychotechnique,concentration,Facile,Combien de fois la lettre « E » apparaît-elle dans ce texte ?,Compte les minuscules seulement.,Ce texte est un exemple.,"{""3"",""4"",""5"",""6""}",5,Ce texte… texte (1) + est (1) + ex (1) + em (1) + ple (1) = 5 fois la lettre 'e' en minuscule. Assurez-vous de ne pas compter les majuscules ni les autres lettres qui ne sont pas des 'e'.,Ne comptez que les e en minuscule.,true
psychotechnique,concentration,Facile,Quel chiffre est l'intrus dans cette suite ?,Les chiffres suivent une séquence sauf un.,"1, 3, 5, 7, 9, 11, 13, 14, 15","{""1"",""7"",""14"",""9""}",14,"Tous les chiffres sauf 14 sont impairs. Le chiffre 14 est pair, ce qui en fait l'élément intrus. En énumérant chaque numéro, il devient clair que 14 ne suit pas la séquence des impairs.",Vérifiez si le chiffre est pair ou impair.,true
psychotechnique,concentration,Facile,Combien de fois le chiffre « 5 » apparaît-il dans cette suite numérique ?,Vérifiez chaque chiffre une par une.,512453859375,"{""3"",""4"",""5"",""6""}",5,"Positions des 5 : première (1), quatrième (1), sixième (0), huitième (0), neuvième (1), dixième (1), douzième (1). Au total, 5 apparaît cinq fois. Avancez de manière linéaire à travers la chaîne pour éviter de manquer un chiffre.",Scrute chaque 5 attentivement.,true
psychotechnique,concentration,Facile,Quelle lettre est l'intrus dans la liste suivante ?,Tous les éléments sauf un obéissent à une règle.,"A, C, E, G, I","{""A"",""C"",""E"",""I""}",I,"La suite de lettres A, C, E, G est faite d'alternance, ajoutant deux positions dans l'alphabet. 'I' suit immédiatement 'H', ce qui rompt le schéma. En comparant chaque lettre, 'I' ne respecte pas cette règle.",Considérez l'espacement entre les lettres.,true
psychotechnique,concentration,Facile,Combien de fois la lettre 'T' majuscule apparaît-elle ici ?,,TOTO TROUVE CA TRES DRÔLE.,"{""3"",""4"",""5"",""6""}",5,"TOTO (2) + TROUVE (1) + CA (0) + TRES (1) + DRÔLE (0) = il y a 5 fois 'T' en majuscule. Pour éviter les erreurs, comptez systématiquement chaque 'T'.",Vérifiez chaque début de mot.,true
psychotechnique,concentration,Facile,Quel nombre est l'intrus ?,La logique de progression est simple.,"10, 20, 30, 50, 60","{""10"",""20"",""30"",""50""}",50,Chaque nombre augmente de 10 sauf 50 qui casse le rythme en sautant deux intervalles de 10 à partir de 30. Identifier 50 comme l'intrus repose sur l'observation des intervalles réguliers brisés.,Considérez l'incrément entre les nombres.,true
psychotechnique,concentration,Facile,Combien de B majuscules trouvez-vous dans cette série ?,Focusez seulement sur les majuscules.,BBQ BIEN BRULE BON!,"{""3"",""4"",""5"",""6""}",5,BBQ (2) + BIEN (1) + BRULE (1) + BON (1) = 5 B majuscules. Assurez-vous de bien distinguer entre majuscules et minuscules.,Ne comptez que les majuscules.,true
psychotechnique,concentration,Facile,Quel est l'intrus parmi ces objets ?,Observez la catégorie commune.,"Soleil, Lune, Planète, Dessin","{""Lune"",""Planète"",""Dessin"",""Soleil""}",Dessin,"Tous les éléments sauf Dessin sont des corps célestes. Dessin n'appartient pas à la catégorie de l'astronomie. En éliminant, il devient évident que Dessin est l'intrus.",Considérez le thème céleste.,true
psychotechnique,concentration,Facile,Combien de fois la lettre 'C' apparaît-elle ?,,CUISINE CHAUDE AVEC CHOUCROUTE.,"{""3"",""4"",""5"",""6""}",4,CUISINE (1) + CHAUDE (1) + AVEC (1) + CHOUCROUTE (1) = 4 fois 'C'. Ne confondez pas les majuscules et minuscules. Approfondissez chaque mot pour vérifier tous les 'C'.,Concentrez-vous sur le début des mots.,true
psychotechnique,concentration,Facile,Quelle couleur est l'intrus ?,Il y a un élément dont la couleur n'appartient pas au groupe.,"Rouge, Verte, Bleu, Charbon","{""Rouge"",""Verte"",""Bleu"",""Charbon""}",Charbon,"Rouge, Verte, et Bleu sont des couleurs de base en termes de lumière; Charbon, une nuance de noir, ne leur correspond pas. Identifiez l'anomalie par catégorie de couleur.",Considérez les couleurs primaires de lumière.,true
