module,category,difficulty,question,prompt,stimulus,options,answer,explanation,hint,is_active
psychotechnique,concentration,Facile,Combien de fois la lettre « A » apparaît-elle dans cette phrase (en majuscule ou minuscule) ?,Comptez les lettres « A » visibles.,Ceci est un exemple avec quelques A dispersés.,"{""4"",""5"",""6"",""7""}",4,"En passant en revue la phrase, on trouve les « a » suivants : exemple(1), avec(1), quelques(0), A(1), dispersés(0), et dans 'Ceci' il n’y en a pas non plus. Le total est donc de 4.",Cherchez chaque 'a' dans chaque mot.,true
psychotechnique,concentration,Facile,Quelle lettre est l'intrus dans la suite ?,Identifiez l'élément qui ne suit pas le même ou nième pattern.,E G I K M O Q R,"{""I"",""K"",""M"",""R""}",R,"La suite commence par des lettres en progression par palier de deux : E(0), G(1), I(2), K(3), M(4), O(5), Q(6). Ici, R(7) invalide le pattern puisqu'après Q, la progression initiale est brisée.",Notez la progression des lettres par saut de 2.,true
psychotechnique,concentration,Facile,Combien de chiffres « 5 » apparaissent dans la série ?,,5 7 5 9 1 5 3 4 2 5 6,"{""3"",""4"",""5"",""6""}",4,"En parcourant la série : 5(1), 7(0), 5(2), 9(0), 1(0), 5(3), 3(0), 4(0), 2(0), 5(4), 6(0), on comptabilise quatre occurrences du chiffre 5.",Survolez visuellement chaque chiffre distinctement.,true
psychotechnique,concentration,Facile,Quelle suite est identique au modèle proposé ?,Modèle : 1234ABCD,1234ABCD,"{""1234ABDC"",""1243ABCD"",""1234ABCD"",""1324ABCD""}",1234ABCD,"En comparant chaque option avec le modèle, seule la troisième (1234ABCD) correspond exactement au modèle fourni. Les autres séquences présentent des erreurs de permutation.",Comparez chaque caractère un à un avec le modèle.,true
psychotechnique,concentration,Facile,Combien de fois la lettre « T » apparaît-elle dans ce texte ?,Comptez les occurrences de « T ».,Le chat dort tout le temps dans sa petite tanière.,"{""3"",""4"",""5"",""6""}",4,"Chaque position contenant un « T » : chat(0), dort(1), tout(2-3), le(0), temps(0), dans(0), sa(0), petite(4), tanière(5). En tout, quatre occurrences sont comptabilisées.",Vérifiez la lettre finale de chaque mot.,true
psychotechnique,concentration,Facile,Quelle couleur est l'intrus dans cette suite ?,Les couleurs se répètent en suivant un pattern sauf une.,Rouge Vert Bleu Rouge Vert Jaune,"{""Rouge"",""Vert"",""Bleu"",""Jaune""}",Jaune,"Le motif est Rouge, Vert, Bleu qui se répété, mais Jaune à la fin n'appartient pas à ce cycle. Cela brise le pattern auquel toutes les autres couleurs correspondent.",Identifiez et répétez mentalement le pattern des couleurs initial.,true
psychotechnique,concentration,Facile,Combien de « E » majuscules sont présents?,Attention aux majuscules uniquement.,ELLIE EST EN ÉTÉ ET ÉNERGÉTIQUE,"{""2"",""4"",""6"",""8""}",4,"En parcourant la phrase, voici le relevé des E majuscules : ELLIE(1), EST(1), EN(1), ÉTÉ(1). Les mots ÉNERGÉTIQUE est compté deux fois (pour É et E initiaux). Totalement, cela fait quatre.",Repérez les mots en majuscules.,true
psychotechnique,concentration,Facile,Combien de chiffres « 1 » sont présents dans la série ?,,1 4 6 1 8 1 2 9,"{""2"",""3"",""4"",""5""}",3,"En étudiant la série on voit: 1 (position 1), 6 (0), 1(position 4) et 1 (position 5). Il y a en tout trois occurrences.",Suivez bien chaque chiffre.,true
psychotechnique,concentration,Moyenne,Combien de fois la lettre « N » apparaît-elle en minuscule ?,Ne comptez que les n en minuscule dans cette phrase.,Nous naviguons en toute neutralité en n omettant aucune norme.,"{""3"",""4"",""5"",""6""}",6,"Voici où se trouvent les 'n' minuscule : Nous(0), naviguons(2), en(3), toute(3), neutralité(6), omettant(6), aucune(6), norme(7). Le nombre total de 'n' minuscule est de 6.",Vérifiez la présence minuscule:,true
psychotechnique,concentration,Moyenne,Quelle lettre est l'intrus par position alphabétique croissante ?,Trouver l'élément qui ne suit pas cette séquence.,A C E G I M L O,"{""E"",""G"",""L"",""O""}",L,Les lettres étant correctement classées par rang impair sauf L qui ne suit pas le rythme en dépit d'être positionné après le J dans l’alphabet.,Soulignez les positions impaires dans l'alphabet.,true
psychotechnique,concentration,Moyenne,Combien de fois le chiffre « 7 » apparaît-il ?,,7 6 7 3 7 4 9 7 2 7,"{""3"",""4"",""5"",""6""}",5,"Chaque 7 peut être trouvé aux positions : 1, 3, 5, 8 et 10 = 5 occurrences.",Repérez et isolez chaque occurrence du 7.,true
psychotechnique,concentration,Moyenne,Quelle séquence correspond parfaitement au modèle ?,Modèle : abcAB123,abcAB123,"{""abcAC123"",""abcAB123"",""abcbAB23"",""abcBA123""}",abcAB123,En observant attentivement chaque choix : seule la deuxième option (abcAB123) ne comporte absolument aucun changement par rapport au modèle fourni.,"Comparez lettre à lettre, y compris les cas.",true
psychotechnique,concentration,Moyenne,Combien de mots de plus de 4 lettres dans cette phrase ?,Comptez uniquement les mots avec plus de 4 lettres.,Les policiers ont capturé rapidement le fugitif.,"{""3"",""4"",""5"",""6""}",4,"Ici, les mots de plus de 4 lettres sont : policiers(1), capturé(2), rapidement(3), fugitif(4). Cela vous donne un total de 4 mots répondant au critère.",Ciblez les mots par leur longueur.,true
psychotechnique,concentration,Moyenne,Quelle lettre est l'intrus par occurence fréquente ?,Recherchez la lettre qui rompt la suite.,ABBCCCDDEEFF,"{""A"",""B"",""D"",""F""}",D,"Les lettres A, B, C se présentent respectivement 1, 2 et 3 fois. Puis E et F suivent cette règle, tandis que D apparaît deux fois seulement, brisant l'idée initiale.",Utilisez la répétition pour guider votre choix.,true
psychotechnique,concentration,Moyenne,Combien de fois la lettre « R » est-elle présente ?,,Une rue riche de racines robustes.,"{""3"",""4"",""5"",""6""}",5,"En étudiant : une(0), rue(1), riche(2), de(0), racines(4), robustes(5), on compte un total de cinq R.",Nettoyez chaque mot.,true
psychotechnique,concentration,Moyenne,Quel intrus se glisse dans une progression numérique?,Détectez l'intrus parmi ces nombres qui ne correspondent pas.,2 4 6 8 10 13 12 14,"{""8"",""10"",""12"",""13""}",13,"La liste suit clairement des nombres pairs jusqu'à l'apparition de 13, le seul impair qui dérange cette suite régulière.",Utilisez la navigation par paires et l'alternance pour vérifier.,true
psychotechnique,concentration,Moyenne,Combien de caractères majuscules se cachent ici ?,Rappelez-vous l'importance des majuscules.,"Dans Cette PhrasE, seules les importances Connues.","{""4"",""5"",""6"",""7""}",7,"Il y a sept caractères majuscules : Dans(C, E) Cette(P, C) Produit(E, C), Connu(E). Le compte inclus les premières lettres pour Chaque Majuscule présente.",Passez en revue et repérez mentalement chaque lettre ,true
