module,category,difficulty,question,prompt,stimulus,options,answer,explanation,hint,is_active
psychotechnique,concentration,Facile,Combien de fois la lettre « E » apparaît-elle (majuscule ou minuscule) dans la phrase ?,Comptez attentivement chaque E.,Les examens essentiels s'effectuent en été.,"{""5"",""6"",""7"",""8""}",7,"Dans 'Les' (1), 'examens' (2), 'essentiels' (3), 's'effectuent' (1), 'en' (1), 'été' (1), nous avons un total de 7 occurrences de E. Il est crucial de vérifier chaque mot pour ne pas manquer les lettres accentuées également comptées.",Utilisez le surlignage mental pour chaque E.,true
psychotechnique,concentration,Facile,Quel est l'intrus dans cette suite de couleurs ?,Une couleur ne suit pas le motif des couleurs de l'arc-en-ciel.,"Rouge, Orange, Vert, Bleu, Rose, Violet","{""Orange"",""Vert"",""Rose"",""Rouge""}",Rose,"En suivant l'ordre des couleurs de l'arc-en-ciel, nous avons Rouge, Orange, Jaune, Vert, Bleu, Indigo, Violet. Rose n'en fait pas partie, ce qui en fait l'intrus. La confusion peut venir de la proximité de teintes avec le Rouge.",Récitez mentalement les couleurs de l'arc-en-ciel.,true
psychotechnique,concentration,Facile,Combien de chiffres « 5 » trouve-t-on dans la suite ?,,1 5 7 5 9 5 3 5,"{""3"",""4"",""5"",""6""}",4,"Les chiffres 5 apparaissent aux positions 2, 4, 6, et 8, fournissant un total de 4 occurrences. La tendance à ignorer le dernier chiffre 5 dans cette séquence visualement répétitive est courante.",Vérifiez chaque position paire dans la suite.,true
psychotechnique,concentration,Facile,Quelle lettre est l’intrus dans la suite alphabétique ?,Une lettre ne suit pas l'ordre des consonnes après une voyelle.,"B, D, F, G, J","{""D"",""F"",""G"",""J""}",G,"Les lettres B, D, F, J suivent l'ordre des consonnes succédant une voyelle en début de l'alphabet (A, B, C, D). G est après une voyelle O et fait exception. Comprendre l'ordre des lettres peut aider à rendre évidente cette anomalie.",Révisez l'ordre des lettres après chaque voyelle.,true
psychotechnique,concentration,Facile,Combien de fois la lettre « T » apparaît-elle (en minuscule) ?,Concentrez-vous uniquement sur les minuscules.,Une tortue tranquille traverse tranquillement.,"{""2"",""3"",""4"",""5""}",5,"Dans 'tortue' (1), 'tranquille' (2), 'traverse' (1), 'tranquillement' (2), il y a 6 T au total. Il est facile de sous-compter dans une phrase où un mot apparaît plusieurs fois avec des variations.",Soyez attentif aux mots récurrents.,true
psychotechnique,concentration,Facile,Quelle séquence est identique au modèle ?,Modèle : 1234-5678-ABCD,1234-5678-ABCD,"{""1234-5678-ABDC"",""1234-5678-ABCD"",""1235-5678-ABCD"",""1234-5679-ABCD""}",1234-5678-ABCD,La séquence correcte suit l'exactitude caractère par caractère au modèle. Les autres propositions dissimulent subtilement une inversion ou un changement de chiffre.,Compare chaque partie de la séquence une à une.,true
psychotechnique,concentration,Facile,Combien de lettres « S » (majuscule ou minuscule) voient le jour dans cette phrase ?,Incluez toutes les lettres S visibles.,"Samedi, Sophie se promène avec son chien sous le soleil.","{""4"",""5"",""6"",""7""}",6,"Les S se trouvent dans 'Samedi' (1), 'Sophie' (1), 'se' (1), 'son' (1), 'sous' (1), 'soleil' (1), donnant un total de 6. La similarité phonétique avec les lettres Z peut parfois induire en erreur.",Surlignez chaque S visuellement dans votre esprit.,true
psychotechnique,concentration,Facile,Quel est l'intrus dans cette suite de jours ?,Un jour ne fait pas partie de la semaine française.,"Lundi, Mardi, Mercredi, Žour","{""Lundi"",""Mardi"",""Mercredi"",""Žour""}",Žour,"La suite donnée offre un mot 'Žour' qui n’appartient pas au calendrier. C'est clairement une fausse note par rapport aux jours établis tels que Lundi, Mardi, et Mercredi.",Mémorisez les jours de la semaine standard.,true
psychotechnique,concentration,Moyenne,Combien de fois la lettre « N » en minuscule apparaît-elle dans ce texte ?,Regardez uniquement les minuscules.,Le chemin mène non loin de l'ancienne maison.,"{""4"",""5"",""6"",""7""}",5,"Dans 'chemin' (1), 'non' (1), 'loin' (1), 'ancienne' (2), et 'maison' (1), nous obtenons 6 occurrences. Ne pas vérifier attentivement chaque mot peut entraîner une omission.",Parcourez mot par mot lentement.,true
psychotechnique,concentration,Moyenne,Quelle séquence correspond exactement au modèle ?,Modèle : 4765-4821-ZYXW,4765-4821-ZYXW,"{""4765-4821-ABCD"",""4765-4821-ZYXW"",""4765-4820-ZYXW"",""4764-4821-ZYXW""}",4765-4821-ZYXW,"Seule la séquence '4765-4821-ZYXW' est une copie conforme du modèle, vérifiée caractère par caractère. Les autres séquences contiennent des différences subtiles cassant cette authentification.",Comparez chaque combinaison de chiffres et lettres méthodiquement.,true
psychotechnique,concentration,Moyenne,Combien de voyelles en minuscule contient la phrase ?,"Incluez a, e, i, o, u.",Le village caché regorge de histoires mystérieuses.,"{""11"",""12"",""13"",""14""}",13,"Dans 'village' (2), 'caché' (2), 'regorge' (3), 'de' (1), 'histoires' (3), 'mystérieuses' (3), nous obtenons 14 voyelles. Une erreur fréquente est de négliger les accents qui restent des voyelles.",Comptez d'abord les voyelles de chaque mot individuellement.,true
psychotechnique,concentration,Moyenne,Combien de fois la lettre 'M' en majuscule est-elle visible ?,Comptez uniquement les majuscules.,Maxime et Mario mangent des M&M's pendant le match.,"{""2"",""3"",""4"",""5""}",3,"Il y a 3 M majuscules : 'Maxime' (1), 'Mario' (1), 'M&M's' (1). Les mots débutant par M majuscule sont souvent négligés, donc soyez prudent.",Cherchez toute première lettre de mot majuscule dans votre vérification.,true
psychotechnique,concentration,Moyenne,Quel nombre est l'intrus dans cette suite mathématique ?,Identifiez le numéro qui ne suit pas le modèle des multiples de 4.,"4, 8, 12, 18, 16, 20","{""8"",""12"",""18"",""16""}",18,"Dans la suite, 4, 8, 12, 16, 20 sont tous des multiples de 4 tandis que 18 ne l'est pas. Le piège ici est de penser que 18 est proche de 16, ce qui peut induire erreur.",Divisez chaque chiffre par 4 pour vérifier.,true
psychotechnique,concentration,Moyenne,Choisissez le modèle identique parmi les options.,Modèle : ABCD-5678-XD,ABCD-5678-XD,"{""ABCD-5678-XC"",""ABCD-5678-XD"",""ABCD-5678-YD"",""ABCD-5677-XD""}",ABCD-5678-XD,"En évaluant chaque lettre et chiffre, seule la deuxième proposition est correctement retranscrite. Les erreurs typiques incluent des interversions ou modifications légères.",Analysez chaque caractère avant de décider.,true
psychotechnique,concentration,Moyenne,Quel est l'intrus dans cette séquence inversée ?,"Sauf un, chaque chiffre vient par valeur décroissante du précédent.","10, 9, 8, 4, 6, 3","{""8"",""4"",""6"",""3""}",6,"Les nombres descendent 10, 9, 8, et ensuite brisent l'ordre avec 4 puis 6. Le 6 n'est pas à sa place logique selon la suite et est ainsi l'intrus.",Concentrez-vous d'abord sur la règle de dégression.,true
psychotechnique,concentration,Moyenne,Combien de mots de plus de 4 lettres sont présents ?,Envoyez uniquement les mots avec 5 lettres et plus.,Le policier a interrogé soigneusement le témoin principal.,"{""4"",""5"",""6"",""7""}",5,"Les mots 'policier' (1), 'interrogé' (1), 'soigneusement' (1), 'témoin' (1), 'principal' (1) dépassent 4 lettres. C’est commun de réagir à l'apparence des mots sans les mesurer.",Mesurez chaque mot attentivement par lettre.,true
psychotechnique,concentration,Moyenne,Identifiez la séquence stricte.,Modèle : XYL0-9987-ASD,XYL0-9987-ASD,"{""XYZ0-9987-ASD"",""XYL0-9987-ASD"",""XYL0-9986-ASD"",""XYL0-9987-SAD""}",XYL0-9987-ASD,"En comparant soigneusement, seule 'XYL0-9987-ASD' est parfaitement conforme au modèle. Chaque lettre et chiffre nécessitent une double vérification pour éviter l'erreur.",Procédez avec minutie en commençant par les premières lettres.,true
psychotechnique,concentration,Difficile,Combien de fois la lettre « G » majuscule apparaît-elle ?,Compte uniquement les G majuscules.,GRAND GUERRIER GARDE GALETTE.,"{""3"",""4"",""5"",""6""}",4,"« GRAND » (1), « GUERRIER » (1), « GARDE » (1), et « GALETTE » (1) donnent 4 majuscules. Le piège est d'oublier d'inclure tous les mots quand il y a répétition de son.",Ne comptez que les initiales majuscules.,true
psychotechnique,concentration,Difficile,Quelle séquence est identique au modèle alphanumérique ?,Modèle : 3G5-K2R-01L-ZX,,"{""3G5-K2R-02L-ZX"",""3G5-K2R-01L-ZX"",""3G6-K2R-01L-ZX"",""3G5-KKR-01L-ZX""}",3G5-K2R-01L-ZX,La deuxième proposition suit exactement le modèle. Il est important d'étudier de près pour détecter des dyslexies ou erreurs de proximité.,Commencez avec les chiffres avant de passer aux lettres.,true
psychotechnique,concentration,Difficile,Combien de mots avec plus de 5 lettres contient le texte ?,Tous les mots doivent être comptabilisés.,Le détective Anderson soupçonnait un complot international extrêmement complexe.,"{""3"",""4"",""5"",""6""}",5,"Les mots « détective » (1), « Anderson » (1), « soupçonnait » (1), « international » (1), et « extrêmement » (1) font 5 mots au total. En négligeant de vérifier intégralement les mots, des erreurs se produisent.",Comptez chaque grande empreinte textuelle pas à pas.,true
psychotechnique,concentration,Difficile,Identifiez l'anomalie dans la séquence de chiffres impairs.,Cherchez un nombre qui ne suit pas la logique des chiffres impairs.,"11, 23, 33, 44, 55","{""23"",""33"",""44"",""55""}",44,"Tous les chiffres sont impairs sauf 44, qui est pair, rompt donc le motif. Assurez-vous de toujours penser en catégories de nombres (pair vs. impair) pour déceler ces infractions.",Vérifiez la parité de chaque chiffre.,true
psychotechnique,concentration,Difficile,Combien de E minuscules apparaissent dans ce texte ?,Considérons les accents sans distinction.,Édouard et Héléna prennent leur café ensemble maintenant.,"{""7"",""8"",""9"",""10""}",8,"Les e dans « Édouard » (1), « Héléna » (2), « prennent » (2), « leur » (1), « ensemble » (1), « maintenant » (1) comptabilisent au total 8 e. Les accents sur les majuscules ne doivent pas être négligés.",Regardez chaque groupe de lettres individuellement.,true
psychotechnique,concentration,Difficile,Combien de chiffres pairs trouve-t-on dans la suite affichée ?,,"2, 5, 4, 9, 8, 7, 6, 1","{""3"",""4"",""5"",""6""}",4,"Les chiffres pairs sont : 2, 4, 8, et 6. De nombreux examinateurs tombent dans le piège en ne reconnaissant pas correctement chaque chiffre de parité.",Repérez les nombres divisibles par 2.,true
psychotechnique,concentration,Difficile,Identifiez le modèle identique alphanumérique parmi les séquences.,Modèle : 4D5F-XX9L,,"{""4D5F-XX9L"",""4D5X-XX9L"",""4D5F-XY9L"",""4D5F-XX9M""}",4D5F-XX9L,"Seulement la première option '4D5F-XX9L' conserve chaque lettre du modèle initial, à vérifier systématiquement pour éviter les trappes lexicales.","Comparez un caractère à la fois, du début à la fin.",true
