module,category,difficulty,question,prompt,stimulus,options,answer,explanation,hint,is_active
psychotechnique,concentration,Facile,Combien de fois la lettre « E » apparaît-elle dans la phrase ?,Comptez les E majuscules et minuscules.,Pierre entre en contact avec elle tous les étés.,"{""5"",""6"",""7"",""8""}",7,"Dans la phrase, comptez chaque 'E' : Pierre (2), entre (1), en (1), contact (0), avec (1), elle (2) = 7. Vérifiez soigneusement chaque mot pour ne pas manquer un E.","Passe en revue chaque mot, un par un.",true
psychotechnique,concentration,Facile,Quel chiffre est l'intrus dans la suite ?,Trouver le numéro qui rompt la séquence.,2 4 6 8 9 10 12,"{""4"",""8"",""9"",""12""}",9,"La suite suit les nombres pairs : 2, 4, 6, 8, 10, 12. Le chiffre 9 est impair et coupe la progression des multiples de 2.",Cherchez celui qui n'est pas pair.,true
psychotechnique,concentration,Facile,Combien de fois le chiffre « 2 » apparaît-il dans la suite ?,Comptez les chiffres 2 présents.,1 2 3 2 4 5 2 6 7 2,"{""3"",""4"",""5"",""6""}",4,"Le chiffre 2 apparaît aux positions 2, 4, 7, et 10. Ainsi, il y a quatre occurrences du chiffre 2.",Concentrez-vous sur les positions des 2 dans la séquence.,true
psychotechnique,concentration,Facile,Quel pictogramme est l'intrus ?,Identifiez le symbole qui ne suit pas la séquence logicielle.,😊 😃 😀 😁 😇 🙂 😅,"{""😃"",""😁"",""😇"",""😅""}",😇,"Cette suite est composée de visages souriants avec des sourcils et yeux, sauf le sourire angélique 😇 qui a une particularité : l'auréole.",Cherchez une vedette unique parmi les sourires.,true
psychotechnique,concentration,Facile,Combien de fois la lettre « R » apparaît-elle ?,Inclure les majuscules et les minuscules.,Ramy repasse ramer avec rigueur près du rivage rose.,"{""4"",""5"",""6"",""7""}",6,"Les ‘R’ se trouvent dans : Ramy (1), repasse (1), ramer (1), rigueur (1), près (1), rivage (1), rose (0), total : 6.",Comptez chaque mot attentivement pour les R.,true
psychotechnique,concentration,Facile,Quel mois est l'intrus dans cette liste ?,Tous sauf un sont des mois de 31 jours.,"Janvier, Février, Mars, Mai, Juillet","{""Février"",""Mars"",""Mai"",""Juillet""}",Février,"Tous les mois mentionnés ont 31 jours sauf Février, qui a typiquement 28 ou 29 jours.",Comparez le nombre de jours des mois.,true
psychotechnique,concentration,Moyenne,Combien de fois la lettre « N » majuscule apparaît-elle ?,Comptez uniquement les N majuscules.,Nina Nanar ne Nage pas loin du Nénuphar.,"{""4"",""5"",""6"",""7""}",4,"On trouve des N majuscules dans : Nina (1), Nanar (1), Nage (1), et Nénuphar (1). Chaque N au début de ces mots est compté, soit 4 au total.",Focalisez-vous sur les mots commençant par N.,true
psychotechnique,concentration,Moyenne,Quel nombre est l'intrus dans la séquence arithmétique suivante ?,Identifiez celui qui ne suit pas la progression logique.,"3, 6, 9, 11, 15, 18","{""11"",""6"",""15"",""18""}",11,"La suite progresse par multiples de 3 (3, 6, 9, 12, 15, 18). Le chiffre 11 ne respecte pas cette règle.",Recherchez un motif de progression fixe.,true
psychotechnique,concentration,Moyenne,Quelle séquence est identique à cette combinaison : 1A2B3C ?,Trouvez la séquence qui ne change aucune lettre ou chiffre.,1A2B3C,"{""1A2B3C"",""1A2B4C"",""1A3B3C"",""1B2A3C""}",1A2B3C,"Parcourant chacune des options, seul « 1A2B3C » est identique au modèle proposé, sans changement de position.",Comparez chaque position en détail.,true
psychotechnique,concentration,Moyenne,Combien de voyelles dans la phrase suivante ?,Comptez les voyelles sans distinction de casse.,La police examine les cartes d'identité.,"{""10"",""11"",""12"",""13""}",11,"Décomposons : La (1), police (3), examine (3), les (1), cartes (2), d'identité (2), total : 11 voyelles.",Ne sautez aucun mot dans votre décompte.,true
psychotechnique,concentration,Moyenne,Quel symbole est l'intrus dans la séquence ASCII ?,Vous devez observer leurs positions dans le tableau ASCII.,! @ # $ % ^ * ),"{""@"",""#"",""^"","")""}",),"Les autres sont rangés par ordre croissant de codes ASCII, sauf le symbole ')' qui apparait hors séquence numérique.",Recherchez l'ordre croissant par code.,true
psychotechnique,concentration,Moyenne,Combien de E majuscules cette phrase contient-elle ?,Comptez les E uniquement en majuscule.,Ecrire Est Elementaire au niveau d'Enseignement,"{""3"",""4"",""5"",""6""}",4,"Les E en majuscule sont présents dans : Ecrire (1), Est (1), Elementaire (1), Enseignement (1), pour un total de 4 E majuscules.",Focalisez-vous sur les débuts de mots.,true
psychotechnique,concentration,Moyenne,Quelles séquences suivantes sont identiques à X9Y8Z7 ?,Repérez celle qui ne change rien.,X9Y8Z7,"{""X9Y8Z7"",""X9Y87"",""XY9Z8"",""XYZ789""}",X9Y8Z7,"Après comparaison détaillée, seule « X9Y8Z7 » reste exactement identique au modèle sans permutation ni substitut.",Vérifiez chaque segment individuellement.,true
psychotechnique,concentration,Difficile,Combien de chiffres pairs apparaissent dans cette séquence ?,Ne comptez que les chiffres pairs.,9 0 2 3 8 5 4 7 6,"{""3"",""4"",""5"",""6""}",4,"Les chiffres pairs ici sont 0, 2, 8 et 4, pour un total de 4 chiffres même.",Pensez à 'pairs' = divisibles par 2 sans reste.,true
psychotechnique,concentration,Difficile,Combien de « S » majuscules dans ce paragraphe ?,Comptez les S uniquement en majuscule.,Le Serpent Siffle Sur la Sombre Scène d'un Sombre Soir.,"{""5"",""6"",""7"",""8""}",6,"On dénombre les S majuscules : Serpent (1), Siffle (1), Sur (1), Scène (1), Soir (1), les deux 'Sombre' (1) soit 6 S.",Soyez attentif aux débuts et doublons.,true
psychotechnique,concentration,Difficile,Quelle suite alphanumérique est identique au modèle 9X3K2L ?,Le piège est dans la permutation de chiffres et lettres.,9X3K2L,"{""9X3K2L"",""93XK2L"",""9X3K2L1"",""K9X32L""}",9X3K2L,"Décomposons les options : seule « 9X3K2L » reste stricte au modèle, sans alternance ni ajout.",Comparez chaque position soigneusement.,true
psychotechnique,concentration,Difficile,Combien de voyelles dans ces deux phrases réunies ?,Additionnez les voyelles au total.,"Ils lisent tous, même le matin. Autour, le vent gémit.","{""18"",""19"",""20"",""21""}",20,"Il y a 20 voyelles: Ils (1), lisent (2), tous (1), même (1), le (1), matin (2). Autour (4), le (1), vent (1), gémit (3).","Procédez étape par étape, phrase par phrase.",true
psychotechnique,concentration,Difficile,Quel caractère est l'intrus parmi ces symboles ?,Identifiez le caractère qui ne suit pas le modèle de formatisation.,* & % # ? \ /,"{""*"",""?"",""\\"",""/""}",?,"Les autres symboles se groupent par la lisibilité (maths ou informatique), seulement '?' côté texteur.",L'intrus pourrait être un caractère de ponctuation différent.,true
