module,category,difficulty,question,prompt,image_url,figure_data,options,answer,explanation,hint,is_active
psychotechnique,raisonnement_spatial,Facile,Combien de sommets a un tétraèdre régulier ?,Identifie le nombre de sommets d'un tétraèdre régulier.,,,"[{""key"":""A"",""label"":""3""},{""key"":""B"",""label"":""4""},{""key"":""C"",""label"":""5""},{""key"":""D"",""label"":""6""}]",B,"Un tétraèdre régulier est une pyramide dont la base est triangulaire. Il possède 4 sommets : 3 forment les coins de sa base, et le quatrième est le sommet opposé à la base. La tentation est de confondre sommets et arêtes ; un piège classique.",Visualise une pyramide à base triangulaire.,true
psychotechnique,raisonnement_spatial,Facile,Combien de faces possède un cube ?,Comptez le nombre de faces d'un cube conventionnel.,,,"[{""key"":""A"",""label"":""4""},{""key"":""B"",""label"":""5""},{""key"":""C"",""label"":""6""},{""key"":""D"",""label"":""8""}]",C,"Un cube a exactement 6 faces, toutes de forme carrée. Cette propriété découle de son statut de solide régulier à six côtés identiques. Une erreur fréquente est de sous-estimer le nombre de faces en ne comptant que celles visibles d'un angle.",Pensez à un dé classique.,true
psychotechnique,raisonnement_spatial,Facile,Combien de sommets un cube possède-t-il ?,Identifiez le nombre de sommets d'un cube standard.,,,"[{""key"":""A"",""label"":""6""},{""key"":""B"",""label"":""8""},{""key"":""C"",""label"":""10""},{""key"":""D"",""label"":""12""}]",B,"Chaque sommet d'un cube est le point de jonction de trois arêtes. En comptant tous ces points, on obtient un total de 8 sommets. Une mauvaise estimation souvent commise est de croire qu'un face d'un cube a autant de sommets que d'arêtes.",Visualisez chaque coin du cube.,true
psychotechnique,raisonnement_spatial,Facile,Combien de faces un cylindre possède-t-il ?,Déterminez le nombre total de faces d'un cylindre droit.,,,"[{""key"":""A"",""label"":""1""},{""key"":""B"",""label"":""2""},{""key"":""C"",""label"":""3""},{""key"":""D"",""label"":""4""}]",C,"Un cylindre droit a trois faces : deux bases circulaires et une surface latérale enroulée. Cette surface latérale, une fois déroulée, forme un rectangle. L'erreur réside souvent dans l'oubli de la surface latérale.",Pensez à un rouleau de papier avec ses deux extrémités et son enveloppe.,true
psychotechnique,raisonnement_spatial,Facile,Combien de faces possède un prisme à base carrée?,Calculez le nombre de faces d'un prisme à base carrée typique.,,,"[{""key"":""A"",""label"":""5""},{""key"":""B"",""label"":""6""},{""key"":""C"",""label"":""7""},{""key"":""D"",""label"":""8""}]",B,"Un prisme à base carrée possède 6 faces : une base inférieure, une base supérieure, et 4 faces latérales qui relient les deux bases. Il est facile de confondre ce nombre avec celui du cube, qui a également 6 faces, bien que disposées différemment.",Identifiez chaque côté distinct.,true
psychotechnique,raisonnement_spatial,Facile,Combien d'arêtes a un cylindre droit ?,Calculez le nombre total d'arêtes dans un cylindre droit typique.,,,"[{""key"":""A"",""label"":""2""},{""key"":""B"",""label"":""3""},{""key"":""C"",""label"":""1""},{""key"":""D"",""label"":""0""}]",A,"Un cylindre droit a 2 arêtes circulaires : une sur la base supérieure et l'autre sur la base inférieure. L'erreur serait de supposer qu'il n'a pas d'arêtes, confondant arêtes droites avec courbes.",Considérez les ronds des bases.,true
psychotechnique,raisonnement_spatial,Moyenne,Quel est l'apparence de la section latérale d'un cône droit coupé parallèlement à sa base ?,Imaginez un cône droit dont une section parallèle à la base est réalisée.,,,"[{""key"":""A"",""label"":""Cercle""},{""key"":""B"",""label"":""Rectangle""},{""key"":""C"",""label"":""Ellipse""},{""key"":""D"",""label"":""Triangle""}]",A,"Quand un cône droit est coupé parallèlement à sa base, la coupe transversale est un cercle. Ce résulte du fait que la distance entre l'axe du cône et la coupe est uniforme. On pourrait imaginer une ellipse par erreur, mais cela ne se produit que pour des coupes inclinées.",Visualisez une se section passionnée au sommet du cône.,true
psychotechnique,raisonnement_spatial,Moyenne,Combien de petits cubes de 1×1×1 sont nécessaires pour construire un cube de 4 d'arête ?,Calculez le nombre de petits cubes nécessaires pour former un grand cube de 4 unités de chaque côté.,,,"[{""key"":""A"",""label"":""16""},{""key"":""B"",""label"":""32""},{""key"":""C"",""label"":""64""},{""key"":""D"",""label"":""128""}]",C,"Un grand cube de 4×4×4 a de l'arête 4 unités. Le calcul réel se fait via 4 cubes de chaque arête, soit un total de 4×4×4 = 64 petits cubes unitaires. Confondre l'arête avec la surface donnerait un résultat incorrect.","Pensez en trois dimensions: largeur, hauteur, profondeur.",true
psychotechnique,raisonnement_spatial,Moyenne,Quelle est la vue latérale d'un cylindre droit ?,Considérez la perspective d'observation sur le côté d'un cylindre droit.,,,"[{""key"":""A"",""label"":""Rectangle""},{""key"":""B"",""label"":""Carré""},{""key"":""C"",""label"":""Cercle""},{""key"":""D"",""label"":""Ellipse""}]",A,"La vue latérale d'un cylindre ressemble à un rectangle, car l'axe longitudinal est perpendiculaire à votre vision. Nombreux pourraient la confondre avec un carré, en oubliant que les hauteurs diffèrent des diamètres.",Pensez aux côtés droits du cylindre.,true
psychotechnique,raisonnement_spatial,Moyenne,Lequel de ces patrons ne pourra jamais former un cube une fois plié ?,Comparez différentes configurations pour voir si elles peuvent former un cube.,,,"[{""key"":""A"",""label"":""Z""},{""key"":""B"",""label"":""L en miroir""},{""key"":""C"",""label"":""Carré plus une ligne""},{""key"":""D"",""label"":""Polygone fermé""}]",C,"Un carré avec une ligne supplémentaire n'a pas assez de sections pour entourer un volume en trois dimensions, contrairement aux croquis Z ou L qui se replient proprement. Confondre la configuration des faces est source d'erreur.",Compte exactement les faces qui se rejoignent.,true
