module,category,difficulty,question,prompt,image_url,figure_data,options,answer,explanation,hint,is_active
psychotechnique,raisonnement_spatial,Facile,Combien d'arêtes possède un tétraèdre régulier ?,,,,"[{""key"":""A"",""label"":""6""},{""key"":""B"",""label"":""8""},{""key"":""C"",""label"":""12""},{""key"":""D"",""label"":""4""}]",A,"Un tétraèdre régulier est un solide à quatre faces triangulaires équilatérales identiques. Chacune des quatre sommets est connecté aux trois autres par des arêtes. En tout, cela fait 6 arêtes car chaque paire de sommets est reliée par une arête unique.",Imaginez une pyramide à base triangulaire.,true
psychotechnique,raisonnement_spatial,Facile,Combien de sommets a un prisme triangulaire ?,,,,"[{""key"":""A"",""label"":""4""},{""key"":""B"",""label"":""6""},{""key"":""C"",""label"":""8""},{""key"":""D"",""label"":""10""}]",B,"Un prisme triangulaire est constitué de deux triangles parallèles reliés par trois rectangles. Chacun des triangles possède 3 sommets, soit 6 sommets au total lorsque les triangles sont reliés par les rectangles au niveau de chaque sommet.",Deux bases triangulaires contribuent toutes les deux.,true
psychotechnique,raisonnement_spatial,Facile,"Sur un cube, combien d'arêtes se rejoignent à un sommet ?",,,,"[{""key"":""A"",""label"":""2""},{""key"":""B"",""label"":""3""},{""key"":""C"",""label"":""4""},{""key"":""D"",""label"":""5""}]",B,"Chaque sommet d'un cube est le point de rencontre de trois arêtes. Il y a douze arêtes au total et huit sommets, permettant ce triplet d'arêtes incontournable. Chaque arête rejoint exactement deux sommets.",Pensez aux coins d'une boite en carton.,true
psychotechnique,raisonnement_spatial,Facile,Combien de faces possède un prisme rectangulaire ?,,,,"[{""key"":""A"",""label"":""4""},{""key"":""B"",""label"":""5""},{""key"":""C"",""label"":""6""},{""key"":""D"",""label"":""8""}]",C,"Un prisme rectangulaire, aussi appelé parallélépipède rectangle, possède 6 faces. Chaque couple de faces opposées est de dimensions identiques et parallèles, assurant un total de trois paires.",Chaque face a une jumelle.,true
psychotechnique,raisonnement_spatial,Facile,Combien de sommets possède un cube ?,,,,"[{""key"":""A"",""label"":""4""},{""key"":""B"",""label"":""6""},{""key"":""C"",""label"":""8""},{""key"":""D"",""label"":""12""}]",C,"Un cube possède 8 sommets, avec chaque sommet relié à trois autres sommets par des arêtes. Les huit sommets déterminent les angles dans lesquels les arêtes se rejoignent.",Comptez les coins visibles et ceux cachés en perspective.,true
psychotechnique,raisonnement_spatial,Facile,Quelle est la forme de la base d'un cylindre ?,,,,"[{""key"":""A"",""label"":""Carré""},{""key"":""B"",""label"":""Triangle""},{""key"":""C"",""label"":""Rectangle""},{""key"":""D"",""label"":""Cercle""}]",D,"Un cylindre possède deux bases circulaires identiques et parallèles. Ces deux cercles sont reliés par une surface courbe, formant le corps du cylindre. La base circulaire est une caractéristique clé qui distingue les cylindres des prismes.",Pensez aux formes géométriques basiques de la base.,true
psychotechnique,raisonnement_spatial,Facile,Combien de faces a une pyramide à base carrée ?,,,,"[{""key"":""A"",""label"":""3""},{""key"":""B"",""label"":""4""},{""key"":""C"",""label"":""5""},{""key"":""D"",""label"":""6""}]",C,"Une pyramide à base carrée est constituée d'une base carrée et de quatre faces triangulaires. Ainsi, elle a 5 faces au total. Chaque triangle partage une arête commune avec la base ou un autre triangle.",Une base et quatre côtés.,true
psychotechnique,raisonnement_spatial,Facile,Quel est le nombre d'arêtes d'une pyramide à base triangulaire ?,,,,"[{""key"":""A"",""label"":""6""},{""key"":""B"",""label"":""8""},{""key"":""C"",""label"":""9""},{""key"":""D"",""label"":""4""}]",A,"Une pyramide à base triangulaire, aussi appelée tétraèdre, a trois arêtes joignant chaque sommet de la base à l'apex, plus celles du triangle de base. Cela donne un total de 6 arêtes.",Comptez à partir de la base puis rejoignez le sommet.,true
psychotechnique,raisonnement_spatial,Facile,Quelle est la vue de dessus d'un prisme rectangulaire ?,,,,"[{""key"":""A"",""label"":""Un rectangle""},{""key"":""B"",""label"":""Un carré""},{""key"":""C"",""label"":""Un triangle""},{""key"":""D"",""label"":""Un cercle""}]",A,"Vu de dessus, un prisme rectangulaire apparaît comme un rectangle, car il est formé de deux rectangles parallèles reliés par ses faces latérales. La forme exacte dépend des dimensions relatives de la base.","Vu de dessus, c'est simplement une face.",true
psychotechnique,raisonnement_spatial,Facile,Combien de faces latérales a un cône ?,,,,"[{""key"":""A"",""label"":""1""},{""key"":""B"",""label"":""2""},{""key"":""C"",""label"":""3""},{""key"":""D"",""label"":""4""}]",A,Un cône possède une face latérale unie qui ressemble à un segment de cercle si elle est dépliée. Cette face latérale est une surface courbe qui commence à la base circulaire et rejoint l'apex.,Il n'y a qu'une seule surface qui s'enroule.,true
psychotechnique,raisonnement_spatial,Facile,Combien de faces planes possède un cylindre ?,,,,"[{""key"":""A"",""label"":""0""},{""key"":""B"",""label"":""1""},{""key"":""C"",""label"":""2""},{""key"":""D"",""label"":""3""}]",C,"Un cylindre a deux bases planes, chacune étant un cercle. Les bases sont les seules surfaces planes du cylindre contrairement à sa surface latérale qui est courbe.",Ce sont les surfaces aux extrémités du cylindre.,true
psychotechnique,raisonnement_spatial,Facile,Combien de sommets possède une pyramide à base pentagonale ?,,,,"[{""key"":""A"",""label"":""5""},{""key"":""B"",""label"":""6""},{""key"":""C"",""label"":""7""},{""key"":""D"",""label"":""8""}]",B,Une pyramide à base pentagonale possède cinq sommets sur sa base et un sommet supplémentaire au sommet de la pyramide. Ce qui fait un total de 6 sommets.,Comptez chaque sommet de la base plus le sommet.,true
psychotechnique,raisonnement_spatial,Facile,Combien de faces possède une pyramide rectangulaire ?,,,,"[{""key"":""A"",""label"":""4""},{""key"":""B"",""label"":""5""},{""key"":""C"",""label"":""6""},{""key"":""D"",""label"":""7""}]",B,"Une pyramide rectangulaire a une base en forme de rectangle et quatre faces triangulaires qui se rejoignent à l'apex, totalisant cinq faces.",Une base avec quatre côtés supplémentaires.,true
psychotechnique,raisonnement_spatial,Facile,Combien d'arêtes possède un cube ?,,,,"[{""key"":""A"",""label"":""8""},{""key"":""B"",""label"":""12""},{""key"":""C"",""label"":""14""},{""key"":""D"",""label"":""16""}]",B,"Un cube est composé de 12 arêtes. Chaque face du cube est un carré avec 4 arêtes, mais comme chaque arête est partagée par deux faces, on calcule 12 arêtes en tout.",Visualisez un cube déroulant pour identifier chaque section.,true
psychotechnique,raisonnement_spatial,Facile,Combien de sommets un cube déplié possède-t-il ?,,,,"[{""key"":""A"",""label"":""4""},{""key"":""B"",""label"":""6""},{""key"":""C"",""label"":""8""},{""key"":""D"",""label"":""12""}]",C,"Même en étant déplié, chaque coin d'un cube reste un sommet, il y en a donc toujours 8. Les faces peuvent s'étendre à plat, mais le nombre de sommets reste inchangé.","Le nombre de coins reste constant, plié ou pas.",true
psychotechnique,raisonnement_spatial,Facile,Quelle forme prend un cône droit lorsqu'il est vu de profil ?,,,,"[{""key"":""A"",""label"":""Un cercle""},{""key"":""B"",""label"":""Un triangle""},{""key"":""C"",""label"":""Un rectangle""},{""key"":""D"",""label"":""Une ellipse""}]",B,"Vu de profil, un cône droit apparaît comme un triangle isocèle, avec la base du cône formant la base du triangle et le sommet formant le sommet du triangle.",Pensez à un chapeau pointu vu depuis un côté.,true
