module,category,difficulty,question,prompt,image_url,figure_data,options,answer,explanation,hint,is_active
psychotechnique,raisonnement_spatial,Facile,Combien de sommets a un prisme triangulaire ?,,,,"[{""key"":""A"",""label"":""6""},{""key"":""B"",""label"":""8""},{""key"":""C"",""label"":""10""},{""key"":""D"",""label"":""12""}]",A,"Un prisme triangulaire a deux bases triangulaires chacune avec 3 sommets, totalisant donc à 6 sommets. On peut visualiser cela en se souvenant qu'un prisme relie les sommets de deux triangles identiques par des arêtes. La réponse courante incorrecte est 8, probablement en confondant prisme triangulaire avec prisme carré.",Visualisez deux triangles reliés par des rectangles.,true
psychotechnique,raisonnement_spatial,Facile,Combien d'arêtes possède un cube ?,Considérez un cube standard avec des arêtes égales.,,,"[{""key"":""A"",""label"":""6""},{""key"":""B"",""label"":""8""},{""key"":""C"",""label"":""12""},{""key"":""D"",""label"":""16""}]",C,"Un cube a 12 arêtes. Chaque face du cube a 4 arêtes, mais comme chaque arête est partagée par deux faces, il n'y a que 12 arêtes au total. Beaucoup pensent à tort qu'il y a plus d'arêtes car elles se confondent avec les sommets ou les faces.",Imaginez les lignes qui définissent un dé.,true
psychotechnique,raisonnement_spatial,Facile,Combien de faces possède un cylindre?,Un cylindre est un solide avec deux bases circulaires.,,,"[{""key"":""A"",""label"":""1""},{""key"":""B"",""label"":""2""},{""key"":""C"",""label"":""3""},{""key"":""D"",""label"":""4""}]",C,Un cylindre possède 3 faces en tout : deux bases circulaires et une face latérale cylindrique courbe. La confusion survient lorsqu'on omet la face courbe ou lorsqu'on ne compte que les bases circulaires.,Pensez à une boîte de conserve.,true
psychotechnique,raisonnement_spatial,Facile,"Lors de la vue de face, quelle forme prend une pyramide à base carrée ?",Considérez une pyramide à base carrée placée de manière à ce que la base soit à plat sur le sol.,,,"[{""key"":""A"",""label"":""Carré""},{""key"":""B"",""label"":""Rectangle""},{""key"":""C"",""label"":""Triangle""},{""key"":""D"",""label"":""Trapèze""}]",C,"Vu de face, une pyramide à base carrée apparaît comme un triangle. Ceci car une arête de la base du carré et le sommet de la pyramide forment un triangle vertical. Une erreur typique est d'imaginer une vue aérienne plutôt qu'une vue de face.",Imaginez-vous face à une pyramide égyptienne.,true
psychotechnique,raisonnement_spatial,Facile,Combien de côtés a la base d'un prisme hexagonal ?,,,,"[{""key"":""A"",""label"":""5""},{""key"":""B"",""label"":""6""},{""key"":""C"",""label"":""7""},{""key"":""D"",""label"":""8""}]",B,"Un prisme hexagonal a une base en forme d'hexagone, qui possède donc 6 côtés. Beaucoup peuvent confondre cela avec la forme du prisme complet et choisir une autre réponse.",Un hexagone est une figure à six côtés.,true
psychotechnique,raisonnement_spatial,Facile,Quel est le nombre de sommets d'un cube ?,"Imaginez un cube bien représenté, avec tout où chaque coin constitue un sommet.",,,"[{""key"":""A"",""label"":""4""},{""key"":""B"",""label"":""6""},{""key"":""C"",""label"":""8""},{""key"":""D"",""label"":""10""}]",C,"Un cube a 8 sommets, chaque sommet partageant deux faces et trois arêtes. Souvent, les gens sont confus et sous-estiment le nombre de sommets en se concentrant seulement sur une partie du cube ou en confondant sommets et faces.",Considérez chaque coin de votre dé préféré.,true
psychotechnique,raisonnement_spatial,Facile,Quel est le volume d'un cube d'arête 2 ?,,,,"[{""key"":""A"",""label"":""6""},{""key"":""B"",""label"":""8""},{""key"":""C"",""label"":""10""},{""key"":""D"",""label"":""12""}]",B,"Le volume du cube se calcule en élevant la longueur de son arête au cube. Avec une arête de 2, le volume est donc 2×2×2=8. Une erreur classique est de confondre ce calcul avec l'addition ou la multiplication par 2 seulement.",Multipliez l'arête par elle-même trois fois.,true
psychotechnique,raisonnement_spatial,Facile,Quelle est la forme de la section plane d'un cube par un plan passant par deux côtés adjacents d'une face ?,,,,"[{""key"":""A"",""label"":""Carré""},{""key"":""B"",""label"":""Rectangle""},{""key"":""C"",""label"":""Triangle""},{""key"":""D"",""label"":""Trapèze""}]",A,La section obtenue est un carré car le plan croise les deux côtés adjacents d'une face et coupe ainsi directement à travers une forme parfaitement carrée de la coupe transversale. Un piège récurrent est de prendre la forme pour un rectangle en considérant une section non plane.,Visualisez une découpe comme coupée en deux moitiés égales.,true
psychotechnique,raisonnement_spatial,Facile,Quelle forme obtient-on lorsque l'on déroule la face latérale d'un cylindre ?,,,,"[{""key"":""A"",""label"":""Cercle""},{""key"":""B"",""label"":""Rectangle""},{""key"":""C"",""label"":""Triangle""},{""key"":""D"",""label"":""Ellipse""}]",B,"En déroulant la surface latérale d'un cylindre, on obtient un rectangle car la hauteur du cylindre devient la hauteur du rectangle et le diamètre devient la largeur, correspondant à la circonférence du cercle original. Une erreur typique est de confondre ce rectangle avec un cercle par habitude géométrique.",Imaginez dérouler l'étiquette autour d'une boîte de conserve.,true
psychotechnique,raisonnement_spatial,Facile,Combien de bases possède un cône ?,Considérez un cône droit avec une base circulaire.,,,"[{""key"":""A"",""label"":""1""},{""key"":""B"",""label"":""2""},{""key"":""C"",""label"":""3""},{""key"":""D"",""label"":""4""}]",A,"Un cône n'a qu'une seule base, qui est circulaire. La pointe du cône ne constitue pas une base. De nombreuses personnes pensent à tort qu'il a deux bases si elles ne discernent pas la distinction entre une surface latérale et une base.",Visualisez l'empreinte laissée par le cône.,true
