module,category,difficulty,question,prompt,image_url,figure_data,options,answer,explanation,hint,is_active
psychotechnique,raisonnement_spatial,Facile,Combien de faces comporte un cube?,,,,"[{""key"":""A"",""label"":""4""},{""key"":""B"",""label"":""6""},{""key"":""C"",""label"":""8""},{""key"":""D"",""label"":""10""}]",B,"Un cube a toujours 6 faces, chacune étant un carré identique. Il est constitué de 3 paires de faces opposées. Se souvenir de la règle que chaque face visible recouvre une face identique de l'autre côté.",,true
psychotechnique,raisonnement_spatial,Facile,Combien d'arêtes un tétraèdre régulier possède-t-il ?,,,,"[{""key"":""A"",""label"":""4""},{""key"":""B"",""label"":""6""},{""key"":""C"",""label"":""8""},{""key"":""D"",""label"":""12""}]",B,"Un tétraèdre régulier a 4 faces triangulaires équilatérales. Chaque sommet est connecté aux trois autres, fournissant exactement 6 arêtes. La structure de ce solide indique que les arêtes forment un réseau qui relie chaque point aux autres sans dépasser ce nombre.",,true
psychotechnique,raisonnement_spatial,Facile,Combien de sommets a un prisme triangulaire ?,,,,"[{""key"":""A"",""label"":""4""},{""key"":""B"",""label"":""5""},{""key"":""C"",""label"":""6""},{""key"":""D"",""label"":""8""}]",C,"Un prisme triangulaire est formé par deux triangles (3 sommets chacun) connectés par des arêtes, pour un total de 6 sommets. La connexion des deux bases triangulaires par les arêtes latérales précise ce compte simple.",,true
psychotechnique,raisonnement_spatial,Facile,Combien de faces a une pyramide à base carrée ?,,,,"[{""key"":""A"",""label"":""4""},{""key"":""B"",""label"":""5""},{""key"":""C"",""label"":""6""},{""key"":""D"",""label"":""8""}]",B,"Une pyramide à base carrée possède une base carrée et 4 faces triangulaires. En total, cela fait 5 faces. Chacune des faces triangulaires s'étend de chaque côté de la base à leurs sommets communs.",,true
psychotechnique,raisonnement_spatial,Facile,Qu'obtient-on en pliant un carré sur sa diagonale ?,Un carré de côté unique est plié le long d'une diagonale.,,,"[{""key"":""A"",""label"":""Triangle rectangle isocèle""},{""key"":""B"",""label"":""Triangle équilatéral""},{""key"":""C"",""label"":""Trapèze""},{""key"":""D"",""label"":""Parallélogramme""}]",A,Plier le carré sur sa diagonale aboutit à un triangle rectangle isocèle. Ce pliage divise le carré deux en triangles identiques avec deux côtés égaux. Le résultat est déterminé par le fait qu'une diagonale partage le carré en deux triangles équivalents.,,true
psychotechnique,raisonnement_spatial,Facile,Combien de faces sur un cylindre ?,,,,"[{""key"":""A"",""label"":""2""},{""key"":""B"",""label"":""3""},{""key"":""C"",""label"":""4""},{""key"":""D"",""label"":""5""}]",B,"Un cylindre est composé de 3 faces : deux bases circulaires parallèles et une surface latérale courbe. La face latérale s'enroule autour des bases, les reliant et formant une surface curviligne. Ce compte simple est crucial pour comprendre les propriétés de base des solides.",,true
psychotechnique,raisonnement_spatial,Facile,Combien d'arêtes un prisme rectangulaire a-t-il ?,,,,"[{""key"":""A"",""label"":""6""},{""key"":""B"",""label"":""8""},{""key"":""C"",""label"":""10""},{""key"":""D"",""label"":""12""}]",D,"Un prisme rectangulaire, une boîte, a 12 arêtes. Chaque sommet est rattaché à 3 autres via ces lignes d'interconnexion, formant 6 arêtes par plan ; le total provient des 4 plans connectés. C'est un exemple basique de calcul d'arêtes dans des structures de solides.",,true
psychotechnique,raisonnement_spatial,Facile,Qu'obtient-on si l'on déplie un cube ?,Considère l'ensemble des faces carrées disposées à plat.,,,"[{""key"":""A"",""label"":""Étoile""},{""key"":""B"",""label"":""Croix latine""},{""key"":""C"",""label"":""Rectangle""},{""key"":""D"",""label"":""Carreaux""}]",B,"Quand un cube est déplié, il forme généralement un patron en croix latine. Ce patron est composé de 4 carrés disposés en ligne avec un carré adjoint à chaque côté de l'un des carrés centraux. Ce concept fait appel à la visualisation habituelle des patrons géométriques simples.",,true
psychotechnique,raisonnement_spatial,Facile,Combien d'arêtes a un cube ?,,,,"[{""key"":""A"",""label"":""8""},{""key"":""B"",""label"":""10""},{""key"":""C"",""label"":""12""},{""key"":""D"",""label"":""14""}]",C,"Un cube a 12 arêtes. Chaque sommet relie 3 arêtes de la même longueur, formant ainsi les frontières des faces. Un rappel de base pour les élèves que chaque face carrée contribue à ce total.",,true
psychotechnique,raisonnement_spatial,Facile,Quelle est la forme de la base d'un cône régulier ?,,,,"[{""key"":""A"",""label"":""Triangle""},{""key"":""B"",""label"":""Cercle""},{""key"":""C"",""label"":""Carré""},{""key"":""D"",""label"":""Parallélogramme""}]",B,La base d'un cône régulier est un cercle. Le sommet du cône est projeté directement au-dessus du centre de cette base. Cette géométrie simple est essentielle pour comprendre la différence entre les différents types de solides.,,true
