module,category,difficulty,question,prompt,image_url,figure_data,options,answer,explanation,hint,is_active
psychotechnique,raisonnement_spatial,Facile,Combien de faces possède un cube ?,,,,"[{""key"":""A"",""label"":""5""},{""key"":""B"",""label"":""6""},{""key"":""C"",""label"":""8""},{""key"":""D"",""label"":""12""}]",B,"Un cube a 6 faces, chacune étant un carré. C'est une propriété fondamentale du cube, car il est constitué de six surfaces identiques qui se rejoignent par leurs arêtes. Ne pas confondre avec les sommets ou arêtes qui peuvent avoir différents nombres.",,true
psychotechnique,raisonnement_spatial,Facile,Combien d'arêtes a un tétraèdre régulier ?,,,,"[{""key"":""A"",""label"":""4""},{""key"":""B"",""label"":""6""},{""key"":""C"",""label"":""8""},{""key"":""D"",""label"":""12""}]",B,"Un tétraèdre régulier possède 6 arêtes, car il est formé par 4 triangles équilatéraux. Chaque triangle partage ses côtés avec d'autres triangles, résultant en 6 arêtes au total. Il ne faut pas confondre le nombre d'arêtes avec le nombre de faces ou de sommets.",,true
psychotechnique,raisonnement_spatial,Facile,Combien de faces un cylindre a-t-il ?,,,,"[{""key"":""A"",""label"":""2""},{""key"":""B"",""label"":""3""},{""key"":""C"",""label"":""1""},{""key"":""D"",""label"":""4""}]",B,Un cylindre possède 3 faces : deux circulaires (les bases) et une face latérale qui est un rectangle enroulé. Il est essentiel de visualiser comment la surface latérale s'enroule pour former le cylindre. Ce n’est pas un carré car la surface latérale est courbe.,,true
psychotechnique,raisonnement_spatial,Facile,Quelle est la vue de face d'un cône ?,,,,"[{""key"":""A"",""label"":""Un cercle""},{""key"":""B"",""label"":""Un triangle""},{""key"":""C"",""label"":""Un rectangle""},{""key"":""D"",""label"":""Un carré""}]",B,"Vu de face, un cône apparaît comme un triangle car on voit la base circulaire comme une ligne et les côtés inclinés rejoignent le sommet. Il est crucial de visualiser le cône perpendiculairement à son axe pour comprendre cette vue.",Considérez un cône à partir de sa base.,true
psychotechnique,raisonnement_spatial,Facile,"Si un cube est coupé en deux par un plan passant par le centre de ses faces opposées, quelle forme obtient-on ?",,,,"[{""key"":""A"",""label"":""Deux prismes rectangulaires""},{""key"":""B"",""label"":""Deux cubes""},{""key"":""C"",""label"":""Deux trapèzes""},{""key"":""D"",""label"":""Deux pyramides""}]",A,"En tranchant un cube de cette manière, le plan de coupe crée deux prismes rectangulaires égaux. Chaque prisme a une base qui est un rectangle formé par deux faces moitié d'un cube. Le cube ne peut pas être coupé en deux cubes identiques ou en pyramides de cette manière.",Imaginez un plan coupant à travers le centre.,true
psychotechnique,raisonnement_spatial,Facile,Quelles sont les faces opposées d'un cube ?,Considérez un cube avec des faces marquées de A à F.,,,"[{""key"":""A"",""label"":""A et B""},{""key"":""B"",""label"":""A et F""},{""key"":""C"",""label"":""C et E""},{""key"":""D"",""label"":""D et B""}]",B,"Dans un cube, chaque face est opposée à une autre. Si A est une face, la face opposée est celle qui n'a aucun bord en commun, dans ce cas F (opposé classique avec A sur un cube A-F, B-E, C-D). Ceci est un principe de symétrie basique du cube.",Considérez le cube comme ayant des faces opposées complètement séparées.,true
psychotechnique,raisonnement_spatial,Facile,Quel solide a 5 faces ?,,,,"[{""key"":""A"",""label"":""Cube""},{""key"":""B"",""label"":""Tétraèdre""},{""key"":""C"",""label"":""Prisme rectangulaire""},{""key"":""D"",""label"":""Pyramide à base quadrangulaire""}]",D,"Une pyramide à base quadrangulaire a 5 faces : une base carré et 4 faces triangulaires qui se rejoignent en sommet. Ceci contraste avec un cube qui en a 6, un tétraèdre qui en a 4, et un prisme rectangulaire qui en a 6.",Considérez le nombre de faces triangulaires et carrées.,true
psychotechnique,raisonnement_spatial,Facile,Quel solide a deux bases circulaires ?,,,,"[{""key"":""A"",""label"":""Cube""},{""key"":""B"",""label"":""Cône""},{""key"":""C"",""label"":""Cylindre""},{""key"":""D"",""label"":""Pyramide""}]",C,"Le cylindre est le solide qui possède deux bases circulaires parallèles reliées par une surface latérale rectangulaire enroulée. Contrairement à cela, un cône et une pyramide ne peuvent avoir qu'une seule base, et un cube a des bases carrées.",Recherchez des bases identiques sur les solides connus.,true
psychotechnique,raisonnement_spatial,Facile,Combien de faces un prisme hexagonal a-t-il ?,,,,"[{""key"":""A"",""label"":""8""},{""key"":""B"",""label"":""10""},{""key"":""C"",""label"":""12""},{""key"":""D"",""label"":""14""}]",B,Un prisme hexagonal a 10 faces : 2 bases hexagonales et 8 faces rectangulaires latérales. Cela vient du fait que chaque côté de l'hexagone est prolongé pour former une face rectangulaire. La structure doit être visualisée pour bien compter.,Pensez à chaque côté de l'hexagone comme une face.,true
psychotechnique,raisonnement_spatial,Facile,Un cube a combien de sommets ?,,,,"[{""key"":""A"",""label"":""6""},{""key"":""B"",""label"":""8""},{""key"":""C"",""label"":""12""},{""key"":""D"",""label"":""14""}]",B,"Un cube possède 8 sommets. Chaque coin du cube constitue un sommet, et tâcher de bien visualiser le cube aide à constater qu'il y a 4 coins à la base et 4 au sommet. Les arêtes se rejoignent en ces points de sommets.",Les coins du cube représentent les sommets. Comptez-les.,true
psychotechnique,raisonnement_spatial,Facile,Quelle forme a une pyramide à base carrée vue de dessus ?,,,,"[{""key"":""A"",""label"":""Cercle""},{""key"":""B"",""label"":""Rectangle""},{""key"":""C"",""label"":""Carré""},{""key"":""D"",""label"":""Triangle""}]",C,"Vue de dessus, une pyramide à base carrée apparaît comme un carré, car sa base étant carrée est parallèle au plan d’observation. Le sommet n’affecte pas la forme vue de cet angle. C'est un point important que le sommet ne doit pas confondre.",Considérez uniquement la base vue de dessus.,true
