module,category,difficulty,question,prompt,image_url,figure_data,options,answer,explanation,hint,is_active
psychotechnique,raisonnement_spatial,Facile,Quel cube obtient-on en pliant ce patron ?,Le patron ci-dessus est plié pour former un cube.,,"{""type"":""cube_net"",""layout"":""cross"",""faces"":{""top"":""A"",""bottom"":""B"",""left"":""C"",""right"":""D"",""front"":""E"",""back"":""F""}}","[{""key"":""A"",""label"":""Cube A""},{""key"":""B"",""label"":""Cube B""},{""key"":""C"",""label"":""Cube C""},{""key"":""D"",""label"":""Cube D""}]",A,"En pliant le patron en croix, la face 'top' est marquée 'A', la face 'front' est marquée 'E' et se connecte à la base de la croix, et la face 'right' est marquée 'D'. Le cube A reflète cette disposition. Le cube B échange 'top' et 'front', le C utilise 'back' comme face 'front', et le D intervertit la face 'right'.",,true
psychotechnique,raisonnement_spatial,Facile,Combien d'arêtes un tétraèdre régulier possède-t-il ?,Considérez un tétraèdre régulier et comptez ses arêtes.,,,"[{""key"":""A"",""label"":""3""},{""key"":""B"",""label"":""4""},{""key"":""C"",""label"":""6""},{""key"":""D"",""label"":""8""}]",C,"Un tétraèdre est une pyramide à base triangulaire avec 4 faces triangulaires. Chaque sommet est connecté aux trois autres, ce qui donne un total de 6 arêtes. Les pièges typiques incluent 3, qui est le reflet du nombre de côtés d'une base, et 8 qui exagère en ajoutant trop de connexions.",Pensez à un triangle et imaginez chaque partie connectée à une quatrième extrémité.,true
psychotechnique,raisonnement_spatial,Facile,Lequel de ces patrons ne forme pas un cube lorsqu'il est plié ?,Considérez les patrons proposés et déterminez lequel est incorrect.,,"{""type"":""pattern_comparison"",""patterns"":[{""layout"":""cross"",""name"":""Croix latine""},{""layout"":""T"",""name"":""T renversé""},{""layout"":""line"",""name"":""Ligne droite de 6 carrés""},{""layout"":""Z"",""name"":""Z de 6 carrés""}]}","[{""key"":""A"",""label"":""Croix latine""},{""key"":""B"",""label"":""T renversé""},{""key"":""C"",""label"":""Ligne droite de 6 carrés""},{""key"":""D"",""label"":""Z de 6 carrés""}]",C,"Une ligne droite de 6 carrés ne peut jamais se replier pour former un cube, car les extrémités ne pourraient pas s'attacher pour créer un volume fermé. Les patrons 'Croix latine' et 'T renversé' peuvent être pliés pour former un cube en déplaçant les faces extérieures vers l'intérieur.",Pensez à la façon dont les extrémités devraient se joindre pour former un volume.,true
psychotechnique,raisonnement_spatial,Facile,"Si je plie un carré sur sa diagonale, quelle figure obtient-on ?",Une feuille carrée est pliée en deux uniquement sur sa plus longue diagonale.,,,"[{""key"":""A"",""label"":""Triangle rectangle isocèle""},{""key"":""B"",""label"":""Triangle équilatéral""},{""key"":""C"",""label"":""Trapèze""},{""key"":""D"",""label"":""Losange""}]",A,"Un pli le long de la diagonale d'un carré le divise en deux triangles rectangles isocèles identiques. Quand une moitié est rabattue sur l'autre, le résultat est un seul triangle rectangle isocèle. Ce n'est pas un losange ou un trapèze, qui exigent des plis supplémentaires ou différents.",La diagonale est la plus longue ligne qui traverse un carré.,true
psychotechnique,raisonnement_spatial,Facile,"Sur le patron du cube en croix, quelle face est en face de la face notée 1 ?",Imaginez un cube déplié en croix et notez l'opposition de la face 1.,,"{""type"":""cube_net"",""layout"":""cross"",""faces"":{""top"":""1"",""bottom"":""6"",""left"":""3"",""right"":""4"",""front"":""5"",""back"":""2""}}","[{""key"":""A"",""label"":""2""},{""key"":""B"",""label"":""3""},{""key"":""C"",""label"":""6""},{""key"":""D"",""label"":""4""}]",C,"Lorsqu'un cube est constitué à partir d'un patron en croix, les faces opposées se rejoignent symétriquement. La face 1, lorsqu'elle est positionnée sur une extrémité de la croix, fait face directement à la face 6, positionnée sur la retraite opposée du patron.",Les faces opposées d'un cube forment des paires directement adossées.,true
psychotechnique,raisonnement_spatial,Facile,Quelle est la vue de face d'un cylindre droit ?,Visualisez le cylindre droit placé verticalement et décrivez la vision directe.,,"{""type"":""solid_view"",""solid"":""cylinder"",""view"":""front""}","[{""key"":""A"",""label"":""Deux cercles""},{""key"":""B"",""label"":""Un rectangle""},{""key"":""C"",""label"":""Un cercle""},{""key"":""D"",""label"":""Deux rectangles""}]",B,"Vu de face, un cylindre apparaît comme un rectangle, représentant la paroi latérale droite. Ce rectangle est encadré par les cercles, que l'on imagine à ses extrémités, mais invisibles dans la vue directe. Cela contraste avec les cercles, qui ne se manifestent que dans une vue du dessus ou de dessous.",Imaginez le cylindre comme une boîte enveloppée autour d'un axe central.,true
psychotechnique,raisonnement_spatial,Facile,Que forme un découpage en 6 carrés selon ces patrons ?,Déterminez les résultats de pliage pour des patrons de 6 carrés.,,"{""type"":""pattern_comparison"",""patterns"":[{""layout"":""cross"",""name"":""Croix latine""},{""layout"":""T"",""name"":""T inversé""},{""layout"":""zigzag"",""name"":""Patron Zigzag""},{""layout"":""plus"",""name"":""Symbole Plus""}]}","[{""key"":""A"",""label"":""Cube""},{""key"":""B"",""label"":""Prisme""},{""key"":""C"",""label"":""Pyramide""},{""key"":""D"",""label"":""Cône""}]",A,"Les patrons en croix, T inversé, et symbole Plus plient ensemble en formant un cube parfait, utilisant de façon astucieuse chacune des 6 faces. Le glissement en zigzag ne se prête pas à un cube, au contraire des mises en forme directes couvertes par les premiers modèles.",Considérez l'enfermement de toutes les faces.,true
psychotechnique,raisonnement_spatial,Facile,Combien de faces possède un tétraèdre ?,Calculez le nombre de surfaces planes d'un polyèdre régulier.,,,"[{""key"":""A"",""label"":""4""},{""key"":""B"",""label"":""5""},{""key"":""C"",""label"":""6""},{""key"":""D"",""label"":""8""}]",A,"Un tétraèdre est la forme polyédrique la plus simple, composé de 4 faces triangulaires. Chaque face rejoint l'autre au niveau des arêtes, formant un total de 6 connexions. Ainsi, sa nomenclature même en tant que 'quatre' le distingue de structures plus complexes ayant 5 ou plus.",Visualisez la forme triangulaire de chaque face se connectant à un autre sommet.,true
psychotechnique,raisonnement_spatial,Facile,Quelle forme obtient-on si on plie le bord d'un carré en deux ?,Pliant une feuille carrée selon un seul bord médian.,,,"[{""key"":""A"",""label"":""Rectangle""},{""key"":""B"",""label"":""Quadrilatère""},{""key"":""C"",""label"":""Trapèze""},{""key"":""D"",""label"":""Triangulaire""}]",A,"Plier un carré par son orient central de bord produit un rectangle, chaque moitié restante formant un côté long. Parce que le pli ne change que la longueur doublée par un côté, plutôt qu'une rotation ou une inclinaison, il conduit à une longue étendue rectangulaire standard.",Imaginez une session plis-plats pour augmenter la largeur.,true
psychotechnique,raisonnement_spatial,Facile,Combien d'arêtes composent un cube ?,Comptez les connexions linéaires entre ses sommets sur le cube.,,,"[{""key"":""A"",""label"":""6""},{""key"":""B"",""label"":""8""},{""key"":""C"",""label"":""12""},{""key"":""D"",""label"":""15""}]",C,"Le cube est défini par 12 arêtes, chaque face cubique partageant exactement un segment avec une autre unique. Cette interconnexion résulte en un réseau parfait de connexions, doublant chaque bord pertinent dans le cadre rigoureux de sa structure.",Tenez compte de l'union de chaque carré facial avec son voisin.,true
