module,category,difficulty,question,prompt,options,answer,explanation,hint,is_active
psychotechnique,logique_verbale,Facile,Quel est le synonyme de « heureux » ?,,"{""Triste"",""Joyeux"",""Lent"",""Calme""}",Joyeux,"Le mot 'heureux' est synonyme de 'joyeux', car les deux mots expriment un état de contentement ou de satisfaction. 'Triste' est l'antonyme, décrivant un sentiment de peine. 'Lent' et 'calme' n'ont pas de rapport direct avec le bonheur.",Pense à un sentiment positif.,true
psychotechnique,logique_verbale,Facile,Quel est l'antonyme de « rapide » ?,,"{""Vite"",""Agile"",""Lent"",""Fleuri""}",Lent,"L'antonyme de 'rapide' est 'lent', qui signifie se déplacer ou agir avec une vitesse moindre. 'Vite' et 'agile' sont des synonymes de 'rapide', tandis que 'fleuri' ne décrit pas une vitesse.",Cherche le contraire de la vitesse.,true
psychotechnique,logique_verbale,Facile,Complète l'analogie : Chat est à miauler comme chien est à ___,,"{""Bâiller"",""Aboyer"",""Siffler"",""Miauler""}",Aboyer,"Le chat émet le son de 'miauler', tandis que le chien émet le son de 'aboyer'. 'Bâiller' est un acte que les deux peuvent faire, mais ce n'est pas un son caractéristique. 'Siffler' et 'miauler' sont moins appropriés dans cette analogie.",Pense au son typique du chien.,true
psychotechnique,logique_verbale,Facile,Quel mot est l'intrus ?,"Pomme, chaussette, poire, banane","{""Pomme"",""Chaussette"",""Poire"",""Banane""}",Chaussette,"La 'chaussette' est un vêtement, tandis que 'pomme', 'poire' et 'banane' sont des fruits. Le critère d'appartenance à une catégorie est ici basé sur le type de produit : fruit vs. vêtement.",Identifie ce qui n'est pas un fruit.,true
psychotechnique,logique_verbale,Facile,"Complète la phrase : Malgré la neige, elle a ___ au travail.",,"{""abandonné"",""hésité"",""renoncé"",""continué""}",continué,"La phrase implique une action persévérante malgré les conditions difficiles. 'Continué' est le verbe qui indique la poursuite de l'action. 'Abandonné' et 'renoncé' impliquent un arrêt, tandis que 'hésité' suggère une indécision pas une persistance.",Cherche un mot qui exprime la persistance.,true
psychotechnique,logique_verbale,Facile,"Dans cette phrase, le mot « carton » signifie…",Le déménagement nécessite beaucoup de carton à ranger.,"{""Déchet"",""Boîte"",""Papier"",""Feuille""}",Boîte,"Dans le contexte du déménagement, 'carton' fait référence aux boîtes utilisées pour le rangement et le transport d'objets. 'Déchet' est une utilisation courante dans le recyclage, mais ne s'applique pas ici. 'Papier' et 'feuille' sont des formes, mais ne correspondent pas à l'objet description dans cette phrase.",Pense aux contenants de déménagement.,true
psychotechnique,logique_verbale,Facile,Quel est le synonyme de « intelligent » ?,,"{""Stupide"",""Incroyable"",""Sage"",""Ingenieux""}",Ingenieux,"'Ingenieux' réfère à une manière astucieuse ou habile d’aborder des situations, donc proche de 'intelligent'. 'Stupide' est son antonyme, tandis que 'incroyable' et 'sage' ne reflètent pas spécifiquement la notion de capacité intellectuelle directe.",Cherche un synonyme basé sur l’astuce et la ruse.,true
psychotechnique,logique_verbale,Facile,Quel est l'intrus ?,"Tomate, Courgette, Fraise, Carotte","{""Tomate"",""Courgette"",""Fraise"",""Carotte""}",Fraise,"La fraise est un fruit, tandis que la tomate, courgette et carotte sont utilisés culinaire comme légumes. Le contexte de classification botanique et culinaire diffère, mais en pratique ici, seule la fraise est un sucré commun d'un plat.",Cherche un produit sucré plutôt qu'un salé.,true
psychotechnique,logique_verbale,Facile,"Complète la phrase : Pour sa patience, il a ___ une récompense.",,"{""obtenu"",""perdu"",""refusé"",""ignoré""}",obtenu,"Une récompense est généralement donnée en reconnaissance d'une qualité ou d'une action, ici 'obtenu' est le verbe approprié. 'Perdu' serait le résultat d'une défaite, 'refusé' implique un acte d'évitement actif, et 'ignoré' ne convient pas.",Quelle est l'action positive après l'effort ?,true
psychotechnique,logique_verbale,Facile,Lequel de ces mots est l'antonyme de « agréable » ?,,"{""Enchanté"",""Plaisant"",""Désagréable"",""Amical""}",Désagréable,"'Désagréable' signifie qui déplaît, l'opposé de 'agréable' qui est plaisant ou positif. 'Enchanté' et 'amical' sont des synonymes de plaisant dans des contextes sociaux et se rapportent à des sensations positives.",Pense à une sensation inverse.,true
psychotechnique,logique_verbale,Facile,Quel est le synonyme de « fort » ?,,"{""Faible"",""Puissant"",""Léger"",""Insignifiant""}",Puissant,"'Puissant' découle de l'idée de force, correspondant à 'fort' dans divers contextes d’intensité ou de capacité. 'Faible' est l'antonyme, tandis que 'léger' et 'insignifiant' décrivent la force de manière réduite.",Un mot signifiant également énergique et influent.,true
psychotechnique,logique_verbale,Facile,Complète l'analogie : Écrivain est à plume comme peintre est à ___,,"{""Chapeau"",""Palette"",""Tableau"",""Encre""}",Palette,"Un écrivain utilise une plume pour écrire, tandis qu'un peintre utilise une palette pour mélanger ses couleurs. 'Chapeau' et 'tableau' sont accessoires à la peinture tandis qu''encre' n'est pas utilisée par peinture.",Cherche un outil essentiel à l'artiste.,true
psychotechnique,logique_verbale,Facile,Quel mot est l'intrus ?,"Écoute, Parole, Silence, Parfum","{""Écoute"",""Parole"",""Silence"",""Parfum""}",Parfum,"'Parfum' se distingue car il est lié à l'odorat, alors que 'écoute', 'parole', et 'silence' sont tous relatif à l'audition ou à la communication verbale.",C'est lié à un sens différent que l'audition.,true
psychotechnique,logique_verbale,Facile,"Complète la phrase : Malgré la fatigue, il a ___ à faire du sport.",,"{""cessé"",""décidé"",""abdiqué"",""démontré""}",décidé,"L'action implique de continuer une activité de volonté, même avec un obstacle, 'décidé' indique donc une intention positive et continue. 'Cessé', 'abdiqué', et 'démontré' n'engagent pas à la poursuite dans ce contexte.",Cherche quelque chose qui montre détermination.,true
psychotechnique,logique_verbale,Facile,Quel est le synonyme de « peur » ?,,"{""Horreur"",""Deffence"",""Courage"",""Crainte""}",Crainte,"'Crainte' est un synonyme de 'peur', tous deux évoquent une émotion de souci ou de recul face à un danger perçu. 'Horreur' peut être plus intense, 'courage' et 'défense' ne représentent pas cette idée.",Pense à un sentiment d'inquiétude ou d'anxiété.,true
psychotechnique,logique_verbale,Moyenne,Quel est le synonyme de « rigoureux » ?,,"{""Sévère"",""Flou"",""Relax"",""Vague""}",Sévère,"'Sévère' et 'rigoureux' indiquent tous deux une approche stricte ou exigeante. 'Flou' et 'vague' sont les contraires d'une méthode précise, tandis que 'relax' inclut une attitude plus détendue, à l’opposé de 'rigoureux'.",Cherche le mot indiquant la précision et l’exactitude.,true
psychotechnique,logique_verbale,Moyenne,Complète la phrase : La réunion a été annulée car le directeur était en ___.,,"{""congé"",""vacance"",""déplacement"",""voyage""}",déplacement,"En contexte professionnel, 'déplacement' indique que le directeur n’était pas disponible au bureau, justifiant l'annulation. 'Congé' et 'vacance' impliquent repos ou temps libre, mais ne suggèrent pas l’engagement professionnel. 'Voyage' est trop générique.",Cherche une raison professionnelle de ne pas être présent.,true
psychotechnique,logique_verbale,Moyenne,Complète l'analogie : Musicien est à orchestre comme athlète est à ___,,"{""Stade"",""Équipe"",""Course"",""Instrument""}",Équipe,"Un musicien fait partie d'un orchestre tout comme un athlète peut être membre d'une équipe avec d'autres athlètes. 'Stade' est un lieu, 'course' est une activité spécifique, et 'instrument' concerne l'orchestre individuelle.",Pense au collectif auquel l'athlète appartient.,true
psychotechnique,logique_verbale,Moyenne,Quel est l'antonyme de « bavard » ?,,"{""Discret"",""Volubile"",""Éloquent"",""Chahuteur""}",Discret,"Le mot 'discret' est antonyme de 'bavard', car il décrit quelqu'un de réservé ou qui parle peu. 'Volubile' et 'éloquent' sont plutôt associés à la parole, tandis que 'chahuteur' est un comportement bruyant.",Cherchez une qualité inverse à celle de parler beaucoup.,true
psychotechnique,logique_verbale,Moyenne,Quel mot est l'intrus ?,"Médecin, Chirurgien, Dentiste, Greffier","{""Médecin"",""Chirurgien"",""Dentiste"",""Greffier""}",Greffier,"Les trois premiers termes, 'médecin', 'chirurgien', et 'dentiste', sont des professions médicales, tandis que 'greffier' est une profession juridique, travaillant dans le domaine du droit.",Identifie la profession non-médicale.,true
psychotechnique,logique_verbale,Moyenne,Quel est le sens contextuel de « pièce » ?,Il collectionne les pièces comme un trésor précieux.,"{""Partie"",""Salle"",""Objet"",""Scène""}",Objet,"Dans ce contexte, 'pièce' se réfère à un objet tangible telles que les pièces de monnaie qu'on peut collectionner. 'Partie' impliquerait un segment de quelque chose plus grand, 'salle' un lieu, et 'scène' un lieu d'action théâtrale.",Considère ce que l'on peut collectionner physiquement.,true
psychotechnique,logique_verbale,Moyenne,Quel mot est l'intrus ?,"Piano, Violon, Trompette, Saxophone","{""Piano"",""Violon"",""Trompette"",""Saxophone""}",Violon,"Le 'violon' est un instrument à cordes, contrairement au 'piano' (cordes frappées), 'trompette' et 'saxophone' qui sont des instruments à vent. Le critère déterminant vient du type de mécanisme sonore.",Identifie l'instrument à cordes parmi ceux à vent.,true
psychotechnique,logique_verbale,Moyenne,Quel est l'antonyme de « flexible » ?,,"{""Rigide"",""Mou"",""Décontracté"",""Élastique""}",Rigide,"'Rigide' décrit ce qui est inflexible, donc c'est l'antonyme parfait de 'flexible'. 'Mou' et 'décontracté' ne s'accordent pas avec la force ou la dureté, et 'élastique' associe souplesse à flexibilité.",Cherche la description d'un état inflexible ou dur.,true
psychotechnique,logique_verbale,Moyenne,"Complète la phrase : Après une longue journée, elle se sentait ___ épuisée.",,"{""partiellement"",""incroyablement"",""habituellement"",""peu""}",incroyablement,"L'adverbe 'incroyablement' intensifie le niveau de fatigue exprimé par 'épuisée'. 'Habituellement' ne correspond pas avec l'impression d'une journée singulière, 'peu' réduit l'épuisement, et 'partiellement' n'indique pas la totalité de l'effet ressenti.",Cherche un mot qui intensifie le sentiment d'épuisement.,true
psychotechnique,logique_verbale,Difficile,Quel est le synonyme de « sibyllin » ?,,"{""Clair"",""Enigmatique"",""Simple"",""Élémentaire""}",Enigmatique,"'Sibyllin' signifie mystérieux ou difficilement compréhensible, donc synonyme de 'énigmatique'. 'Clair', 'simple', et 'élémentaire' décrivent des états absolus de compréhension, opposés à la subtilité suggestive.",Regarde la référence à l'hermétisme et la codification.,true
psychotechnique,logique_verbale,Difficile,Quel mot est un antonyme de « atavique » ?,,"{""Moderne"",""Ancestral"",""Héréditaire"",""Récurrent""}",Moderne,"'Atavique' concerne des traits ancestraux ou héréditaires, tandis que 'moderne' désigne des concepts actuels. 'Ancestral' et 'héréditaire' correspondent à des discussions des temps passés, et 'récurrent' décrit une fréquence qui n'est pas temporellement située.",Cherche ce qui est contemporain.,true
psychotechnique,logique_verbale,Difficile,Complète l'analogie : Panique est à calme comme chaleur est à ___,,"{""Froid"",""Lumière"",""Nuit"",""Sombre""}",Froid,"'Calme' est l'inverse de 'panique', de même que 'froid' est l'inverse de 'chaleur'. 'Lumière', 'nuit', et 'sombre' ne sont pas des opposés directs à considérer en température dans ce contexte.",Cherche des contraires.,true
