module,category,difficulty,question,prompt,options,answer,explanation,hint,is_active
psychotechnique,logique_verbale,Facile,Complétez l'analogie : Chien est à chiot comme chat est à ___,,"{""Chaton"",""Griffe"",""Loup"",""Pelage""}",Chaton,"Un chiot est un jeune chien, et de même, un chaton est un jeune chat. « Griffe » et « pelage » sont des caractéristiques physiques, et « loup » est un autre animal.",Cherchez le nom de la version jeune du chat.,true
psychotechnique,logique_verbale,Facile,Lequel de ces mots est l'intrus ?,"Table, Chaise, Banane, Armoire","{""Table"",""Chaise"",""Banane"",""Armoire""}",Banane,"La « banane » est un fruit, tandis que les autres sont des meubles. Les meubles servent à l'ameublement d'une pièce, alors qu'une banane est un aliment.",Un des mots est une nourriture.,true
psychotechnique,logique_verbale,Facile,"Dans cette phrase, le mot ""pièce"" signifie…",Il a trouvé une pièce dans le parc.,"{""Salle"",""Monnaie"",""Spectacle"",""Accessoire""}",Monnaie,"Dans le contexte de la phrase, « pièce » se réfère à une unité monétaire, puisqu'il s'agit d'un objet trouvé dans un parc. « Salle » et « spectacle » sont des significations possibles du mot « pièce » mais dans un contexte différent.",Pensez à ce que l'on peut perdre et trouver par terre.,true
psychotechnique,logique_verbale,Facile,Quel est l'antonyme de « propre » ?,,"{""Sale"",""Nettoyer"",""Blanc"",""Pur""}",Sale,« Sale » est l'antonyme de « propre » car il signifie un état d'encombrement ou de saleté. « Nettoyer » est une action pour rendre quelque chose propre mais pas un état. « Blanc » et « pur » sont des adjectifs qui ne sont pas des antithèses directes.,Pensez à ce que vous devez enlever pour avoir quelque chose de propre.,true
psychotechnique,logique_verbale,Facile,"Complète la phrase : ""Après l'orage, le ciel est devenu ___.""",,"{""Clair"",""Sombre"",""Nuageux"",""Orageux""}",Clair,"Après un orage, le ciel qui s'éclaircit devient souvent « clair », ce qui signifie un retour au calme et à la luminosité. « Sombre » et « nuageux » décrivent un ciel encore chargé. « Orageux » ne convient pas, car il désigne le moment de l'orage.",Pensez à l'état du ciel après dissipation des nuages.,true
psychotechnique,logique_verbale,Facile,Quel est le synonyme de « intelligent » ?,,"{""Brillant"",""Stupide"",""Lent"",""Insensé""}",Brillant,« Brillant » est un synonyme de « intelligent » et suggère une grande capacité d'analyse ou de compréhension. « Stupide » est un antonyme. « Lent » et « insensé » ne sont pas des termes associés à l'intelligence en termes de synonyme.,Cherchez un mot qui exprime de la capacité mentale.,true
psychotechnique,logique_verbale,Facile,"Dans cette phrase, le mot ""batterie"" signifie…",La batterie de son téléphone est à plat.,"{""Instrument"",""Accumulation"",""Source d'énergie"",""Groupe""}",Source d'énergie,"Ici, « batterie » fait référence à la source d'énergie d'un appareil, plus précisément un téléphone. L’instrument de musique ne peut pas être à plat dans ce contexte, et une « accumulation » ou « groupe » ne sont pas pertinents ici.",Pensez à ce qui fait fonctionner un téléphone.,true
psychotechnique,logique_verbale,Facile,Quel est l'antonyme de « silencieux » ?,,"{""Bruyant"",""Paisible"",""Muet"",""Calme""}",Bruyant,« Bruyant » est l'antonyme de « silencieux » car il désigne un lieu ou objet émettant beaucoup de son. « Paisible » et « calme » sont des synonymes de silencieux. « Muet » est un état de silence personnel mais ne désigne pas un bruit actif.,Pensez à ce qui pourrait vous déranger dans un lieu silencieux.,true
psychotechnique,logique_verbale,Facile,Complète l'analogie : Plume est à écrire comme brosse est à ___,,"{""Peindre"",""Lire"",""Couper"",""Moudre""}",Peindre,"Une plume sert à écrire, de même une brosse est utilisée pour peindre. « Lire », « couper » et « moudre » sont des actions sans rapport avec les outils mentionnés.",Réfléchissez à l'activité principale faite avec une brosse.,true
psychotechnique,logique_verbale,Facile,Lequel de ces mots est l'intrus ?,"Été, Hiver, Chapeau, Printemps","{""Été"",""Hiver"",""Chapeau"",""Printemps""}",Chapeau,"« Chapeau » est un accessoire de mode alors que les autres termes sont des saisons. Les saisons ne sont pas des objets, mais le chapeau l'est.",Un des mots n'est pas un moment de l'année.,true
psychotechnique,logique_verbale,Facile,"Dans cette phrase, le mot ""feuille"" signifie…",La feuille de l'arbre est tombée.,"{""Page"",""Vegetal"",""Tôle"",""Palette""}",Vegetal,"Dans le contexte de la phrase, « feuille » se réfère à la partie d'un arbre, donc un élément végétal. « Page » et « tôle » sont d'autres significations de « feuille » mais ne conviennent pas ici.",Pensez à ce que l'on trouve naturellement sur les arbres.,true
psychotechnique,logique_verbale,Facile,Quel est le synonyme de « ami » ?,,"{""Camarade"",""Adversaire"",""Concurrence"",""Rival""}",Camarade,"« Camarade » est un synonyme de « ami » car il exprime une relation amicale ou de camaraderie. « Adversaire », « concurrence » et « rival » impliquent des relations antagonistes, ce qui est contraire à la notion d'amitié.",Cherchez un mot qui exprime la relation positive entre personnes.,true
