module,category,difficulty,question,prompt,options,answer,explanation,hint,is_active
psychotechnique,logique_verbale,Facile,Lequel de ces mots est l'intrus ?,"Soleil, Rayons, Pluie, Lumière","{""Soleil"",""Rayons"",""Pluie"",""Lumière""}",Pluie,"Le soleil, les rayons et la lumière sont liés par leur association à la clarté. La pluie, en revanche, est associée au temps pluvieux et à l'absence de soleil. Ainsi, 'pluie' est l'intrus.",,true
psychotechnique,logique_verbale,Facile,Complète la phrase : « Le chat a ___ sur le canapé. »,,"{""sauté"",""sifflé"",""marché"",""mordu""}",sauté,"Le verbe 'sauté' correspond à une action que le chat pourrait faire pour monter sur le canapé. 'Sifflé' n'est pas une action typique de chat, 'marché' indique un déplacement au sol, et 'mordu' implique une attaque.",Pense à une action de déplacement vertical.,true
psychotechnique,logique_verbale,Facile,Quel est l'antonyme de « calme » ?,,"{""Tranquille"",""Turbulent"",""Serein"",""Posé""}",Turbulent,"Un individu turbulent exprime de l'agitation et du désordre, opposé à 'calme' qui implique sérénité. 'Tranquille', 'serein' et 'posé' sont synonymes de 'calme'.",Cherchez l'opposé du mot 'serein'.,true
psychotechnique,logique_verbale,Facile,Quel est le synonyme de « début » ?,,"{""Fin"",""Commencement"",""Achèvement"",""Clôture""}",Commencement,"Le mot 'commencement' signifie le début ou la mise en route d'une activité, tout comme 'début'. 'Fin', 'achèvement' et 'clôture' désignent la conclusion ou conclusion.",,true
psychotechnique,logique_verbale,Facile,Lequel de ces aliments est l'intrus ?,"Orange, Citron, Fraise, Pamplemousse","{""Orange"",""Citron"",""Fraise"",""Pamplemousse""}",Fraise,"Les oranges, citrons et pamplemousses sont des agrumes, tandis que la fraise est un fruit rouge et sucré non agrume. Ainsi, la fraise est l'intrus.",,true
psychotechnique,logique_verbale,Facile,Complète l'analogie : Crayon est à écrire comme peinture est à ___,,"{""Lire"",""Colorier"",""Dessiner"",""Effacer""}",Colorier,"Un crayon est utilisé pour écrire, tandis que la peinture est couramment utilisée pour colorier ou remplir de couleur. 'Dessiner' peut être plus directement relié au crayon.",Pense à l'action de remplir de couleur.,true
psychotechnique,logique_verbale,Facile,"Dans cette phrase, le mot « doux » signifie…",Ce tissu est doux et agréable au toucher.,"{""Rugueux"",""Moelleux"",""Piquant"",""Dur""}",Moelleux,"Dans le contexte de la phrase, 'doux' décrit une sensation agréable au toucher, synonyme de 'moelleux'. 'Rugueux', 'piquant', et 'dur' décrivent des textures désagréables à toucher.",Pense à une sensation agréable au toucher.,true
psychotechnique,logique_verbale,Facile,Quel est l'antonyme de « clair » ?,,"{""Lumineux"",""Obscur"",""Évident"",""Translucide""}",Obscur,"Le mot 'obscur' est l'antonyme de 'clair', car il s'oppose à la luminosité. 'Lumineux', 'évident', et 'translucide' sont des mots associés à la clarté ou la transparence.",Cherchez l'opposé de la lumière.,true
psychotechnique,logique_verbale,Facile,Lequel de ces mots est l'intrus ?,"Cercle, Carré, Triangle, Sablier","{""Sablier"",""Cercle"",""Carré"",""Triangle""}",Sablier,"Le cercle, le carré, et le triangle sont des formes géométriques, tandis qu'un sablier est un outil pour mesurer le temps. Ainsi, 'sablier' est l'intrus.",,true
psychotechnique,logique_verbale,Facile,Complète la phrase : « Le chien a ___ contre le mur. »,,"{""jappé"",""glissé"",""mordu"",""dormi""}",glissé,"'Glissé' décrit une action physique pouvant se produire spontanément contre un mur. 'Jappé', 'mordu', et 'dormi' n'impliquent pas une telle action physique brusque.",Pense à une action soudaine.,true
psychotechnique,logique_verbale,Facile,Quel est le synonyme de « malicieux » ?,,"{""Sérieux"",""Rusé"",""Simple"",""Bête""}",Rusé,"'Rusé' désigne une personne astucieuse et qui agit avec malice, semblable à 'malicieux'. 'Sérieux', 'simple', et 'bête' ne correspondent pas à cette acuité d'esprit.",Cherche un mot indiquant l'astuce.,true
psychotechnique,logique_verbale,Facile,Quel est l'antonyme de « léger » ?,,"{""Lourd"",""Douce"",""Petit"",""Aérien""}",Lourd,"Le contraire de 'léger', qui signifie peu pesant, est 'lourd'. 'Douce', 'petit', et 'aérien' n'opposent pas directement le poids à 'léger'.",Pense à un mot en totale opposition de poids.,true
psychotechnique,logique_verbale,Facile,Quel est le synonyme de « regarder » ?,,"{""Voir"",""Écouter"",""Sentir"",""Toucher""}",Voir,"'Voir' est proche de 'regarder' car il s'agit de l'utilisation de la vue. 'Écouter', 'sentir', et 'toucher' se réfèrent à d'autres sens.",Cherche un mot du même sens que 'observer'.,true
psychotechnique,logique_verbale,Facile,"Dans cette phrase, le mot « frais » signifie…",Il fait frais ce matin.,"{""Chaud"",""Refroidi"",""Tempéré"",""Glacial""}",Refroidi,"Dans cette phrase, 'frais' réfère à température un peu froide, synonyme de 'refroidi'. 'Chaud' et 'glacial' ne correspondent pas à la même nuance de température, et 'tempéré' est trop modéré.",Pense à une légère sensation de froid.,true
