module,category,difficulty,question,prompt,options,answer,explanation,hint,is_active
psychotechnique,logique_verbale,Facile,Quel est l'antonyme de « jour » ?,,"{""Nuit"",""Lumière"",""Matin"",""Soleil""}",Nuit,"« Nuit » est l'antonyme de « jour » car il s'agit de la période d'obscurité entre deux journées. « Lumière », « matin » et « soleil » sont associés au jour, mais ne sont pas des opposés.",Pense à la période où il fait sombre.,true
psychotechnique,logique_verbale,Facile,Complète l'analogie : Oiseau est à nid comme poisson est à ___,,"{""Mer"",""Aquarium"",""Récif"",""Bocal""}",Aquarium,"Un oiseau construit un nid pour vivre, de même, un poisson peut vivre dans un aquarium. Le récif et la mer sont des environnements naturels, ce qui n'est pas symétrique au concept de nidification.",Réfléchis à l'habitat artificiel.,true
psychotechnique,logique_verbale,Facile,Lequel de ces mots est l'intrus ?,"Chat, Chien, Poisson, Loup","{""Chat"",""Chien"",""Poisson"",""Loup""}",Poisson,"Le poisson est aquatique, tandis que les autres animaux sont terrestres et appartiennent à la catégorie des mammifères.",Cherche l'animal qui ne vit pas sur terre.,true
psychotechnique,logique_verbale,Facile,Quel est le synonyme de « commencer » ?,,"{""Finir"",""Démarrer"",""Arrêter"",""Clore""}",Démarrer,"« Démarrer » signifie débuter une action, tout comme « commencer ». « Finir », « arrêter » et « clore » désignent une action qui s'achève, ce qui est l'opposé de commencer.",Pense à appuyer sur le bouton 'start'.,true
psychotechnique,logique_verbale,Facile,Quel est l'antonyme de « clair » ?,,"{""Lumineux"",""Sombre"",""Transparent"",""Visible""}",Sombre,"« Sombre » est l'antonyme direct de « clair » : il désigne ce qui manque de lumière. « Lumineux » et « transparent » sont synonymes de clair, tandis que « visible » n'exprime pas l'opposé du concept de clarté.",Cherche un mot lié à la lumière ou à son absence.,true
psychotechnique,logique_verbale,Facile,"Complète la phrase : « Avant de partir, il a pensé à ___ la porte.""",,"{""Fermer"",""Ouvrir"",""Renverser"",""Garder""}",Fermer,"Il est logique de fermer la porte avant de quitter un lieu pour la sécuriser, tandis qu'ouvrir irait à l'encontre de cette idée. « Renverser » et « garder » ne conviennent pas dans ce contexte.",Pense à la sécurité d'une maison quand on part.,true
psychotechnique,logique_verbale,Facile,Lequel de ces mots est l'intrus ?,"Voiture, Vélo, Avion, Glace","{""Voiture"",""Vélo"",""Avion"",""Glace""}",Glace,"La glace est un dessert froid, tandis que les autres sont des moyens de transport. Il s'agit de catégories distinctes.",Cherche ce qui ne sert pas à se déplacer.,true
psychotechnique,logique_verbale,Facile,"Complète la phrase : ""Il est temps de ___ le projecteur.""",,"{""Allumer"",""Éteindre"",""Casser"",""Oublier""}",Allumer,"Il est courant d'allumer un projecteur pour qu'il fonctionne. Éteindre est l'opposé de cette action, tandis que « casser » et « oublier » ne sont pas pertinent dans ce contexte.","Pour voir clair, commence par cela.",true
psychotechnique,logique_verbale,Facile,"Quel est le synonyme de ""tranquille"" ?",,"{""Calme"",""Bruyant"",""Agité"",""Vif""}",Calme,"« Calme » et « tranquille » sont des synonymes exprimant un état de paix et de sérénité. « Bruyant », « agité » et « vif » expriment différents niveaux d'activité et de bruit, loin de la tranquillité.",Pense à une journée sans perturbations.,true
psychotechnique,logique_verbale,Facile,"Quel est l'antonyme de ""riche"" ?",,"{""Pauvre"",""Fortuné"",""Aisé"",""Opulent""}",Pauvre,"« Pauvre » est l'antonyme direct de « riche », indiquant une manque de ressources. Les termes « fortuné », « aisé » et « opulent » sont des synonymes ou proches de « riche ».",Cherche le mot qui montre un manque d'argent.,true
psychotechnique,logique_verbale,Facile,Complète l'analogie : Marteau est à clou comme tournevis est à ___,,"{""Vis"",""Boulon"",""Scie"",""Tasse""}",Vis,"Un marteau sert à enfoncer un clou, tandis qu'un tournevis sert à visser ou dévisser. Un boulon nécessite une clef, et une scie ou une tasse ne sont pas pertinentes dans ce contexte d'outillage.",Pense au complément du tournevis.,true
psychotechnique,logique_verbale,Moyenne,Quel est le synonyme de « précaire » ?,,"{""Stable"",""Incertain"",""Solide"",""Durable""}",Incertain,"« Incertain » est synonyme de « précaire », tous deux décrivent une situation non assurée. « Stable », « solide » et « durable » expriment une fiabilité qui s'oppose à la précarité.",Cherche un terme exprimant l'instabilité.,true
psychotechnique,logique_verbale,Moyenne,Quel est l'antonyme de « fraternel » ?,,"{""Hostile"",""Amical"",""Solidaire"",""Fraternel""}",Hostile,"« Hostile » exprime une opposition ou une animosité, contrairement au sens de « fraternel ». « Amical » et « solidaire » sont proches de « fraternel » quant à la bienveillance et l'entraide.",Pense au contraire d'un environnement amical.,true
psychotechnique,logique_verbale,Moyenne,Lequel de ces mots est l'intrus ?,"Violoncelle, Hautbois, Flûte, Trompette","{""Violoncelle"",""Hautbois"",""Flûte"",""Trompette""}",Violoncelle,"Le violoncelle est un instrument à cordes, alors que le hautbois, la flûte et la trompette relèvent des instruments à vent.",Un seul ne se souffle pas.,true
psychotechnique,logique_verbale,Moyenne,Complète l'analogie : Chef est à cuisine comme pilote est à ___,,"{""Cockpit"",""Salon"",""Garage"",""Bureau""}",Cockpit,"Un chef travaille en cuisine, tandis que le pilote opère dans le cockpit de l'avion. « Salon », « garage » et « bureau » ne sont pas pertinents dans le contexte du pilotage d'un avion.",Cherche l'endroit où le pilote se trouve.,true
psychotechnique,logique_verbale,Moyenne,"Complète la phrase : ""Pour cette mission, il est crucial de ___ tous les détails.""",,"{""Oublier"",""Ignorer"",""Comprendre"",""Détruire""}",Comprendre,"Dans tout projet important, comprendre les détails est crucial. Oublier, ignorer, et détruire les détails va à l'encontre de cet objectif.",Pense à s'assurer que tout soit clair et su.,true
psychotechnique,logique_verbale,Moyenne,Quel est le synonyme de « ambigu » ?,,"{""Clair"",""Confus"",""Précis"",""Évident""}",Confus,"« Ambigu » et « confus » désignent une absence de clarté. « Clair », « précis », et « évident » sont antonymes étant donné leur expressivité d'une compréhension limpide.",Cherche l'idée d'une compréhension floue.,true
psychotechnique,logique_verbale,Moyenne,"Dans cette phrase, le mot ""pièce"" signifie : ""Elle a trouvé une pièce ancienne dans le grenier.""",,"{""Salle"",""Monnaie"",""Partie"",""Jeu""}",Monnaie,"Dans le contexte, « pièce » désigne une monnaie ancienne. « Salle », « partie », et « jeu » désignent d'autres significations du mot sans rapport avec l'idée de découverte d'objets de valeur.",Ce mot est souvent utilisé pour décrire de l'argent.,true
psychotechnique,logique_verbale,Moyenne,Quel est l'antonyme de « dilater » ?,,"{""Contracter"",""Étendre"",""Élasticité"",""Développer""}",Contracter,"« Contracter » signifie réduire en volume, antithèse de « dilater » qui signifie augmenter. « Étendre » et « développer » comportent l'idée d'élargissement, tandis qu'« élasticité » est une qualité sans lien axial avec l'opposition spécifiée.",Cherche une action qui oppose la notion d'élargir.,true
