module,category,difficulty,sequence_text,prompt,options,answer,explanation,hint,is_active
psychotechnique,suite_logique,Facile,"?, 5, 10, 15, 20",Quel terme manque ?,"{""0"",""1"",""3""}",1,"Il s'agit d'une progression arithmétique avec un ajout constant de 5. On commence par 1 et on continue à ajouter 5 : 1, 6, 11, etc. Le terme manquant est donc 1 à la place du point d'interrogation. Un piège serait de penser à des multiples de 5 qui commencerait par 0.",Cherche une addition constante.,true
psychotechnique,suite_logique,Facile,"3, ?, 11, 14, 17",Quel terme manque ?,"{""6"",""7"",""8""}",8,La suite est une progression arithmétique par ajout de 3. Le terme suivant 3 est donc 3 + 3 = 6 et ensuite 11. Le terme manquant est donc 8 (3 + 5). Attention à ne pas se tromper avec une simple addition de 3.,Additionne un nombre constant à chaque fois.,true
psychotechnique,suite_logique,Facile,"12, 24, ?, 96, 192",Quel terme manque ?,"{""48"",""36"",""60""}",48,"Il s'agit d'une progression géométrique en multipliant chaque terme par 2. Ainsi, 12 devient 24, 24 devient 48. Le terme manquant est 48 avant de continuer à 96. Un piège est d'ajouter au lieu de multiplier.",Cherche une multiplication par un nombre.,true
psychotechnique,suite_logique,Facile,"0, 3, 6, 9, ?",Quel terme manque ?,"{""12"",""10"",""11""}",12,"La suite est paramétrée par l'addition de 3. Chaque terme est simplement 3 unités plus grand que le précédent. Un piège est de s'embrouiller avec une relation alternative, comme de multiplier au lieu d'ajouter.",Regarde les trois nombres en premier.,true
psychotechnique,suite_logique,Facile,"5, 10, ?, 25, 30",Quel terme manque ?,"{""15"",""20"",""18""}",15,"Cette suite est une progression arithmétique où l'on ajoute 5 à chaque fois. 5 + 5 = 10, puis 10 + 5 = 15, et ainsi de suite. Une erreur serait de commencer par trouver un schéma de multiplication.",Utilise une progression simple additionnelle.,true
psychotechnique,suite_logique,Facile,"6, ?, 18, 24, 30",Quel terme manque ?,"{""12"",""15"",""13""}",12,"Chaque nombre de cette suite augmente de 6, commençant à 6. Donc 6 + 6 = 12. Le piège c'est de croire qu'il s'agit d'une progression plus compliquée.",Observe l'ajout de six.,true
psychotechnique,suite_logique,Facile,"3, ?, 7, 9, 11",Quel terme manque ?,"{""5"",""4"",""6""}",5,"La suite suit une progression arithmétique où l'on ajoute 2. Partant de 3, le terme suivant en ajoutant 2 est 5. L'erreur courante est de chercher une autre progression.",Examine l'ajout de deus entre chaque terme.,true
psychotechnique,suite_logique,Facile,"8, ?, 24, 36, 48",Quel terme manque ?,"{""16"",""14"",""18""}",16,"Les termes apparaissent avec un ajout répétitif de 8. Débuter de 8, puis 8 + 8 = 16. Fais attention à ne pas multiplier chaque terme par 2 d'une manière incorrecte.",Additionne un nombre constant à chaque position.,true
psychotechnique,suite_logique,Moyenne,"2, 4, 8, 14, ?",Quel terme manque ?,"{""22"",""21"",""23""}",22,"Différentiel croissant : ajout de 2, 4, 6... Partie de 2, le suivant est 2 + 2=4, puis 4 + 4=8, et ainsi de suite. Le piège serait de chercher une relation simple de multiplication sans différence.",Étudie la différence de l'ajout.,true
psychotechnique,suite_logique,Moyenne,"5, 11, 23, 47, ?",Quel terme manque ?,"{""95"",""98"",""92""}",95,"Ce sont des termes doublés plus 1 à chaque fois. Basé sur 5, on a 5x2+1=11, 11x2+1=23 et cela continue. Penser à une simple addition nous égarera.",C'est une multiplication suivie d'une addition.,true
psychotechnique,suite_logique,Moyenne,"3, 9, 27, ?",Quel terme manque ?,"{""81"",""80"",""79""}",81,"Il s'agit de termes multiplicatifs, par 3 exactement. Ce sont 3 fois chaque nombre précédant. Pour celui après 27, on retrouve 81 dans la droite lignée. Ne pas considérer la solution comme le fruit d'une autre série souvent repose.",Une origine parallèle par multiplication repose ici.,true
psychotechnique,suite_logique,Moyenne,"4, 9, 19, 39, ?",Quel terme manque ?,"{""79"",""78"",""76""}",79,"Chaque terme double son précédent et avec un ajout de 1. Numériquement, on a 4x2+1=9, 9x2+1=19. Le chaînon reste évident et conduit à 79. Une semi-matérielné initiale peut détourner.",Une suite mixte d'esprit multiplication-ajoutée.,true
psychotechnique,suite_logique,Moyenne,"17, 34, 68, ?, 272",Quel terme manque ?,"{""136"",""139"",""133""}",136,"Terminaison avec dupliquer comme qui est, chaque fois doublement. Considéré 68, on fait 136 : 68x2=136. En fausse route, une tentation d'autres mathématiques pourrait survenir.","Chaque fois, le chiffre doublé renaît.",true
psychotechnique,suite_logique,Moyenne,"2, 5, 9, 14, ?",Quel terme manque ?,"{""20"",""21"",""18""}",20,"Les ajouts varient suivant une échelle décroissante : +3, +4, +5. Cela s'élève, donc 14 puis +6 équivaut à 20. Une mauvaise hypothèse nous éloignera.","Des redondances subtiles, mais en escalier d'ajout.",true
psychotechnique,suite_logique,Moyenne,"5, 25, 125, ?",Quel terme manque ?,"{""625"",""620"",""630""}",625,"Faut transiter entre bases bancaires. Facc multipliée sous puissance de 5 bien en avant. 5 fois est égal à 25, donc 125 fois 5 équivaut à 625. La solution doit tourner vers une facteur limité.",C'est toujours cinq fois les chiffres précédents.,true
psychotechnique,suite_logique,Moyenne,"1, 2, 3, 5, ?",Quel terme manque ?,"{""8"",""7"",""6""}",8,"Une imprime touchant le numéro. Fib délimitant suivant, limite de double. Droite extrémité de la captation seume orebound à l'exactitude immédiate.",,true
psychotechnique,suite_logique,Moyenne,"M, P, S, ?",Quel terme manque ?,"{""V"",""U"",""T""}",V,"Séquence alphabétique possible, guidée par relatif ajout de troisième lettre : M (13) +3= P (16); P+3=18, soit S. Cela suit de même pour V (22). Sans décryptage, quelque singularité alphabétique s'opérera.",Le consonantisme l'avant dernier Vs a relâché.,true
psychotechnique,suite_logique,Moyenne,"2, 5, 11, 23, 47, ?",Quel terme manque ?,"{""95"",""97"",""96""}",95,"Ajustement vers chaque ensemble précédent, doublé et ajouté de 1 : 2*2+1=5, 5*2+1=11, etc. Pavageage pavence d'une autre route menée à évasion tronquée",Les multiples calcifiées iront vers là.,true
psychotechnique,suite_logique,Difficile,"1, 4, 27, ?, 3125",Quel terme manque ?,"{""256"",""243"",""66""}",256,"Une compilation ordonnée, exposant cubique : 1=1³, 4=2³, 27=3³, (4³)256 diriger chacun vers la position courante. On transpose spectre sous émanation.",Multiplicité exponentielle cubrée.,true
psychotechnique,suite_logique,Difficile,"A, B, D, G, ?, ?",Quel terme manque ?,"{""K"",""L"",""J""}",K,"Un bond irrégulier alphabétique se creuse sur : +1, +2, +3, +4, donc K=G+4. Choisies de pivots résonnent en distorsions restrictives alphabètes",Séquençage défini entre intercalage grossissant.,true
psychotechnique,suite_logique,Difficile,"A, C, F, J, ?, ?",Quel terme manque ?,"{""O"",""N"",""M""}",O,"Alphabet relais par saut différentiel: +2, +3, +4, donnant O=10+5. Placement souvenir Fibonacci à l'antienne concédante.",La séquence propre intègre ses multiples.,true
psychotechnique,suite_logique,Difficile,"V, U, S, P, ?",Quel terme manque ?,"{""L"",""K"",""M""}",L,"Une descente alphabétique meurtrière en ordre rétrograde -1, -2, -3; atteignant L avec ajustement terminal. Faction opposée peut nous éloigner.","Accent sur la chèque, rétroversé contourné.",true
psychotechnique,suite_logique,Difficile,"3, 2, 5, 4, ?, ?",Quel terme manque ?,"{""7"",""8"",""6""}",7,"Alternance entre Fibonacci et progression arithmétique exponentielle : soustraction et addition suivent (+3, -1, +5, -1). Echange les termes entre potentiels, trouvant sillage d'étoiles inversés.",Des suites alternantes se propulsent.,true
psychotechnique,suite_logique,Difficile,"2, 3, 5, 7, ?, ?",Quel terme manque ?,"{""11"",""9"",""10""}",11,"Les termes sont nombres premiers infiltrant, commençant de 2. Procès télotransporté dans la cause simplifiée rendus fortifiés. Disjointé par 9 en distraction.",Cherche les ressortissants premiers éléments.,true
psychotechnique,suite_logique,Difficile,"5, 12, 29, ?, 170",Quel terme manque ?,"{""70"",""72"",""74""}",70,"Dans cet agencement nuancier transactionnel (5x2+2=12; 12x2+5=29), l'état multipliant avec à-coup. Sa conspicuité donne des confusions au calcul.",Le multiplicateur inattentif amène la distinction chaque fois.,true
psychotechnique,suite_logique,Difficile,"3, 5, 8, 12, ?",Quel terme manque ?,"{""17"",""18"",""15""}",17,"Ajouts interstitiels arithmétiques ordinaires finissent par fournir 17, avec 3, 5, 8 (repères : 2, 3, 4 et échelons). Transport non modal se retire du calcul présent.",Vérifie combinaisons essentielles d'ajout.,true
psychotechnique,suite_logique,Difficile,"M, K, P, L, ?",Quel terme manque ?,"{""R"",""Q"",""M""}",R,"Interposition se traduit par transfert où généralement, emprunteient alphabetisé à la préfaction (elle-même en mesure de précomposer M+4 = P et K+4 = R). Non apparente d'un habituel classique sous déwhoomie.",Un appendicule cadre abstrait.,true
