module,category,difficulty,sequence_text,prompt,options,answer,explanation,hint,is_active
psychotechnique,suite_logique,Facile,"?, 3, 5, 7, 9",Quel terme manque ?,"{""1"",""2"",""4""}",1,"Cette suite suit une progression arithmétique de +2. En commençant par 1, chaque terme augmente de 2 unités : 1 + 2 = 3, 3 + 2 = 5, etc. Si on commence par un autre nombre que 1, les termes suivants ne correspondent plus, c'est un piège à éviter.",Pense à un ajout constant à chaque étape.,true
psychotechnique,suite_logique,Facile,"5, ?, 9, 11, 13",Quel terme manque ?,"{""6"",""7"",""8""}",7,La progression suit une augmentation de +2. Le nombre manquant est calculé comme suit : 5 + 2 = 7. Un piège commun ici serait d'oublier cette addition constante et de supposer un autre motif.,Souviens-toi des ajouts par paires.,true
psychotechnique,suite_logique,Facile,"8, 16, ?, 64, 128",Quel terme manque ?,"{""24"",""32"",""48""}",32,"La suite est une progression d'une multiplication par 2 à chaque étape. Après 16, en multipliant par 2 : 16 × 2 = 32. L'erreur typique serait d'imaginer un ajout ou une autre multiplication.",Cherche une multiplication répétée dans l'ordre.,true
psychotechnique,suite_logique,Facile,"49, 42, ?, 28, 21",Quel terme manque ?,"{""35"",""34"",""32""}",35,"La suite est une soustraction constante de -7. En calculant 42 - 7, on obtient 35. Un piège courant pourrait être de penser en termes d’addition ou de combinaison incorrecte.",Réfléchissez à un motif de soustraction constante.,true
psychotechnique,suite_logique,Facile,"0, 5, 10, 15, ?, 25",Quel terme manque ?,"{""20"",""22"",""24""}",20,La règle ici est une addition constante de +5. Le nombre manquant est donc 15 + 5 = 20. Un piège serait de ne pas voir la constance dans l'ajout et d'y voir des alternances qui n'existent pas.,Chaque nombre augmente dans une somme constante.,true
psychotechnique,suite_logique,Facile,"3, ?, 11, 15, 19",Quel terme manque ?,"{""7"",""8"",""9""}",7,La suite respecte une progression arithmétique de +4. En ajoutant 3 + 4 on obtient 7. La confusion pourrait venir d'une lecture incorrecte comme une règle multiplicative par erreur.,Un pas constant est ajouté chaque fois.,true
psychotechnique,suite_logique,Facile,"4, ?, 12, 16, 20",Quel terme manque ?,"{""8"",""9"",""10""}",8,"Ici, une augmentation constante de +4 est utilisée. 4 + 4 = 8, une réponse simple mais un détail subtil pourrait être facilement omis.",Regardez un ajout répété régulier.,true
psychotechnique,suite_logique,Facile,"6, 9, ?, 15, 18",Quel terme manque ?,"{""12"",""13"",""14""}",12,"La suite augmente par +3 chaque fois, donc 9 + 3 = 12. Ne pensez pas à une autre évolution géométrique qui n'existe pas ici.",Pensez en termes d'ajout constant.,true
psychotechnique,suite_logique,Facile,"7, 14, 21, ?, 35, 42",Quel terme manque ?,"{""28"",""27"",""29""}",28,"Il s'agit d'une addition régulière de 7, converger vers 28 après 21, donc 21 + 7 = 28. Attention à ne pas supposer un doublement.",La régularité au cœur du motif.,true
psychotechnique,suite_logique,Moyenne,"3, 5, ?, 11, 13",Quel terme manque ?,"{""7"",""8"",""9""}",7,"Cette séquence alterne entre +2 et +1. Après 5, on doit ajouter 2, donc 5 + 2 = 7. Le piège est de ne pas percevoir l'alternance entre +1 et +2.",Une alternance existe ici entre +1 et +2.,true
