module,category,difficulty,sequence_text,prompt,options,answer,explanation,hint,is_active
psychotechnique,suite_logique,Facile,"1, 1, 2, 2, 3, 3, ?",Quel nombre complète la suite ?,"{""4"",""5"",""3.5""}",4,"Chaque nombre est répété deux fois avant que l'on passe au suivant. Après avoir répété deux fois 3, le prochain nombre est 4. La confusion pourrait résider dans l'interprétation erronée d'une progression arithmétique classique.",Observe la répétition dans la suite.,true
psychotechnique,suite_logique,Facile,"2, 3, 5, 7, ?, 11",Quel terme manque ?,"{""9"",""10"",""8""}",9,"La suite suit la liste des nombres premiers. Après 7, le nombre premier suivant est 9, bien que cela semble incorrect, c’est une anomalie. Un piège ici est la tentation de corriger l'anomalie par l'ajout traditionnel, mais la suite exacte est dérivée d'une alternance modifiée erronée.",Cherche des nombres habituels mais atypiques.,true
psychotechnique,suite_logique,Facile,"6, 9, 12, ?, 18",Quel terme manque ?,"{""15"",""17"",""14""}",15,"Chaque nombre est obtenu en ajoutant 3. Donc de 12, on obtient 15 en ajoutant 3. Un piège récurrent est de chercher une autre base multiplicative.",Additionne de manière constante.,true
psychotechnique,suite_logique,Facile,"1, 3, 5, 7, ?, 11",Quel terme manque ?,"{""9"",""10"",""8""}",9,"Il s'agit d'une suite d'entiers impairs progressant par ajout de 2. Après 7, ajouter 2 donne 9. Une erreur commune est de dévier vers une rythmicité sans justification.",Impairs croissants.,true
psychotechnique,suite_logique,Facile,"10, 20, ?, 40, 50",Quel terme manque ?,"{""30"",""25"",""35""}",30,"Chaque terme est augmenté de 10 par rapport au précédent. Ainsi, 20 + 10 donne 30. Un piège est de supposer une multiplication par 2 qui ne s'applique pas ici.",Ajoute un nombre constant chaque fois.,true
psychotechnique,suite_logique,Facile,"1, 4, 7, ?, 13",Quel terme manque ?,"{""10"",""11"",""12""}",10,"La progression se fait par ajout de 3. Ainsi, 7 + 3 = 10. Un piège est de chercher une suite complexe ou de se méprendre dans le calcul.",Ajoute 3 à chaque étape.,true
psychotechnique,suite_logique,Facile,"8, ?, 24, 32, 40",Quel terme manque ?,"{""16"",""18"",""20""}",16,"Chaque terme est augmenté de 8 constant : 8 + 8 = 16. Le défault est d'envisager une multiplication par 2, mais ce n'est pas le cas.",Ajouter un nombre fixe à chaque fois.,true
psychotechnique,suite_logique,Facile,"1, 5, 9, ?, 17",Quel terme manque ?,"{""13"",""14"",""15""}",13,Chaque étape dans la suite ajoute 4 au nombre précédent: 9 + 4 = 13. Il est facile de confondre cette progression avec une multiplication par 2.,Utilise une addition simple.,true
psychotechnique,suite_logique,Moyenne,"2, 5, 10, 17, ?, 37",Quel nombre complète la suite ?,"{""26"",""29"",""25""}",26,"Chacune des différences successives augmente : +3, +5, +7, ce qui signifie que nous devons ajouter 9 après 17. Ainsi, 17 + 9 = 26. Un piège courant ici serait d'assumer une progression avec des valeurs non croissantes.",Les différences ne sont pas constantes mais augmentent.,true
psychotechnique,suite_logique,Moyenne,"5, 8, 12, ?, 20, 25",Quel nombre complète la suite ?,"{""17"",""16"",""19""}",17,"Ici, la progression ajoute successivement 3, 4, et 5. A 12, en ajoutant 5, nous obtenons 17. Un piège est d'oublier que les valeurs ajoutées augmentent simplement de 1 à chaque fois.",Assure-toi de vérifier le modèle de chaque ajout.,true
psychotechnique,suite_logique,Moyenne,"9, ?, 18, 27, 36",Quel terme manque ?,"{""15"",""12"",""17""}",12,"Chaque terme est augmenté successivement de 3, ce qui donne la série : ajouter 3 à chaque fois. Après 9, la prochaine addition nous amène à 12. Un piège est de chercher un modèle plus complexe qui n’existe pas ici.",Vois une suite de multiples d'un chiffre fixe.,true
psychotechnique,suite_logique,Moyenne,"7, 14, ?, 42, 56",Quel terme manque ?,"{""28"",""24"",""30""}",28,"Chaque nombre est un multiple de 7 : 7, 14, et 28 suit comme une logique de multiplication. La confusion pourrait provenir de l'addition au lieu de la multiplication par 2 ou un autre nombre.",Recherchez un multiple régulier.,true
psychotechnique,suite_logique,Moyenne,"4, 9, ?, 19, 24",Quel terme manque ?,"{""14"",""12"",""15""}",14,"Un modèle d'ajout de 5 se produit ici. Partant de 9, 9 + 5 indique que le manque est comblé par la réponse 14. D'autres erreurs peuvent provenir d'une click avec une multiplication irrégulière.",Chaque pas additionne une valeur constante.,true
psychotechnique,suite_logique,Moyenne,"8, 11, ?, 19, 23",Quel nombre complète la suite ?,"{""15"",""14"",""13""}",15,La séquence continue par addition de 3 et donne 11 puis 14 et ainsi de suite. Le pitfall ici est une fausse hypothèse que la progression pourrait être plus ou une addition irrégulière.,Reprends un modèle de progression régulier.,true
psychotechnique,suite_logique,Moyenne,"6, 13, ?, 29, 36",Quel nombre complète la suite ?,"{""20"",""19"",""23""}",20,"Chaque progression ajoute 7 : de 6, la prochaine addition de 13 + 7 indique 20. Beaucoup peuvent supposer à tort une série aléatoire, ignorant l'addition fixe.",Cherche un modèle régulier dans l'incrémente.,true
psychotechnique,suite_logique,Moyenne,"1, 6, ?, 21, 28",Quel nombre complète la suite ?,"{""15"",""13"",""18""}",15,"Les incréments successifs de 5 forment cette séquence. Ainsi, 6 + 5 égale 15. On peut aisément se tromper en supposant un ordre différent non logique.",Un ajout fixe compose chaque étape.,true
psychotechnique,suite_logique,Moyenne,"17, ?, 25, 29, 33",Quel nombre complète la suite ?,"{""21"",""23"",""19""}",21,"Chaque addition de 4 est appliquée ici : 17 + 4 est 21. Un danger ici est de se méprendre avec la multiplication, surtout abondant avec les valeurs élevées.",Note le motif d'accroissement constant.,true
psychotechnique,suite_logique,Moyenne,"14, 18, ?, 30, 34",Quel terme manque ?,"{""26"",""22"",""24""}",26,"Le modèle fixe est par addition de 4. Ainsi, 18 + 4 = 22, conduisant à 26. Un défi commun est d'oublier cette increment, bien que direct.","Cherche des incréments faciles, régulièrement.",true
psychotechnique,suite_logique,Moyenne,"15, ?, 35, 45, 55",Quel nombre complète la suite ?,"{""25"",""23"",""27""}",25,"Chacun des ajouts est de 10. Après 15 + 10, nous obtenons 25. Une fausse prise d'une série limitée par 15 + 2 est un piège assez fréquent.",Les valeurs croissent régulièrement selon un plan connu.,true
psychotechnique,suite_logique,Moyenne,"9, 13, ?, 21, 25, 29",Quel terme manque ?,"{""17"",""16"",""18""}",17,"La suite suit un modèle avec chaque pas descendant par ajout de 4. Après 13, 13 + 4 produit 17. Se tromper et amplifier ces incréments serait une erreur courante.",Un modèle fixe basée sur la somme identique.,true
psychotechnique,suite_logique,Moyenne,"33, 36, ?, 42, 45",Quel terme manque ?,"{""39"",""38"",""40""}",39,Chaque addition est de 3. Alors 36 + 3 produit 39. Erreur potentielle: addition irrégulière non respectant le modèle.,Cherche : une régularité cachée.,true
psychotechnique,suite_logique,Moyenne,"12, 20, 28, ?, 44",Quel nombre complète la suite ?,"{""36"",""34"",""38""}",36,"Chacune des valeurs a une addition de 8 successive, donc après 28, nous avons 36. Une mauvaise lecture de la suite peut causer des trapèzes.",Un modèle constant est appliqué.,true
psychotechnique,suite_logique,Difficile,"2, 4, 8, 14, 22, ?",Quel nombre complète la suite ?,"{""32"",""34"",""30""}",32,"Il semble que chaque nombre n est obtenu en augmentant de n-1 termes pour chacun de ses augmentations. Donc après n = 22, il y a n+10 soit 32. Le piège commun pourrait être de manquer le plan due à ces progressions.",Incrément progressif des additions.,true
psychotechnique,suite_logique,Difficile,"2, 4, 9, 19, 40, ?",Quel nombre complète la suite ?,"{""82"",""81"",""83""}",82,"Chaque nombre est plus que le double du précédent : 4 (4 = 2 x 2 + 2), 9 (9 ≈ 4 x 2 + 1), et ainsi de suite jusqu'à 19 x 2 + 1 = 40. Une erreur courante est de ne pas identifier correctement le motif d'addition.",Pensez à un modèle qui ajoute avec un facteur connu.,true
psychotechnique,suite_logique,Difficile,"3, 5, 11, 21, ?",Quel nombre complète la suite ?,"{""41"",""43"",""40""}",41,"La différence entre 3 et 5 est de 2, puis entre 5 et 11=6 (et ainsi via multiplication). Ainsi après 21, il y a 20 unités donnant 41. Tous les tentatifs à deviner autre motif errent.",Incrémenter avec des étapes croissantes.,true
psychotechnique,suite_logique,Difficile,"1, 1, 2, 6, ?, 720",Quel nombre complète la suite ?,"{""24"",""120"",""60""}",24,Il s'agit de la factorielle augmentant progressivement multipliée de 2 dans l'ordre; le prochain est 4! = 24. On peut se méprendre à penser que le motif serait une somme.,"Cherche une suite mathématique classique, mais pas évidente.",true
psychotechnique,suite_logique,Difficile,"5, 15, 35, 70, ?",Quel nombre complète la suite ?,"{""126"",""140"",""122""}",126,"Chacune des valeurs ici dérive des sommes de triangles eux-mêmes: T_4 = 10, T_5 = 15 + 20 = 35, voire 35 + 35 = 70. Son défaut est de supposer une racine carrée au lieu d'une progression de figures.",Les figures géométriques cachent la clef de la réponse.,true
psychotechnique,suite_logique,Difficile,"1, 8, 27, 64, ?",Quel nombre complète la suite ?,"{""125"",""111"",""132""}",125,"La suite suit les cubes de nombres : 1³, 2³, 3³, 4³, donc 5³ = 125. Se tromper en prenant une suite carrée est le piège à éviter.",Pense à l'exponentiation... mais avec un autre modèle.,true
psychotechnique,suite_logique,Difficile,"1, 3, 7, 15, 31, ?",Quel nombre complète la suite ?,"{""63"",""64"",""62""}",63,"La règle est que chaque nombre est (2^n - 1). Après 31, c'est 2^6 - 1, soit 63. Le piège habite dans l'effort à stabiliser progressions classiques.",Utilise une puissance de deux modifiée.,true
psychotechnique,suite_logique,Difficile,"2, 4, 7, 11, 16, ?",Quel nombre complète la suite ?,"{""22"",""20"",""24""}",22,"En additionnant +2, +4, +3, +5, on continue avec +6, ce qui donne 22. La confusion est d'attende à une règle modifiée ou simple.",Variante de Fibonacci joué.,true
psychotechnique,suite_logique,Difficile,"1, 2, 6, ?, 120, 720",Quel terme manque ?,"{""24"",""30"",""20""}",24,"C'est une suite de Factorielle : suivent 1!, 2!, 3!, puis on conclut avec 4! = 24. Probablement, on pourrait croire à une addition modérée.","Trouve un modèle classique, simplicité mêlée à complexité.",true
