module,category,difficulty,sequence_text,prompt,options,answer,explanation,hint,is_active
psychotechnique,suite_logique,Facile,"?, 8, 12, 16, 20",Quel terme manque ?,"{""4"",""6"",""7""}",4,"La suite suit une progression arithmétique de +4. Le terme manquant précède le 8, donc on fait 8 - 4 = 4. Un piège courant est d'ajouter la différence après un terme au lieu de la soustraire lorsqu'on remonte la suite.",Cherche une progression arithmétique simple.,true
psychotechnique,suite_logique,Facile,"5, 10, 15, 20, ?",Quel terme manque ?,"{""25"",""30"",""35""}",25,"Chaque terme augmente de 5, c'est une progression arithmétique. Le dernier terme est obtenu par 20 + 5 = 25. Les candidats pourraient être piégés en cherchant une autre règle plus compliquée.",Additionne le même nombre chaque fois.,true
psychotechnique,suite_logique,Facile,"2, 6, 10, ?, 18",Quel terme manque ?,"{""14"",""12"",""16""}",14,"Il y a une progression arithmétique de +4. Pour trouver le terme manquant, on fait 10 + 4 = 14. Ne vous trompez pas en utilisant une mauvaise constante.",Addition simple de 4.,true
psychotechnique,suite_logique,Facile,"1, 4, ?, 16, 25",Quel terme manque ?,"{""9"",""10"",""11""}",9,"Les termes sont les carrés des nombres entiers 1², 2², 3², etc. Donc, le terme manquant est 3² = 9. Attention à ne pas confondre avec une progression arithmétique régulière.",Considère les carrés des entiers.,true
psychotechnique,suite_logique,Facile,"3, 9, ?, 81, 243",Quel terme manque ?,"{""27"",""54"",""18""}",27,"Chaque nombre est le précédent multiplié par 3. Pour le terme manquant, 9 × 3 = 27. Un piège est de chercher une autre règle comme l'addition.",Cherchez une multiplication par un nombre fixe.,true
psychotechnique,suite_logique,Facile,"2, 5, 8, 11, ?",Quel terme manque ?,"{""14"",""15"",""13""}",14,Chaque nombre augmente de 3. Le dernier terme est donc 11 + 3 = 14. Attention à ne pas confondre cette règle avec une suite où la différence est incorrecte.,Il y a un ajout constant.,true
psychotechnique,suite_logique,Facile,"10, 20, 30, ?, 50",Quel terme manque ?,"{""40"",""35"",""45""}",40,Les termes augmentent par une progression arithmétique de +10. Le terme manquant est donc 30 + 10 = 40. Ne se laissez pas tromper par une faux impression d'une autre progression.,Ajoutez constamment.,true
psychotechnique,suite_logique,Facile,"7, 14, 21, ?, 35",Quel terme manque ?,"{""28"",""24"",""31""}",28,Il s'agit d'une montée par addition de 7. En partant de 21 : 21 + 7 = 28. Une confusion fréquente peut venir de l'essai de multiplier ou diviser à tort.,Multiple de sept.,true
psychotechnique,suite_logique,Facile,"50, 45, 40, ?, 30",Quel terme manque ?,"{""35"",""32"",""33""}",35,La suite diminue par une soustraction constante de 5. Le terme manquant est 40 - 5 = 35. Une erreur fréquente est de chercher un modèle de soustraction incorrect.,Attention à la soustraction régulière.,true
psychotechnique,suite_logique,Facile,"16, 24, 32, ?, 48",Quel terme manque ?,"{""40"",""38"",""36""}",40,Chaque terme est formé par ajout de 8 au précédent. Le terme manquant est donc 32 + 8 = 40. Evitez un malentendu en pensant à une simple multiplication.,Pensez à une augmentation fixe.,true
psychotechnique,suite_logique,Facile,"1, 3, 5, 7, ?",Quel terme manque ?,"{""9"",""10"",""8""}",9,"La série suit une progression par ajout de 2 à chaque étape. Par conséquent, 7 + 2 = 9. Faites attention aux confusions avec d'autres progressions numériques.",Additions de deux.,true
psychotechnique,suite_logique,Facile,"6, 12, 18, ?, 30",Quel terme manque ?,"{""24"",""21"",""25""}",24,"Chaque élément augmente de 6, résultat d'une progression arithmétique. Donc, 18 + 6 = 24. La confusion survient lorsqu'on essaie d'intégrer à tort une multiplication.",Vérifiez l'augmentation par pas fixe.,true
psychotechnique,suite_logique,Facile,"100, 90, ?, 70, 60",Quel terme manque ?,"{""80"",""85"",""75""}",80,"La suite est une soustraction régulière de 10. Ainsi, 90 - 10 = 80. Un piège est de chercher un autre chiffre arbitraire à soustraire.",Attention aux soustractions.,true
psychotechnique,suite_logique,Facile,"3, 6, 9, 12, ?",Quel terme manque ?,"{""15"",""14"",""13""}",15,Cette suite représente une progression arithmétique de +3. Le dernier terme est donc 12 + 3 = 15. Ne confondez pas avec une suite qui ajouterait un autre chiffre.,Addition constante de 3.,true
psychotechnique,suite_logique,Facile,"1, 2, ?, 8, 16",Quel terme manque ?,"{""4"",""5"",""6""}",4,La suite double chaque terme : multiplication par 2. Le nombre attendu est donc 2 × 2 = 4. Un piège est de voir cela comme une addition ou soustraction.,Cherche des doublages successifs.,true
psychotechnique,suite_logique,Facile,"10, 13, ?, 19, 22",Quel terme manque ?,"{""16"",""15"",""17""}",16,"Il s'agit d'une progression arithmétique de +3. Partant de 13, on calcule : 13 + 3 = 16. Une erreur typique est d'augmenter selon un mauvais nombre.",Ajoutez un nombre constant.,true
psychotechnique,suite_logique,Facile,"?, 5, 15, 45, 135",Quel terme manque ?,"{""1"",""2"",""3""}",1,Chaque terme est le précédent multiplié par 3. 5 divisé par 3 donne 1. Le piège est de chercher un additif au lieu d'un multiplicatif.,Considérez une multiplication systématique.,true
psychotechnique,suite_logique,Moyenne,"1, 4, 9, 16, ?, 36",Quel terme manque ?,"{""25"",""26"",""24""}",25,"Chaque terme est le carré de sa position dans la suite : 1², 2², 3², etc. Le nombre manquant est 5² = 25. Évitez de confondre avec une progression arithmétique.",Sachez décomposer en carrés parfaits.,true
psychotechnique,suite_logique,Moyenne,"2, 5, 10, ?, 26",Quel terme manque ?,"{""17"",""16"",""15""}",17,"La suite suit une règle d'addition et de multiplication : ×2 + 1. Donc, 10 × 2 + 1 = 21. N'oubliez pas les opérations dans l'ordre correct.",Vérifiez bien la multiplication puis l'addition.,true
psychotechnique,suite_logique,Moyenne,"?, 8, 6, 7, 5",Quel terme manque ?,"{""9"",""10"",""11""}",9,"Les nombres alternent entre des additions et des soustractions de 2. La séquence commence par 9 - 2, 8 - 2 = 6, continue en +1, etc. Les erreurs typiques incluent des adhérences inexactes aux alternances.",Observez l'alternance des règles.,true
