module,category,difficulty,sequence_text,prompt,options,answer,explanation,hint,is_active
psychotechnique,suite_logique,Facile,"?, 4, 8, 12, 16",Quel terme manque ?,"{""0"",""2"",""1""}",0,"Chaque nombre est augmenté de 4 par rapport au précédent. Partant de 4, si on réduit de 4, on obtient 4 - 4 = 0. Le piège est d'oublier de commencer la progression correctement.",Cherchez un ajout constant.,true
psychotechnique,suite_logique,Facile,"2, 5, ?, 11, 14",Quel terme manque ?,"{""8"",""9"",""7""}",8,La progression se fait avec +3 à chaque fois : donc 5 + 3 = 8. Une erreur commune serait d'omettre cette hausse et supposer une progression différente.,Addition de 3 à chaque terme précédent.,true
psychotechnique,suite_logique,Facile,"15, 10, ?, 0, -5",Quel terme manque ?,"{""5"",""7"",""2""}",5,"La suite diminue arithmétiquement par -5 à chaque étape. Ainsi, entre 10 et 0, on doit insérer 10 - 5 = 5. Ignorer cette soustraction pourrait amener à une mauvaise réponse.","Une série décroissante, cherchez la soustraction.",true
psychotechnique,suite_logique,Facile,"1, ?, 7, 10, 13",Quel terme manque ?,"{""4"",""3"",""5""}",4,"Nous avons une suite avec une progression de +3 entre chaque nombre. Donc, après 1, 1 + 3 = 4. Un piège consisterait à étendre incorrectement la suite.",Ajoutez toujours 3 à chaque fois.,true
psychotechnique,suite_logique,Facile,"0, 3, 6, ?, 12",Quel terme manque ?,"{""9"",""8"",""10""}",9,"La suite augmente par incréments de 3. Et donc, 6 + 3 = 9. Le piège est l'omission ou remplacer 3 par un autre incrément arbitrairement.",Cherchez un ajout constant.,true
psychotechnique,suite_logique,Facile,"2, 6, ?, 14, 18",Quel terme manque ?,"{""10"",""9"",""12""}",10,L'addition de 4 permet la progression : 6 + 4 = 10. La confusion possible pourrait résider dans une addition incorrecte différente de l'appropriée.,Cherchez un motif d'addition.,true
psychotechnique,suite_logique,Facile,"1, 3, 6, 10, ?",Quel terme manque ?,"{""15"",""14"",""12""}",15,"Chaque terme est un nombre triangulaire, en ajoutant une progression naturelle : 4 + 1 = 5 (6 au total), etc. Attention à la sous-estimation de la croissance.",Étudiez la somme croissante.,true
psychotechnique,suite_logique,Facile,"9, 18, 27, ?, 45",Quel terme manque ?,"{""36"",""38"",""34""}",36,"La suite ajoute 9 à chaque terme, ainsi 27 + 9 = 36. Un piège commun : ajouter des intervalles incorrects.",Une simple addition à chaque pas.,true
psychotechnique,suite_logique,Facile,"100, ?, 400, 500, 600",Quel terme manque ?,"{""200"",""300"",""150""}",200,"Il s'agit ici d'incréments de 100, partant de 100. Donc, entre 100 et 400, le terme manquant est 100 + 100 = 200. Ne pensez pas au doublage.",Progresser par centaines.,true
psychotechnique,suite_logique,Moyenne,"2, 4, 8, 14, ?, 34",Quel terme manque ?,"{""22"",""20"",""26""}",22,"La suite ajoute des nombres croissants : +2, +4, +6, +8, donc 14 + 8 = 22. Un piège fréquent est de rater l’augmentation systématique des additions.",Vérifiez le modèle d'addition croissante.,true
psychotechnique,suite_logique,Moyenne,"3, 5, 10, 12, ?, 24",Quel terme manque ?,"{""17"",""15"",""19""}",17,"La suite alterne : +2 puis ×2. Alors 12 + 2 = 14 qui ne mène directement à la suite de 24, donc faut corriger avec 14 + 3 = 17. Possible erreur en oubliant l'alternance.",N'alternent pas toujours les mêmes additions.,true
psychotechnique,suite_logique,Moyenne,"?, 2, 3, 6, 11",Quel terme manque ?,"{""1"",""0"",""5""}",1,"Chaque terme est précédé par une suite de +1, +1, +3, +5, partant de zéro. Multiplier en plus pourrait être source d'erreur.",Progression arithmétique insoupçonnée.,true
psychotechnique,suite_logique,Moyenne,"1, 4, 2, 5, 3, ?, 4",Quel terme manque ?,"{""6"",""5"",""2""}",6,"L'alternance suit : ajouter 3, ensuite soustraire 2. Donc 3 + 3 = 6. Erreur possible avec calculs alternatifs incorrects.",Termes croissants et alternes.,true
psychotechnique,suite_logique,Moyenne,"10, 5, 15, 10, 20, ?, 25",Quel terme manque ?,"{""15"",""20"",""30""}",15,"On observe : -5 puis +10 en alternance. Donc après 20, suit 20 - 5 = 15. Confusion ? Appliquer chaque règle systématiquement.",Double opération simple.,true
psychotechnique,suite_logique,Moyenne,"2, 3, 6, 5, 10, ?, 14",Quel terme manque ?,"{""11"",""15"",""13""}",11,"L'alternance suit : ×2, +1, ×2, +1. D'où, 10 + 1 = 11. Confondre les règles peut entraîner un mauvais raisonnement.",Structure alternée de multiplication et addition.,true
psychotechnique,suite_logique,Moyenne,"3, 5, ?, 8, 12, 17",Quel terme manque ?,"{""7"",""6"",""9""}",6,"À chaque nouveau, on ajoute : +2, +1, +2, +4, donc 5 + 1 = 6. Une fausse progression pourrait induire en erreur.",Progression singulièrement ininterrompue.,true
psychotechnique,suite_logique,Moyenne,"7, 14, 8, 16, 9, ?, 10",Quel terme manque ?,"{""18"",""15"",""17""}",18,"Ici l'alternance multiplie toujours par 2 : 8 × 2, suivi par 16. Ignorer l'ordre engendre des distractions.",Alternate une multiplication uniforme.,true
psychotechnique,suite_logique,Moyenne,"?, 3, 7, 15, 31",Quel terme manque ?,"{""1"",""2"",""4""}",1,"Elle double et additionne : chaque terme est le précédent ×2 plus 1. Ainsi, 2 × 2 + 1 = 3 est logique entre chaque étape.",Une simple règle multiplicative et addition.,true
psychotechnique,suite_logique,Moyenne,"1, 2, 5, 6, 11, 12, ?, 18",Quel terme manque ?,"{""17"",""15"",""13""}",17,"Les nombres suivent une alternance de +1 puis +3. En conséquence, 12 + 5 = 17 est logique. Le manque de suite à l'alternance peut fausser l'exécution.",Une suite fusionnelle.,true
psychotechnique,suite_logique,Moyenne,"10, 15, ?, 35, 50",Quel terme manque ?,"{""20"",""25"",""30""}",20,Il s'agit encore de +5 à chaque fois entre chaque deux problèmes consécutifs. Ignorer le motif pourrait causer une erreur de calcul.,Addition simple et structurée.,true
psychotechnique,suite_logique,Moyenne,"11, 17, 23, 29, ?, 41",Quel terme manque ?,"{""35"",""36"",""37""}",35,Suite strictement arithmétique avec ajout de 6. Donc 29 + 6 = 35 résout. La reconnaissance de l'égalité addivative est souvent méconnue.,Dimensions égales en progression.,true
psychotechnique,suite_logique,Moyenne,"100, 102, 104, ?, 108",Quel terme manque ?,"{""106"",""105"",""110""}",106,"Accroissements binaires consécutifs : augmentations de deux tout du long. Sans ruser, il est tentant d'oublier de modérer chaque somme par paire d'égaux.",Lumière arithmétique régulière.,true
psychotechnique,suite_logique,Moyenne,"5, 15, 25, ?, 100",Quel terme manque ?,"{""50"",""30"",""45""}",50,"La suite rajoute de +10 à chaque fois, telle qu’après 25 s’installe 25 + 10 + 15, et la simplicité de l'addition se dissipe.",Jamais loin des racines intégrales.,true
psychotechnique,suite_logique,Difficile,"1, 2, 5, 7, 14, ?, 41",Quel terme manque ?,"{""29"",""24"",""26""}",29,"Chaque terme est une somme non linéaire aléatoire sur accruits de +1, +3, +9. En décryptant : 14 + 15 = 29 net.",Veille à la somme non d'ordinaire attendue.,true
psychotechnique,suite_logique,Difficile,"13, 21, ?, 55, 89",Quel terme manque ?,"{""34"",""32"",""38""}",34,Encore la suite fameuse : chaque chiffre est dans le rabat du précédent. La suite des changements seules sous-étend la richesse engloutie.,Fibonacci traditionnel : admire à quelle cause il admire aussi.,true
psychotechnique,suite_logique,Difficile,"2, 3, 10, 21, ?",Quel terme manque ?,"{""36"",""35"",""40""}",36,"La suite suit précisément un rationnel progressive en modifiants : +1, +7, +11, +15, donc 21 + 15 est aussi organique que 36. Amplitude à égalité se réfère continuellement.",Addition relativisée chaque fois.,true
