module,category,difficulty,sequence_text,prompt,options,answer,explanation,hint,is_active
psychotechnique,suite_logique,Facile,"8, 4, 2, 1, ?",Quel terme manque ?,"{""0.5"",""0"",""1.5""}",0.5,"Chaque nombre est divisé par 2 par rapport au précédent. Ainsi, 1 divisé par 2 donne le terme manquant, c’est-à-dire 0.5. Méfiez-vous des distractions par une erreur dans la division.",Regarde la division récurrente.,true
psychotechnique,suite_logique,Facile,"14, ?, 18, 20, 22",Quel terme manque ?,"{""16"",""17"",""15""}",16,"Il s'agit d'une suite avec une progression arithmétique +2. Par conséquent, après 14, le terme suivant est 16 (14 + 2). Une erreur pourrait résulter de l’ajout incorrect de 3 au lieu de 2.",Vérifiez l'addition de deux en deux.,true
psychotechnique,suite_logique,Facile,"1, 1, 2, 4, ?",Quel terme manque ?,"{""8"",""6"",""7""}",8,"Chaque terme double le précédent : 1, 2, 4. Ainsi, 4 × 2 = 8. La confusion pourrait venir d'une suite additive plutôt que multiplicative.",Regarde la multiplication par 2.,true
psychotechnique,suite_logique,Facile,"0, 3, ?, 9, 12",Quel terme manque ?,"{""6"",""7"",""8""}",6,La suite progresse arithmétiquement de +3. Le terme manquant est donc 3 + 3 = 6. Il est facile de se tromper en cherchant des intervalles irréguliers.,Vérifie l'addition constante.,true
psychotechnique,suite_logique,Facile,"3, 9, 15, ?, 27",Quel terme manque ?,"{""21"",""22"",""20""}",21,"Les termes de cette suite augmentent par 6. Ainsi, 15 + 6 = 21. Une erreur commune est de penser à une autre progression.",Additionne 6 à chaque terme.,true
psychotechnique,suite_logique,Facile,"15, ?, 25, 30, 35",Quel terme manque ?,"{""20"",""22"",""24""}",20,"La suite progresse de 5, vous devez ajouter 5 à 15 pour trouver 20. Le problème pourrait venir d'une tentative incorrecte de calculer un autre intervalle.",Progression par un incrément de 5.,true
psychotechnique,suite_logique,Facile,"10, 13, 16, ?, 22",Quel terme manque ?,"{""19"",""20"",""18""}",19,La suite est construite en ajoutant trois à chaque terme. Le terme manquant est donc 16 + 3 = 19. Une erreur serait de sauter un chiffre ou d’ajouter par erreur.,Additionne 3 à chaque fois.,true
psychotechnique,suite_logique,Facile,"11, ?, 19, 23, 27",Quel terme manque ?,"{""15"",""14"",""17""}",15,Chaque terme de la suite augmente de 4. Le terme second est donc 11 + 4 = 15. Attention à ne pas fausser la progression par une erreur arithmétique.,Ajoute 4 à chaque élément.,true
psychotechnique,suite_logique,Moyenne,"7, 14, 28, ?, 112",Quel terme manque ?,"{""56"",""57"",""55""}",56,"Chaque terme est le résultat du terme précédent multiplié par 2. Ainsi, 28 × 2 = 56. Veillez à ne pas vous tromper avec une règle de progression arithmétique.",Règle de multiplication par 2.,true
psychotechnique,suite_logique,Moyenne,"5, 8, 13, ?, 34",Quel terme manque ?,"{""21"",""23"",""20""}",21,"Cette suite suit un modèle de Fibonacci modifié où chaque terme est la somme des deux précédents. Ainsi, 8 + 13 = 21. Une erreur potentielle vient de la confusion avec une progression simple.",Règle des deux précédents termes.,true
