module,category,difficulty,sequence_text,prompt,options,answer,explanation,hint,is_active
psychotechnique,suite_logique,Facile,"1, 2, 3, ?, 5",Quel terme manque ?,"{""4"",""6"",""7""}",4,"Il s'agit d'une progression arithmétique avec un incrément constant de +1 à chaque étape. Nous avons 1, 2, 3, donc le numéro suivant devrait être 3 + 1 = 4. Le piège typique est d'oublier que chaque terme augmente systématiquement de 1.",Chaque chiffre augmente de 1.,true
psychotechnique,suite_logique,Facile,"6, 12, 18, 24, ?",Quel terme manque ?,"{""30"",""28"",""36""}",30,"Le principe est d'ajouter 6 chaque fois. À 6, puis en ajoutant 6, devient 12, ensuite 18, 24, et ainsi, 24 + 6 = 30. Le piège ici est de perdre la trace de l'addition constante.","Multiplie par 6, puis ajoute 0.",true
psychotechnique,suite_logique,Facile,"10, 5, 0, ?, -10",Quel terme manque ?,"{""-5"",""-4"",""-7""}",-5,"Cette série suit une progression arithmétique décroissante de -5. Commencer à 10, ensuite soustraire 5 : 10 - 5 = 5, 5 - 5 = 0, donc 0 - 5 = -5. L'erreur commune ici est de ne pas reconnaître que c’est une soustraction constante.",Soustrais 5 chaque fois.,true
psychotechnique,suite_logique,Facile,"15, 20, 25, ?, 35",Quel terme manque ?,"{""30"",""28"",""32""}",30,"Ici, chaque terme est obtenu en ajoutant 5 à son prédécesseur : 15 + 5 = 20, 20 + 5 = 25, donc 25 + 5 = 30. L’erreur fréquente provient du manque d’attention à la valeur fixe ajoutée.",Pense en thématique de 5.,true
psychotechnique,suite_logique,Facile,"8, 4, 2, ?, 0.5",Quel terme manque ?,"{""1"",""1.5"",""2.5""}",1,"Cette suite divise chaque nombre par 2 à chaque étape consécutive : 8 ÷ 2 = 4, 4 ÷ 2 = 2, puis 2 ÷ 2 = 1. Le piège potentiel réside souvent dans le passage à la division, que l'on pourrait facilement oublier ou négliger.",Divise chaque nombre par 2.,true
psychotechnique,suite_logique,Facile,"24, 18, 12, ?, 0",Quel terme manque ?,"{""6"",""4"",""8""}",6,"Il s'agit d'une série où l'on soustrait 6 à chaque mouvement. Commençant à 24 puis 18, continuer à 12 et soustraire 6 de 12, résultant en 6. Un piège consisterait à diviser les nombres au lieu de les soustraire.",Soustraire constamment une série de 6.,true
psychotechnique,suite_logique,Moyenne,"1, 2, 3, 5, 8, ?, 21",Quel nombre complète la suite ?,"{""13"",""10"",""15""}",13,"Cette suite est une variante de la suite de Fibonacci. Chaque nombre est la somme des deux précédents : 3 + 5 = 8, et donc 5 + 8 = 13. Attention au piège simple de supposer une progression arithmétique.",Chaque terme s’obtient en sommant les deux précédents.,true
psychotechnique,suite_logique,Moyenne,"4, 9, 25, ?, 121",Quel terme manque ?,"{""49"",""64"",""81""}",81,"Cette suite est formée par les carrés de nombres premiers : 2², 3², 5², ce qui donne suivi de 11² = 121. Le nombre manquant est 7² = 49. Un piège couru est de supposer une suite de carrés simples.",Carrés de nombres spécifiques.,true
psychotechnique,suite_logique,Moyenne,"10, 5, 6, 3, ?, 1.5",Quel nombre complète la suite ?,"{""4"",""2"",""4.5""}",4,"Cette suite alterne division par 2 et soustraction de 1. Partant à 10 ÷ 2 = 5, on soustrait 1 de 5 pour obtenir 4, 6 ÷ 2 = 3, suffisamment 3 - 1 = 2. Évitez de penser directement à une simple division.",Alterne entre diviser et soustraire.,true
psychotechnique,suite_logique,Moyenne,"7, 13, 19, 25, ?, 37",Quel nombre complète la suite ?,"{""31"",""32"",""30""}",31,"Cette suite suit une progression arithmétique de +6. Partant à 7, chaque pas ajoute 6 : 7 + 6 = 13, et après cela, 13 + 6 = 19, de 25 + 6 = 31, jusqu'à atteindre 37. Méfiez-vous de substituer le pas par une autre valeur.",Suivez la logique d'ajout constant.,true
psychotechnique,suite_logique,Moyenne,"5, 11, 17, 23, ?, 35",Quel nombre complète la suite ?,"{""29"",""28"",""30""}",29,"Chaque terme est obtenu en ajoutant 6 au précédent. Ainsi on commence à 5 puis on monte à 11, 17, 23, et ainsi de suite. 23 + 6 = 29. Le piège consiste à adopter une façon d'addition incorrecte.",La logique est consistante à +6.,true
psychotechnique,suite_logique,Moyenne,"13, 26, 39, ?, 65",Quel nombre complète la suite ?,"{""52"",""50"",""54""}",52,"Les termes suivent une progression où l'on ajoute 13 à chaque étape. Débutant à 13, on progresse jusqu'à 26, 39, et lorsqu'on arrive à 52. L'erreur est de supposer une autre sorte d'arithmétique.",Ajoute 13 à chaque fréquence.,true
psychotechnique,suite_logique,Moyenne,"4, 8, 16, ?, 64",Quel terme manque ?,"{""32"",""34"",""28""}",32,"Cette suite fonctionne avec une simple multiplication par 2 : 4 × 2 = 8, 8 × 2 = 16, donc logiquement, 16 × 2 = 32. Un piège pourrait être d'ajouter au lieu de multiplier.",Observer le service simplifié.,true
psychotechnique,suite_logique,Moyenne,"6, 12, 18, 24, ?, 36",Quel terme manque ?,"{""30"",""32"",""28""}",30,"Il s'agit d'une suite arithmétique avec une augmentation constante de 6. À partir de 6, chaque pas ajoute 6 : 6 + 6 = 12, 12 + 6 = 18, et ainsi de suite, jusqu'à atteindre 30. Le piège à éviter est de penser à une autre évolution arithmétique.",Progression constante incorporée.,true
psychotechnique,suite_logique,Moyenne,"1, 1, 2, 3, 5, 8, ?",Quel nombre complète la suite ?,"{""13"",""11"",""12""}",13,"Il s'agit d'une suite de Fibonacci où chaque élément est la somme des deux précédents : 1 + 1 = 2, 1 + 2 = 3, etc. Donc, 5 + 8 = 13. Une confusion pourrait venir de négliger la structure intrinsèque basée sur l'addition.",Considérez les deux termes précédents.,true
psychotechnique,suite_logique,Moyenne,"11, 13, 17, 19, ?, 23",Quel nombre complète la suite ?,"{""19"",""21"",""20""}",21,"Cette suite repose sur une progression où chaque étape affiche un nombre premier suivant : 11, 13, 17, jusqu'à 19. Ainsi, après 19 vient 21 avant d'atteindre 23. Le piège ici réside dans le passage erroné d'un nombre.","En utilisant un terme spécifique, liez les choix.",true
psychotechnique,suite_logique,Difficile,"2, 4, 8, ?, 16",Quel terme manque ?,"{""12"",""10"",""13""}",12,"La suite suit un modèle particulier où chaque nombre est multiplié par 2 puis on ajoute 2. Ici, 2 × 2 + 2 = 6, 6 × 2 + 2 = 12. Le piège consiste à ne pas suivre cette relation multiplicative.","Chaque fois, intégrez à la fois une opération de multiplication et l'addition.",true
psychotechnique,suite_logique,Difficile,"1, 2, 3, 6, 11, ?, 31",Quel terme manque ?,"{""20"",""21"",""18""}",20,Il s'agit d'une suite de type Fibonacci où chaque terme est la somme des deux précédents. Donc 11 + 9 = 20. Ne pas reconnaitre la structure additive dans cette complexité pourrait vous tromper.,Sommez les deux précédents.,true
psychotechnique,suite_logique,Difficile,"5, 12, 26, 54, ?, 218",Quel terme manque ?,"{""110"",""112"",""108""}",110,"Cette suite est formée en multipliant chaque terme par 2 puis en soustrayant 2 : 5 × 2 - 2 = 8, 12 × 2 - 2 = 22, 26 × 2 - 2 = 54, donc 54 × 2 - 2 = 108. Une confusion pourrait venir de ne pas suivre cette règle.",Faites attention aux opérations inverses.,true
psychotechnique,suite_logique,Difficile,"3, 6, 11, ? ,31",Quel terme manque ?,"{""20"",""19"",""18""}",20,"On multiplie ensuite par 2 chaque fois et on ajoute 2, ensuite 6 fois 2 égale 12, 11 × 2 + 2 = 24 et donc 20. Rappelez-vous de suivre cette règle pour éviter tout échec.",Faites attention à une interaction spéciale.,true
psychotechnique,suite_logique,Difficile,"6, 14, 30, 62, ?, 254",Quel terme manque ?,"{""126"",""132"",""116""}",126,La règle est de multiplier par 2 puis d'ajouter 2. Chaque terme est aussi le double du précédent plus 2. Ainsi 62 × 2 + 2 = 126. Le piège commun est de s'éloigner de la multiplication par 2.,Identifiez le double de chaque terme plus deux.,true
