module,category,difficulty,sequence_text,prompt,options,answer,explanation,hint,is_active
psychotechnique,suite_logique,Facile,"50, 45, ?, 35, 30",Quel terme manque ?,"{""40"",""42"",""38""}",40,"Chaque chiffre est réduit de 5 par rapport au précédent : par exemple, 50 - 5 = 45. Le terme manquant est donc 45 - 5 = 40. Il est facile de se tromper en sautant une réduction.",Réduction constante.,true
psychotechnique,suite_logique,Facile,"7, ?, 21, 28, 35",Quel terme manque ?,"{""14"",""13"",""16""}",14,"En reconnaissant la table de multiplication par 7, 14 suit 7. Multipliant 7 par 2, nous trouvons 14. La distraction principale est d'oublier le lien avec l'arithmétique de la table des 7.",Multiplie par 7.,true
psychotechnique,suite_logique,Facile,"2, ?, 8, 10, 12",Quel terme manque ?,"{""6"",""4"",""5""}",6,"Ajout constant de +2 entre chaque nombre : donc 2 + 2 = 4. Ici, on est piégé en imaginant une progression différente.",Regarde l'ajout de deux.,true
psychotechnique,suite_logique,Facile,"50, 100, ?, 200",Quel terme manque ?,"{""150"",""125"",""170""}",150,"La suite double à chaque étape : 50 devient 100, donc 100 doit devenir 150 (multiplié par 1.5, une variante de la progression). On pourrait confondre en croyant à une double simplification.",Augmente progressivement.,true
psychotechnique,suite_logique,Facile,"14, 18, ?, 26, 30",Quel terme manque ?,"{""22"",""20"",""24""}",22,"Chaque nombre de la série augmente de +4 : ainsi, 18 + 4 = 22. L'erreur commune serait de s'attendre à un autre schéma.",Cherche une augmentation cohérente.,true
psychotechnique,suite_logique,Facile,"4, 16, 36, ?, 100",Quel terme manque ?,"{""64"",""49"",""48""}",64,"C'est la série des carrés de nombres pairs : 2²=4, 4²=16, 6²=36, donc 8²=64. Le piège serait de penser à une progression arithmétique simple.",Concentre-toi sur les carrés parfaits.,true
psychotechnique,suite_logique,Facile,"70, 63, 56, ?, 42",Quel terme manque ?,"{""49"",""50"",""53""}",49,"La suite indique une réduction de 7 : 70 - 7 = 63, 63 - 7 = 56, etc. Faire une erreur ici pourrait être dû à une mauvaise interprétation du type de retour.",Observe la diminution par 7.,true
psychotechnique,suite_logique,Facile,"1, 2, 5, 10, ?, 22",Quel terme manque ?,"{""17"",""15"",""20""}",17,"Augmentation en mouvement : +1, +3, +5, +7; en suivant cette logique, 10 + 7 donne 17. Le piège serait de chercher d'autres progressions, complexes, qui alourdiraient inutilement.",Cherche un schéma d'augmentation différent.,true
psychotechnique,suite_logique,Facile,"18, ?, 14, 12, 10",Quel terme manque ?,"{""16"",""15"",""17""}",16,"La suite diminue uniformément de 2 à chaque pas. Donc, 18 - 2 = 16 est le terme qui manque. Une erreur classique serait de calculer une progression différente.",Regarde la diminution systématique.,true
psychotechnique,suite_logique,Facile,"11, 22, ?, 44, 55",Quel terme manque ?,"{""33"",""40"",""30""}",33,"On ajoute toujours 11 pour obtenir le nombre suivant dans la suite. En additionnant à chaque fois 11 à 22, on obtient 33. Il serait simple de se tromper en augmentant de façon irrégulière.",Additionne 11 systématiquement.,true
psychotechnique,suite_logique,Moyenne,"1, 1, 2, 4, 7, ?, 16",Quel terme manque ?,"{""11"",""10"",""12""}",11,Additionner le numéro précédent à celui avant cela. La série suit (n-2) + (n-1). Se tromper résulterait à oublier ce petit calcul de Fibonacci.,Somme des deux valeurs précédentes.,true
psychotechnique,suite_logique,Moyenne,"12, 17, 17, ?, 32",Quel terme manque ?,"{""22"",""21"",""24""}",22,"Les termes augmentent de 5 et se répètent. Après 17, on ajoute alors 5. De 17, on va à 22, avant qu'il ne se répète à nouveau. Le piège est d'oublier l'augmentation après la répétition.",Note l'ajustement et la répétition de chiffres.,true
psychotechnique,suite_logique,Moyenne,"3, 6, 11, 18, ?, 38",Quel terme manque ?,"{""27"",""26"",""29""}",27,"Chaque nombre correspond à un ajout successif de 3, 5, 7, 9. Après 18 + 9 = 27. Il est facile de se tromper en remplaçant le nombre par erreur.",Examine les additions croissantes.,true
psychotechnique,suite_logique,Moyenne,"?, 8, 27, 64, 125",Quel terme manque ?,"{""1"",""0"",""2""}",1,"C'est une série de cubes (1³, 2³, 3³, etc.). Le premier élément est 1³ = 1. On pourrait croire à une addition continue, à tort.",Considère l'ensemble des cubes.,true
psychotechnique,suite_logique,Moyenne,"4, 9, 16, 25, ?, 49",Quel terme manque ?,"{""36"",""33"",""34""}",36,"Séquence des carrés : 2², 3², 4², etc. Après 25, c'est 36 (6²). L'erreur est de confondre avec d'autres progressions non carrées.",Concerné par un schéma de carrés parfaits.,true
psychotechnique,suite_logique,Moyenne,"A, C, F, ?, O",Quel terme manque ?,"{""J"",""H"",""K""}",J,Lettres avec sauts accrus : A (+2) C (+3) F (+4) J (+5) pour après. Erreur déclarée de trop simplifier les sauts.,Focus sur l'incrémentation de décalages.,true
psychotechnique,suite_logique,Moyenne,"10, 16, 26, ?, 70",Quel terme manque ?,"{""42"",""44"",""40""}",42,"Ajouts croissants de 6, puis 10, puis 16 : qui mène à 26 + 16 = 42. La confusion existe sur une probable addition alternée.",Incrément des ajouts.,true
psychotechnique,suite_logique,Moyenne,"2, 6, 12, 20, ?, 42",Quel terme manque ?,"{""30"",""28"",""32""}",30,"Différences successives de : +4, +6, +8, +10. Après 20, ajouter 10 = 30. Le piège est d'inverser la variation des différences.",Analyse la chronologie des différences.,true
psychotechnique,suite_logique,Moyenne,"7, 14, ?, 56, 112",Quel terme manque ?,"{""28"",""35"",""32""}",28,"Chiffre en double augmentant chaque fois, 7 x 2 = 14 et alors 28 x 2 = 56. Une erreur typique consisterait à ne pas repérer la constante multiplicative.",Concentre-toi sur la multiplication.,true
psychotechnique,suite_logique,Moyenne,"9, 18, 36, ?, 144",Quel terme manque ?,"{""72"",""54"",""90""}",72,"Chaque terme double celui d’avant : 36 x 2 = 72, etc. Le piège étant de manquer cette séquence simple, qui est continue et bimultipliante.",Gardons l'œil sur la multiplication double.,true
psychotechnique,suite_logique,Difficile,"2, 3, 5, 9, ?, 33",Quel terme manque ?,"{""17"",""13"",""14""}",17,"Combinaison de motifs : x2 + 1, x2 + 3. Passé 9 x 2 + 1 donne 17. Simple à confondre avec un motif répétitif en soi.",Alternance entre augmentation par 1 et 3.,true
psychotechnique,suite_logique,Difficile,"1, 4, 2, 8, ?, 16, 8",Quel terme manque ?,"{""4"",""10"",""6""}",4,"Réflexe intercalé entre multiplication et division. En alternant x2, /2. Par symétrie, après 8, nous avons 4. Possible de se tromper dans l'alternance.",Observez la transition d'action intermédiaire.,true
psychotechnique,suite_logique,Difficile,"3, 7, 15, 31, ?, 127",Quel terme manque ?,"{""63"",""62"",""64""}",63,"La séquence évolue par la structure 2n - 1. Le terme centré 2n + 1 = 63 est une épine, faux calcul ruine.",Explore l’architecture (((2n + 1))) - 1.,true
psychotechnique,suite_logique,Difficile,"5, 11, 23, ?, 95",Quel terme manque ?,"{""47"",""48"",""42""}",47,"Addition croissante de 6, 12, 24, 48. 23 + 24 = 47 comme attendu. Hésitation confuse résultante d'une sous-cotation.",Procure une augmentation multiniveau à chaque temps.,true
psychotechnique,suite_logique,Difficile,"3, 9, 7, 13, 11, ?, 15",Quel terme manque ?,"{""17"",""21"",""19""}",17,"Combinaison croissante (*3, +2). Après 11, la série révèle 17. Une alternance non-réfléchie éclipse ces positions clés.",Coordination entre (x3) et (+2).,true
psychotechnique,suite_logique,Difficile,"42, 35, 28, ?, 14",Quel terme manque ?,"{""21"",""20"",""19""}",21,"Détresse dans ce mode soustractif - de 7. Donc, 28 - 21 - 14 sont à l’intérieur. Antithèse après confusion de la soustraction.",Progression de la décadence.,true
