module,category,difficulty,sequence_text,prompt,options,answer,explanation,hint,is_active
psychotechnique,suite_logique,Facile,"?, 3, 6, 9, 12",Quel terme manque ?,"{""0"",""1"",""3""}",0,"La suite est une progression arithmétique de +3, commençant par 0. Chaque terme est obtenu en ajoutant 3 au précédent, donc le terme manquant est 0. Un piège classique est de penser que la suite commence par 1.",Additionne un nombre fixe à chaque étape.,true
psychotechnique,suite_logique,Facile,"5, 7, 9, ?, 13",Quel nombre complète la suite ?,"{""10"",""11"",""12""}",11,"La suite est une progression arithmétique avec un pas de +2. Après 9, en ajoutant 2, on obtient 11. Le piège serait d'ajouter un autre nombre en raison de l'espacement irrégulier entre les options.",Ajoute toujours le même nombre.,true
psychotechnique,suite_logique,Facile,"16, 8, 4, ?, 1",Quel nombre complète la suite ?,"{""2"",""3"",""6""}",2,"Chaque terme est divisé par 2. En partant de 4 et divisant par 2, on arrive à 2. Attention à ne pas multiplier plutôt que diviser, car cela conduit à une suite croissante.",Réduit de moitié à chaque étape.,true
psychotechnique,suite_logique,Facile,"2, 3, 5, 7, ?",Quel terme manque ?,"{""8"",""9"",""11""}",11,"Les nombres sont des nombres premiers. Le terme suivant est le prochain nombre premier après 7, soit 11. L'erreur habituelle est de continuer la progression linéaire sans tenir compte de la nature première.",Pense aux nombres premiers.,true
psychotechnique,suite_logique,Facile,"4, 6, 8, 10, ?",Quel nombre complète la suite ?,"{""11"",""12"",""13""}",12,"C'est une suite de nombres pairs ajoutant 2 à chaque pas. Ainsi, 10 + 2 donne le terme manquant, 12. Une confusion pourrait survenir en ne reconnaissant pas les intervalles réguliers.",Vérifie la parité des nombres.,true
psychotechnique,suite_logique,Facile,"3, 6, 9, ?, 15",Quel nombre complète la suite ?,"{""11"",""12"",""13""}",12,"Il s'agit d'une suite arithmétique où l'on ajoute 3 à chaque fois. Alors, 9 + 3 = 12. Il faut faire attention à ne pas sauter un nombre lors du comptage.",Regarde la régularité dans la croissance.,true
psychotechnique,suite_logique,Facile,"1, 4, 9, ?, 25",Quel nombre complète la suite ?,"{""14"",""15"",""16""}",16,"La suite représente des carrés parfaits : 1², 2², 3², etc. Donc, après 3² qui est 9, c'est 4² qui est 16. Le piège est de ne pas reconnaître les carrés et de chercher un autre motif.",Connais-tu les carrés parfaits ?,true
psychotechnique,suite_logique,Facile,"0, 5, 10, 15, ?",Quel nombre complète la suite ?,"{""18"",""20"",""25""}",20,"Chaque terme est le précédent augmenté de 5. Ainsi, 15 plus 5 donne 20. Le risque est d'augmenter irrégulièrement, perdant de vue le pas constant.",Ajoutez un nombre constant.,true
psychotechnique,suite_logique,Facile,"200, 180, 160, ?, 120",Quel nombre complète la suite ?,"{""140"",""150"",""160""}",140,"La suite diminue chaque fois de 20. Ainsi, de 160, en soustrayant 20, on obtient 140. Un réflexe trompeur serait de supposer une autre progression et d'augmenter par erreur.",Regarde les soustractions constantes.,true
psychotechnique,suite_logique,Facile,"1, 2, 4, ?, 16",Quel nombre complète la suite ?,"{""6"",""8"",""10""}",8,"Chaque terme est le double du précédent. Par conséquent, 4 multiplié par 2 équivaut à 8, le terme manquant. Ne vous laissez pas piéger par l'ajout d'une progression linéaire.",C'est une suite de doublage.,true
