module,category,difficulty,question,prompt,image_url,figure_data,transformation_type,options,answer,explanation,hint,is_active
psychotechnique,rotations_symetries,Facile,"Quelle lettre parmi les suivantes a un axe de symétrie vertical ? (A, H, D, E)",,,,symétrie axiale,"[{""key"":""A"",""label"":""A""},{""key"":""B"",""label"":""H""},{""key"":""C"",""label"":""D""},{""key"":""D"",""label"":""E""}]",A,La lettre 'A' a un axe de symétrie vertical passant par son sommet et le milieu de sa base. Cette symétrie est une caractéristique importante des lettres avec formes géométriques équilibrées. Les autres lettres présentées ne possèdent pas cette particularité d'une symétrie verticale.,Visualise une ligne coupant verticalement la lettre.,true
psychotechnique,rotations_symetries,Facile,"Une rotation de 90° dans le sens horaire transforme quel chiffre en un autre ? (6, 9, 8, 0)",On considère les chiffres tels qu'ils apparaissent sur un écran d'horloge numérique.,,,rotation,"[{""key"":""A"",""label"":""6 en 9""},{""key"":""B"",""label"":""9 en 6""},{""key"":""C"",""label"":""8 en 8""},{""key"":""D"",""label"":""0 en 0""}]",A,"Une rotation de 90° dans le sens horaire d'un '6' sur un écran numérique typique le transforme en '9'. Cette transformation est une rotation simple mais montre comment une rotation peut changer la forme perçue. En se souvenant que le chiffre '6' devient '9', le risque de confusion entre ces chiffres symétriques est diminué.",Imagine tourner physiquement un écran d'horloge numérique.,true
psychotechnique,rotations_symetries,Facile,Une rotation de 180° autour d'un point sur un signe de STOP donnera :,,,,rotation,"[{""key"":""A"",""label"":""Le même signe""},{""key"":""B"",""label"":""Un signe inversé""},{""key"":""C"",""label"":""Un nouveau signe""},{""key"":""D"",""label"":""Impossible à déterminer""}]",A,"Un signe de STOP, qui est un octogone régulier, reste identique après une rotation de 180° autour de son centre. Cela est dû à sa symétrie et la régularité de ses angles et longueurs. Cette transformation illustre comment certains objets réguliers ou symétriques peuvent rester invariants par rotation.",Pense à la symétrie d'un octogone.,true
psychotechnique,rotations_symetries,Facile,"Quel alphabet parmi ces lettres a un axe de symétrie horizontal ? (U, H, B, E)",,,,symétrie axiale,"[{""key"":""A"",""label"":""U""},{""key"":""B"",""label"":""H""},{""key"":""C"",""label"":""B""},{""key"":""D"",""label"":""E""}]",B,La lettre H a un axe de symétrie horizontal qui divise la lettre en miroir le long de sa partie médiane. Cette symétrie se remarque dans les caractères typographiques équilibrés et considérés régulièrement. Aucune des autres lettres n’a une telle symétrie en position horizontale.,Visualise une ligne centrale qui coupe la lettre en deux parties égales.,true
psychotechnique,rotations_symetries,Facile,"Après une rotation de 180° autour de son centre, quel chiffre redevient le même ?",,,,rotation,"[{""key"":""A"",""label"":""2""},{""key"":""B"",""label"":""6""},{""key"":""C"",""label"":""8""},{""key"":""D"",""label"":""4""}]",C,"Le chiffre '8' possède une symétrie centrale, le rendant identique après une rotation de 180°. Il est crucial de se souvenir que d'autres chiffres, tel que '6', lors de cette rotation, changent de chiffre (deviennent '9'). Cette propriété du '8' le distingue comme une exception parmi les chiffres.",Recherchez un chiffre qui se lit de façon identique si vous tournez la feuille.,true
psychotechnique,rotations_symetries,Facile,Un rectangle a-t-il plus d'axes de symétrie qu'un carré ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""Oui, plus""},{""key"":""B"",""label"":""Non, moins""},{""key"":""C"",""label"":""Égal""},{""key"":""D"",""label"":""Impossible à déterminer""}]",B,"Un rectangle possède 2 axes de symétrie (un axe vertical et un axe horizontal uniquement), tandis qu'un carré a 4 axes (deux médianes et deux diagonales). C'est parce qu'un carré est un rectangle particulier avec côtés égaux, mais avec une plus grande symétrie due à ses diagonales égales.",Considère les diagonales en supplément des médianes.,true
psychotechnique,rotations_symetries,Facile,"Après une rotation de 90° autour d'un point, qu’arrive-t-il à l’angle d'un carré ?",,,,rotation,"[{""key"":""A"",""label"":""Rien, il reste à 90°""},{""key"":""B"",""label"":""Il devient aigu""},{""key"":""C"",""label"":""Il devient droit""},{""key"":""D"",""label"":""Il devient obtus""}]",A,"L'angle intérieur d'un carré reste inchangé à 90° après une rotation complète, quelle que soit la position de chaque coin. Une rotation, en règle générale, affecte la position mais pas la mesure des angles internes dans les figures régulières comme les carrés.",Souviens-toi que les rotations conservent les angles internes.,true
psychotechnique,rotations_symetries,Facile,Quel polygone possède exactement deux axes de symétrie ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""Rectangle non carré""},{""key"":""B"",""label"":""Pentagone régulier""},{""key"":""C"",""label"":""Hexagone régulier""},{""key"":""D"",""label"":""Carré""}]",A,"Un rectangle non carré possède deux axes de symétrie : l'un horizontal et l'autre vertical. Ces axes divisent le rectangle en deux moitiés égales chacune. Un carré, en comparaison, a quatre axes de symétrie, y compris les diagonales, ce qui montre la différence structurelle entre les deux.",Attention aux différences entre carré et rectangle en termes de symétrie.,true
psychotechnique,rotations_symetries,Facile,"Quel signe routier est centro-symétrique ? (Stop, triangle de danger, cédez le passage)",,,,symétrie centrale,"[{""key"":""A"",""label"":""Stop""},{""key"":""B"",""label"":""Triangle de danger""},{""key"":""C"",""label"":""Cédez le passage""},{""key"":""D"",""label"":""Aucun""}]",A,"Le panneau STOP, un octogone régulier, possède une symétrie centrale, car sa forme peut être superposée sur elle-même après une rotation de 180°. Alors que les triangles de danger et les panneaux en forme de losange posent des pièges de symétrie axiale mais pas centrale.",Cherchez une forme régulière qui supporte un demi-tour.,true
psychotechnique,rotations_symetries,Facile,"Quel symbole parmi les suivants a le plus d'axes de symétrie ? (Cercle, triangle, croix, étoile)",,,,symétrie axiale,"[{""key"":""A"",""label"":""Cercle""},{""key"":""B"",""label"":""Triangle""},{""key"":""C"",""label"":""Croix""},{""key"":""D"",""label"":""Étoile""}]",A,"Le cercle possède une infinité d'axes de symétrie, car il peut être divisé en deux moitiés égales par n'importe quelle ligne passant par son centre. C'est une caractéristique remarquable et unique parmi toutes les formes mentionnées, qui ont un nombre fini d'axes de symétrie.",Considère une surface qui n'a pas de début ni de fin.,true
