module,category,difficulty,question,prompt,image_url,figure_data,transformation_type,options,answer,explanation,hint,is_active
psychotechnique,rotations_symetries,Facile,Combien d'axes de symétrie possède un rectangle ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""1""},{""key"":""B"",""label"":""2""},{""key"":""C"",""label"":""3""},{""key"":""D"",""label"":""4""}]",B,"Un rectangle possède 2 axes de symétrie : un axe horizontal et un axe vertical passant par le centre. Les axes diagonaux ne sont pas des axes de symétrie pour un rectangle, contrairement à un carré. S'assurer de ne pas confondre rectangle et carré est crucial dans cette question.",Pense aux axes symétriques visibles.,true
psychotechnique,rotations_symetries,Facile,Quel pictogramme routier n'a pas d'axe de symétrie ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""Triangle de danger""},{""key"":""B"",""label"":""Panneau d'arrêt""},{""key"":""C"",""label"":""Panneau de priorité à droite""},{""key"":""D"",""label"":""Cercle de limitation de vitesse""}]",C,"Le panneau de priorité à droite, souvent en forme de losange avec un cadre blanc et un contour rouge, n'a pas d'axe de symétrie. Sa forme est asymétrique, contrairement aux autres panneaux qui possèdent soit un axe de symétrie vertical, soit un axe horizontal. Comprendre la forme exacte du panneau aide à répondre correctement.",Réfléchissez aux formes.,true
psychotechnique,rotations_symetries,Facile,"Laquelle de ces lettres a un axe de symétrie horizontal ? (B, A, M, R)",,,,symétrie axiale,"[{""key"":""A"",""label"":""B""},{""key"":""B"",""label"":""A""},{""key"":""C"",""label"":""M""},{""key"":""D"",""label"":""R""}]",C,"La lettre M a un axe de symétrie horizontal, c'est-à-dire qu'on peut la diviser en deux parties égales en traçant une ligne horizontale à travers son milieu. Les lettres A et R n'ont pas d'axe de symétrie horizontal, mais A a un axe vertical. Le piège serait de confondre symétrie horizontale et verticale.",Trouvez l'axe à travers lequel le haut et le bas se reflètent.,true
psychotechnique,rotations_symetries,Facile,Une rotation de 90° autour d'un point donne quelle figure si on part d'un carré ?,,,,rotation,"[{""key"":""A"",""label"":""Un rectangle""},{""key"":""B"",""label"":""Un losange""},{""key"":""C"",""label"":""Le même carré""},{""key"":""D"",""label"":""Un parallélogramme""}]",C,"Une rotation de 90° fait tourner le carré d'un quart de tour, mais il reste un carré. Les propriétés intrinsèques ne changent pas avec la rotation, le carré reste inchangé en forme même si son orientation change. Un piège fréquent est de confondre les formes résultantes de la rotation quand seule l'orientation est altérée, pas la forme.","Pensez à la forme, pas à l'angle.",true
psychotechnique,rotations_symetries,Facile,Combien d'axes de symétrie possède un triangle équilatéral ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""1""},{""key"":""B"",""label"":""2""},{""key"":""C"",""label"":""3""},{""key"":""D"",""label"":""4""}]",C,"Un triangle équilatéral possède trois axes de symétrie, chacun passant par un sommet et le milieu du côté opposé. Ces symétries sont spécifiques aux polygones réguliers et un triangle isocèle n'en aurait qu'un seul. Comprendre la configuration de chaque type de triangle aide à déterminer le nombre d'axes.",Chaque sommet participe.,true
psychotechnique,rotations_symetries,Facile,Quelle figure reste identique après une rotation de 360° ?,,,,rotation,"[{""key"":""A"",""label"":""Une étoile""},{""key"":""B"",""label"":""Un carré""},{""key"":""C"",""label"":""Un cercle""},{""key"":""D"",""label"":""Un rectangle""}]",C,"Le cercle reste identique après une rotation de 360° car il est parfaitement symétrique autour de son centre. En théorie, une rotation complète ramène n'importe quelle figure à sa position d'origine, mais seul le cercle ne révèle aucun changement même lors de rotations partielles. Comprendre qu'un cercle n'a pas de point remarquable est la clé ici.",Pensez à ce qui semble identique à tout moment.,true
psychotechnique,rotations_symetries,Facile,"Une lettre qui a un axe de symétrie vertical parmi celles-ci : B, C, D, E.",,,,symétrie axiale,"[{""key"":""A"",""label"":""B""},{""key"":""B"",""label"":""C""},{""key"":""C"",""label"":""D""},{""key"":""D"",""label"":""E""}]",D,"La lettre E possède un axe de symétrie vertical, ce qui signifie que si elle est divisée par une ligne droite passant du haut vers le bas au milieu, les deux côtés seront identiques. B, C, et D n'ont pas cette propriété. Identifiez les lettres où la symétrie se réalise autour d'une ligne droite centrale.",Cherchez un reflet parfait de chaque côté.,true
psychotechnique,rotations_symetries,Facile,Deux rotations de 180° autour d'un point équivalent à quelle transformation ?,,,,combinée,"[{""key"":""A"",""label"":""Aucune transformation""},{""key"":""B"",""label"":""Une translation""},{""key"":""C"",""label"":""Une rotation de 360°""},{""key"":""D"",""label"":""Une rotation de 540°""}]",C,"Deux rotations successives de 180° équivalent à une rotation complète de 360°, ramenant la figure à son orientation initiale. Cette propriété découle de l'addition des angles dans la transformation rotative. Évitez de penser qu'une transformation de 540° est possible ici.",Additionnez les angles des rotations.,true
psychotechnique,rotations_symetries,Facile,Combien d'axes de symétrie possède un cercle ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""1""},{""key"":""B"",""label"":""Infinite""},{""key"":""C"",""label"":""4""},{""key"":""D"",""label"":""No axes""}]",B,"Un cercle possède une infinité d'axes de symétrie passant tous par son centre, car il peut être divisé en deux moitiés égales de n'importe quelle direction. Cette propriété unique est du fait de la topologie radiale du cercle. Ne confondez pas avec seulement les axes nord-sud ou est-ouest.",Considère toutes les directions possibles.,true
psychotechnique,rotations_symetries,Facile,"Quelle lettre parmi ces options est une figure avec un seul axe de symétrie : A, K, T, F?",,,,symétrie axiale,"[{""key"":""A"",""label"":""A""},{""key"":""B"",""label"":""K""},{""key"":""C"",""label"":""T""},{""key"":""D"",""label"":""F""}]",A,La lettre A a un unique axe de symétrie vertical. Cela signifie qu'il existe une seule ligne verticale passant au centre qui divise la lettre en deux parties égales et symétriques. Les autres lettres ne sont pas symétriques dans ce sens-là.,Pense à la ligne médiane passant par le centre.,true
psychotechnique,rotations_symetries,Facile,Combien de rotations distinctes laissent un polygone régulier à 5 côtés invariant ?,,,,rotation,"[{""key"":""A"",""label"":""5""},{""key"":""B"",""label"":""4""},{""key"":""C"",""label"":""3""},{""key"":""D"",""label"":""2""}]",A,"Pour un polygone régulier à 5 côtés, aussi appelé pentagone, chaque rotation de 360°/5 le laisse invariant. Cinq rotations distinctes le ramènent sur lui-même, car chacune correspond à un alignement des sommets respectifs. Elle utilise la symétrie de rotation inhérente des polygones réguliers.",Divisez le cercle en parties égales.,true
psychotechnique,rotations_symetries,Facile,Une traduction centrale d'une lettre 'H' la transforme en quoi ?,Considérez une symétrie centrale de base.,,,symétrie centrale,"[{""key"":""A"",""label"":""Elle-même""},{""key"":""B"",""label"":""Lettre W""},{""key"":""C"",""label"":""Le caractère miroir de l'H""},{""key"":""D"",""label"":""Lettre I""}]",A,"La lettre 'H' est centro-symétrique, ce qui signifie que si elle est retournée autour d'un point central, elle reste exactement la même. Ce type spécifique de symétrie réserve le même résultat qu’on la retourne à 180°. Gardez à l'esprit que d'autres transformations donneraient des résultats différents.",Réfléchissez à sa réflexion centrale exacte.,true
psychotechnique,rotations_symetries,Facile,Quelle transformation survient quand vous effectuez une rotation de 360° d'une image ?,,,,rotation,"[{""key"":""A"",""label"":""Un changement total""},{""key"":""B"",""label"":""Aucun changement""},{""key"":""C"",""label"":""Un déplacement""},{""key"":""D"",""label"":""Une inversion""}]",B,"Une rotation de 360° ramène toujours l'image à sa position d'origine, ce qui signifie qu'il n'y a aucun changement apparent. C’est une propriété triviale de la rotation où un tour complet est la même orientation que l'état initial.",Imaginez les retours à la position d’origine.,true
psychotechnique,rotations_symetries,Facile,Quels types de figures ont un axe de symétrie diagonale ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""Carré""},{""key"":""B"",""label"":""Rectangle""},{""key"":""C"",""label"":""Cercle""},{""key"":""D"",""label"":""Trapèze""}]",A,"Un carré possède deux axes de symétrie diagonaux, ce qui signifie que les lignes tracées par ses diagonales le séparent en deux moitiés. À la différence du rectangle, qui n’a que des axes verticaux et horizontaux, ces diagonales garantissent la symétrie. Faites attention à ne pas confondre avec des axes droites ou courbes.",Diagonale = coin à coin.,true
psychotechnique,rotations_symetries,Facile,Quelle rotation ramène un losange à son orientation initiale ?,,,,rotation,"[{""key"":""A"",""label"":""90°""},{""key"":""B"",""label"":""180°""},{""key"":""C"",""label"":""270°""},{""key"":""D"",""label"":""360°""}]",D,"Une rotation de 360° est nécessaire pour ramener un losange à son orientation originale. Bien que le losange partage certaines propriétés des quadrilatères symétriques, il ne retrouve sa disposition exacte qu'à une rotation complète. Méfiez-vous d’un demi-tour à 180°, qui modifie l'orientation.",Considérez une seule révolution complète.,true
psychotechnique,rotations_symetries,Moyenne,Une rotation de 180° correspond à quel type de symétrie dans une figure ?,,,,symétrie centrale,"[{""key"":""A"",""label"":""Symétrie axiale""},{""key"":""B"",""label"":""Symétrie centrale""},{""key"":""C"",""label"":""Aucune symétrie""},{""key"":""D"",""label"":""Translation""}]",B,"Une rotation de 180°, souvent appelée demi-tour, est équivalente à une symétrie centrale, car elle renverse une figure autour d'un point central. Cela signifie que chaque point inverse de l'image est équidistant du centre. Une erreur commune est de confondre avec une symétrie axiale qui est plutôt un reflet autour d'une ligne.",Identifiez la relation entre centre et image.,true
psychotechnique,rotations_symetries,Moyenne,Deux rotations de 90° consistent en quelle équivalence rotative sur une figure ?,,,,combinée,"[{""key"":""A"",""label"":""180°""},{""key"":""B"",""label"":""360°""},{""key"":""C"",""label"":""270°""},{""key"":""D"",""label"":""540°""}]",A,"Deux rotations successives de 90° totalisent une rotation de 180°, ce qui équivaut à une symétrie centrale pour une figure. La somme des angles est simple, mais une erreur fréquente est de penser à des rotations cumulatives conduisant à des valeurs incorrectes comme 360° ou plus.",Additionnez les rotations étapes par étapes.,true
psychotechnique,rotations_symetries,Moyenne,"Quelles lettres sont centro-symétriques ? (H, I, N, O, S, X, Z)",Considérez les lettres en typographie standard.,,,symétrie centrale,"[{""key"":""A"",""label"":""H, S""},{""key"":""B"",""label"":""I, X, O""},{""key"":""C"",""label"":""N, Z""},{""key"":""D"",""label"":""Toutes les lettres mentionnées""}]",B,"Les lettres I, X et O sont centro-symétriques. Elles apparaissent identiques lorsqu'on les fait pivoter de 180°. C'est une caractéristique de quelques lettres. La symétrie centrale est rare dans l'alphabet, prêtez attention aux contours des lettres.",Regardez celles qui ont une apparence identique inversée.,true
psychotechnique,rotations_symetries,Moyenne,Une symétrie axiale suivie d'une rotation de 180° aboutit à :,,,,combinée,"[{""key"":""A"",""label"":""Une symétrie axiale doublée""},{""key"":""B"",""label"":""Aucune transformation""},{""key"":""C"",""label"":""Seulement une rotation de 90°""},{""key"":""D"",""label"":""Un retour à l'original""}]",A,"Quand une symétrie axiale est suivie d'une rotation de 180°, la figure revient à son original mais inversé. Ainsi, l'effet global est un doublement de l'effet de symétrie, en l'appliquant une seconde fois. Cela peut être un processus déroutant si on oublie que les transformations sont orientées cumulatives.",Voir les transformations comme des étapes successives.,true
psychotechnique,rotations_symetries,Moyenne,Quel chiffre reste identique après une rotation de 180° ?,On considère les chiffres dessinés en typographie simple.,,,rotation,"[{""key"":""A"",""label"":""0""},{""key"":""B"",""label"":""6""},{""key"":""C"",""label"":""8""},{""key"":""D"",""label"":""9""}]",C,Le chiffre 8 est centro-symétrique : il reste identique lorsqu'on le retourne de 180°. C'est une propriété qui n'est pas partagée avec les autres chiffres comme 6 ou 9 où le retournement inverse leur sens. La symétrie double en est un bon exemple observable.,Regardez celui qui se reflète sans changement à l'inverse.,true
psychotechnique,rotations_symetries,Moyenne,"Une lettre identique après réflexion sur un axe vertical parmi P, D, B, G ?",,,,symétrie axiale,"[{""key"":""A"",""label"":""P""},{""key"":""B"",""label"":""D""},{""key"":""C"",""label"":""B""},{""key"":""D"",""label"":""G""}]",B,La lettre D conserve sa structure après réflexion sur un axe vertical. Ceci est un exemple clair de symétrie axiale verticale. Les autres sont des lettres où cette propriété manque en tant que telle.,Cherchez le reflet vertical parfait.,true
psychotechnique,rotations_symetries,Moyenne,Combien de symétries axiales un pentagone régulier possède-t-il ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""1""},{""key"":""B"",""label"":""2""},{""key"":""C"",""label"":""5""},{""key"":""D"",""label"":""10""}]",C,"Un pentagone régulier a 5 symétries axiales, correspondant à ses 5 côtés et sommets. Chaque axe divise le côté opposé à son sommet correspondant. Ne confondez pas ces lignes de réflexion avec uniquement les axes verticaux ou horizontaux.",Correspondance entre côtés et axes.,true
