module,category,difficulty,question,prompt,image_url,figure_data,transformation_type,options,answer,explanation,hint,is_active
psychotechnique,rotations_symetries,Facile,Quel pictogramme routier n'a pas d'axe de symétrie ?,"Considérez les signes : rond, triangle équilatéral, pentagone, octogone.",,,symétrie axiale,"[{""key"":""A"",""label"":""Rond""},{""key"":""B"",""label"":""Pentagone""},{""key"":""C"",""label"":""Triangle équilatéral""},{""key"":""D"",""label"":""Octogone""}]",B,"Un pentagone régulier a 5 axes de symétrie passant chacun par un sommet et le centre. Cependant, un pentagone non régulier (par exemple, un pictogramme) peut ne pas avoir d'axes de symétrie. Les autres figures mentionnées sont régulières et ont des axes de symétrie : le rond en a une infinité, et les triangles équilatéraux en ont 3.",,true
psychotechnique,rotations_symetries,Facile,"Laquelle de ces lettres a un axe de symétrie vertical ? (A, B, C, D)",Considérez les majuscules standard.,,,symétrie axiale,"[{""key"":""A"",""label"":""A""},{""key"":""B"",""label"":""B""},{""key"":""C"",""label"":""C""},{""key"":""D"",""label"":""D""}]",A,"La lettre A en majuscule a un axe de symétrie vertical, passant par son centre. Cela signifie que les deux moitiés sont des images-miroir parfaites par rapport à cet axe. Les autres lettres (B, C, D) n'ont pas de telles symétries verticales en typographie standard.",,true
psychotechnique,rotations_symetries,Facile,Combien d'axes de symétrie possède une étoile à cinq branches régulière ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""0""},{""key"":""B"",""label"":""5""},{""key"":""C"",""label"":""1""},{""key"":""D"",""label"":""10""}]",B,"Une étoile régulière à cinq branches a cinq axes de symétrie, chacun reliant un sommet au milieu de la branche opposée. Chacune de ces axes divise l'étoile en deux moitiés égales. Le piège serait de sous-estimer le nombre d'axes, pensant à tort qu'elle n'en aurait qu'un seul.",,true
psychotechnique,rotations_symetries,Facile,Combien d'axes de symétrie possède un octogone régulier ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""5""},{""key"":""B"",""label"":""8""},{""key"":""C"",""label"":""9""},{""key"":""D"",""label"":""4""}]",B,Un octogone régulier possède 8 axes de symétrie. Cela comprend 4 axes passant par les sommets opposés et 4 autres passant par les milieux des côtés opposés. Examiner les sommets et les côtés est crucial pour déterminer correctement les axes.,,true
psychotechnique,rotations_symetries,Facile,Une rotation de 90° autour d'un point change une lettre 'L' en :,,,,rotation,"[{""key"":""A"",""label"":""T""},{""key"":""B"",""label"":""L inversé""},{""key"":""C"",""label"":""U""},{""key"":""D"",""label"":""I""}]",B,"Une rotation de 90° transforme la lettre L en une forme qui ressemble à un L inversé. La partie longue de la lettre pivote, tandis que la base reste au même endroit par rapport au centre de rotation. Le piège est de choisir une transformation irréalisable avec un L, comme un T.",,true
psychotechnique,rotations_symetries,Facile,Quelle transformation préserve toujours l'orientation d'une figure ?,,,,transformation,"[{""key"":""A"",""label"":""Symétrie axiale""},{""key"":""B"",""label"":""Rotation de 360°""},{""key"":""C"",""label"":""Symétrie centrale""},{""key"":""D"",""label"":""Translation""}]",D,"La translation déplace une figure sans la faire tourner ni la refléter, préservant donc son orientation. Une rotation de 360° rétablit la figure, mais elle implique un changement, bien que temporaire. Les symétries, qu'elles soient axiales ou centrales, changent l'orientation de la figure.",,true
psychotechnique,rotations_symetries,Facile,"Quelle est la lettre parmi les suivantes qui a un axe de symétrie horizontal ? (Z, B, R, S)",Considérez les majuscules en typographie standard.,,,symétrie axiale,"[{""key"":""A"",""label"":""Z""},{""key"":""B"",""label"":""B""},{""key"":""C"",""label"":""R""},{""key"":""D"",""label"":""S""}]",D,"La lettre S en majuscule a un axe de symétrie horizontal, ce qui signifie que le haut et le bas sont des images-miroirs l'un de l'autre. Les autres lettres inscrites ne possèdent pas cet axe de symétrie dans leur formation typographique standard. L'erreur classique serait de confondre une symétrie horizontale avec une verticale.",,true
psychotechnique,rotations_symetries,Facile,Quelle transformation laisse une figure circulaire inchangée ?,,,,rotation,"[{""key"":""A"",""label"":""Rotation de 360°""},{""key"":""B"",""label"":""Symétrie axiale""},{""key"":""C"",""label"":""Translation""},{""key"":""D"",""label"":""Rotation de 180°""}]",A,"Une rotation de 360° ramène une figure à sa position initiale, laissant ainsi la figure inchangée. Bien que la symétrie axiale ou la translation puissent aussi sembler maintenir la figure, elles ne respectent pas la condition de changement nul qui est intrinsèque à une rotation complète sans modification.",,true
psychotechnique,rotations_symetries,Facile,Une rotation de 180° autour d'un point central d'un cercle donne :,,,,rotation,"[{""key"":""A"",""label"":""Un demi-cercle""},{""key"":""B"",""label"":""Un cercle identique""},{""key"":""C"",""label"":""Un cercle inversé""},{""key"":""D"",""label"":""Un cercle avec axe tourné""}]",B,"Tourner un cercle de 180° autour de son centre produit un cercle identique. Les propriétés fondamentales du cercle ne changent pas car il est isotrope, ce qui signifie que toutes les rotations le ramènent à un état équivalent. Le demi-cercle ou l'inversion sont des idées fausses basées sur la compréhension erronée des rotations.",,true
psychotechnique,rotations_symetries,Facile,"Après une rotation de 90° d'une lettre 'H', qu'obtient-on ?",Considérez un 'H' en majuscule avec une symétrie axiale.,,,rotation,"[{""key"":""A"",""label"":""I""},{""key"":""B"",""label"":""Un 'H' couché""},{""key"":""C"",""label"":""Un 'H' inversé""},{""key"":""D"",""label"":""Un 'T'""}]",B,"Tourner un 'H' de 90° le transforme en une version couchée de lui-même. La symétrie que possède le 'H' ne change pas cette propriété, et il conserve un aspect équilibré. On ne peut pas obtenir une autre lettre telle que 'I' ou 'T' à moins de tourner de 90° supplémentaires.",,true
