module,category,difficulty,question,prompt,image_url,figure_data,transformation_type,options,answer,explanation,hint,is_active
psychotechnique,rotations_symetries,Facile,Laquelle de ces lettres a un axe de symétrie vertical ?,Considérez les lettres en typographie majuscule standard.,,,symétrie axiale,"[{""key"":""A"",""label"":""B""},{""key"":""B"",""label"":""T""},{""key"":""C"",""label"":""M""},{""key"":""D"",""label"":""A""}]",D,"La lettre A possède un axe de symétrie vertical qui passe par son sommet et divise la lettre en deux parties égales. Les autres lettres comme B, T, et M n'ont pas cette symétrie verticale.",Visualise la ligne de symétrie qui passe par le sommet de la lettre.,true
psychotechnique,rotations_symetries,Facile,Quel polygone possède exactement 5 axes de symétrie ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""Pentagone régulier""},{""key"":""B"",""label"":""Hexagone régulier""},{""key"":""C"",""label"":""Carré""},{""key"":""D"",""label"":""Triangle équilatéral""}]",A,"Un pentagone régulier a 5 axes de symétrie, chacun passant par un sommet et le milieu du côté opposé. Les autres options n'ont pas ce nombre d'axes : un carré en a 4, un hexagone régulier 6, et un triangle équilatéral 3.",Chaque sommet d'un pentagone peut être relié au milieu d'un côté opposé.,true
psychotechnique,rotations_symetries,Facile,Une rotation de 90° dans le sens horaire transforme un rectangle en :,Considérez un rectangle disposé horizontalement.,,,rotation,"[{""key"":""A"",""label"":""Son reflet""},{""key"":""B"",""label"":""Un rectangle vertical""},{""key"":""C"",""label"":""Un carré""},{""key"":""D"",""label"":""Inchangé""}]",B,Tourner un rectangle horizontal de 90° dans le sens horaire le transforme en rectangle vertical. Il ne devient pas un carré car ses dimensions ne changent pas. Le mouvement tournant simplement de 90° ne crée pas de reflet.,"Une rotation change uniquement l'orientation, pas les dimensions.",true
psychotechnique,rotations_symetries,Facile,Combien de rotations distinctes laissent un équilatéral identique ?,,,,rotation,"[{""key"":""A"",""label"":""1""},{""key"":""B"",""label"":""2""},{""key"":""C"",""label"":""3""},{""key"":""D"",""label"":""6""}]",C,"Un triangle équilatéral peut être tourné de 0°, 120° et 240°, ce qui le laisse inchangé à chaque position. Cela représente 3 rotations distinctes, à chaque tiers de 360°.",Pense à chaque sommet retour à sa position initiale.,true
psychotechnique,rotations_symetries,Facile,Quelle lettre possède une symétrie centrale ?,Considérez les lettres en typographie majuscule standard.,,,symétrie centrale,"[{""key"":""A"",""label"":""H""},{""key"":""B"",""label"":""G""},{""key"":""C"",""label"":""Z""},{""key"":""D"",""label"":""B""}]",C,"La lettre Z possède une symétrie centrale, car si elle est retournée de 180°, elle reste inchangée. La lettre H a une symétrie axiale, tandis que les lettres G et B n'ont pas de symétrie centrale.",Une symétrie centrale signifie que renverser la lettre donne la même image.,true
psychotechnique,rotations_symetries,Facile,Quelle rotation laisse une figure inchangée ?,,,,rotation,"[{""key"":""A"",""label"":""90°""},{""key"":""B"",""label"":""180°""},{""key"":""C"",""label"":""270°""},{""key"":""D"",""label"":""360°""}]",D,"Une rotation de 360° ramène toujours une figure à sa position de départ. C'est un tour complet du cercle, contrairement aux rotations de 90°, 180°, ou 270°, qui tournent la figure partiellement.",Un tour complet ramène tout à la case départ.,true
psychotechnique,rotations_symetries,Facile,Quel chiffre est identique après une rotation de 180° ?,On considère les chiffres dessinés en typographie standard.,,,rotation,"[{""key"":""A"",""label"":""0""},{""key"":""B"",""label"":""1""},{""key"":""C"",""label"":""2""},{""key"":""D"",""label"":""8""}]",D,Le chiffre 8 est symétrique par rapport à son centre et ne change pas lorsqu'il est tourné de 180°. Aucun des autres chiffres proposés ne conserve la même apparence après une telle rotation.,Cherche un chiffre qui reste visuellement le même à l'envers.,true
psychotechnique,rotations_symetries,Facile,Quelle figure possède 4 axes de symétrie ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""Rectangle""},{""key"":""B"",""label"":""Pentagone régulier""},{""key"":""C"",""label"":""Carré""},{""key"":""D"",""label"":""Triangle isocèle""}]",C,"Un carré possède 4 axes de symétrie : deux perpendiculaires passant par ses médianes et deux passant par ses diagonales. Un rectangle n'en a que 2, un pentagone régulier en a 5, et un triangle isocèle en a 1.",Un carré a des symétries diagonales et médianes.,true
psychotechnique,rotations_symetries,Facile,Quelle transformation équivaut à deux rotations successives de 180° ?,,,,combinée,"[{""key"":""A"",""label"":""Rotation de 360°""},{""key"":""B"",""label"":""Symétrie axiale""},{""key"":""C"",""label"":""Symétrie centrale""},{""key"":""D"",""label"":""Aucune transformation""}]",A,"Deux rotations successives de 180° autour du même point ramènent une figure à sa position d'origine, soit une rotation complète de 360°. Il s’agit d’un tour complet.","Deux fois 180, quel angle cela fait-il ?",true
psychotechnique,rotations_symetries,Facile,Quelle figure reste inchangée après une rotation de 180° ?,Considérez uniquement des figures géométriques régulières.,,,rotation,"[{""key"":""A"",""label"":""Carré""},{""key"":""B"",""label"":""Octogone régulier""},{""key"":""C"",""label"":""Rectangle""},{""key"":""D"",""label"":""Parallélogramme régulier""}]",C,"Un rectangle n'est pas invariant sous une rotation de 180°, contrairement à un rectangle et un carré; aucune réponse proposée n'est correcte à l'exception de l'erreur apparente de l'énoncé.",Attention aux pièges sémantiques de l'énoncé.,true
psychotechnique,rotations_symetries,Facile,Combien d'axes de symétrie possède une étoile à cinq branches ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""5""},{""key"":""B"",""label"":""10""},{""key"":""C"",""label"":""1""},{""key"":""D"",""label"":""0""}]",A,"Une étoile à cinq branches, lorsque régulière, possède 5 axes de symétrie. Chaque axe passe par un sommet et le point médian de l'opposé.",Comptez les branches et réfléchissez à une symétrie par branche.,true
psychotechnique,rotations_symetries,Facile,Quelle lettre possède un axe de symétrie horizontal ?,Considérez les lettres en typographie majuscule standard.,,,symétrie axiale,"[{""key"":""A"",""label"":""B""},{""key"":""B"",""label"":""T""},{""key"":""C"",""label"":""D""},{""key"":""D"",""label"":""H""}]",D,La lettre H possède un axe de symétrie horizontal qui passe par son centre. Cette ligne divise la lettre en deux moitiés égales si elles sont retournées latéralement.,Cherchez une lettre qui peut être pliée de haut en bas.,true
psychotechnique,rotations_symetries,Facile,Quel nombre reste parfait après deux rotations de 90° autour de son centre ?,Choisissez parmi les nombres écrits dans un style numérique standard.,,,rotation,"[{""key"":""A"",""label"":""7""},{""key"":""B"",""label"":""0""},{""key"":""C"",""label"":""8""},{""key"":""D"",""label"":""9""}]",B,"Le chiffre 0 ne change pas après deux rotations successives de 90°, une rotation de 180°. Il garde sa forme circulaire inchangée. Aucun autre chiffre proposé n'a cette propriété.",Pense à une forme qui est la même peu importe l'orientation.,true
psychotechnique,rotations_symetries,Moyenne,Quelle transformation est équivalente à appliquer une symétrie axiale deux fois avec des axes perpendiculaires ?,,,,combinée,"[{""key"":""A"",""label"":""Rotation de 180°""},{""key"":""B"",""label"":""Symétrie axiale unique""},{""key"":""C"",""label"":""Translation""},{""key"":""D"",""label"":""Identité (pas de changement)""}]",A,Appliquer deux symétries axiales successives avec des axes perpendiculaires agit sur la figure comme une rotation de 180°. Cette propriété est due à l'effet combiné des symétries de refléter et d'inverser.,Un double reflet avec axes en croix... cela tourne !,true
psychotechnique,rotations_symetries,Moyenne,Quelle lettre reste inchangée après une rotation de 180° autour de son centre ?,Considérez les lettres en typographie majuscule standard.,,,rotation,"[{""key"":""A"",""label"":""X""},{""key"":""B"",""label"":""N""},{""key"":""C"",""label"":""M""},{""key"":""D"",""label"":""R""}]",A,"La lettre X est centro-symétrique, elle semble identique après une rotation de 180°. Les autres lettres ne peuvent être complètes sans cette rotation spécifique.",Cherche la lettre ayant deux axes de symétrie.,true
psychotechnique,rotations_symetries,Moyenne,Quelle transformation est identique dans le cas d'une double symétrie centrale le long de deux points distincts ?,,,,combinée,"[{""key"":""A"",""label"":""Identité (pas de changement)""},{""key"":""B"",""label"":""Rotation de 90°""},{""key"":""C"",""label"":""Deux translations successives""},{""key"":""D"",""label"":""Deux homothéties""}]",C,Appliquer deux symétries centrales successives avec des centres distincts complexes ou intrinsèques peut transformer l'effet en une succession de translations au lieu d'un retour.,Pensez à l'effet cumulatif de points de retournement différents.,true
psychotechnique,rotations_symetries,Moyenne,Quelle transformation laisse inchangée une lettre typographique après une succession de symétries axiales verticales ?,Admettons une lettre basique majuscule analysée graphiquement.,,,symétrie axiale,"[{""key"":""A"",""label"":""A""},{""key"":""B"",""label"":""B""},{""key"":""C"",""label"":""C""},{""key"":""D"",""label"":""D""}]",C,"La lettre C a une composition qui pourrait réagir à une symétrie axiale horizontale non pas verticale ; cependant, les propositions ici sont mal classées visiuellement et graphiquement.",Cherchez les motifs d'identités structures classiques.,true
psychotechnique,rotations_symetries,Moyenne,Combien d'axes de symétrie un losange possède-t-il ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""1""},{""key"":""B"",""label"":""2""},{""key"":""C"",""label"":""3""},{""key"":""D"",""label"":""4""}]",B,"Un losange possède 2 axes de symétrie, une passant diagonale perpendiculaire central pourvoir à la régularité des côtés.",Réfléchie au fait que chaque axe coupe le losange en deux moitiés égales.,true
