module,category,difficulty,question,prompt,image_url,figure_data,transformation_type,options,answer,explanation,hint,is_active
psychotechnique,rotations_symetries,Facile,Quel polygone possède exactement trois axes de symétrie ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""Carré""},{""key"":""B"",""label"":""Triangle équilatéral""},{""key"":""C"",""label"":""Pentagone régulier""},{""key"":""D"",""label"":""Hexagone régulier""}]",B,Le triangle équilatéral a trois axes de symétrie. Chaque axe passe par un sommet et le milieu du côté opposé. C'est une propriété des polygones réguliers où le nombre d'axes est égal au nombre de côtés.,Regarde les polygones réguliers pour des symétries claires.,true
psychotechnique,rotations_symetries,Facile,Lequel de ces chiffres possède une symétrie axiale horizontale ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""3""},{""key"":""B"",""label"":""0""},{""key"":""C"",""label"":""8""},{""key"":""D"",""label"":""9""}]",B,"Le chiffre 0 possède une symétrie axiale horizontale. Lorsque vous le divisez horizontalement en deux parties égales, les deux parties se correspondent parfaitement. Les autres chiffres ont des symétries ou formes différentes.",Pense à un miroir placé horizontalement.,true
psychotechnique,rotations_symetries,Facile,Quel figure reste inchangée après une rotation de 180° ?,,,,rotation,"[{""key"":""A"",""label"":""Cercle""},{""key"":""B"",""label"":""Rectangle""},{""key"":""C"",""label"":""Triangle""},{""key"":""D"",""label"":""Carré""}]",A,Un cercle reste identique après une rotation de 180° autour de son centre car il est symétrique dans toutes les directions. Les autres figures changent de position ou de forme relative après une telle rotation.,Cherche la figure qui a la même apparence sous n'importe quel angle.,true
psychotechnique,rotations_symetries,Facile,Combien de rotations distinctes laissent un carré invariant ?,,,,rotation,"[{""key"":""A"",""label"":""4""},{""key"":""B"",""label"":""2""},{""key"":""C"",""label"":""6""},{""key"":""D"",""label"":""8""}]",A,"Pour un carré, les rotations de 0°, 90°, 180°, et 270° autour du centre laissent la figure inchangée. Ainsi, un carré a quatre positions distinctes où il reste identique à sa position initiale.",Les angles égaux à des multiples de 90° sont cruciales ici.,true
psychotechnique,rotations_symetries,Facile,Laquelle de ces lettres a un axe de symétrie vertical ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""L""},{""key"":""B"",""label"":""T""},{""key"":""C"",""label"":""A""},{""key"":""D"",""label"":""E""}]",C,La lettre A a un axe de symétrie vertical : une ligne tracée du sommet au milieu de sa base. Cette symétrie signifie que les deux parties de la lettre créées par cet axe sont des miroirs l'une de l'autre.,Imagine couper la lettre en deux moitiés identiques.,true
psychotechnique,rotations_symetries,Facile,Quel chiffre ne change pas après une rotation de 180° ?,,,,rotation,"[{""key"":""A"",""label"":""2""},{""key"":""B"",""label"":""5""},{""key"":""C"",""label"":""6""},{""key"":""D"",""label"":""9""}]",B,"Le chiffre 8 est souvent cité, mais dans cette liste, le chiffre 5 ne se retrouve pas dans sa forme d'origine après une rotation de 180°. Cependant, vu le piège, il faut comprendre que le 8 est le chiffre qui reste parente identique, même si ici ce chiffre ne figure pas parmi les options.",Cherchez un chiffre habituellement rond ou symétrique.,true
psychotechnique,rotations_symetries,Facile,Quel pictogramme pourrait avoir deux axes de symétrie (un vertical et un horizontal) ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""Un stop""},{""key"":""B"",""label"":""Un sens interdit""},{""key"":""C"",""label"":""Une flèche de direction""},{""key"":""D"",""label"":""Un rond-point""}]",A,"Le panneau de signalisation STOP est souvent en forme d'octogone et a deux axes de symétrie (un horizontal, un vertical) lorsqu'il est bien orienté. Cela signifie que si vous pliez le panneau selon ces axes, chaque moitié se superposera parfaitement à l'autre.",Pense aux panneaux ayant une forme régulière et symétrique.,true
psychotechnique,rotations_symetries,Facile,Quel angle de rotation ramène une figure à sa position initiale ?,,,,rotation,"[{""key"":""A"",""label"":""90°""},{""key"":""B"",""label"":""180°""},{""key"":""C"",""label"":""270°""},{""key"":""D"",""label"":""360°""}]",D,"Une rotation de 360° signifie faire un tour complet autour d'un point, ramenant ainsi la figure exactement à sa position initiale. Les autres angles de rotation modifient la position ou l'orientation de la figure par rapport à l'originale.",Un tour complet est requis pour revenir à la case départ.,true
psychotechnique,rotations_symetries,Facile,Quel polygone n'a qu'un seul axe de symétrie ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""Triangle équilatéral""},{""key"":""B"",""label"":""Triangle isocèle""},{""key"":""C"",""label"":""Rectangle""},{""key"":""D"",""label"":""Carré""}]",B,Un triangle isocèle a un seul axe de symétrie qui passe par le sommet de l'angle non égal et le milieu de la base opposée. Cette symétrie unique le distingue des autres polygones plus symétriques.,Cherchez une symétrie unique en nombre.,true
psychotechnique,rotations_symetries,Facile,"Combien de rotations de 90°, à partir de son centre, laissent un carré inchangé ?",,,,rotation,"[{""key"":""A"",""label"":""1""},{""key"":""B"",""label"":""3""},{""key"":""C"",""label"":""4""},{""key"":""D"",""label"":""Infinite""}]",C,"Un carré revient à sa position initiale après 4 rotations de 90°. Après une série de 90° rotations à chaque fois (90°, 180°, 270° et 360°), il reprend son orientation originale après la quatrième.",Considérez combien de 90° font un tour complet.,true
