module,category,difficulty,question,prompt,image_url,figure_data,transformation_type,options,answer,explanation,hint,is_active
psychotechnique,rotations_symetries,Facile,Laquelle de ces lettres a un axe de symétrie vertical ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""M""},{""key"":""B"",""label"":""A""},{""key"":""C"",""label"":""B""},{""key"":""D"",""label"":""C""}]",B,"La lettre 'A' a un axe de symétrie vertical qui passe par son sommet. Cela signifie que si vous pliez la lettre en deux le long de cet axe, les deux moitiés se superposent parfaitement. Les autres lettres 'M', 'B', 'C' ne partagent pas cette caractéristique.",Regarde l'axe central passant par le sommet.,true
psychotechnique,rotations_symetries,Facile,Combien de rotations distinctes laissent un carré invariant ?,,,,rotation,"[{""key"":""A"",""label"":""2""},{""key"":""B"",""label"":""3""},{""key"":""C"",""label"":""4""},{""key"":""D"",""label"":""5""}]",C,"Un carré peut être tourné de 0°, 90°, 180° et 270° autour de son centre sans changer d'apparence, ce qui fait quatre rotations distinctes. Chaque angle est multiple de 90°, ce qui correspond à la juxtaposition de ses côtés.",Pense aux multiples de 90°.,true
psychotechnique,rotations_symetries,Facile,Quelle lettre a un axe de symétrie horizontal ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""E""},{""key"":""B"",""label"":""M""},{""key"":""C"",""label"":""N""},{""key"":""D"",""label"":""B""}]",D,"La lettre 'B' a un axe de symétrie horizontal, car une ligne passant à travers son centre horizontalement la divise en deux moitiés identiques. Les autres lettres, en revanche, ne montrent pas cette symétrie.",Regarde le milieu horizontal.,true
psychotechnique,rotations_symetries,Facile,Combien d'axes de symétrie possède un cerf-volant classique ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""1""},{""key"":""B"",""label"":""2""},{""key"":""C"",""label"":""3""},{""key"":""D"",""label"":""0""}]",A,"Un cerf-volant classique a un seul axe de symétrie, qui passe le long de sa longueur maximale. Cet axe sépare les deux ailes égales en une symétrie mise en valeur. Les autres options ne respectent pas le design typique du cerf-volant.",Pense à la longueur centrale.,true
psychotechnique,rotations_symetries,Facile,Quel symbole n'a pas d'axe de symétrie ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""Symbole de cœur""},{""key"":""B"",""label"":""Symbole de paix""},{""key"":""C"",""label"":""Symbole de plus""},{""key"":""D"",""label"":""Symbole de cercle""}]",A,"Le symbole de cœur n'a pas d'axe de symétrie parfait, surtout en typographie courante. Les autres symboles mentionnés, comme le cercle et le symbole de plus, ont soit plusieurs axes de symétrie, soit en possèdent au moins un évident.",Pensez aux asymétries.,true
psychotechnique,rotations_symetries,Facile,Quel est le degré minimal de rotation pour superposer un hexagone régulier sur lui-même ?,,,,rotation,"[{""key"":""A"",""label"":""60°""},{""key"":""B"",""label"":""90°""},{""key"":""C"",""label"":""120°""},{""key"":""D"",""label"":""180°""}]",A,"Un hexagone régulier se superpose sur lui-même après une rotation de 60° autour de son centre, car il possède six côtés égaux. Ainsi, chaque côté et sommet se chevauchent avec le suivant après une rotation de 60°.",N côtés = 360° / N.,true
psychotechnique,rotations_symetries,Facile,Quelle transformation résulte d'une rotation de 360° ?,,,,rotation,"[{""key"":""A"",""label"":""Retour à la position initiale""},{""key"":""B"",""label"":""Inversion de la figure""},{""key"":""C"",""label"":""Réduction de taille""},{""key"":""D"",""label"":""Transformation complexe""}]",A,Une rotation de 360° autour d'un point ramène la figure à sa position initiale sans aucun changement. C'est un tour complet qui laisse l'objet indistinguable de sa position de départ.,Un tour complet.,true
psychotechnique,rotations_symetries,Facile,Combien de symétries axiales possède un losange ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""1""},{""key"":""B"",""label"":""2""},{""key"":""C"",""label"":""3""},{""key"":""D"",""label"":""4""}]",B,Un losange possède deux axes de symétrie : l'un passant par les diagonales et l'autre perpendiculaire au milieu des côtés opposés. Ces axes divisent le losange en moitiés symétriques.,Regardez les diagonales.,true
psychotechnique,rotations_symetries,Facile,Laquelle des lettres suivantes est centro-symétrique ?,,,,symétrie centrale,"[{""key"":""A"",""label"":""S""},{""key"":""B"",""label"":""Z""},{""key"":""C"",""label"":""N""},{""key"":""D"",""label"":""H""}]",B,"La lettre 'Z' est centro-symétrique, ce qui signifie qu'elle peut être retournée de 180° autour de son centre et apparaîtra identique. Les autres lettres ne montrent pas cette caractéristique.",Une lettre qui se reflète sur un tour complet.,true
psychotechnique,rotations_symetries,Facile,Quelle figure ne change pas d'apparence après une rotation de 180° ?,,,,rotation,"[{""key"":""A"",""label"":""Ellipse""},{""key"":""B"",""label"":""Cercle""},{""key"":""C"",""label"":""Octogone régulier""},{""key"":""D"",""label"":""Rectangle""}]",B,"Un cercle ne change jamais d'apparence quel que soit l'angle de rotation, y compris 180°, en raison de sa parfaite symétrie. Les autres figures changent d'apparence ou ne sont pas symétriques sous cette rotation sauf pour des cas spécifiques ou exceptions.",Symétrie parfaite dans tous les aspects.,true
