module,category,difficulty,question,prompt,image_url,figure_data,transformation_type,options,answer,explanation,hint,is_active
psychotechnique,rotations_symetries,Facile,Laquelle de ces lettres a un axe de symétrie horizontal ?,Considérez l'alphabet en majuscules.,,,symétrie axiale,"[{""key"":""A"",""label"":""C""},{""key"":""B"",""label"":""D""},{""key"":""C"",""label"":""B""},{""key"":""D"",""label"":""E""}]",D,"La lettre E, lorsqu'on trace une ligne horizontale à travers son centre, est symétrique par rapport à cet axe. Aucune des autres options n'a de symétrie horizontale. Cela nécessite de visualiser la coupe en deux par l'axe cible.",Visualisez la lettre coupée en deux horizontalement.,true
psychotechnique,rotations_symetries,Facile,Quel pictogramme routier n'a pas d'axe de symétrie ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""Panneau 30 km/h""},{""key"":""B"",""label"":""Triangle de danger""},{""key"":""C"",""label"":""Panneau stop""},{""key"":""D"",""label"":""Cédez le passage""}]",A,"Le panneau de limitation à 30 km/h n'est pas symétrique, car le chiffre 3 introduit une asymétrie. En revanche, le triangle de danger et le panneau stop ont des symétries, notamment au niveau de leur forme géométrique.",Pensez aux chiffres représentés.,true
psychotechnique,rotations_symetries,Facile,Une symétrie centrale autour d'un point affecte quelle figure ?,,,,symétrie centrale,"[{""key"":""A"",""label"":""Ne modifie aucune figure""},{""key"":""B"",""label"":""Inverser une figure""},{""key"":""C"",""label"":""Double une figure""},{""key"":""D"",""label"":""Décale une figure""}]",A,"La symétrie centrale autour d'un point ne change rien à une figure qui est identique sur deux côtés opposés par rapport au point. C'est ce qui arrive avec des figures centrées comme le cercle ou le carré, qui sont symétriques par définition.",Pensez à l'effet d'une symétrie autour d'un point central.,true
psychotechnique,rotations_symetries,Facile,Quelle rotation laisse un carré inchangé ?,,,,rotation,"[{""key"":""A"",""label"":""45°""},{""key"":""B"",""label"":""90°""},{""key"":""C"",""label"":""180°""},{""key"":""D"",""label"":""360°""}]",D,"Une rotation de 360° revient à un tour complet, ramenant la figure exactement à sa position initiale. Les autres rotations modifient l'orientation du carré.",Un tour complet ne change rien.,true
psychotechnique,rotations_symetries,Facile,Combien de rotations distinctes laisse un carré invariant ?,,,,rotation,"[{""key"":""A"",""label"":""1""},{""key"":""B"",""label"":""2""},{""key"":""C"",""label"":""3""},{""key"":""D"",""label"":""4""}]",D,"Un carré peut être tourné par 0°, 90°, 180°, et 270° autour de son centre pour se superposer à sa forme originale. Ces quatre positions traduisent les 4 identités par rotation pour un carré.",Comptez les multiples de 90°.,true
psychotechnique,rotations_symetries,Facile,Combien d'axes de symétrie possède un cercle ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""Infinité""},{""key"":""B"",""label"":""10""},{""key"":""C"",""label"":""4""},{""key"":""D"",""label"":""1""}]",A,"Un cercle est la figure géométrique qui possède une infinité d'axes de symétrie, car tout diamètre le divise en deux moitiés égales. Cette propriété découle de son équilibre parfait autour du centre.",Tout diamètre est un axe de symétrie.,true
psychotechnique,rotations_symetries,Facile,Une rotation de 270° dans un sens anti-horaire est équivalente à :,,,,rotation,"[{""key"":""A"",""label"":""90° sens horaire""},{""key"":""B"",""label"":""180° sens horaire""},{""key"":""C"",""label"":""360° sens horaire""},{""key"":""D"",""label"":""270° sens horaire""}]",A,"Une rotation de 270° anti-horaire se traduit par 90° dans le sens horaire, car la totalité du tour vaut 360°. C'est une manière d'interpréter une réduction modulo 360°.",360° - 270° = ?,true
psychotechnique,rotations_symetries,Facile,Combien de rotations distinctes laissent un triangle équilatéral invariant ?,,,,rotation,"[{""key"":""A"",""label"":""1""},{""key"":""B"",""label"":""2""},{""key"":""C"",""label"":""3""},{""key"":""D"",""label"":""4""}]",C,"Un triangle équilatéral peut être tourné de 0°, 120°, et 240° autour de son centre pour s'aligner sur sa position d'origine. C'est grâce à son symétrie intrinsèque tripartite.",Considérez la division par trois.,true
psychotechnique,rotations_symetries,Facile,Combien d'axes de symétrie possède l'hexagone régulier ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""3""},{""key"":""B"",""label"":""6""},{""key"":""C"",""label"":""12""},{""key"":""D"",""label"":""0""}]",B,"Un hexagone régulier présente six axes de symétrie, trois passant par les sommets opposés et trois par les milieux opposés des côtés. Cette symétrie est typique des formes polygonales régulières.",Pensez aux axes passant par les sommets et les milieux.,true
psychotechnique,rotations_symetries,Facile,Quel chiffre reste le même après une rotation de 180° ?,,,,rotation,"[{""key"":""A"",""label"":""6""},{""key"":""B"",""label"":""8""},{""key"":""C"",""label"":""9""},{""key"":""D"",""label"":""1""}]",B,"Le chiffre '8' est centro-symétrique, ce qui signifie qu'une rotation de 180° autour de son centre le laisse inchangé. D'autres chiffres comme '6' et '9' se transforment l'un en l'autre.",Cherchez une symétrie parfaite autour du centre.,true
