module,category,difficulty,question,prompt,image_url,figure_data,transformation_type,options,answer,explanation,hint,is_active
psychotechnique,rotations_symetries,Facile,Quel est le nombre d'axes de symétrie d'un rectangle ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""1""},{""key"":""B"",""label"":""2""},{""key"":""C"",""label"":""3""},{""key"":""D"",""label"":""4""}]",B,Un rectangle a 2 axes de symétrie : un qui passe par le milieu des côtés longs et un autre par le milieu des côtés courts. Ces axes divisent le rectangle en deux parties égales.,Pense aux médianes qui coupent le rectangle en deux parties égales.,true
psychotechnique,rotations_symetries,Facile,"Parmi les lettres suivantes, laquelle a un axe de symétrie vertical ? (A, T, W, Y)",,,,symétrie axiale,"[{""key"":""A"",""label"":""A""},{""key"":""B"",""label"":""T""},{""key"":""C"",""label"":""W""},{""key"":""D"",""label"":""Y""}]",A,"La lettre 'A' a un axe de symétrie vertical, ce qui signifie que la moitié gauche reflète la moitié droite. Cette symétrie est typique des lettres avec deux parties égales de chaque côté du centre.",Cherche une lettre où les deux côtés sont identiques.,true
psychotechnique,rotations_symetries,Facile,Une rotation de 90° autour d'un point laisse-t-elle un carré inchangé ?,,,,rotation,"[{""key"":""A"",""label"":""Oui""},{""key"":""B"",""label"":""Non""},{""key"":""C"",""label"":""Parfois""},{""key"":""D"",""label"":""Seulement une fois""}]",B,Une rotation de 90° modifie l'orientation d'un carré. Seulement une rotation de 0° ou de 360° laissera le carré inchangé.,Une rotation de 90° change la position du carré.,true
psychotechnique,rotations_symetries,Facile,Combien de rotations de 180° sont nécessaires pour revenir à la position d'origine ?,,,,rotation,"[{""key"":""A"",""label"":""1""},{""key"":""B"",""label"":""2""},{""key"":""C"",""label"":""3""},{""key"":""D"",""label"":""4""}]",B,"Deux rotations consécutives de 180° équivalent à une rotation de 360°, ce qui ramène la figure à sa position d'origine.",Deux demi-tours font un tour complet.,true
psychotechnique,rotations_symetries,Facile,Combien de rotations distinguables laissent un rectangle invariant ?,,,,rotation,"[{""key"":""A"",""label"":""1""},{""key"":""B"",""label"":""2""},{""key"":""C"",""label"":""3""},{""key"":""D"",""label"":""4""}]",B,"Un rectangle redevient identique après une rotation de 180° et de 360°. Par conséquent, deux rotations possibles rendent le rectangle invariant.",Il y a deux orientations principales pour un rectangle.,true
psychotechnique,rotations_symetries,Facile,"Quel axe de symétrie horizontal est présent dans ces lettres : (E, M, N, S) ?",,,,symétrie axiale,"[{""key"":""A"",""label"":""E""},{""key"":""B"",""label"":""M""},{""key"":""C"",""label"":""N""},{""key"":""D"",""label"":""S""}]",B,"La lettre 'M' a un axe de symétrie horizontal, ce qui signifie que la moitié supérieure reflète la moitié inférieure.",Imagine un miroir placé horizontalement.,true
psychotechnique,rotations_symetries,Facile,Quel chiffre semble identique après une rotation de 180° ?,Considérez les chiffres en typographie standard.,,,rotation,"[{""key"":""A"",""label"":""0""},{""key"":""B"",""label"":""1""},{""key"":""C"",""label"":""6""},{""key"":""D"",""label"":""8""}]",D,"Le chiffre '8' est centro-symétrique, ce qui signifie qu'il reste identique après une rotation de 180°. En revanche, '6' devient '9'.",Cherche un chiffre ayant une symétrie centrale.,true
psychotechnique,rotations_symetries,Facile,Une rotation totale de 360° d'un triangle équilatéral :,,,,rotation,"[{""key"":""A"",""label"":""Le laisse inchangé""},{""key"":""B"",""label"":""Le déforme""},{""key"":""C"",""label"":""Le renverse""},{""key"":""D"",""label"":""Le pousse""}]",A,"Une rotation de 360° ramène un objet à sa position de départ sans le modifier. Ainsi, le triangle équilatéral ne subit aucun changement.",Une rotation de 360° est un tour complet.,true
psychotechnique,rotations_symetries,Facile,Combien d'axes de symétrie possède une étoile régulière à 5 branches ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""5""},{""key"":""B"",""label"":""10""},{""key"":""C"",""label"":""1""},{""key"":""D"",""label"":""0""}]",A,Une étoile régulière à 5 branches a 5 axes de symétrie : chaque axe passe par un sommet et le centre entre deux branches opposées.,Considérez les symétries passant par chaque branche.,true
psychotechnique,rotations_symetries,Facile,"Parmi les lettres suivantes, laquelle ne possède pas d'axe de symétrie ? (H, C, E, F)",,,,symétrie axiale,"[{""key"":""A"",""label"":""H""},{""key"":""B"",""label"":""C""},{""key"":""C"",""label"":""E""},{""key"":""D"",""label"":""F""}]",D,"La lettre 'F' n'a pas d'axe de symétrie. Les autres options, 'H', 'C', et 'E', chacune possède au moins un axe de symétrie.",Cherchez la lettre asymétrique dans toutes les directions.,true
