text_a,text_b,is_true,explanation,difficulty,is_active
"Rue du Général, 75000 Paris","Rue du Générale, 75000 Paris",false,"Les textes ne sont pas identiques. La différence se situe au mot 3, où 'Général' devient 'Générale'. Cette confusion peut survenir à cause d'une faute de frappe courante ou d'une inattention.",easy,true
Monsieur Lebrun a 45 ans.,Monsieur Lebrun a 46 ans.,false,"Les textes diffèrent au niveau de l'âge : 45 ans dans le premier, 46 ans dans le second. Une faute de frappe similaire est courante et nécessite une attention spécifique aux détails numériques.",easy,true
Fiat Panda blanche,Fiat Panda grise,false,La couleur de la voiture diffère : 'blanche' dans text_a et 'grise' dans text_b. Ce type d'erreur illustre l'importance du détail au visuel.,easy,true
Nissan Juke bleu,Nissan Juke bleue,false,"La différence de genre dans l'adjectif 'bleu' et 'bleue' est la seule variation. Ce détail, bien qu'apparemment mineur, est déterminant pour l'exactitude.",easy,true
Rond-point de l'Étoile,Rond-point de l'Étalie,false,Une confusion s'est glissée dans le nom propre : 'Étoile' est devenu 'Étalie'. Cela peut être difficile à repérer rapidement en raison de la similarité des lettres 'o' et 'a'.,easy,true
Ford Fiesta rouge,Ford Fieta rouge,false,"Une lettre manque dans le mot 'Fiesta', qui devient 'Fieta'. Cette omission de lettre peut être facilement ignorée si l'on se fie uniquement à une lecture rapide.",easy,true
Rue la Fayette,Rue laFayette,false,La différence repose sur l'espace entre 'la' et 'Fayette'. Cette erreur est typique lorsqu'on doit traiter rapidement les noms décomposés en plusieurs mots.,easy,true
Monsieur Martin,Monsieur Marin,false,"La différence réside dans l'orthographe du nom, où 'Martin' devient 'Marin'. Cette variante est subtile et peut facilement échapper à une lecture rapide en raison de la proximité visuelle.",easy,true
"Le 28 novembre 2023, à 14h55, une Audi TT noire a été aperçue rue Voltaire.","Le 28 novembre 2023, à 14h55, une Audi TT noire a été aperçu rue Voltaire.",false,Le verbe 'aperçue' dans le texte A a été mal orthographié comme 'aperçu' dans le texte B. Ce petit détail grammatical peut être difficile à repérer si on se concentre uniquement sur le temps ou la date.,medium,true
23 juillet : Renault Kadjar noire avec une rayure sur la portière gauche.,23 juillet : Renault Kadjar noire avec une rayure sur la portière dretche.,false,"Le mot 'dretche' est une altération du mot 'droite', créée ici par une inversion de l'ordre des lettres. Cette erreur typographique est un piège classique.",medium,true
"La victime, Mme Lamont, porte un sac à main de marque Prada.","La victime, Mme Lamont, porte un sac à main de marque Prade.",false,Le nom de la marque 'Prada' est incorrectement orthographié 'Prade' dans le texte B. Ce genre d'erreur peut facilement induire en erreur par sa similarité phonétique.,medium,true
Cet incident s'est produit au Carrefour Charles de Gaulle aux alentours de 20h.,Cet incident s'est produit au Carrefour Charl de Gaulle aux alentours de 20h.,false,Le texte B comporte une erreur : 'Charles' devient 'Charl'. Cette absence de la lettre finale 's' peut échapper à l'attention par distraction visuelle.,medium,true
"C'était le 12 juin, à 14h15, que cet accident est survenu.","C'était le 12 juint, à 14h15, que cet accident est survenu.",false,"Dans le texte B, une lettre superflue crée l'erreur 'juin' devient 'juint'. Cet ajout négligé est typiquement ignoré lors d'une lecture rapide.",medium,true
Un témoin a vu une voiture verte clio partir à 21h30.,Un témoin a vu une voiture verte Clio partir à 21h30.,false,La différence réside dans l'orthographe du modèle de voiture : 'clio' en minuscule est devenu 'Clio' avec une majuscule. La distinction entre majuscules et minuscules est capitale en examen minutieux.,medium,true
"Le 3 octobre 2023, le témoin a affirmé avoir vu une silhouette furtive.","Le 3 octobre 2023, le tèmoin a affirmé avoir vu une silhouette furtive.",false,"Dans le texte B, une erreur subtile d'accent est présente : 'témoin' devient 'tèmoin'. Cette variation typographique peut tromper quelqu'un, surtout en lecture rapide où moins d'attention est prêtée aux accents.",medium,true
Mme Bernard a perdu ses clés jeudi soir à 22h45.,Mme Bernard a perdu ses clés jeudisoir à 22h45.,false,"Les textes ne sont pas identiques ; le texte B omet l'espace après 'jeudi'. Une omission d'espace est un piège courant, facile à ignorer sans une relecture méticuleuse.",medium,true
Article L221-1 du Code de l'environnement: tout projet d'aménagement ou d'ouvrage doit faire l'objet d'une évaluation environnementale.,Article L221-1 du Code de l'environnement: tout projet d'aménagement ou d'ouvrage doit faire l'objet d'une évaluation environnemental.,false,"La différence réside dans la terminaison du mot 'environnementale' qui devient 'environnemental' dans text_b. Ce genre d'erreur peut passer inaperçu, surtout dans des phrases longues et techniques.",hard,true
"En date du 10 août 2023, à 14h35, une altercation a eu lieu devant l'école située au 23 rue des Lilas.","En date du 10 août 2023, à 14h35, une altercation a eu lieu devant l'école situee au 23 rue des Lilas.",false,"L'erreur se trouve dans le mot 'située', qui perd son accent dans text_b. Les accents oubliés sont une source commune d'erreurs, et ici, elle se fondrait facilement dans un texte plus long.",hard,true
Rapport du 29 février 2024: les dégradations constatées concernent principalement les murs extérieurs ainsi que les fenêtres du rez-de-chaussée.,Rapport du 29 février 2024: les dégradations constatées concernent principalement les murs extérieurs ainsi que les fenêtres du rez-de-chaussee.,false,"Le mot 'rez-de-chaussée' perd son accent aigu sur le 'é' dans text_b. Cette omission peut échapper à l'œil, d'autant plus que la phrase est longue et détaillée.",hard,true
"Avis de recherche: personne disparue, Mme Elisa Ferrand, née le 14 juillet 1992, aperçue pour la dernière fois le 5 mai 2023 à Lille.","Avis de recherche: personne disparue, Mme Elisa Ferrand, née le 14 Juillet 1992, aperçue pour la dernière fois le 5 mai 2023 à Lille.",false,"Dans text_b, 'juillet' est incorrectement capitalisé comme 'Juillet'. Les noms de mois ne prennent pas de majuscule en français, une erreur qui peut facilement égarer l'attention.",hard,true
"Comptez jusqu'à trois: un, deux, trois. Les informations doivent être précises et méthodiques pour chaque rapport effectué.","Comptez jusqu’à trois: un, deux, trois. Les informations doivent être précises et méthodiques pour chaque rapport effectué.",false,"La différence entre les textes réside dans l'utilisation de l'apostrophe droite (') dans text_a contre l'apostrophe courbe (’) dans text_b. Ces subtilités typographiques, invisibles à un œil non averti, peuvent influencer la vérification minutieuse.",hard,true
"Les données recueillies, issues d'une enquête menée en janvier, montrent une nette amélioration des mesures de sécurité dans les zones urbaines à faible luminosité.","Les données recueillies, issues d'une enquête menée en janvier, montrent une nette amélioration des mesures de sécurité dans les zones urbaines à faible lumière.",false,"Dans text_b, le mot 'luminosité' a été modifié en 'lumière'. Cette substitution pourrait sembler mineure, mais modifie le terme technique approprié, ce qui fait qu'une audience avertie la prendrait rapidement en note.",hard,true
