text_a,text_b,is_true,explanation,difficulty,is_active
Avenue des Champs Élysées,Avenue des Champs Élysees,false,L'accent est manquant sur « Élysées » dans text_b. Cette absence d'accent offre un piège visuel courant.,easy,true
"Clio blanche, immatriculation 123-XYZ-75","Clio verte, immatriculation 123-XYZ-75",false,"Les couleurs diffèrent : « blanche » dans text_a et « verte » dans text_b. Il est important de faire attention au mot décrivant la couleur, qui apparaît tôt dans la phrase et peut passer inaperçu.",easy,true
Route de Lyon,Route de L yon,false,"Un espace supplémentaire apparaît dans text_b entre « L » et « yon », ce qui est un piège fréquent dû à une maladresse de frappe et difficile à remarquer.",easy,true
Immeuble rue Lafayette,Immeuble rue Latayette,false,"Le mot « Lafayette » est incorrectement écrit en text_b, « Latayette ». Cette inversion de lettre peut facilement induire en erreur visuellement.",easy,true
Place de la Concorde aujourd'hui,Place de la Concorde ce jour,false,"Les phrases divergent après « Concorde » : « aujourd'hui » vs « ce jour ». Bien que synonymes, ces différences sont importantes pour l'identification d'un texte précis.",easy,true
"Bureau 305, étage 3","Bureau 305, étage 2",false,"La différence réside dans le numéro d'étage : « étage 3 » dans text_a et « étage 2 » dans text_b, attirant l'attention sur l'importance de vérifier les chiffres dans les textes.",easy,true
Gendarmerie Nationale,Gendarmérie Nationale,false,"Une faute dans text_b, « Gendarmérie » avec un accent inexistant, peut facilement passer inaperçue du fait de l'apparence familière du mot.",easy,true
16 rue de la Paix,16 rue de la P aix,false,Un espace supplémentaire après « P » dans text_b rend les textes différents. Cet espace peut très facilement être négligé à première vue.,easy,true
Brigade canine : présente,Brigade canine présente,false,"La différence se trouve dans la ponctuation : une virgule est présente à l'intérieur de text_a mais absente de text_b, un point de détail crucial qui transforme le sens de la phrase.",easy,true
Le suspect portait une chemise bleue et un pantalon noir avec des baskets blanches.,Le suspect portait une chemise bleue ét un pantalon noir avec des baskets blanches.,false,"L'erreur réside dans text_b : « ét » au lieu de « et », souvent facilement confondus dans un texte dense.",medium,true
Incident enregistré en date du 02/07/2024 à 14:32.,Incident enregistré en date du 03/07/2024 à 14:32.,false,"La différence se situe dans la date : 02/07 dans text_a et 03/07 dans text_b, un piège subtil impliquant la vérification attentive des chiffres souvent pris en apparence similaires.",medium,true
Trois individus aperçus à proximité des quais de la Seine.,Trois individus aperçus à proximité des quais de la Seinte.,false,"Dans text_b, « Seine » est incorrectement écrit « Seinte », une confusion de lettre qui peut tromper rapidement l'œil au milieu d'un texte.",medium,true
"Le 15 mars 2024, il était en mission spéciale.","Le 15 mars 2024, il était en mission spécial.",false,"Dans text_b, « spéciale » devient « spécial ». Cette différence grammaticale, bien que minime, change le contexte et doit être surveillée.",medium,true
"Véhicule identifié grâce à la caméra, immat : QR-875-GH.","Véhicule identifié grâce à la caméra, immat : GS-875-GH.",false,"L'erreur se situe au niveau de l'immatriculation : « QR » dans text_a et « GS » dans text_b, montrant l'intérêt d'une attention aux détails des lettres majuscules qui peuvent être confondues.",medium,true
"À 23 réceptions, problème d'alarme supervisée.","À 22 réceptions, problème d'alarme supervisée.",false,"Différence de chiffre dans le nombre de réceptions : 23 dans text_a et 22 dans text_b, illustrant comment de petites altérations dans les chiffres peuvent échapper à l'attention.",medium,true
"Intervention rapportée par l'agent MARTIN, contacté à 16h.","Intervention rapportée par l'agent MARTIN, contactée à 16h.",false,"Une différence de genre apparaît avec « contacté » vs « contactée », ce qui peut passer inaperçu dans un texte fluide mais altère son sens.",medium,true
"Ce 12/12/2025, une enquête est en cours au commissariat.","Ce 12/12/2025, une enquête est en cours au comissariat.",false,"Le mot « commissariat » est mal orthographié en text_b (« comissariat » avec un seul 'm'), un piège d'omission souvent difficile à remarquer.",medium,true
"Les suspects sont partis en courant, direction nord-est.","Les suspects sont partis en courant, direction nord-ést.",false,"L'accent sur « est » diffère : « nord-est » en text_a et « nord-ést » en text_b, créant une altération subtile par un accent incorrect.",medium,true
Rendez-vous fixé le 24 septembre à 10h dans le hall du tribunal.,Rendez-vous fixé le 24 septembre à 10h dans le hall du tribubal.,false,"Le mot « tribunal » est incorrectement orthographié 'tribubal' dans text_b, un piège de frappe qui se glisse facilement dans une lecture rapide.",medium,true
Article 223-6 du code pénal : l'obligation de porter assistance à une personne en péril sans risque pour soi-même.,Article 223-6 du code pénal : l'obligation de porter assistance à une personne en peril sans risque pour soi-même.,false,"Une seule lettre dans le mot « péril » a été altérée (« e » change pour « i ») dans text_b, une altération fréquemment négligée en raison de la similitude graphique des mots.",hard,true
"À 12h45, les agents ont remis le rapport à l'inspecteur principal à son bureau, situé dans le secteur nord.","À 12h45, les agents ont remisé le rapport à l'inspecteur principal à son bureau, situé dans le secteur nord.",false,"Un mot est différent : « remis » dans text_a et « remisé » dans text_b, une modification subtile qui change le sens et peut facilement être négligée.",hard,true
Monsieur Lambert a témoigné qu'il avait apercu trois individus suspects près de l'entrée sud de la gare.,Monsieur Lambert a témoigné qu'il avait aperçu trois individus suspects près de l'entrée sud de la gare.,false,"Le mot « aperçu » est incorrect dans text_a, il manque un « ç ». Cet accent mince peut être facilement manqué à cause de la rapidité de lecture facilitée par les mots courants.",hard,true
Article 111-5 du code pénal stipule que chaque infraction doit être clairement définie par la loi.,Article 111-5 du coe pénal stipule que chaque infraction doit être clairement définie par la loi.,false,Un mot incomplet dans text_b : « coe » au lieu de « code ». C'est un exemple d'omission commune qui mène à une confusion dans une lecture accélérée.,hard,true
Le tribunal a pris sa décision en se basant sur les preuves irréfutables et les témoignages des témoins oculaires.,Le tribunal a pris sa décision en se basant sur les preuves irréfutables et les témoignages des témoins oculares.,false,"Le mot « oculaires » est incorrectement écrit « oculares » dans text_b. Cette variation minime, d'un seul accent, influence significativement la vérité du texte.",hard,true
"Agent en charge du secteur 5, patrouille exécutée entre 08h00 à 12h00, toutes anomalies signalées.","Agent en charge du secteur 5, patrouille éxécutée entre 08h00 à 12h00, toutes anomalies signalées.",false,"Un accent incorrect sur « exécutée » dans text_b, introduit une divergence grammaticale qui exige une lecture attentive pour être interceptée.",hard,true
Le règlement indique que les équipements doivent être maintenus en parfait état de fonctionnement à tout moment.,Le règlement indique que les équipements doivent être maintenus en parfait état de fonctionnement àm tout moment.,false,Un espace manquant entre « à » et « tout » dans text_b trahit une erreur subtile mais significative dont l'aspect visuel pourrait échapper à une attention normale.,hard,true
"Conformément à la loi 2023-456 sur la protection des données, toutes les informations doivent rester confidentielles.","Conformément à la loi 2023-465 sur la protection des données, toutes les informations doivent rester confidentielles.",false,"Dans text_b, l'année « 2023-465 » diffère de text_a (« 2023-456 »). C'est un détail crucial mais facilement négligé dans une séquence de chiffres.",hard,true
Le dispositif de surveillance détecte toute infraction grâce aux nouvelles technologies installées récemment.,"Le dispositif de surveillance détecte toute infraction grâce ,aux nouvelles technologies installées récemment.",false,Un espace superflu avant la virgule dans text_b modifie la présentation visuelle et peut dérouter l'œil non attentif.,hard,true
