text_a,text_b,is_true,explanation,difficulty,is_active
Plaque : XX-123-YY,Plaque : XX-123-YZ,false,Les textes ne sont pas identiques. Le dernier caractère de la plaque diffère : 'YY' dans text_a contre 'YZ' dans text_b. Cette différence pourrait être négligée en raison de la similitude visuelle des deux lettres.,easy,true
La date est le 20 août,La date est le 21 août,false,Les textes ne sont pas identiques. La date diffère : '20' dans text_a et '21' dans text_b. Cette petite différence numérique pourrait passer inaperçue en raison de la similarité entre les chiffres.,easy,true
Numéro : EX-452-BQ,Numéro : EY-452-BQ,false,"Les textes ne sont pas identiques. Le premier groupe de lettres diffère : 'EX' dans text_a et 'EY' dans text_b. Cette variation, bien que minime, peut être négligée en cas de manque de concentration.",easy,true
Marque : Audi,Marque : Audii,false,Les textes ne sont pas identiques. Il y a une lettre supplémentaire dans text_b ('Audii'). Ce type d'erreur est subtil car il peut être facilement ignoré si l'on ne fait pas attention.,easy,true
Heure : 12h45,Heure : 12h46,false,Les textes ne sont pas identiques. L'heure diffère : '12h45' dans text_a et '12h46' dans text_b. Une seule minute de différence nécessite une observation attentive.,easy,true
État : calme,Etat : calme,false,Les textes ne sont pas identiques. L'accent sur 'État' est absent dans text_b ('Etat'). L'absence d'accent est une erreur typique facile à manquer en lecture rapide.,easy,true
Voiture : Peugeot 208,Voiture : Peugeout 208,false,Les textes ne sont pas identiques. Une faute de frappe dans l'orthographe de 'Peugeot' ('Peugeout' dans text_b). Un ajout incorrect d'une lettre peut passer inaperçu si l'on fait preuve de fatigue oculaire.,easy,true
"Le véhicule était stationné à l'angle de la rue, non verrouillé.","Le véhicule était stationé à l'angle de la rue, non verrouillé.",false,Les textes ne sont pas identiques. Le mot 'stationné' est mal orthographié dans text_b ('stationé' a un n manquant). Cette petite faute peut échapper à un rapide examen.,medium,true
Une montre en or a été volée entre 13h00 et 13h15 selon la victime.,Une montre en or a été volée entre 13h00 et 13h16 selon la victime.,false,Les textes ne sont pas identiques. L'heure mentionnée à la fin diffère : '13h15' dans text_a et '13h16' dans text_b. Une lecture inattentionnée peut ne pas capter ce léger changement de chiffre.,medium,true
"Victime : Mme Legrand, déclarant un vol dimanche soir vers 20h.","Victime : Mme Legrand, déclarant un vol dimanche soire vers 20h.",false,Les textes ne sont pas identiques. Le mot 'soir' est mal orthographié en 'soire' dans text_b. Une erreur de ce type peut être ignorée lors d'une lecture rapide en raison de l'apparente similitude.,medium,true
La victime a décrit l'agresseur comme étant barbu et avec des lunettes.,La victime a décrit l'agresseur comme étant barbu et avec des lunetes.,false,"Les textes ne sont pas identiques. Le mot 'lunettes' est mal orthographié en 'lunetes' dans text_b. Cette différence, bien que subtile, nécessite une attention particulière.",medium,true
"Le 25 décembre, une chaîne en or a été arrachée rue de la Part-Dieu.","Le 25 décembre, une chaîne en or a été arrachée rue de la Part-Diue.",false,Les textes ne sont pas identiques. Le nom de la rue est mal orthographié en 'Part-Diue' dans text_b. La similarité entre 'i' et 'u' rend cette erreur facile à manquer.,medium,true
Ce délit est passible de trois ans d'emprisonnement selon l'article 311-4.,Ce délit est passible de trois an d'emprisonnement selon l'article 311-4.,false,"Les textes ne sont pas identiques. Dans text_b, 'ans' est mal orthographié en 'an'. Cette minuscule omission est typique des erreurs de frappe qui peuvent passer inaperçues.",medium,true
Une altercation a eu lieu à 22h15 ; l'enquête conclut que l'affaire est classée sans suite sous réserve de nouveaux éléments probants.,Une altercation a eu lieu à 22h15 ; l'enquête conclut que l'affaire est classée sans suite sous-réserve de nouveaux éléments probants.,false,"Les textes ne sont pas identiques. Une différence subtile est l'ajout d'un trait d'union dans 'sous-réserve' dans text_b, ce qui peut être difficile à détecter sans une lecture soignée.",hard,true
"Le 30 janvier, une somme de 12 456 euros a été déclarée volée dans le bureau de Monsieur Léger, directeur de la succursale bancaire.","Le 30 janvier, une somme de 12 465 euros a été déclarée volée dans le bureau de Monsieur Léger, directeur de la succursale bancaire.",false,Les textes ne sont pas identiques. Le montant volé diffère d'un chiffre : '12 456' euros dans text_a contre '12 465' euros dans text_b. La permutation du '6' et '5' est une erreur subtile mais cruciale.,hard,true
"Cette infraction, sous l'article 622-1 du code pénal, est classée parmi les délits mineurs, mais requiert une attention particulière des autorités.","Cette infraction, sous l'article 620-1 du code pénal, est classée parmi les délits mineurs, mais requiert une attention particulière des autorités.",false,Les textes ne sont pas identiques. La référence de l'article du code pénal diffère : '622-1' dans text_a alors que '620-1' dans text_b. Cette petite différence numérique pourrait être aisément manquée dans un examen rapide.,hard,true
"Il a prétendu être présent à son domicile à 15 h 45, bien que certains témoignages contredisent cette déclaration.","Il a prétendu être présent à son domicile à 15 h 45, bien que certains témoignages contradisent cette déclaration.",false,Les textes ne sont pas identiques. Le mot 'contredisent' est mal orthographié en 'contradisent' dans text_b. Cela peut être facilement négligé car le cerveau compense souvent ce type d'erreur en lisant le mot correct.,hard,true
"Selon l'article 434-9, toute fausse déclaration à l'encontre de la justice est passible de sanctions pouvant aller jusqu'à cinq ans d'emprisonnement.","Selon l'article 434-9, toute fausse déclaration à l'encontre de la justice est passible de sanctions pouvant aller jusqu'à cinq ans d'emprisonnement",false,"Les textes ne sont pas identiques. Il manque un point à la fin de text_b, ce qui en fait une différence de ponctuation subtile mais importante pour la précision du texte.",hard,true
"À 10h32, une alerte a été émise concernant un feu au 5ème sous-sol du centre commercial, nécessitant l'intervention rapide des pompiers.","À 10h32, une alerte a été émise concernant un feu au 5ème sous-sol du centre commerçial, nécessitant l'intervention rapide des pompiers.",false,Les textes ne sont pas identiques. Le mot 'commercial' est incorrectement orthographié comme 'commerçial' dans text_b. Cette subtile substitution d'une lettre accentuée peut facilement passer inaperçue sans vigilance.,hard,true
Les premières conclusions de l'enquête ont révélé de nombreux dysfonctionnements dans le traitement des signalements de disparition par les autorités compétentes.,Les premières conclusions de l'enquête ont revelé de nombreux dysfonctionnements dans le traitement des signalements de disparition par les autorités compétentes.,false,"Les textes ne sont pas identiques. Le mot 'révélé' est mal orthographié en 'revelé' dans text_b, manquant l'accent. Un tel détail de ponctuation accentuée pourrait facilement être omis par un lecteur inattentif.",hard,true
L'article 521-1 stipule clairement qu'aucun individu ne doit être soumis à des traitements inhumains ou dégradants sous peine d'emprisonnement.,L'article 521-1 stipule clairement qu'aucun individu ne doit être soumis à des traitements inhumains ou dégradants sous peine d'emprisionnement.,false,"Les textes ne sont pas identiques. Le mot 'emprisonnement' est incorrectement orthographié en 'emprisionnement' dans text_b, manquant un 'n'. Cette différence peut facilement passer inaperçue à cause de la fatigue oculaire.",hard,true
Les données obtenues lors de cette opération démontrent l'ampleur des dysfonctions au sein des services de renseignement.,Les données obtenues lors de cette opération démontrent l'ampleur des dysfonctionnements au sein des services de renseignement.,false,Les textes ne sont pas identiques. Le mot 'dysfonctions' dans text_a devrait être 'dysfonctionnements' comme dans text_b. Une lecture rapide pourrait ne pas saisir cette différence de typographie.,hard,true
