text_a,text_b,is_true,explanation,difficulty,is_active
"12 rue de la paix, 75002 Paris","12 rue de la paix, 75003 Paris",false,"Les textes sont différents car le code postal diffère. C'est '75002' dans text_a et '75003' dans text_b. Le piège ici est la ressemblance entre les deux codes, qui pourrait passer inaperçue lors d'une lecture rapide.",easy,true
Toyota Yaris immatriculée ZZ-999-ZZ,Toyota Yaris immatriculée ZZ-999-ZA,false,Les textes diffèrent par la dernière lettre de l'immatriculation : 'ZZ' dans text_a et 'ZA' dans text_b. Ce type de différence peut être facilement manqué lors d'un examen rapide.,easy,true
"Renault Captur, marron","Renault Captur, orange",false,"La couleur du véhicule est différente : 'marron' dans text_a et 'orange' dans text_b. Malgré la similitude sonore, les mots diffèrent visuellement.",easy,true
36 quai des Orfèvres,36 quais des Orfèvres,false,Les textes sont différents à cause du pluriel : 'quai' vs 'quais'. La différence peut facilement passer inaperçue parce que les mots sont très similaires.,easy,true
Citroën C3 verte,Citroën C3 vert,false,"La différence réside dans le genre de la couleur : 'verte' dans text_a, 'vert' dans text_b. Le genre grammatical peut être une source d'erreur subtile mais évidente ici.",easy,true
Ford Focus rouge,Ford Ficus rouge,false,Il y a une faute d'orthographe sur le mot 'Focus' qui est devenu 'Ficus' dans text_b. Cette erreur est flagrante mais joue sur la similarité sonore et visuelle des mots.,easy,true
BMW 320d sport,BMW 320d sportif,false,Le terme 'sport' a une autre terminaison dans text_b : 'sportif'. Il est facile de passer à côté de cette différence due à la longueur des mots similaires.,easy,true
1 rue de Rivoli,2 rue de Rivoli,false,"Le numéro de rue diffère : '1' dans text_a et '2' dans text_b. Bien que facile, cette différence basée sur un simple chiffre peut être manquée dans une lecture hâtive.",easy,true
89 rue du Bac,89 rue du bac,false,"La différence est dans la majuscule de 'Bac', qui devient 'bac' dans text_b. Bien que subtile, la casse est un indice crucial ici.",easy,true
"Signalement : homme, 1m82, cheveux châtains, yeux verts, veste bleue.","Signalement : homme, 1m82, cheveux châtains, yeux vers, veste bleue.",false,La différence se trouve dans 'verts' qui devient 'vers' dans text_b. Cette petite faute d'orthographe est facile à manquer à cause de leur prononciation identique.,medium,true
"Le véhicule recherché est une Ford Fiesta bleue, année 2010.","Le véhicule recherché est une Ford Fiesta bleus, année 2010.",false,La différence réside dans l'accord de couleur : 'bleue' devient 'bleus' dans text_b. Cette erreur est subtile mais visible à l'œil attentif.,medium,true
Une bagarre a éclaté sur l'avenue Jean Jaurès à 22h10.,Une bagarre a éclaté sur l'avenue Jean Jaurès à 22h15.,false,"La différence est au niveau de l'heure : '22h10' dans text_a et '22h15' dans text_b. Seules quelques minutes les séparent, ce qui pose un piège pour une lecture rapide.",medium,true
"Vol signalé : Scooter Yamaha noir, plaque 123-XY-45.","Vol signalé : Scooter Yamaha noir, plague 123-XY-45.",false,"Une faute de frappe existe : 'plaque' est écrit 'plague' dans text_b. Bien que phonétiquement proche, cela change complètement le sens du mot.",medium,true
"Mme Jeanne Dubois, résidente du 14 rue Parmentier.","Mme Jeanne Dubois, résidente du 14 rue Paramontier.",false,"Une faute se trouve dans le nom de la rue : 'Parmentier' vs 'Paramontier'. Les deux sont presque identiques, ce qui peut échapper à l'œil non attentif.",medium,true
Personne recherchée : Jean R. né le 22/01/1983 à Marseille.,Personne recherchée : Jean R. née le 22/01/1983 à Marseille.,false,"Texte_b utilise 'née' au lieu de 'né', une différence de terminaison qui apporte un changement subtile mais crucial de sens.",medium,true
"Selon l'article 122-5, nul n'est responsable pénalement pour avoir agi de façon proportionnelle.","Selon l'article 122–5, nul n'est responsable pénalement pour avoir agi de façon proportionnelle.",false,La différence est subtile : le tiret '-' dans text_a est remplacé par un tiret long '–' dans text_b. Ce type de différence nécessite une attention visuelle particulière.,hard,true
Rapport soumis par le brigadier-chef au sujet du suspect appréhendé à 19h45.,Rapport soumis par le brigadier-chef au sujet du suspect appréendé à 19h45.,false,"L'erreur est présente dans le mot 'appréhendé', où un 'h' a été omis dans text_b. La similitude phonétique peut induire en erreur lors de la relecture.",hard,true
"Selon l'article 322–1, détruire volontairement un bien est passible de sanction pénale.",Selon l'article 322–1 détruire volontairement un bien est passible de sanction pénale.,false,La différence réside dans la ponctuation : une virgule manquante après '322–1' dans text_b. L'absence de la virgule peut être ignorée lors d'une lecture rapide.,hard,true
"Mlle Clara Martin, témoin principal, a été entendue le 12 novembre à 15h30.","Mlle Clara Martin, témoin principale, a été entendue le 12 novembre à 15h30.",false,"La différence est subtile : 'principal' a une terminaison différente, où 'principal' devient 'principale' dans text_b. La similitude peut facilement passer inaperçue.",hard,true
"Ministère de l'Intérieur : communication officielle, décret 2745–B, confidentialité requise.","Ministère de l'Intérieur : communication officielle, décret 2745-B, confidentialité requise.",false,La différence réside dans le tiret entre '2745' et 'B' : un tiret long '–' dans text_a et un tiret normal '-' dans text_b. Ce type de divergence peut facilement être oublié.,hard,true
"Patrouille constatée à l'entrée nord du parc à 10h précise, condition météo : brumeuse.","Patrouille constatée à l'entrée nord du parc à l0h précise, condition météo : brumeuse.",false,"Le caractère '0' est utilisé à la place de 'o' dans text_b pour l'heure '10h', ce qui peut passer inaperçu lors d'une lecture rapide.",hard,true
