text_a,text_b,is_true,explanation,difficulty,is_active
Fiat Panda rouge plaque AA-456-BC,Fiat Panda bleu plaque AA-456-BC,false,"La couleur diffère : « rouge » dans text_a, « bleu » dans text_b. Ceci peut facilement être remarqué par une lecture attentive.",easy,true
Toyota Corolla blanche AB-984-CD,Toyota Corolla noir AB-984-CD,false,"La couleur du véhicule diffère : « blanche » dans text_a, « noir » dans text_b. La différence est facilement repérable.",easy,true
Monsieur Jacques Dupont,Monsieur Jacques Dupond,false,Le nom de famille diffère par une lettre : « Dupont » vs « Dupond ». Cette différence est assez visible à une lecture attentive.,easy,true
"Peugeot 208, immat : CD-567-EF","Peugeot 208, immat : CD-567-EG",false,La différence se trouve à la fin du numéro d'immatriculation où une lettre change : « EF » vs « EG ».,easy,true
"Opel Astra, immat : GH-321-IJ","Opel Astra, immat : FH-321-IJ",false,La lettre initiale du numéro d'immatriculation diffère : « GH » dans text_a vs « FH » dans text_b. La vigilance est nécessaire.,easy,true
"Alice Durand, 8 rue Voltaire",Alice Durand 8 rue Voltaire,false,"Il manque une virgule dans text_b après le nom, mélangeant nom et adresse. Ce type d'erreur peut échapper à une lecture rapide.",easy,true
"BMW X5, AA-112-BB","BMW X5, AA-112-BC",false,La différence se situe dans le dernier groupe d'immatriculation : « BB » vs « BC ». Attention à bien tout vérifier.,easy,true
Monsieur Paul Dupuis a décrit un suspect vêtu d'une veste rouge et d'un pantalon bleu.,Monsieur Paul Dupuis a décrit un suspect vêtu d'une veste rouge et d'un pantalon bleue.,false,La différence se trouve dans l'accord du mot « bleu » : il est écrit « bleue » dans text_b. Une erreur d'accord peut se glisser facilement si l'on n'est pas attentif.,medium,true
"Le 15/06, à 08h15, une collision a eu lieu au croisement de la rue des Lilas et du boulevard des Acacias.","Le 15/06, à 08h15, une collision a eu lieu au croisement de la rue des Lilas et du boulevard les Acacias.",false,Une préposition diffère : « du » est remplacé par « les » dans text_b. Cela peut être une source d'erreur si l'on n'est pas attentif au début du mot.,medium,true
"Véhicule signalé : Dacia Duster blanche, 78-XL-456.","Véhicule signalé : Dacia Duster blanche, 78-XL-465.",false,La différence est dans le dernier chiffre de la plaque d'immatriculation : « 456 » vs « 465 ». Attention aux inversions de chiffres qui peuvent facilement induire en erreur.,medium,true
Monsieur Henry a affirmé être à la Place Beauvau à 19h20.,Monsieur Henry a affirmé être à la place Beauvau à 19h20.,false,La différence réside dans la majuscule de « Place » qui devient minuscule dans text_b. Ce type d'erreur peut être facilement ignoré pour quelqu'un qui néglige les majuscules.,medium,true
Le témoin portait un chapeau noir et des lunettes de soleil.,Le témoin portait un chapeau noir et de lunettes de soleil.,false,"Le déterminant « des » est remplacé par « de » dans text_b, ce qui peut modifier le sens global et échapper à une lecture rapide.",medium,true
La plainte a été déposée le 10/10 à 17h45 par Madame Berthier.,La plainte a été déposée le 10/10 à 17h45 par madame Berthier.,false,"L'erreur se situe au niveau de la majuscule à « Madame », présente dans text_a mais absente dans text_b. Cela peut sembler mineur mais modifie l'aspect formel du texte.",medium,true
Le suspect portait un jean noir et une chemise lilas.,Le suspect portait un jeans noir et une chemise lilas.,false,"Le mot « jean » dans text_a est écrit au singulier, alors qu'il est au pluriel « jeans » dans text_b. Une différence subtile mais importante pour l'orthographe.",medium,true
L'article 225-1 du code pénal considère comme discrimination toute distinction à raison de l'origine.,L'article 225-l du code pénal considère comme discrimination toute distinction à raison de l'origine.,false,"La différence subtile réside dans le chiffre « 1 » du numéro de l'article, remplacé par une lettre « l » dans text_b. La confusion entre le chiffre un et la lettre l est un piège classique.",hard,true
"Les faits se sont déroulés le 25 juin à l'avenue de la République, selon le témoin Monsieur Dupre.","Les faits se sont déroulés le 25 juin a l'avenue de la République, selon le témoin Monsieur Dupre.",false,"L'accent sur la préposition « à » manque dans text_b, altérant la correction grammaticale du texte. Les accents sont souvent ignorés lors de la lecture rapide.",hard,true
"Selon l'agent, le véhicule circulait rue Saint-Dominique vers 22h30 à une vitesse anormalement élevée.","Selon l'agent, le véhicule circulait rue Saint-Dominique vers 22h30 a une vitesse anormalement élevée.",false,"Ici, le mot « à » dans text_a a perdu son accent pour devenir « a » dans text_b. Ce genre de différence est très discrète mais importante grammaticalement.",hard,true
