text_a,text_b,is_true,explanation,difficulty,is_active
"Plaque AB-345-CD, Renault noire","Plaque AB-345-CD, Fiat noire",false,"Le modèle de voiture diffère : « Renault » dans text_a, « Fiat » dans text_b. Cette différence est flagrante car les deux mots sont distincts.",easy,true
"Citroen C3, immatriculée AB-123-CD","Peugeot C3, immatriculée AB-123-CD",false,"La marque de la voiture change : « Citroen » dans text_a, « Peugeot » dans text_b. Les noms des marques commencent par des lettres différentes, rendant la différence visible.",easy,true
"Nissan Note, plaque XY-987-ZT","Nissan Juke, plaque XY-987-ZT",false,Le modèle de Nissan change : « Note » versus « Juke ». Ces deux noms sont distincts et la différence est immédiatement apparente.,easy,true
Le suspect portait une écharpe bleue.,Le suspect portait une écharpe verte.,false,"La couleur de l'écharpe est différente : bleue dans text_a, verte dans text_b. Ces adjectifs sont visuellement différents.",easy,true
Chevrolet blanche immatriculée QR-456-ST,Chevrolet bleue immatriculée QR-456-ST,false,"La couleur change : « blanche » dans text_a, « bleue » dans text_b. Ces adjectifs sont clairement distincts.",easy,true
"Le témoin est Mr. Martin, 45 ans.","Le témoin est Mr. Martin, 46 ans.",false,"L'âge du témoin est différent : 45 ans dans text_a, 46 ans dans text_b. Ces deux nombres sont proches, mais visuellement différents.",easy,true
L'accident était au croisement de la rue Vendôme et rue du General.,L'accident était au croisement de la rue Vendôme et rue du Général.,false,"L'absence d'accent sur « Général » dans text_a est la différence notable. Sans accent, le mot n'est pas exact.",easy,true
"Incident signalé à 10h45, selon Mr. Lacroix.","Incident signalé à 11h45, selon Mr. Lacroix.",false,"L'heure diffère : 10h45 dans text_a, 11h45 dans text_b. La différence d'une heure est facilement perceptible.",easy,true
Dacia rouge immatriculée KL-789-MN,Dacia verte immatriculée KL-789-MN,false,"La couleur de la Dacia diffère : « rouge » dans text_a, « verte » dans text_b. Cette différence est visuellement manifeste.",easy,true
"Le 07/06/2023 à 19h30, Mme Jean rapporte une agression boulevard de Strasbourg.","Le 07/06/2023 à 19h30, Mme Jean rapporte une agression boulevard de Strasboug.",false,Une lettre manque dans « Strasbourg » de text_b. L'absence du « r » final est facile à manquer si l'on lit rapidement.,medium,true
"Mr Vidal, vivant au 20 quai de la Rapée, signale un cambriolage.","Mr Videl, vivant au 20 quai de la Rapée, signale un cambriolage.",false,"Le nom de famille diffère par une lettre : « Vidal » dans text_a, « Videl » dans text_b. Cette erreur typographique est subtile.",medium,true
L'agresseur portait un blouson marron et des lunettes de soleil.,L'agresseur portait un blouson marron et des lunettes de solei.,false,"Le mot « soleil » est mal orthographié dans text_b, manquant le « l » final. Cette omission peut passer inaperçue à cause de la fatigue oculaire.",medium,true
"Selon l'article 225-2 du code pénal, l'infraction est passible d'une amende.","Selon l'article 225-2 du code penal, l'infraction est passible d'une amende.",false,L'absence d'accent sur « pénal » dans text_b est la différence critique. Un accent manquant peut facilement passer inaperçu.,medium,true
Le duo suspect portait des casquettes et circulait en scooter noir.,Le duo suspect portait des casquettes et circulait en scooter noi.,false,Le mot « noir » est coupé de sa lettre finale dans text_b. Une telle omission peut être ignorée si l'on lit rapidement.,medium,true
Mr Laurent observe une fuite d'eau au 32 rue de la Chapelle.,Mr Laurent observe une fuite d'eau au 32 ru de la Chapelle.,false,Une faute de frappe dans text_b : « ru » au lieu de « rue ». La similarité des lettres peut tromper l'œil non attentif.,medium,true
L'agent a noté une infraction le 12/11/2023 à 14h50.,L'agent a noté une infraction le 12/11/2023 à 14h5.,false,"L'heure est incomplète dans text_b, où il manque le « 0 » final de 14h50. Cette omission peut facilement dérouter l'œil.",medium,true
Le livreur a été aperçu avenue Jean Jaurès à 16h30.,Le liver a été aperçu avenue Jean Jaurès à 16h30.,false,Le mot « livreur » est tronqué en « liver » dans text_b. Un lecteur inattentif pourrait ne pas remarquer l'erreur de frappe.,medium,true
