text_a,text_b,is_true,explanation,difficulty,is_active
Plaque nº 1234 AB 75,Plaque nº 1234 AB 78,false,Les deux plaques d’immatriculation diffèrent par le dernier chiffre : '75' dans text_a et '78' dans text_b. La similarité des chiffres peut prêter à confusion si on ne fait pas attention.,easy,true
Avenue du Général de Gaulle,Avenue du Général De Gaulle,false,La différence se situe dans l'utilisation de la majuscule pour 'De' dans text_b. Ce type de différence peut être négligé si le candidat se focalise uniquement sur les mots et non sur la casse.,easy,true
Voiture bleue Peugeot 206,Voiture noire Peugeot 206,false,Les véhicules décrits sont de couleurs différentes : 'bleue' dans text_a et 'noire' dans text_b. Cette différence frappante dans la description des couleurs doit être immédiatement visible.,easy,true
Témoin : Michel Robert,Témoin : Michele Robert,false,Le prénom du témoin diffère légèrement : 'Michel' dans text_a devient 'Michele' dans text_b. Une similitude fréquente peut piéger un lecteur non attentif.,easy,true
"80, boulevard de Belleville",80 boulevard de Belleville,false,La virgule après le numéro '80' dans text_a est absente dans text_b. C'est une différence qui peut passer inaperçue au regard.,easy,true
Nom : Dupuis Jean,Nom: Dupuis Jean,false,L'espace après 'Nom' est absent dans text_b. Ce type d'erreur peut facilement être négligé en raison de la lecture rapide et de l'habitude de voir des noms suivis d'un espace.,easy,true
Nuit du 14 au 15 mars,Nuit du 14 au 16 mars,false,Les dates à la fin des phrases diffèrent : '15 mars' contre '16 mars'. Ce genre de confusion peut induire une erreur dans des documents à valider rapidement.,easy,true
Victime : Claire LEROY,Victime : Claire LEROI,false,Le nom de famille diffère par la dernière lettre 'Y' vs 'I'. Un changement subtil qui pourrait facilement être manqué si l'attention n'est pas focalisée sur chaque caractère.,easy,true
Porte défectueuse étage 2,Porte défectueuse étage deux,false,Le chiffre '2' est remplacé par le mot 'deux' dans text_b. Le fait que le sens ne change pas peut faire croire à tort que les textes sont identiques.,easy,true
Café de Paris,Café à Paris,false,Le mot 'de' dans text_a est remplacé par 'à' dans text_b. Ce type de différence change le sens de la phrase et doit être facilement détectable.,easy,true
"Monsieur Martin se rend au travail en bicyclette, tous les matins à 8h30.","Monsieur Martin se rend au travail en bicyclette, tous les matins à 8h20.",false,Les textes diffèrent par l'heure de déplacement le matin : '8h30' vs '8h20'. Ce type de différence subtile dans les chiffres peut aisément être négligé.,medium,true
Il circule un véhicule suspect autour du parc vers 19h00.,Il circule un véhicule suspecte autour du parc vers 19h00.,false,"Le terme 'suspect' est au masculin dans text_a et au féminin dans text_b, avec un 'e' en plus. Cette distinction, bien qu'importante grammaticalement, peut être difficile à détecter rapidement.",medium,true
La rue des Fleurs est fermée pour travaux jusqu'à nouvel ordre.,La rue des fleurs est fermée pour travaux jusqu'à nouvel ordre.,false,"La majuscule sur 'Fleurs' dans text_a est absente dans text_b. Cela peut facilement passer inaperçu, mais peut changer la signification ou l'interprétation d'un nom propre.",medium,true
"Le 10/08/2023 à 16h00, un homme en veste bleue a été observé.","Le 10/08/2023 à 16h00, un homme en veste bleu a été observé.",false,La différence réside dans l'accord du mot 'bleue' (féminin) en text_a et 'bleu' (masculin) en text_b. Ce type d'erreur d'accord de couleur peut facilement passer inaperçu.,medium,true
Un rapport a été écrit le 5 juillet 2022 sur le sujet.,Un rapport a été écrit le 5 jullet 2022 sur le sujet.,false,Une lettre 'l' supplémentaire a été incluse dans le mot 'juillet' dans text_b. L'erreur peut être difficile à repérer sans une lecture attentive mot à mot.,medium,true
Enquête close sous le numéro 2023-123456.,Enquête close sous le numéro 2023-123465.,false,Les numéros diffèrent subtilement : '123456' dans text_a ici est '123465' dans text_b. Les similarités numériques peuvent induire en erreur ceux qui ne comparent pas les séquences de manière exhaustive.,medium,true
Rapport d'incendie du 12 avril : destruction totale.,Rapport d'incendie du 12 avril : destruction total.,false,L'accord de l'adjectif 'total' est incorrect dans text_b. Ce genre de faute d'accord simple peut être une erreur fréquente si l'on ne fait pas attention.,medium,true
Procès-verbal établi le 03/02/2023 par l'agent Martin.,Procès-verbal établi le 03/02/2023 par l'agent Marin.,false,"Le nom 'Martin' a été écrit 'Marin' dans text_b, perdant un 't'. Ce type de différence peut passer à côté si le lecteur ne se concentre pas sur chaque lettre.",medium,true
La date du 02/12/2022 est confirmée.,La daite du 02/12/2022 est confirmée.,false,Il y a une faute d'orthographe sur le mot 'date' qui est écrit 'daite' dans text_b. Une lecture rapide peut faire omettre cette erreur typographique.,medium,true
"En vertu de l'article 321-1 du code, le délit est caractérisé par une fuite à pied sur la scène de crime.","En vertu de l'article 321-1 du code, le délit est caratérisé par une fuite à pied sur la scène de crime.",false,"Le mot 'caractérisé' est mal orthographié dans text_b, perdant un 'r'. Cette erreur subtile de lettres peut facilement se fondre lors de la lecture prolongée.",hard,true
La caméra 5A3 observe une anomalie : un individu se faufile discrètement vers l'avant du véhicule.,La caméra 5A3 observe une anomalie: un individu se faufile discrètement vers l'avant du véhicule.,false,"Un espace après les deux points est absent dans text_b. Les espaces autour de la ponctuation sont souvent négligés, mais ils sont cruciaux pour le respect des normes du texte.",hard,true
Une enquête approfondie sur le vol d'identité a révélé plusieurs failles dans le système de sécurité actuel.,Une enquête approfondie sur le vol d'identité a révélé plusieurs failles dans le système de sécurité actuelle.,false,L'accord du mot 'actuel' est incorrect dans text_b comme il devrait être 'actuelle'. Un accord non respecté n'est pas une faute visiblement flagrante mais cruciale grammaticalement.,hard,true
"Un homme en costume sombre, possiblement armé, a été aperçu aux abords de la rue du Faubourg Saint-Antoine.","Un homme en costume sombre, possiblement armé, a été aperçu aux abords de la rue du Faubourg Saint Antoine.",false,La différence réside dans le tiret manquant 'Saint Antoine' dans text_b par rapport à 'Saint-Antoine' dans text_a. Cette petit omission est une subtilité que beaucoup pourraient manquer.,hard,true
Les images de la caméra 12A-B ne montrent aucune activité suspecte durant les heures d'observation prévues.,Les images de la caméra 12A-B ne montrent aucune acitivité suspecte durant les heures d'observation prévues.,false,Le mot 'activité' est mal écrit comme 'acitivité' dans le texte b. Une inversion de lettres est une erreur courante à ne pas négliger lors de la relecture selon la fatigue visuelle.,hard,true
