text_a,text_b,is_true,explanation,difficulty,is_active
"Peugeot 206 blanche, plaque AA-999-AA","Renault 206 blanche, plaque AA-999-AA",false,Les textes sont différents : 'Peugeot' dans text_a et 'Renault' dans text_b. La différence de la marque est évidente.,easy,true
Chien perdu rue des Roses,Chien trouvé rue des Roses,false,Les textes ne sont pas identiques : 'perdu' dans text_a et 'trouvé' dans text_b. La différence sur le mot clé 'perdu/trouvé' est flagrante.,easy,true
"Vélo bleu, rue de Paris","Vélo bleu, rue de Tunis",false,Les textes diffèrent par le nom de rue : 'Paris' dans text_a et 'Tunis' dans text_b. La différence de toponyme est claire.,easy,true
"Camion rouge, plaque AB-321-XY","Avion rouge, plaque AB-321-XY",false,Les textes diffèrent : 'Camion' dans text_a et 'Avion' dans text_b. La différence de véhicule est très visible.,easy,true
Véhicule suspect à 15 mars,Véhicule suspect à 15 heures,false,Les textes sont différents : 'mars' dans text_a et 'heures' dans text_b. La variation dans le temps est immédiate à repérer.,easy,true
Agent Pierre Martin,Agent Jean Martin,false,Les noms diffèrent : 'Pierre' dans text_a et 'Jean' dans text_b. La variation sur les prénoms est très perceptible.,easy,true
"Boîte noire, rue Lemercier","Boîte rouge, rue Lemercier",false,Les textes ne sont pas identiques : 'noire' dans text_a et 'rouge' dans text_b. La différence dans la couleur est évidente.,easy,true
Incident à 20h45,Incident 20h45,false,Les textes diffèrent par la présence de 'à' dans text_a qui manque dans text_b. Cette omission du petit mot est assez visible.,easy,true
Rencontre suspecte signalée le 15 juin 2023 à 14h55.,Rencontre suspecte signalée le 15 juin 2023 à 14h45.,false,Les textes diffèrent par l'heure : '14h55' dans text_a et '14h45' dans text_b. Le changement subtil dans les minutes est à noter.,medium,true
"Agresseur vu portant un blouson rouge, basket noir et jean.","Agresseur vu portant un blouson rouge, baskets noir et jean.",false,Les textes diffèrent par le pluriel : 'basket' dans text_a et 'baskets' dans text_b. Cette variation est subtile mais importante.,medium,true
Surveillance du parc prévue le 24 novembre de 10h à 12h.,Surveillance du parc prévus le 24 novembre de 10h à 12h.,false,Les textes diffèrent par 'prévue' dans text_a et 'prévus' dans text_b. La différence de terminaison est subtile mais cruciale.,medium,true
Fermeture des sites jusqu'à nouvel ordre.,Fermeture des site jusqu'à nouvel ordre.,false,La différence réside dans le pluriel : 'sites' dans text_a et 'site' dans text_b. Le pluriel manquant peut facilement être ignoré.,medium,true
Accident à l'angle de la rue de Rivoli et du boulevard Sébastopol.,Accident à l'angle de la rue de Rivoli et du Boulevard Sébastopol.,false,Les textes diffèrent par une majuscule : 'boulevard' dans text_a et 'Boulevard' dans text_b. La casse peut être source d'erreur.,medium,true
Le véhicule suspect est une Citroën C3 grise.,Le véhicule suspect est une Citroén C3 grise.,false,La différence réside dans l'accent : 'Citroën' dans text_a et 'Citroén' dans text_b. Un accent mal placé peut facilement passer inaperçu.,medium,true
