text_a,text_b,is_true,explanation,difficulty,is_active
Renault Clio grise immatriculée AC-345-BC,Renault Clio rouge immatriculée AC-345-BC,false,"La couleur diffère : « grise » dans text_a, « rouge » dans text_b. La différence est au milieu de la phrase et pourrait passer inaperçue sans attention.",easy,true
"Avenue des Champs-Élysées, Paris","Avenue des Champs-Élysée, Paris",false,Le mot 'Champs-Élysée' dans text_b est écrit sans le dernier 's'. Cette différence rapide à lire peut facilement être manquée si l'on parcourt le texte trop vite.,easy,true
BP 12345 LILLE CEDEX,BP 12345 LILLE SUDOUEST,false,Les mots 'CEDEX' et 'SUDOUEST' sont différents. Un lecteur pressé peut facilement négliger ce changement en fin de ligne. ,easy,true
"Ford Fiesta bleue, AB-786-RK","Ford Fiesta blu, AB-786-RK",false,Le mot 'bleue' dans text_a est abrégé en 'blu' dans text_b. Cette abréviation peut être négligée par un lecteur distrait.,easy,true
"Peugeot 208 noire, BC-987-QW","Peugeot 208 blanc, BC-987-QW",false,"La couleur de la voiture diffère : 'noire' dans text_a, 'blanc' dans text_b. Le changement se trouve juste avant le numéro d'immatriculation.",easy,true
"Mazda rouge, AZ-456-ZX","Mazda rogue, AZ-456-ZX",false,Le mot 'rouge' est écrit 'rogue' dans text_b. C'est une erreur qui peut passer inaperçue en cas de lecture rapide ou de fatigue visuelle.,easy,true
Citroën C3 blanche BB-879-QW,Citroën C3 blanc BB-879-QW,false,"Le mot 'blanche' a été transformé en 'blanc' dans text_b. Le genre du mot est modifié, ce qui peut facilement être ignoré par manque d'attention.",easy,true
"Rue Sébastopol, 75004 Paris","Rue Sébestopol, 75004 Paris",false,Le mot 'Sébastopol' est mal orthographié 'Sébestopol' dans text_b. Le changement d'une seule lettre peut être difficile à détecter sans concentration.,easy,true
Volkswagen Golf grise CE-654-GF,Volkswagen Golf geise CE-654-GF,false,Le mot 'grise' est remplacé par 'geise' dans text_b. L'inattention peut conduire à manquer cette transposition subtile des lettres.,easy,true
"Le 23/04/2022 à 17h40, M. Bernard affirme avoir vu une Ford Mustang rouge.","Le 23/04/2022 à 17h40, M. Bernard affirme avoir vu une Ford Mustang roug.",false,"Le mot 'rouge' est incomplet dans text_b, écrit comme 'roug'. Cette différence est facile à manquer lors d'une lecture rapide.",medium,true
Déclaration du 11/09/2021 : un vol de moto Ducati a eu lieu à Nantes.,Déclaration du 11/09/2021 : un vol de moto Ducati a eut lieu à Nantes.,false,Le mot 'eu' est mal orthographié comme 'eut' dans text_b. Ce changement subtil peut passer inaperçu en raison de la similarité sonore des mots.,medium,true
"Le 10/12/2021, un véhicule Audi TT bleu a été signalé à 18h.","Le 10/12/2021, un véhicule Audi TT bleu a été signalé à 19h.",false,L'heure diffère entre les deux textes : '18h' dans text_a et '19h' dans text_b. Ce détail temporel peut confondre un candidat peu attentif.,medium,true
"Le samedi 12/09/2020, à 11h30, une audi noire a été repérée rue du Bac.","Le samedi 12/09/2020, à 11h30, une Audi noire a été repérée rue du Bac.",false,"La marque de voiture 'audi' dans text_a est en minuscule, tandis que dans text_b, c'est 'Audi' avec un 'A' majuscule. Cette distinction subtile peut être confondue rapidement.",medium,true
"Le 25/05/2026, un témoin a remarqué une personne avec une chemise en lin beige clair.","Le 25/05/2026, un témoin a remarqué une personne avec une chemise en lin beige claire.",false,"Le mot 'clair' dans text_a est écrit 'claire' dans text_b, ce qui modifie le genre de l'adjectif. Le changement se situe à la fin de la phrase et peut être négligé à cause d'une attention réduite à la fin de la lecture.",medium,true
"En date du 30/09/2020, une personne rapportait le vol d'un scooter Piaggio.","En date du 30/09/2020, une personne rapportait le vol d'un scooter Piago.",false,"Le mot 'Piaggio' est incorrectement écrit 'Piago' dans text_b. La modification concerne deux lettres en fin de mot, ce qui peut facilement être négligé.",medium,true
Un vol a été commis le 14/08/2021 à 10h30 impliquant une Audi rouge.,Un vol a été commis le 14/08/2021 à 10h31 impliquant une Audi rouge.,false,L'heure du vol diffère entre les deux textes : '10h30' dans text_a et '10h31' dans text_b. Le changement subtil d'un chiffre oblige à une lecture très attentive.,medium,true
L'article 321-7 du code pénal rappelle que le recel est sanctionné de cinq ans d'emprisonnement et 375000 euros d'amende.,"L'article 321-7 du code pénal rappelle que le recel est sanctionné de cinq ans d'emprisonnement et 375,000 euros d'amende.",false,"La différence se trouve au niveau du nombre : un point pour les milliers ('375000') dans text_a contre une virgule ('375,000') dans text_b. La présence ou absence de la virgule peut facilement être ignorée en raison de la similarité visuelle du texte.",hard,true
"Le véhicule de marque Opel, immatriculé DE-756-QT, était stationné près du 45 boulevard Diderot le 26 mars 2023 à 16h.","Le véhicule de marque Opel, immatriculé DE-756-QT, était stationné près du; 45 boulevard Diderot le 26 mars 2023 à 16h.",false,"Un point-virgule a été ajouté avant le numéro 45 dans text_b, ce qui modifie subtilement la ponctuation. Cette petite différence peut être masquée par la longueur du texte et demande une inspection minutieuse pour être repérée.",hard,true
"Lors du contrôle, à 14 h le 01/11/2025, M. Leblanc a présenté un passeport expiré et un permis de conduire valide.","Lors du contrôle, à 14 h le 01/11/2025, M. Leblanc a présénté un passeport expiré et un permis de conduire valide.",false,"Le mot 'présenté' dans text_b est incorrectement écrit 'présénté', avec un accent supplémentaire. Cette erreur accentuée est difficile à repérer si l'on se concentre peu sur l'orthographe durant la lecture.",hard,true
Article 122-5 du code pénal : Une personne qui commet un acte ne subira aucune peine si la défense est proportionnée et immédiate.,Article 122-5 du code pénal : Une personne qui commet un acte ne subira aucune peine si la défense est proportionnée et imédiate.,false,"Le mot 'immédiate' dans text_b est écrit sans le double 'm', c’est 'imédiate'. Cette omission de lettre est subtile et difficile à percevoir sans une lecture attentive.",hard,true
"Conformément à l'article 223-1, met en danger la vie d'autrui est puni de 1 an de prison et de 15000 € d'amende.","Conformément à l'article 223-1, met en danger la vie d'autrui est puni de 1 an de prison et de 15000€ d'amende.",false,"Il manque l'espace avant '€' dans text_b. Cet espace en moins modifie subtilement la mise en forme, un piège visuel courant dans les textes denses.",hard,true
L'autorisation pour la manifestation a été accordée sous l'article L211-1 du code des collectivités territoriales.,L'autorisation pour la manifestation a été accordée sous l'article L211-1 di code des collectivités territoriales.,false,"Dans text_b, le mot 'du' est incorrectement écrit 'di'. Cette altération porte sur deux lettres proches ce qui peut ne pas être détectée immédiatement lors d'une lecture continue.",hard,true
