module,category,difficulty,question,prompt,options,answer,explanation,hint,is_active
psychotechnique,raisonnement_logique,Facile,Que peut-on en déduire ?,Tous les poissons sont mouillés. Némo est un poisson.,"{""Némo est sec"",""Némo est mouillé"",""Némo est un chat"",""On ne peut pas savoir""}",Némo est mouillé,"Il s'agit d'un syllogisme simple. Si tous les poissons sont mouillés et Némo est un poisson, alors par transitivité, Némo doit être mouillé. Le piège ici est de penser qu'il pourrait ne pas être mouillé, mais ça contredit la première prémisse.",Applique la règle générale à l'élément spécifique.,true
psychotechnique,raisonnement_logique,Facile,Combien de sœurs a Emma ?,"Emma, Marie et Sophie sont sœurs. Emma a deux sœurs.","{""1"",""2"",""3"",""4""}",2,"Emma fait partie d'un groupe de trois sœurs, incluant Marie et Sophie. Donc, elle a exactement deux sœurs. Le piège est de penser qu'il y en aurait plus, mais seules les noms Emma, Marie, et Sophie sont données.",Comptez les membres du groupe mentionné.,true
psychotechnique,raisonnement_logique,Facile,Quel animal est Tomy ?,Tous les chiens aboient. Tomy aboie.,"{""Tomy est un chat"",""Tomy est un chien"",""On ne peut pas savoir"",""Tomy est un oiseau""}",On ne peut pas savoir,Ce n'est pas parce que tous les chiens aboient que tous ceux qui aboient sont des chiens. Tomy pourrait être un autre animal qui aboie. Le piège est de conclure trop rapidement que Tomy est un chien.,Inversez la relation pour tester sa validité.,true
psychotechnique,raisonnement_logique,Facile,Quel est l'animal qui ne vole pas ?,Tous les moineaux volent. Certains canards volent. Un manchot ne vole pas.,"{""Moineau"",""Canard"",""Manchot"",""Tous volent""}",Manchot,"Dans cet énoncé, l'information claire est que le manchot ne vole pas. Les moineaux volent et bien que certains canards volent, le manchot est explicitement déclaré non volant. Le piège consiste à ignorer cette distinction.",Focalisez-vous sur les exceptions claires fournies.,true
psychotechnique,raisonnement_logique,Facile,Qui est le plus jeune ?,Paul est plus âgé que Luc. Luc est plus âgé que Marc.,"{""Paul"",""Luc"",""Marc"",""On ne sait pas""}",Marc,"En suivant le classement, Paul > Luc > Marc. Donc, Marc est le plus jeune des trois. Le piège est de perdre de vue cet ordre simple.",Réorganisez les éléments du plus jeune au plus âgé.,true
psychotechnique,raisonnement_logique,Facile,Que pouvez-vous conclure ?,Tous les livres dans cette bibliothèque sont en anglais. Ce livre est en français.,"{""Ce livre est en anglais"",""Ce livre n'appartient pas à cette bibliothèque"",""On ne peut pas savoir"",""Ce livre est en espagnol""}",Ce livre n'appartient pas à cette bibliothèque,"Si tous les livres de la bibliothèque sont en anglais, alors un livre en français n'en fait pas partie. Le dépit provient du fait de prendre l'énoncé 'tous' comme exceptionnel plutôt que comme exclusif.",Considérez l'exclusivité de l'énoncé.,true
psychotechnique,raisonnement_logique,Facile,Quelle couleur a l'objet ?,Tous les objets rouges sont en métal. Cet objet est rouge.,"{""Cet objet est en bois"",""Cet objet est en métal"",""Cet objet est plastique"",""Cet objet n'est pas rouge""}",Cet objet est en métal,"Syllogisme simple : si tous les objets rouges sont en métal et cet objet est rouge, alors par transitivité, cet objet est en métal. Le piège est de chercher à tirer des conclusions basées sur des options qui ne concordent pas avec les prémisses de départ.",Examinez les transpositions des prémisses.,true
psychotechnique,raisonnement_logique,Facile,Que pouvez-vous conclure ?,"Si elle se lève tôt, alors elle fait du jogging. Elle s'est levée tôt.","{""Elle a fait du jogging"",""Elle n'a pas fait de jogging"",""Elle est restée à la maison"",""On ne peut pas savoir""}",Elle a fait du jogging,"C'est un cas de modus ponens : si une condition A (elle se lève tôt) implique une condition B (elle fait du jogging) et la condition A est satisfaite, alors B se produit aussi. Le piège est de douter de cette série d'événements implicite.",Utilisez le schéma A implique B.,true
psychotechnique,raisonnement_logique,Facile,Qui est le plus lent ?,Luc court plus vite que Paul. Paul court plus vite que Marc.,"{""Luc"",""Paul"",""Marc"",""On ne sait pas""}",Marc,"En suivant la logique de classement, Luc > Paul > Marc en vitesse. Ceci signifie que Marc est le plus lent parmi eux. Le piège consiste à mal évaluer ce simple ordre de vitesse.",Reproduisez le classement du plus rapide au plus lent.,true
psychotechnique,raisonnement_logique,Facile,Quelle est la forme du jouet ?,Tous les jouets ronds sont bleus. Ce jouet est rond.,"{""Ce jouet est rouge"",""Ce jouet est bleu"",""Ce jouet est carré"",""On ne peut pas savoir""}",Ce jouet est bleu,"Il s'agit à nouveau d'un syllogisme. Si tous les jouets ronds sont bleus et ce jouet est rond, alors logiquement ce jouet est bleu. Le piège serait de supposer une contradiction basée sur l'information partielle.",Relie la caractéristique de forme à la couleur.,true
psychotechnique,raisonnement_logique,Facile,Quel est le prix le plus bas ?,Le lait coûte moins cher que le pain. Le pain coûte moins cher que le fromage.,"{""Lait"",""Pain"",""Fromage"",""On ne sait pas""}",Lait,"Selon l'ordre établi, le lait < pain < fromage en termes de coût, du moins cher au plus cher. Le piège est de mélanger cet ordre ou de suranalyser les données de coûts relatifs.",Classe l'information par ordre croissant de prix.,true
psychotechnique,raisonnement_logique,Facile,En quoi est fait ce verre ?,Tous les verres incassables sont en plastique. Ce verre est incassable.,"{""Ce verre est en verre"",""Ce verre est en plastique"",""Ce verre est en métal"",""On ne peut pas savoir""}",Ce verre est en plastique,"C'est une application basique d'un syllogisme : si tous les verres incassables sont en plastique et ce verre est incassable, il doit être en plastique. Le piège serait de penser qu'il pourrait être d'un autre matériau.",Cherchez la connection directe.,true
psychotechnique,raisonnement_logique,Facile,Qui est en tête de course ?,"Si Pierre dépasse Marc, il est en tête. Pierre a dépassé Marc.","{""Pierre"",""Marc"",""Les deux sont en tête"",""On ne sait pas""}",Pierre,Encore un exemple de modus ponens : la réalisation de la condition (Pierre dépassant Marc) entraîne la conclusion (Pierre est en tête). Le piège est d'imaginer qu'il pourrait y avoir d'autres concurrents non mentionnés.,Applique une logique causale directe.,true
psychotechnique,raisonnement_logique,Facile,Quel est le véhicule le plus rapide ?,Tous les jets volent plus vite que les hélicoptères. Les hélicoptères volent plus vite que les voitures.,"{""Jet"",""Hélicoptère"",""Voiture"",""Trottinette""}",Jet,"Selon l'ordre de vitesse fourni, jets > hélicoptères > voitures. Donc, les jets sont les plus rapides. Le piège consiste à oublier cet ordre de vitesse établi.",Structurez les informations du plus rapide au plus lent.,true
psychotechnique,raisonnement_logique,Facile,Que peut-on en déduire ?,"Si elle étudie, elle réussira l'examen. Elle a étudié.","{""Elle a échoué"",""Elle a réussi"",""Elle a sauté l'examen"",""On ne peut pas savoir""}",Elle a réussi,"Il s'agit d'une application du modus ponens : puisqu'elle a étudié, la condition de réussite est remplie, donc elle réussit. Le piège serait de penser qu'il y a des exceptions non indiquées.",Utilisez la logique si-alors stricte.,true
psychotechnique,raisonnement_logique,Facile,Si cet animal est une girafe...,Toutes les girafes ont un long cou. Cet animal a un long cou.,"{""Cet animal est une girafe"",""Cet animal est un éléphant"",""Cet animal est un chien"",""On ne peut pas savoir""}",On ne peut pas savoir,La prémisse que les girafes ont un long cou ne signifie pas que seuls elles en ont. D'autres animaux peuvent aussi avoir des longs cous. Le piège est de conclure trop hâtivement que l'animal est une girafe.,Rappelez-vous : corrélation n'implique pas causalité.,true
psychotechnique,raisonnement_logique,Facile,Quel est le matériau de ce jouet ?,Tous les jouets verts sont en bois. Ce jouet est vert.,"{""Ce jouet est en métal"",""Ce jouet est en plastique"",""Ce jouet est en bois"",""On ne peut pas savoir""}",Ce jouet est en bois,"Ce syllogisme direct : si tous les jouets verts sont en bois et ce jouet est vert, alors ce jouet doit être en bois. Le piège serait de douter de l'association entre la couleur et le matériau.",Applique le syllogisme direct.,true
psychotechnique,raisonnement_logique,Moyenne,Qui est le plus âgé ?,Anna est plus âgée que Julie. Julie est plus âgée que Clara. Clara est plus âgée que Sophie.,"{""Anna"",""Julie"",""Clara"",""Sophie""}",Anna,"En suivant l'ordre donné : Anna > Julie > Clara > Sophie. Donc, Anna est la plus âgée. Le piège consiste à mal ordonner cette séquence d'âges croissants.",Organisez un classement hiérarchique.,true
