module,category,difficulty,question,prompt,options,answer,explanation,hint,is_active
psychotechnique,raisonnement_logique,Facile,Que peut-on en déduire ?,Tous les chiens sont des mammifères. Rex est un chien.,"{""Rex est un oiseau"",""Rex est un mammifère"",""Rex est un reptile"",""On ne peut pas savoir""}",Rex est un mammifère,"Il s'agit d'un syllogisme par transitivité. Tous les chiens étant des mammifères et Rex étant un chien, Rex doit être un mammifère. Il est crucial de ne pas ignorer la relation de transitivité entre les catégories pour éviter de conclure autre chose erronément.",,true
psychotechnique,raisonnement_logique,Facile,Quelle est la conclusion ?,Aucun livre sur cet étagère n'est en mauvais état. Ce livre est sur cet étagère.,"{""Le livre est en mauvais état"",""Le livre n'est pas en mauvais état"",""On ne peut pas savoir"",""Le livre est couvert""}",Le livre n'est pas en mauvais état,"C'est un syllogisme avec une négation. Si aucun livre sur l'étagère n'est en mauvais état et que le livre en question se trouve sur cette étagère, alors le livre n'est pas en mauvais état. Il faut bien comprendre l'usage du mot ""aucun"" pour éviter les erreurs.",,true
psychotechnique,raisonnement_logique,Facile,Qui arrivera en dernier ?,"Lucas arrive après Lucie, et Lucie arrive après Louise.","{""Lucas"",""Lucie"",""Louise"",""On ne peut pas savoir""}",Lucas,"L'ordre est clair : Louise arrive, puis Lucie, puis Lucas. Ainsi, Lucas arrive en dernier. Pour éviter les erreurs, il faut suivre correctement l'ordre chronologique mentionné.",,true
psychotechnique,raisonnement_logique,Facile,Quel fruit est dans le panier ?,Tous les fruits rouges sont dans le panier. Une fraise est un fruit rouge.,"{""La fraise est dans le panier"",""La fraise n'est pas dans le panier"",""On ne peut pas savoir"",""La fraise est verte""}",La fraise est dans le panier,"C'est un exemple de syllogisme simple. Tous les fruits rouges étant dans le panier et la fraise étant rouge, elle se trouve forcément dans le panier. Ne pas se laisser piéger par les options qui suggèrent une incertitude.",,true
psychotechnique,raisonnement_logique,Facile,Que peut-on en conclure ?,"Si le soleil brille, alors il ne pleut pas. Le soleil brille actuellement.","{""Il pleut"",""Il ne pleut pas"",""On ne peut pas savoir"",""Il fait nuit""}",Il ne pleut pas,"Il s'agit d'un modus ponens : si une condition est vérifiée (le soleil brille), alors la conséquence doit être vraie (il ne pleut pas). Ne pas confondre cette structure avec une condition inverse qui pourrait mener à l'erreur.",,true
psychotechnique,raisonnement_logique,Facile,Quel est l'ordre correct ?,Si Alice est plus vieille que Bob et Bob est plus vieux que Claire.,"{""Alice, Bob, Claire"",""Claire, Bob, Alice"",""Bob, Claire, Alice"",""Claire, Alice, Bob""}","Alice, Bob, Claire","Il s'agit ici d'établir un ordre simple. Alice étant plus vieille que Bob et Bob plus vieux que Claire, la chaîne de priorités nous donne Alice, Bob, puis Claire. Ne pas commettre l'erreur d'inverser une des relations.",,true
psychotechnique,raisonnement_logique,Facile,Quelle affirmation est correcte ?,Tous les élèves du cours de danse savent lire une partition. Marie est dans le cours de danse.,"{""Marie sait lire une partition"",""Marie ne sait pas lire une partition"",""On ne peut pas savoir"",""Marie joue d'un instrument""}",Marie sait lire une partition,"Ceci est un syllogisme. Si tous les participants au cours de danse savent lire une partition, alors Marie, qui est participante, le sait aussi. Attention à ne pas ignorer l'application directe de la règle donnée dans la prémisse.",,true
psychotechnique,raisonnement_logique,Facile,Quel animal est un félin ?,Tous les tigres sont des félins. Simba est un tigre.,"{""Simba est un oiseau"",""Simba est un félin"",""Simba est un reptile"",""On ne peut pas savoir""}",Simba est un félin,"En appliquant le syllogisme par transitivité, si tous les tigres sont des félins et Simba est un tigre, alors Simba est un félin. Il est important de bien suivre la logique des catégories pour éviter les conclusions incorrectes.",,true
psychotechnique,raisonnement_logique,Facile,Qu'est-ce qu'on peut déduire ?,"Si quelqu'un est végétalien, alors il ne mange pas d'animaux. Jacques est végétalien.","{""Jacques mange des animaux"",""Jacques ne mange pas d'animaux"",""On ne peut pas savoir"",""Jacques est carnivore""}",Jacques ne mange pas d'animaux,"Ceci correspond à un raisonnement en modus ponens. Si Jacques est végétalien, alors selon les prémisses, il ne mange pas d'animaux. Ne pas tomber dans le piège de croire que la prémisse ne s'applique pas.",,true
psychotechnique,raisonnement_logique,Facile,Quelle conclusion est correcte ?,Tous les oiseaux peuvent voler. Un perroquet est un oiseau.,"{""Un perroquet ne peut pas voler"",""Un perroquet peut voler"",""On ne peut pas savoir"",""Les perroquets ne sont pas des oiseaux""}",Un perroquet peut voler,"C'est un syllogisme classique. Tous les oiseaux peuvent voler, donc en affirmant qu'un perroquet est un oiseau, nous concluons qu'un perroquet peut voler. Ne pas oublier de lier chaque étape de la catégorisation correctement.",,true
psychotechnique,raisonnement_logique,Facile,Qui est le plus jeune ?,Julie est plus jeune que Marc. Marc est plus jeune qu'Émile.,"{""Julie"",""Marc"",""Émile"",""On ne peut pas savoir""}",Julie,"L'ordre d'âge est expressément donné : Julie < Marc < Émile. Ainsi, Julie est la plus jeune de tous. Il faut donc être attentif à ne pas inverser cet ordre dans le raisonnement.",,true
