module,category,difficulty,question,prompt,options,answer,explanation,hint,is_active
psychotechnique,raisonnement_logique,Facile,Que peut-on conclure ?,Tous les chiens aboient. Rex est un chien.,"{""Rex aboie"",""Rex miaule"",""Rex ne fait aucun bruit"",""On ne peut pas savoir""}",Rex aboie,"C'est un syllogisme par transitivité : si tous les chiens aboient et que Rex est un chien, alors Rex doit aboyer. La conclusion est donc que Rex aboie. Le piège serait de conclure que Rex pourrait ne pas aboyer, ce qui n'est pas possible compte tenu des prémisses fournies.",Applique la règle de transitivité.,true
psychotechnique,raisonnement_logique,Facile,Qui est le plus rapide ?,La tortue est plus lente que le lièvre. Le lièvre est plus lent que le guépard.,"{""La tortue"",""Le lièvre"",""Le guépard"",""Aucun""}",Le guépard,"Nous avons ici un ordre de vitesse : tortue < lièvre < guépard. Par conséquent, le guépard est le plus rapide des trois. Il est important de respecter cet ordre et de ne pas se tromper en inversant les relations de vitesse.",Comparez du plus lent au plus rapide.,true
psychotechnique,raisonnement_logique,Facile,Que peut-on conclure ?,"Si elle est dimanche, il n'y a pas d'école. Aujourd'hui c'est dimanche.","{""Il y a école"",""Il n'y a pas école"",""Peut-être qu'il y a école"",""On ne peut pas savoir""}",Il n'y a pas école,"C'est un syllogisme du type modus ponens : si une condition est vraie (dimanche), alors la conséquence (pas d'école) l'est aussi. Le dimanche entraîne donc l'absence d'école. Le piège serait d'oublier que les indications s'appliquent directement sans inférence supplémentaire.","Rappelle-toi : condition vraie, conséquence vraie.",true
psychotechnique,raisonnement_logique,Facile,Que peut-on en conclure ?,Tous les oiseaux peuvent voler. Cette autruche est un oiseau.,"{""Cette autruche peut voler"",""Cette autruche ne peut pas voler"",""Tous les oiseaux peuvent nager"",""On ne peut pas savoir""}",Cette autruche peut voler,"Syllogisme par abus : il semble que parce que tous les oiseaux peuvent voler, cette autruche devrait aussi voler. Cependant, l'autruche défie la règle générale ici, car elle ne vole pas. Cette exception piège ceux qui ne remettent pas en question les prémisses données.",Examinez les exceptions à la règle.,true
psychotechnique,raisonnement_logique,Facile,Qui est le moins cher ?,Le produit A coûte plus cher que le produit B. Le produit C coûte moins cher que le produit B.,"{""Produit A"",""Produit B"",""Produit C"",""On ne peut pas savoir""}",Produit C,Nous avons un ordre de prix : A > B > C. Cela signifie que le produit C est le moins cher des trois. Le piège ici serait de mal interpréter cet ordre et de choisir un produit autre que C comme étant le moins cher.,Tirez une ligne de comparaison des prix.,true
psychotechnique,raisonnement_logique,Facile,Quelle est la conclusion ?,Tous les poissons peuvent nager. Un requin est un poisson.,"{""Le requin peut nager"",""Le requin ne peut pas nager"",""Le requin peut voler"",""On ne peut pas savoir""}",Le requin peut nager,"Il s'agit d'un syllogisme de transitivité : tous les poissons pouvant nager et le requin étant un poisson, ce dernier peut donc nager. Un piège courant serait d'introduire une donnée externe qui pourrait mener à une conclusion différente, ce qui n'est pas possible ici.",Pensez à la relation de transitivité.,true
psychotechnique,raisonnement_logique,Facile,Que peut-on déduire ?,"Si Paul étudie, alors il réussira. Paul étudie.","{""Paul va réussir"",""Paul va échouer"",""Paul pourrait réussir"",""On ne peut pas savoir""}",Paul va réussir,"C'est un syllogisme par modus ponens : si la condition (étudier) est remplie, alors la conséquence (réussir) est vraie. Paul étudie, il réussira. Le piège serait de douter de la conclusion malgré l’absence d’éléments contraires.",Suis la règle de l'implication directe.,true
psychotechnique,raisonnement_logique,Facile,Quelle est la conclusion ?,Tous les élèves de cette école portent un uniforme. Julie est élève dans cette école.,"{""Julie porte un uniforme"",""Julie ne porte pas d'uniforme"",""Les enseignants portent des uniformes"",""On ne peut pas savoir""}",Julie porte un uniforme,"Syllogisme basique par inclusion : puisque tous les élèves portent un uniforme et Julie est une élève, Julie porte un uniforme. Le piège est de suggérer que Julie pourrait être une exception sans justification.",Considérez l'ensemble et l'élément particulier.,true
psychotechnique,raisonnement_logique,Facile,Quelle est la conclusion ?,Aucun poisson ne vole. Cette carpe est un poisson.,"{""Cette carpe vole"",""Cette carpe ne vole pas"",""Cette carpe peut nager"",""On ne peut pas savoir""}",Cette carpe ne vole pas,"Il s'agit d'un syllogisme par inclusion inversée : aucun poisson ne vole et la carpe étant un poisson, elle ne peut pas voler. Le piège ici consisterait à mal interpréter la négation et en conclure, à tort, que certaines carpes pourraient voler.",Utilisez les faits établis pour les éléments particuliers.,true
psychotechnique,raisonnement_logique,Facile,Quelle est la conclusion ?,"Si c'est l'été, alors il fait chaud. C'est l'été.","{""Il fait chaud"",""Il fait froid"",""Il neige"",""On ne peut pas savoir""}",Il fait chaud,"C'est un syllogisme par modus ponens : puisque c'est l'été, la conséquence (qu'il fasse chaud) s'applique nécessairement. Le piège ici est de laisser le doute par rapport à la condition initiale déjà acceptée.",Suivez la conséquence de la condition donnée.,true
