module,category,difficulty,question,prompt,options,answer,explanation,hint,is_active
psychotechnique,raisonnement_logique,Facile,Que peut-on en déduire ?,Tous les oiseaux peuvent voler. Ce corbeau est un oiseau.,"{""Ce corbeau ne peut pas voler"",""Ce corbeau peut voler"",""Ce corbeau est un reptile"",""On ne peut pas savoir""}",Ce corbeau peut voler,"Nous avons un syllogisme simple où tous les oiseaux ont la capacité de voler. Le corbeau étant un oiseau, par transitivité, il peut donc voler. Il est essentiel de ne pas ignorer la déclaration initiale qui place tous les oiseaux dans cette catégorie.","Si X est dans A et tous les A sont dans B, alors X est dans B.",true
psychotechnique,raisonnement_logique,Facile,Quel fruit est petit ?,Tous les fraisiers produisent de petits fruits. Ce jardin a des fraisiers.,"{""Les fruits sont gros"",""Les fruits sont petits"",""Le jardin n'a pas de fruits"",""On ne peut pas savoir""}",Les fruits sont petits,"Le syllogisme ici implique que tous les fraisiers produisent de petits fruits, et puisqu'il y a des fraisiers dans ce jardin, les fruits doivent être petits. Il ne faut pas tomber dans le piège de réinterpréter l'origine après qu'elle ait été déterminée par l'énoncé.",Réfléchissez au lien direct entre les fraisiers et la taille des fruits.,true
psychotechnique,raisonnement_logique,Facile,Qui est le plus rapide ?,Jean court plus vite que Marc. Marc court plus vite que Paul.,"{""Jean"",""Marc"",""Paul"",""Ils courent à la même vitesse""}",Jean,"En utilisant une comparaison transitive, puisque Jean > Marc et Marc > Paul, Jean est forcément le plus rapide parmi les trois. Ne confondez pas la rapidité avec les noms ou autres caractéristiques.",Formez une chaîne ordonnée de vitesse.,true
psychotechnique,raisonnement_logique,Facile,Que peut-on en conclure sur ce patient ?,Aucun chat ne sait nager. Félix est un chat.,"{""Félix peut nager"",""Félix ne sait pas nager"",""Félix est un chien"",""On ne peut pas savoir""}",Félix ne sait pas nager,"Le syllogisme non affirmatif montre que comme Félix est un chat et que aucun chat ne sait nager, Félix ne sait pas nager. Faites attention au piège de confondre inclusion et capacité d'action basées sur les prémisses données.",Concentrez-vous sur ce que le groupe ne peut pas faire.,true
psychotechnique,raisonnement_logique,Facile,Qui est le plus âgé ?,Antoine a 2 ans de plus que Bernard. Bernard a 3 ans de plus que Charles.,"{""Antoine"",""Bernard"",""Charles"",""Ils ont le même âge""}",Antoine,"Antoine est plus âgé que tous les autres car il a 2 ans de plus que Bernard, qui lui-même est plus âgé que Charles. Chaque étape ajoute une différence d'âge qu'il faut suivre pour ne pas se laisser embrouiller.",Additionnez les différences d'âge pour chaque paire.,true
psychotechnique,raisonnement_logique,Facile,Quel animal est rapide ?,Les guépards sont rapides. Ce félin est un guépard.,"{""Ce félin est lent"",""Ce félin est rapide"",""Ce félin est un oiseau"",""On ne peut pas savoir""}",Ce félin est rapide,"Nous utilisons ici un syllogisme classique : si les guépards sont tous rapides et que ce félin est un guépard, il en découle donc qu'il est rapide. Ne vous faites pas distraire par des caractéristiques d'autres félins.",La classification de catégorie est cruciale ici.,true
psychotechnique,raisonnement_logique,Facile,Quel est le repas du jour ?,"Tous les lundis, le repas est du poulet. Aujourd'hui est lundi.","{""Le repas est du poisson"",""Le repas est du poulet"",""On ne peut pas savoir"",""Le repas est du bœuf""}",Le repas est du poulet,"C'est un syllogisme évident qui utilise la régularité d'un événement. Puisque nous savons qu'aujourd'hui est lundi, ce doit être un jour de poulet, en conformité avec la règle donnée. Ne soyez pas trompé par d'autres jours ou options de repas similaires.",Identifiez la constance des jours avec leur repas.,true
psychotechnique,raisonnement_logique,Facile,Quel animal est domestiqué ?,Tous les chiens sont domestiqués. Rex est un chien.,"{""Rex est sauvage"",""Rex est domestiqué"",""Rex est un chat"",""On ne peut pas savoir""}",Rex est domestiqué,"C'est un syllogisme simple où tous les chiens, et donc Rex, sont domestiqués. Ne confondez pas le groupe de tous les chiens avec d'autres animaux, ce qui pourrait vous induire en erreur.",Transférez les propriétés du groupe à l'individu.,true
psychotechnique,raisonnement_logique,Facile,Quel vêtement est neuf ?,Tous les pantalons disponibles dans ce magasin sont neufs. Ce vêtement est un pantalon.,"{""Ce vêtement est usé"",""Ce vêtement est vieux"",""Ce vêtement est neuf"",""On ne peut pas savoir""}",Ce vêtement est neuf,"En analysant que tous les pantalons dans le magasin sont neufs, et que le vêtement en question est un pantalon, il est déduit qu'il est neuf. Ne mélangez pas les catégories de vêtements proposées.",Assurez-vous de respecter la catégorie 'pantalon'.,true
psychotechnique,raisonnement_logique,Facile,Quel animal aime l'eau ?,Tous les canards aiment l'eau. Gilbert est un canard.,"{""Gilbert n'aime pas l'eau"",""Gilbert aime l'eau"",""Gilbert est un chat"",""On ne peut pas savoir""}",Gilbert aime l'eau,"Ce syllogisme montre que si tous les canards aiment l'eau et que Gilbert est un canard, alors logiquement, Gilbert aime l'eau. Ne confondez pas l'espèce et d'autres actions spécifiques.",Assurez-vous de suivre les caractéristiques intrinsèques de l'espèce.,true
psychotechnique,raisonnement_logique,Facile,Quelle ville est la plus peuplée ?,Paris a plus d'habitants que Lyon. Lyon a plus d'habitants que Nice.,"{""Paris"",""Lyon"",""Nice"",""Toutes sont égales""}",Paris,"Le fait que Paris ait plus d'habitants que Lyon, et celui-ci plus que Nice, communique clairement que Paris est la ville la plus peuplée. Ne vous faites pas distraire en pensant que Nice pourrait soudainement devenir plus grande.",Classez par la taille de la population.,true
psychotechnique,raisonnement_logique,Facile,Quel animal vole ?,Tous les pigeons volent. Cette colombe est un pigeon.,"{""Cette colombe vole"",""Cette colombe ne vole pas"",""Cette colombe est un chat"",""On ne peut pas savoir""}",Cette colombe vole,"Comme tous les pigeons volent et que la colombe en question est un pigeon, elle vole aussi. Les erreurs peuvent survenir si on est distrait par la redéfinition de l'espèce après l'affirmation initiale.",Respectez la relation du groupe à l'individu.,true
psychotechnique,raisonnement_logique,Facile,Qui est le moins rapide ?,Alice court moins vite que Sophie. Sophie court moins vite que Lucas.,"{""Alice"",""Sophie"",""Lucas"",""Ils courent à la même vitesse""}",Alice,"Alice est la moins rapide car elle court moins vite que Sophie, qui elle-même court moins vite que Lucas. Il est crucial de maintenir la chaîne de comparaison telle quelle et ne pas la renverser.",Établissez le rang de vitesse.,true
psychotechnique,raisonnement_logique,Facile,Quelle équipe est en tête ?,Les lions ont plus de points que les tigres. Les tigres ont plus de points que les ours.,"{""Lions"",""Tigres"",""Ours"",""Ils ont tous le même score""}",Lions,"Selon la chaîne de supériorité par points, les lions sont en tête, suivis des tigres et des ours. Ne vous laissez pas induire en erreur par l'ordre des mots plutôt que l'ordre de points.",Formez une chaîne de points descendants.,true
