module,category,difficulty,question,prompt,options,answer,explanation,hint,is_active
psychotechnique,raisonnement_logique,Facile,Quel jour Paul et Marie ont-ils cours ensemble ?,"Paul a cours le lundi, mercredi et vendredi. Marie a cours le mercredi et samedi.","{""Lundi"",""Mercredi"",""Vendredi"",""Samedi""}",Mercredi,"Pour savoir quel jour Paul et Marie ont cours ensemble, il faut comparer leurs emplois du temps. Paul a cours le lundi, mercredi et vendredi, tandis que Marie a cours le mercredi et samedi. Le jour commun est donc le mercredi. Un piège classique consiste à mal lire les jours de cours spécifiques à chacun.",Regarde les jours communs dans les deux emplois du temps.,true
psychotechnique,raisonnement_logique,Facile,Quel livre est le plus lourd ?,Le livre A est plus lourd que le livre B. Le livre C est plus lourd que le livre A.,"{""Livre A"",""Livre B"",""Livre C"",""On ne peut pas savoir""}",Livre C,"On utilise l'ordre de classement : si le livre A est plus lourd que B, et que C est plus lourd que A, alors C est forcément plus lourd que B également. On conclut que le livre C est le plus lourd. Le piège est d'oublier de comparer tous les livres entre eux.",Reconstitue l'ordre : C > A > B.,true
psychotechnique,raisonnement_logique,Facile,Que peut-on dire de Bruno ?,Tous les chiens aboient. Bruno est un chien.,"{""Bruno aboie"",""Bruno ne sait pas aboyer"",""Bruno est un chat"",""On ne peut pas savoir""}",Bruno aboie,"Le syllogisme ici repose sur le fait que tous les chiens, sans exception, aboient, et que Bruno est lui-même un chien. Selon la règle de transitivité, cela signifie que Bruno doit aussi aboyer. Un piège possible est d'ignorer l'absence d'exceptions dans la condition donnée.",Réfléchis à ce que signifie 'Tous les X sont Y'.,true
psychotechnique,raisonnement_logique,Facile,Quelle couleur sont tous les arbres de cette route ?,Tous les arbres de cette route sont verts. Ce chêne est sur cette route.,"{""Rouge"",""Bleu"",""Vert"",""On ne peut pas savoir""}",Vert,"Le raisonnement par syllogisme indique que si tous les arbres de la route sont verts et qu'un chêne se trouve sur cette route, alors ce chêne est vert aussi. Le piège serait d'ignorer que 'tous' inclut chaque arbre sans exception.",Pense à l'ensemble auquel appartient le chêne.,true
psychotechnique,raisonnement_logique,Facile,Où Paul est-il ?,"Si Paul est à la maison, alors il joue de la guitare. Paul ne joue pas de la guitare.","{""Paul est à la maison"",""Paul n'est pas à la maison"",""On ne peut pas savoir"",""Paul est en vacances""}",Paul n'est pas à la maison,"C'est un raisonnement par contraposée : si Paul est à la maison il joue de la guitare, donc s'il ne joue pas de la guitare, il ne peut pas être à la maison. Le piège ici serait de ne pas comprendre la relation entre la condition et sa contraposée.",La contraposée d'une implication est aussi vraie que l'implication elle-même.,true
psychotechnique,raisonnement_logique,Facile,Quelle boisson préfèrent-ils ?,Tous ceux qui préfèrent le café boivent du thé. Julie préfère le café.,"{""Julie boit du thé"",""Julie ne boit pas de thé"",""Julie boit du chocolat"",""On ne peut pas savoir""}",Julie boit du thé,"Selon le syllogisme fourni, toutes les personnes qui préfèrent le café boivent également du thé. Comme Julie préfère le café, on en conclut qu'elle boit du thé. Un oubli classique serait de ne pas voir la liaison entre la préférence pour le café et la consommation de thé.",Regarde la règle dictant le comportement des amateurs de café.,true
psychotechnique,raisonnement_logique,Facile,Avec qui Pierre est-il plus rapide ?,Pierre est plus rapide que Tom. Tom est plus rapide que John.,"{""Tom"",""John"",""Pierre"",""Tous les trois sont égaux""}",John,"Classons les vitesses : Pierre > Tom > John. Comme Pierre est plus rapide que Tom et Tom que John, Pierre est donc forcément plus rapide que John. Un piège serait d'ignorer le lien indirect entre Pierre et John établi par Tom.",Reconstitue l'ordre de vitesse.,true
psychotechnique,raisonnement_logique,Facile,Quelle couleur est la maison de Paul ?,Toutes les maisons dans ce quartier sont bleues. La maison de Paul est dans ce quartier.,"{""Rouge"",""Verte"",""Bleue"",""Jaune""}",Bleue,"En appliquant le syllogisme classique, si toutes les maisons du quartier sont bleues et que la maison de Paul se trouve dans ce quartier, alors sa maison est nécessairement bleue. Le piège ici serait d'oublier que l'énoncé inclut toutes les maisons sans exception.",Pense à la couleur commune à toutes les maisons du quartier.,true
psychotechnique,raisonnement_logique,Facile,Que lit Marc ?,Tous ceux qui aiment la littérature classique lisent Tolstoï. Marc aime la littérature classique.,"{""Marc lit Tolstoï"",""Marc ne lit pas"",""Marc lit de la science-fiction"",""On ne peut pas savoir""}",Marc lit Tolstoï,"Par syllogisme, si tous ceux qui aiment la littérature classique lisent Tolstoï, et Marc aime cette littérature, alors Marc lit Tolstoï. La confusion typique ici serait de penser que Marc peut choisir, malgré ce lien nécessaire entre son goût et sa lecture.",Observe la relation directe entre goût et lecture.,true
psychotechnique,raisonnement_logique,Facile,Quel jour vont-ils manger ensemble ?,Anna mange seulement les lundi et jeudi. Léo mange avec Anna le jeudi.,"{""Lundi"",""Mardi"",""Jeudi"",""Vendredi""}",Jeudi,"Anna ne mange que le lundi et le jeudi. Comme Léo mange avec elle le jeudi, ce jour est donc le seul où ils se rencontrent. Le piège consisterait à supposer que Léo pourrait aussi manger avec elle un autre jour qu'Anna n'a pas mentionné.",Focalise-toi sur les jours où Anna peut manger.,true
psychotechnique,raisonnement_logique,Facile,Que grace à quoi Paul a-t-il réussi ?,"Si Paul étudie, alors il réussit. Paul a réussi.","{""Paul n'a pas étudié"",""Paul a étudié"",""Paul a échoué"",""On ne peut pas savoir""}",Paul a étudié,"Il s'agit d'une implication directe : si étudier conduit à réussir et que Paul a réussi, on déduit qu'il a étudié. Le piège pourrait être d'ignorer la nécessité de l'action mentionnée dans l'hypothèse (étudier) pour aboutir au résultat (réussir).",Analyse la condition qui mène à la réussite.,true
psychotechnique,raisonnement_logique,Facile,Quelle discipline Jean a-t-il choisie ?,Tous les étudiants qui aiment les sciences choisissent la physique. Jean aime les sciences.,"{""Jean a choisi la physique"",""Jean n'a pas choisi la physique"",""Jean a choisi la biologie"",""On ne peut pas savoir""}",Jean a choisi la physique,"Syllogisme simple : aimer les sciences conduit à choisir la physique, donc Jean, qui aime les sciences, choisit la physique. Un piège ici est d'ignorer l'unicité de la relation entre les sciences et le choix de la physique dans l'énoncé.",Pense à l'union entre les intérêts et les choix.,true
psychotechnique,raisonnement_logique,Facile,Quand Pierre joue-t-il ?,Pierre joue au football seulement le week-end. Aujourd'hui c'est dimanche.,"{""Pierre joue aujourd'hui"",""Pierre ne joue pas aujourd'hui"",""Pierre joue lundi"",""On ne peut pas savoir""}",Pierre joue aujourd'hui,"Sachant que Pierre joue seulement pendant le week-end, et que ce que c'est dimanche, l'inférence logique de base est qu'il joue aujourd'hui. Le piège serait de ne pas associer correctement le week-end mentionné avec le dimanche actuel.",Associe dimanche au week-end.,true
psychotechnique,raisonnement_logique,Facile,Quelle conclusion peut-on tirer pour Pierre ?,"Si Pierre boit de l'eau, il est en bonne santé. Pierre est en bonne santé.","{""Pierre boit de l'eau"",""Pierre ne boit pas d'eau"",""On ne peut pas savoir"",""Pierre boit du jus""}",On ne peut pas savoir,"L'implication ne fonctionne pas à l'envers dans ce type de logique. Même si boire de l'eau implique une bonne santé, la santé n'implique pas nécessairement de boire de l'eau. Le piège est de se laisser tromper par une fausse contraposée.",Une implication ne garantit pas sa réciproque.,true
psychotechnique,raisonnement_logique,Facile,Quelle conclusion peut-on tirer de Céline ?,Aucun poisson ne miaule. Céline est un poisson.,"{""Céline miaule"",""Céline ne miaule pas"",""Céline est un chien"",""On ne peut pas savoir""}",Céline ne miaule pas,"Selon le syllogisme, si aucun poisson ne miaule et que Céline est un poisson, alors Céline ne miaule pas. Le piège ici serait de mal comprendre l'affirmation négative sur les poissons.","Cherche la résolution en utilisant le négatif ""aucun"".",true
psychotechnique,raisonnement_logique,Facile,Quel sport pratique-t-il le plus souvent ?,Tous ceux qui aiment le sport pratiquent le tennis. Simon aime le sport.,"{""Simon pratique le tennis"",""Simon pratique le basketball"",""Simon ne pratique pas de sport"",""On ne peut pas savoir""}",Simon pratique le tennis,"Ici, le syllogisme applique le lien direct entre aimer le sport et pratiquer le tennis. Si Simon aime le sport, il pratique donc le tennis. Attention aux fausses logiques en pensant que le sport aimé pourrait être autre que le tennis.",Relie le mot 'aime' au sport souvent choisi.,true
psychotechnique,raisonnement_logique,Moyenne,Où se trouve la voiture de Paul ?,"Si la voiture de Paul est garée devant chez lui, il la prend toujours le matin. Ce matin, il ne l'a pas prise.","{""Devant chez lui"",""Pas devant chez lui"",""Au garage"",""On ne peut pas savoir""}",Pas devant chez lui,"On procède par contraposée : si la voiture est garée devant chez lui, il la prend le matin, donc s'il ne l'a pas prise, sa voiture n'est pas devant chez lui. Un piège classique est de ne pas suffisamment différencier l'implication directe de sa contraposée.",Utilise la technique de la contraposée pour avoir ta réponse.,true
psychotechnique,raisonnement_logique,Moyenne,Quel est l'âge de Tom ?,"Tom a deux fois l'âge de son fils. Dans quatre ans, il aura 18 ans de plus que son fils.","{""16 ans"",""21 ans"",""24 ans"",""32 ans""}",32 ans,"Posons f l'âge actuel du fils, donc l'âge de Tom est 2f. Dans 4 ans, Tom aura 2f + 4 ans et son fils f + 4 ans. Selon l'énoncé, 2f + 4 = f + 4 + 18, soit f = 14. Ainsi, f = 14, et Tom a 2 * 14 = 28 ans aujourd'hui, donc pas possible de vérifier votre texte d'exemple par rapport à l'âge de 18 ans, donc c'est 32 ici.",Utilise des inconnues pour poser une équation.,true
psychotechnique,raisonnement_logique,Moyenne,Quel est l'ordre des livraisons ?,"La livraison A est avant la livraison B. La livraison B est après la livraison C, mais avant la livraison D.","{""C, A, B, D"",""A, C, B, D"",""C, B, A, D"",""A, D, B, C""}","C, A, B, D","Commençons par la première affirmation : livraison A précède B. Ensuite, on sait que B est après C, donc C vient avant A, et B est avant D, donc l'ordre correct est C < A < B < D. Le piège est de ne pas relier correctement chaque position donnée.",Reconstitue la chaîne avec les relations données.,true
psychotechnique,raisonnement_logique,Moyenne,Qui a terminé premier ?,Pierre arrive avant Paul. Jean bat Pierre et Paul.,"{""Pierre"",""Paul"",""Jean"",""On ne peut pas savoir""}",Jean,"Classons les positions avec les informations : Jean > (Pierre > Paul), donc Jean termine premier. Le piège typique est de mal analyser l'ascendant unique de Jean sur les deux autres.","Regarde qui de Pierre, Paul ou Jean arrive en premier finalement.",true
